Step,Value
0,55238.1640625
1,9053798.0
2,4972381.5
3,3333333.5
4,1045185.3125
5,3832275.75
6,543984.75
7,46154.19140625
8,55171.7109375
9,9073068.0
10,9782631.0
11,1833307.875
12,113393.9453125
13,279208.34375
14,5128896.0
15,1270569.25
16,108675.484375
17,9782649.0
18,344248.90625
19,115664.7578125
20,3333333.5
21,28629.693359375
22,3337784.0
23,9154331.0
24,5096367.0
25,881737.0
26,1864118.75
27,1418697.875
28,35510.71875
29,40618.734375
30,1370903.75
31,55119.3515625
32,178899.859375
33,2015740.75
34,33037.890625
35,6383453.5
36,158564.171875
37,4311809.5
38,4972381.5
39,51734.6484375
40,6890030.5
41,3130372.75
42,32754.60546875
43,2617443.25
44,1186203.375
45,93755.6015625
46,4223412.5
47,141119.953125
48,3706464.5
49,4972381.5
50,52221.890625
51,128414.8203125
52,36664.53515625
53,54800.42578125
54,9732124.0
55,7059976.5
56,108675.4296875
57,636914.75
58,108675.4296875
59,74760.546875
60,5480230.0
61,919946.8125
62,9782486.0
63,3307563.25
64,9782649.0
65,788690.125
66,488450.03125
67,4595635.0
68,5646717.0
69,5753364.0
70,83226.8984375
71,1714820.75
72,111667.6796875
73,4313401.5
74,4972381.5
75,5023669.5
76,3497572.75
77,112371.3359375
78,42527.4453125
79,9537821.0
80,9501328.0
81,996748.5625
82,4972381.5
83,97657.7578125
84,5661372.0
85,9762470.0
86,150675.703125
87,97711.21875
88,328404.59375
89,9410169.0
90,5508747.0
91,437604.8125
92,4493524.0
93,343195.84375
94,9599667.0
95,75695.734375
96,108675.4296875
97,4972381.5
98,332262.34375
99,4964041.0
100,2906262.5
101,145646.515625
102,4972381.5
103,4882357.0
104,7691087.0
105,2330470.0
106,9501952.0
107,4972381.5
108,4080150.75
109,186840.8125
110,341427.1875
111,1359804.0
112,629475.5625
113,70941.8515625
114,9357032.0
115,9191822.0
116,5098827.0
117,4077413.5
118,3483249.5
119,1062815.75
120,68783.390625
121,1745317.875
122,413013.21875
123,3929306.25
124,270301.40625
125,1463111.75
126,95555.9296875
127,82157.171875
128,87559.1484375
129,220264.421875
130,1708529.75
131,1068190.625
132,9768339.0
133,9111224.0
134,186011.890625
135,5962551.0
136,7078036.0
137,4262059.0
138,5595944.0
139,135218.625
140,55798.078125
141,51690.48046875
142,9495466.0
143,1932713.625
144,4648747.5
145,310075.40625
146,225008.390625
147,5923013.0
148,5351190.0
149,1668177.5
150,5276175.5
151,1719105.5
152,121267.3984375
153,159064.9375
154,1035463.8125
155,3027740.5
156,9751267.0
157,103625.328125
158,7394391.5
159,8792207.0
160,2139379.75
161,7561061.0
162,8658609.0
163,326675.75
164,52691.8671875
165,1985341.0
166,5363366.0
167,497798.4375
168,8650047.0
169,5373771.0
170,4072182.0
171,1157479.25
172,2031940.625
173,5227541.5
174,3747978.75
175,1100306.375
176,9044747.0
177,3306260.0
178,7277962.5
179,4936740.0
180,9431546.0
181,9557855.0
182,9495179.0
183,140410.203125
184,7651509.0
185,3126742.5
186,7865504.5
187,9076989.0
188,1690148.0
189,250744.203125
190,2217887.75
191,2746445.5
192,9545649.0
193,3184021.0
194,303197.28125
195,8154902.5
196,2810073.25
197,1971859.5
198,123299.15625
199,5692137.5
200,6656266.5
201,8457950.0
202,207149.609375
203,7200582.0
204,8903008.0
205,3960864.5
206,240960.75
207,1179048.375
208,325545.125
209,539952.9375
210,1186347.625
211,1289484.25
212,4033392.25
213,3425457.25
214,9688171.0
215,6250713.0
216,6673908.0
217,4042914.0
218,6193005.5
219,743149.3125
220,9678817.0
221,3139101.75
222,6089653.0
223,4434126.0
224,2086879.0
225,942804.9375
226,199636.796875
227,4643700.0
228,1018189.4375
229,3455619.75
230,4539532.5
231,1558925.25
232,7515830.5
233,7978474.5
234,9691607.0
235,8655714.0
236,9243441.0
237,6765334.5
238,8423412.0
239,8884611.0
240,5783055.5
241,4459153.0
242,4081631.0
243,9035221.0
244,7745626.5
245,9678246.0
246,6825454.0
247,3484860.0
248,586409.1875
249,8310244.0
250,1283073.625
251,2796466.25
252,1947000.5
253,7395986.5
254,8250974.5
255,7957697.0
256,3431087.25
257,7112282.5
258,3262745.25
259,7346622.5
260,448247.875
261,8187794.0
262,2631554.0
263,741174.6875
264,2439604.0
265,1687388.0
266,865556.4375
267,1648015.625
268,1272081.375
269,1047330.0625
270,8505542.0
271,7917309.5
272,4022368.25
273,1976996.625
274,4866924.0
275,3695785.75
276,3669380.75
277,2168245.5
278,5011238.5
