Step,Value
0,1.0
1,92.0
2,41.0
3,44.0
4,32.0
5,24.0
6,0.0
7,0.0
8,0.0
9,106.0
10,40.0
11,53.0
12,0.0
13,0.0
14,53.0
15,44.0
16,0.0
17,79.0
18,0.0
19,0.0
20,152.0
21,0.0
22,170.0
23,72.0
24,72.0
25,22.0
26,84.0
27,62.0
28,0.0
29,0.0
30,85.0
31,0.0
32,0.0
33,141.0
34,0.0
35,235.0
36,0.0
37,161.0
38,56.0
39,0.0
40,100.0
41,35.0
42,0.0
43,115.0
44,47.0
45,0.0
46,110.0
47,0.0
48,77.0
49,57.0
50,0.0
51,0.0
52,0.0
53,0.0
54,127.0
55,109.0
56,0.0
57,202.0
58,0.0
59,0.0
60,238.0
61,139.0
62,183.0
63,191.0
64,151.0
65,120.0
66,0.0
67,81.0
68,39.0
69,49.0
70,0.0
71,117.0
72,0.0
73,100.0
74,54.0
75,41.0
76,34.0
77,0.0
78,0.0
79,58.0
80,42.0
81,25.0
82,33.0
83,0.0
84,131.0
85,51.0
86,0.0
87,0.0
88,0.0
89,73.0
90,91.0
91,0.0
92,64.0
93,0.0
94,90.0
95,0.0
96,0.0
97,102.0
98,0.0
99,59.0
100,59.0
101,0.0
102,71.0
103,52.0
104,47.0
105,27.0
106,25.0
107,30.0
108,33.0
109,0.0
110,0.0
111,40.0
112,0.0
113,0.0
114,96.0
115,42.0
116,40.0
117,49.0
118,40.0
119,21.0
120,0.0
121,81.0
122,0.0
123,86.0
124,0.0
125,91.0
126,0.0
127,0.0
128,0.0
129,0.0
130,115.0
131,68.0
132,45.0
133,56.0
134,0.0
135,34.0
136,36.0
137,44.0
138,49.0
139,0.0
140,0.0
141,0.0
142,126.0
143,57.0
144,57.0
145,0.0
146,0.0
147,72.0
148,53.0
149,34.0
150,37.0
151,36.0
152,0.0
153,0.0
154,102.0
155,79.0
156,84.0
157,0.0
158,201.0
159,86.0
160,89.0
161,67.0
162,118.0
163,0.0
164,0.0
165,148.0
166,84.0
167,0.0
168,54.0
169,82.0
170,56.0
171,51.0
172,48.0
173,64.0
174,51.0
175,52.0
176,43.0
177,31.0
178,46.0
179,51.0
180,36.0
181,13.0
182,20.0
183,0.0
184,92.0
185,39.0
186,50.0
187,44.0
188,36.0
189,0.0
190,47.0
191,54.0
192,45.0
193,53.0
194,0.0
195,61.0
196,49.0
197,54.0
198,0.0
199,57.0
200,23.0
201,38.0
202,0.0
203,19.0
204,27.0
205,25.0
206,0.0
207,41.0
208,0.0
209,0.0
210,22.0
211,24.0
212,26.0
213,14.0
214,36.0
215,53.0
216,55.0
217,56.0
218,57.0
219,56.0
220,106.0
221,99.0
222,95.0
223,121.0
224,103.0
225,86.0
226,0.0
227,169.0
228,85.0
229,123.0
230,128.0
231,140.0
232,94.0
233,138.0
234,109.0
235,128.0
236,135.0
237,94.0
238,66.0
239,78.0
240,71.0
241,48.0
242,53.0
243,44.0
244,45.0
245,39.0
246,37.0
247,56.0
248,6.0
249,46.0
250,38.0
251,40.0
252,39.0
253,31.0
254,23.0
255,15.0
256,20.0
257,44.0
258,37.0
259,35.0
260,0.0
261,38.0
262,26.0
263,7.0
264,36.0
265,32.0
266,27.0
267,38.0
268,62.0
269,31.0
270,39.0
271,29.0
272,61.0
273,46.0
274,33.0
275,25.0
276,28.0
277,27.0
278,19.0
279,26.0
280,33.0
281,35.0
282,32.0
283,30.0
284,10.0
285,28.0
286,21.0
287,22.0
288,25.0
289,30.0
290,29.0
291,79.0
292,98.0
293,118.0
294,136.0
295,96.0
296,75.0
297,60.0
298,40.0
299,0.0
300,53.0
301,51.0
302,38.0
303,46.0
304,42.0
305,35.0
306,48.0
307,32.0
308,45.0
309,41.0
310,44.0
311,31.0
312,38.0
313,43.0
314,34.0
315,28.0
316,48.0
317,55.0
318,54.0
319,40.0
320,57.0
321,80.0
322,58.0
323,47.0
324,52.0
325,38.0
326,47.0
327,48.0
328,48.0
329,45.0
330,60.0
331,54.0
332,32.0
333,50.0
334,39.0
335,25.0
336,27.0
337,42.0
338,35.0
339,31.0
340,34.0
341,46.0
342,30.0
343,34.0
344,36.0
345,40.0
346,30.0
347,45.0
348,39.0
349,31.0
350,44.0
351,40.0
352,42.0
353,42.0
354,27.0
355,28.0
356,36.0
357,35.0
358,32.0
359,33.0
360,32.0
361,33.0
362,40.0
363,36.0
364,30.0
365,49.0
366,31.0
367,40.0
368,36.0
369,33.0
370,29.0
371,37.0
372,43.0
373,58.0
374,59.0
375,70.0
376,89.0
377,69.0
378,83.0
379,55.0
380,77.0
381,91.0
382,69.0
383,82.0
384,76.0
385,41.0
386,49.0
387,50.0
388,43.0
389,24.0
390,37.0
391,63.0
392,48.0
393,64.0
394,40.0
395,35.0
396,45.0
397,31.0
398,39.0
399,41.0
400,31.0
401,38.0
402,41.0
403,50.0
404,46.0
405,41.0
406,48.0
407,29.0
408,46.0
409,43.0
410,45.0
411,35.0
412,31.0
413,30.0
414,24.0
415,42.0
416,30.0
417,37.0
418,42.0
419,36.0
420,42.0
421,32.0
422,48.0
423,53.0
424,38.0
425,36.0
426,38.0
427,41.0
428,27.0
429,37.0
430,39.0
431,46.0
432,41.0
433,45.0
434,46.0
435,40.0
436,30.0
437,22.0
438,22.0
439,36.0
440,51.0
441,62.0
442,54.0
443,67.0
444,77.0
445,52.0
446,74.0
447,56.0
448,41.0
449,82.0
450,41.0
451,41.0
452,51.0
453,57.0
454,45.0
455,26.0
456,23.0
457,19.0
458,42.0
459,28.0
460,33.0
461,23.0
462,39.0
463,55.0
464,62.0
465,58.0
466,51.0
467,46.0
468,47.0
469,45.0
470,49.0
471,67.0
472,70.0
473,103.0
474,69.0
475,77.0
476,73.0
477,48.0
478,59.0
479,68.0
480,53.0
481,43.0
482,44.0
483,45.0
484,33.0
485,33.0
486,39.0
487,41.0
488,43.0
489,64.0
490,38.0
491,36.0
492,43.0
493,54.0
494,50.0
495,42.0
496,67.0
497,36.0
498,44.0
499,52.0
500,80.0
501,80.0
502,102.0
503,78.0
504,69.0
505,61.0
506,52.0
507,47.0
508,62.0
509,36.0
510,50.0
511,41.0
512,53.0
513,22.0
514,25.0
515,20.0
516,22.0
517,19.0
518,22.0
519,15.0
520,22.0
521,13.0
522,18.0
523,25.0
524,28.0
525,20.0
526,23.0
527,26.0
528,34.0
529,36.0
530,61.0
531,66.0
532,123.0
533,109.0
534,144.0
535,155.0
536,150.0
537,198.0
538,174.0
539,172.0
540,180.0
541,107.0
542,117.0
543,142.0
544,127.0
545,120.0
546,98.0
547,98.0
548,76.0
549,73.0
550,69.0
551,48.0
552,48.0
553,38.0
554,25.0
555,34.0
556,37.0
557,33.0
558,34.0
559,35.0
560,37.0
561,40.0
562,38.0
563,54.0
564,68.0
565,55.0
566,50.0
567,68.0
568,40.0
569,46.0
570,65.0
571,25.0
572,50.0
573,42.0
574,74.0
575,45.0
576,42.0
577,30.0
578,37.0
579,32.0
580,24.0
581,37.0
582,27.0
583,27.0
584,33.0
585,39.0
586,41.0
587,34.0
588,44.0
589,25.0
590,28.0
591,40.0
592,39.0
593,37.0
594,49.0
595,72.0
596,113.0
597,91.0
598,112.0
599,73.0
600,75.0
601,86.0
602,70.0
603,71.0
604,53.0
605,31.0
606,48.0
607,63.0
608,61.0
609,65.0
610,76.0
611,66.0
612,41.0
613,50.0
614,57.0
615,67.0
616,60.0
617,52.0
618,58.0
619,51.0
620,48.0
621,34.0
622,48.0
623,67.0
624,92.0
625,110.0
626,125.0
627,110.0
628,100.0
629,105.0
630,80.0
631,61.0
632,74.0
633,121.0
634,71.0
635,70.0
636,53.0
637,45.0
638,36.0
639,27.0
640,64.0
641,32.0
642,40.0
643,40.0
644,33.0
645,36.0
646,28.0
647,28.0
648,18.0
649,36.0
650,26.0
651,35.0
652,34.0
653,44.0
654,55.0
655,62.0
656,46.0
657,42.0
658,34.0
659,36.0
660,38.0
661,53.0
662,51.0
663,63.0
664,61.0
665,48.0
666,51.0
667,38.0
668,30.0
669,36.0
670,35.0
671,28.0
672,32.0
673,32.0
674,32.0
675,34.0
676,9.0
677,29.0
678,37.0
679,25.0
680,17.0
681,29.0
682,24.0
683,42.0
684,45.0
685,40.0
686,46.0
687,42.0
688,26.0
689,27.0
690,41.0
691,54.0
692,68.0
693,48.0
694,53.0
695,52.0
696,55.0
697,42.0
698,60.0
699,55.0
700,57.0
701,62.0
702,97.0
703,82.0
704,75.0
705,114.0
706,102.0
707,93.0
708,58.0
709,40.0
710,39.0
711,24.0
712,28.0
713,37.0
714,25.0
715,43.0
716,29.0
717,39.0
718,34.0
719,34.0
720,38.0
721,52.0
722,45.0
723,46.0
724,45.0
725,39.0
726,44.0
727,48.0
728,43.0
729,63.0
730,34.0
731,53.0
732,37.0
733,23.0
734,26.0
735,22.0
736,22.0
737,14.0
738,24.0
739,21.0
740,23.0
741,31.0
742,20.0
743,30.0
744,28.0
745,37.0
746,47.0
747,84.0
748,81.0
749,68.0
750,66.0
751,70.0
752,71.0
753,66.0
754,87.0
755,84.0
756,60.0
757,54.0
758,72.0
759,50.0
760,44.0
761,51.0
762,38.0
763,30.0
764,49.0
765,37.0
766,28.0
767,14.0
768,31.0
769,36.0
770,41.0
771,42.0
772,47.0
773,70.0
774,61.0
775,77.0
776,77.0
777,50.0
778,64.0
779,46.0
780,59.0
781,51.0
782,26.0
783,24.0
784,31.0
785,37.0
786,28.0
787,34.0
788,44.0
789,43.0
790,19.0
791,21.0
792,20.0
793,19.0
794,26.0
795,23.0
796,20.0
797,25.0
798,26.0
799,25.0
800,14.0
801,25.0
802,25.0
803,28.0
804,35.0
805,27.0
806,36.0
807,46.0
808,44.0
809,69.0
810,71.0
811,88.0
812,83.0
813,52.0
814,49.0
815,65.0
816,60.0
817,45.0
818,46.0
819,28.0
820,31.0
821,34.0
822,27.0
823,31.0
824,29.0
825,38.0
826,34.0
827,32.0
828,25.0
829,29.0
830,20.0
831,22.0
832,42.0
833,25.0
834,20.0
835,17.0
836,17.0
837,31.0
838,35.0
839,34.0
840,20.0
841,53.0
842,66.0
843,43.0
844,46.0
845,49.0
846,39.0
847,20.0
848,21.0
849,34.0
850,31.0
851,31.0
852,28.0
853,16.0
854,21.0
855,28.0
856,35.0
857,43.0
858,66.0
859,110.0
860,73.0
861,130.0
862,122.0
863,78.0
864,75.0
865,114.0
866,78.0
867,93.0
868,86.0
869,61.0
870,91.0
871,77.0
872,61.0
873,55.0
874,56.0
875,40.0
876,45.0
877,26.0
878,23.0
879,22.0
880,30.0
881,27.0
882,25.0
883,28.0
884,23.0
885,25.0
886,9.0
887,13.0
888,21.0
889,13.0
890,17.0
891,19.0
892,19.0
893,30.0
894,28.0
895,35.0
896,40.0
897,32.0
898,46.0
899,45.0
900,45.0
901,57.0
902,82.0
903,47.0
904,56.0
905,97.0
906,74.0
907,73.0
908,42.0
909,42.0
910,43.0
911,34.0
912,30.0
913,22.0
914,18.0
915,20.0
916,24.0
917,27.0
918,16.0
919,21.0
920,25.0
921,16.0
922,20.0
923,25.0
924,31.0
925,37.0
926,32.0
927,56.0
928,55.0
929,59.0
930,58.0
931,58.0
932,56.0
933,58.0
934,65.0
935,39.0
936,46.0
937,45.0
938,41.0
939,36.0
940,60.0
941,37.0
942,21.0
943,25.0
944,18.0
945,15.0
946,23.0
947,15.0
948,23.0
949,28.0
950,29.0
951,20.0
952,28.0
953,24.0
954,44.0
955,24.0
956,27.0
957,43.0
958,53.0
959,57.0
960,47.0
961,49.0
962,55.0
963,76.0
964,67.0
965,93.0
966,85.0
967,76.0
968,58.0
969,89.0
970,78.0
971,81.0
972,64.0
973,69.0
974,61.0
975,73.0
976,43.0
977,54.0
978,67.0
979,66.0
980,52.0
981,47.0
982,38.0
983,30.0
984,30.0
985,27.0
986,34.0
987,25.0
988,24.0
989,34.0
990,42.0
991,49.0
992,88.0
993,110.0
994,103.0
995,86.0
996,142.0
997,112.0
998,113.0
999,74.0
1000,80.0
1001,82.0
1002,50.0
1003,53.0
1004,44.0
1005,45.0
1006,63.0
1007,43.0
1008,33.0
1009,38.0
1010,44.0
1011,44.0
1012,42.0
1013,38.0
1014,52.0
1015,38.0
1016,43.0
1017,37.0
1018,45.0
1019,51.0
1020,89.0
1021,67.0
1022,49.0
1023,56.0
1024,60.0
1025,61.0
1026,69.0
1027,47.0
1028,30.0
1029,33.0
1030,25.0
1031,31.0
1032,25.0
1033,33.0
1034,31.0
1035,32.0
1036,22.0
1037,27.0
1038,18.0
1039,29.0
1040,18.0
1041,17.0
1042,24.0
1043,16.0
1044,22.0
1045,17.0
1046,35.0
1047,46.0
1048,58.0
1049,46.0
1050,80.0
1051,61.0
1052,79.0
1053,70.0
1054,58.0
1055,45.0
1056,53.0
1057,97.0
1058,76.0
1059,52.0
1060,44.0
1061,28.0
1062,38.0
1063,24.0
1064,27.0
1065,40.0
1066,46.0
1067,54.0
1068,64.0
1069,61.0
1070,44.0
1071,35.0
1072,61.0
1073,50.0
1074,22.0
1075,25.0
1076,48.0
1077,39.0
1078,49.0
1079,38.0
1080,54.0
1081,55.0
1082,63.0
1083,67.0
1084,86.0
1085,64.0
1086,57.0
1087,70.0
1088,86.0
1089,66.0
1090,83.0
1091,61.0
1092,48.0
1093,59.0
1094,35.0
1095,50.0
1096,45.0
1097,27.0
1098,29.0
1099,27.0
1100,25.0
1101,27.0
1102,23.0
1103,28.0
1104,28.0
1105,44.0
1106,71.0
1107,55.0
1108,63.0
1109,40.0
1110,52.0
1111,72.0
1112,122.0
1113,82.0
1114,85.0
1115,129.0
1116,99.0
1117,97.0
1118,86.0
1119,56.0
1120,61.0
1121,43.0
1122,42.0
1123,19.0
1124,21.0
1125,27.0
1126,23.0
1127,40.0
1128,28.0
1129,41.0
1130,19.0
1131,28.0
1132,25.0
1133,48.0
1134,42.0
1135,68.0
1136,74.0
1137,109.0
1138,123.0
1139,142.0
1140,142.0
1141,102.0
1142,175.0
1143,145.0
1144,177.0
1145,128.0
1146,106.0
1147,94.0
1148,68.0
1149,54.0
1150,65.0
1151,81.0
1152,64.0
1153,73.0
1154,64.0
1155,44.0
1156,30.0
1157,31.0
1158,44.0
1159,43.0
1160,36.0
1161,38.0
1162,29.0
1163,31.0
1164,29.0
1165,34.0
1166,31.0
1167,31.0
1168,39.0
1169,46.0
1170,31.0
1171,31.0
1172,36.0
1173,51.0
1174,55.0
1175,43.0
1176,54.0
1177,63.0
1178,68.0
1179,41.0
1180,25.0
1181,29.0
1182,49.0
1183,37.0
