Step,Value
0,217920.0
1,217920.0
2,91200.0
3,3200.0
4,228800.0
5,221760.0
6,213120.0
7,219520.0
8,211200.0
9,223680.0
10,216640.0
11,87680.0
12,226560.0
13,88000.0
14,220160.0
15,86080.0
16,213120.0
17,225280.0
18,89600.0
19,217600.0
20,215360.0
21,220160.0
22,223360.0
23,236160.0
24,220800.0
25,229120.0
26,226240.0
27,94400.0
28,232320.0
29,248320.0
30,235200.0
31,241280.0
32,247680.0
33,92800.0
34,230720.0
35,222720.0
36,229440.0
37,224000.0
38,216640.0
39,91200.0
40,233280.0
41,232640.0
42,232640.0
43,213760.0
44,215040.0
45,214400.0
46,86400.0
47,217280.0
48,219520.0
49,218880.0
50,84800.0
51,204800.0
52,216640.0
53,210240.0
54,216320.0
55,84480.0
56,0.0
57,210240.0
58,211840.0
59,82880.0
60,204800.0
61,199040.0
62,189120.0
63,78080.0
64,202240.0
65,80000.0
66,194560.0
67,192000.0
68,190080.0
69,181760.0
70,173120.0
71,70400.0
72,168320.0
73,68800.0
74,168640.0
75,176960.0
76,166080.0
77,178560.0
78,166720.0
79,170240.0
80,162560.0
81,68800.0
82,168320.0
83,163200.0
84,169280.0
85,70080.0
86,1600.0
87,0.0
88,168640.0
89,174400.0
90,180800.0
91,72960.0
92,173440.0
93,182080.0
94,179520.0
95,168960.0
96,169920.0
97,169920.0
98,179520.0
99,183040.0
100,70400.0
101,180800.0
102,178880.0
103,175360.0
104,174720.0
105,167040.0
106,175360.0
107,190400.0
108,189760.0
109,186240.0
110,76800.0
111,189760.0
112,197120.0
113,179200.0
114,192000.0
115,184640.0
116,73600.0
117,179200.0
118,170880.0
119,71680.0
120,176000.0
121,182400.0
122,173440.0
123,72000.0
124,167040.0
125,166400.0
126,168000.0
127,66560.0
128,1600.0
129,163840.0
130,67200.0
131,159040.0
132,165440.0
133,65280.0
134,167360.0
135,173760.0
136,176000.0
137,168320.0
138,152640.0
139,169280.0
140,172480.0
141,171200.0
142,163520.0
143,171200.0
144,182720.0
145,178240.0
146,194560.0
147,187840.0
148,196160.0
149,78400.0
150,0.0
151,194240.0
152,204160.0
153,194880.0
154,190720.0
155,186880.0
156,199360.0
157,78400.0
158,3200.0
159,188800.0
160,200320.0
161,196160.0
162,198080.0
163,197120.0
164,213440.0
165,216000.0
166,206080.0
167,216640.0
168,216320.0
169,211200.0
170,221440.0
171,210560.0
172,208960.0
173,86080.0
174,206400.0
175,228480.0
176,220480.0
177,215040.0
178,228480.0
179,224640.0
180,219840.0
181,91200.0
182,224640.0
183,87680.0
184,3200.0
185,229440.0
186,239360.0
187,237760.0
188,236800.0
189,236800.0
190,239360.0
191,247680.0
192,253760.0
193,221760.0
194,220480.0
195,230400.0
196,83200.0
197,206400.0
198,199680.0
199,203200.0
200,200000.0
201,76800.0
202,0.0
203,190080.0
204,201600.0
205,206400.0
206,194560.0
207,203840.0
208,209600.0
209,196160.0
210,204800.0
211,200960.0
212,195200.0
213,211840.0
214,209920.0
215,78400.0
216,184640.0
217,192320.0
218,199360.0
219,198400.0
220,200000.0
221,78080.0
222,187520.0
223,198400.0
224,186560.0
225,76800.0
226,186560.0
227,169280.0
228,178880.0
229,177280.0
230,181760.0
231,179200.0
232,167360.0
233,163200.0
234,176640.0
235,70400.0
236,177600.0
237,166720.0
238,171520.0
239,169280.0
240,159040.0
241,150720.0
242,144320.0
243,145600.0
244,58560.0
245,156480.0
246,158400.0
247,155200.0
248,63680.0
249,156480.0
250,168960.0
251,173760.0
252,171200.0
253,166400.0
254,184000.0
255,182720.0
256,174400.0
257,160320.0
258,63680.0
259,172480.0
260,170880.0
261,180800.0
262,176640.0
263,175680.0
264,171520.0
265,180480.0
266,185600.0
267,189440.0
268,183680.0
269,177920.0
270,183360.0
271,175040.0
272,170880.0
273,178880.0
274,186560.0
275,198080.0
276,189440.0
277,195840.0
278,187520.0
279,194240.0
280,195840.0
281,197440.0
282,189120.0
283,186240.0
284,190400.0
285,196160.0
286,193600.0
287,194560.0
288,196800.0
289,193920.0
290,197760.0
291,83200.0
292,212800.0
293,206400.0
294,198400.0
295,208000.0
296,214720.0
297,213440.0
298,216960.0
299,204800.0
300,200960.0
301,218240.0
302,198720.0
303,216000.0
304,207680.0
305,209920.0
306,212160.0
307,218240.0
308,212160.0
309,215360.0
310,214400.0
311,222720.0
312,196480.0
313,211520.0
314,210560.0
315,201920.0
316,216640.0
317,201600.0
318,198080.0
319,208960.0
320,211200.0
321,217920.0
322,215040.0
323,207680.0
324,210240.0
325,211840.0
326,212800.0
327,214720.0
328,211840.0
329,204480.0
330,205120.0
331,203520.0
332,209920.0
333,213440.0
334,208960.0
335,212480.0
336,212800.0
337,218880.0
338,219520.0
339,212800.0
340,231680.0
341,230400.0
342,223360.0
343,226240.0
344,243840.0
345,233920.0
346,230400.0
347,228480.0
348,235200.0
349,231040.0
350,247360.0
351,234240.0
352,217600.0
353,221120.0
354,223360.0
355,232960.0
356,226880.0
357,220160.0
358,227520.0
359,233280.0
360,231360.0
361,227840.0
362,228800.0
363,210560.0
364,221440.0
365,213440.0
366,209600.0
367,218880.0
368,209280.0
369,218880.0
370,212160.0
371,205440.0
372,205120.0
373,204800.0
374,205760.0
375,202560.0
376,205120.0
377,198080.0
378,210560.0
379,213440.0
380,227520.0
381,216640.0
382,220800.0
383,217920.0
384,221760.0
385,208320.0
386,207040.0
387,216320.0
388,207680.0
389,202560.0
390,198720.0
391,200640.0
392,202560.0
393,198400.0
394,194560.0
395,187840.0
396,192960.0
397,192000.0
398,199040.0
399,190720.0
400,199680.0
401,208640.0
402,200960.0
403,193920.0
404,190720.0
405,184000.0
406,195200.0
407,198080.0
408,193600.0
409,189440.0
410,196160.0
411,202560.0
412,196160.0
413,212480.0
414,210240.0
415,208960.0
416,220480.0
417,216960.0
418,215040.0
419,227200.0
420,223680.0
421,229760.0
422,221440.0
423,220480.0
424,222080.0
425,224000.0
426,219840.0
427,220800.0
428,230720.0
429,218240.0
430,233920.0
431,242240.0
432,236800.0
433,244160.0
434,253440.0
435,249280.0
436,238400.0
437,225600.0
438,230080.0
439,209600.0
440,213760.0
441,230400.0
442,211520.0
443,215040.0
444,211840.0
445,213120.0
446,209920.0
447,216960.0
448,215360.0
449,192320.0
450,201600.0
451,203200.0
452,208960.0
453,213440.0
454,210560.0
455,215040.0
456,219200.0
457,216000.0
458,215360.0
459,221440.0
460,215040.0
461,212480.0
462,220800.0
463,224640.0
464,228800.0
465,224000.0
466,233920.0
467,228480.0
468,234240.0
469,223040.0
470,218240.0
471,220480.0
472,201920.0
473,199680.0
474,215040.0
475,204800.0
476,188800.0
477,184000.0
478,177600.0
479,176000.0
480,179200.0
481,188160.0
482,192960.0
483,194240.0
484,189120.0
485,187200.0
486,179520.0
487,184000.0
488,179200.0
489,189120.0
490,196160.0
491,191360.0
492,192320.0
493,199040.0
494,188160.0
495,186240.0
496,189120.0
497,182400.0
498,190400.0
499,154240.0
500,152960.0
501,154880.0
502,139200.0
503,138560.0
504,154880.0
505,140480.0
506,142400.0
507,145280.0
508,136320.0
509,129920.0
510,113920.0
511,115840.0
512,124800.0
513,116160.0
514,133440.0
515,132480.0
516,145280.0
517,145280.0
518,138880.0
519,154560.0
520,171840.0
521,156480.0
522,171840.0
523,168960.0
524,169280.0
525,168320.0
526,159360.0
527,166720.0
528,160960.0
529,162880.0
530,167360.0
531,162240.0
532,163200.0
533,166400.0
534,160960.0
535,174400.0
536,168320.0
537,168320.0
538,181440.0
539,174400.0
540,191680.0
541,188480.0
542,176320.0
543,202560.0
544,215680.0
545,213440.0
546,206720.0
547,212160.0
548,204160.0
549,202240.0
550,206400.0
551,218560.0
552,208320.0
553,213120.0
554,203840.0
555,197760.0
556,195520.0
557,190400.0
558,187520.0
559,195200.0
560,213120.0
561,213120.0
562,220160.0
563,216640.0
564,213120.0
565,212800.0
566,208000.0
567,217600.0
568,209920.0
569,215680.0
570,220160.0
571,210240.0
572,210240.0
573,213760.0
574,215360.0
575,199360.0
576,204160.0
577,201600.0
578,210880.0
579,209280.0
580,212800.0
581,212800.0
582,226240.0
583,220160.0
584,216320.0
585,214720.0
586,225280.0
587,219520.0
588,212800.0
589,222080.0
590,227200.0
591,236160.0
592,240960.0
593,231360.0
594,208960.0
595,211840.0
596,206400.0
597,216960.0
598,216640.0
599,220480.0
600,219520.0
601,214080.0
602,226240.0
603,221760.0
604,228480.0
605,221120.0
606,208960.0
607,211520.0
608,199040.0
609,214400.0
610,213440.0
611,202880.0
612,203200.0
613,192320.0
614,214400.0
615,207040.0
616,195840.0
617,189120.0
618,178240.0
619,190720.0
620,185280.0
621,191680.0
622,199040.0
623,178560.0
624,188160.0
625,189440.0
626,181120.0
627,196800.0
628,201600.0
629,190400.0
630,200640.0
631,203520.0
632,206720.0
633,207040.0
634,198400.0
635,198080.0
636,190080.0
637,198080.0
638,186880.0
639,182400.0
640,178560.0
641,174720.0
642,175680.0
643,172800.0
644,166080.0
645,173440.0
646,165760.0
647,173440.0
648,175360.0
649,176640.0
650,173440.0
651,178240.0
652,183040.0
653,184000.0
654,166720.0
655,178240.0
