Step,Value
0,1742242.875
1,4885960.5
2,4972381.5
3,108675.4296875
4,3334774.75
5,6305968.0
6,3333333.5
7,3382687.0
8,108377.9453125
9,3333333.5
10,55238.171875
11,55238.171875
12,9782649.0
13,1070081.375
14,5290096.5
15,9756564.0
16,4972380.5
17,108675.4296875
18,2867900.75
19,1486537.125
20,215867.703125
21,2123039.0
22,117620.3515625
23,1338445.375
24,5520560.0
25,4972380.5
26,8035505.5
27,198791.765625
28,4972381.5
29,4972381.5
30,3333333.5
31,8409180.0
32,828999.8125
33,3333333.5
34,108675.4296875
35,4972381.5
36,108675.4296875
37,108675.4296875
38,108675.4296875
39,3333333.5
40,3333333.5
41,4895998.0
42,7324499.0
43,1739333.0
44,108675.4296875
45,1783053.0
46,3333333.5
47,55238.171875
48,3501866.25
49,500090.3125
50,4311769.5
51,2809581.5
52,4972381.5
53,3709574.75
54,108675.4296875
55,108675.4296875
56,3333333.5
57,145269.578125
58,108675.4296875
59,8864077.0
60,47639.88671875
61,3333333.5
62,8032828.5
63,108675.4296875
64,4972381.5
65,108675.4296875
66,1224537.5
67,54084.71484375
68,4868765.0
69,4749093.5
70,55084.0703125
71,4972381.5
72,55238.171875
73,2815652.25
74,3333333.5
75,4525116.0
76,4972381.5
77,257582.84375
78,4879549.5
79,3333333.5
80,5223676.5
81,43741.5625
82,108675.4296875
83,55542.95703125
84,4972380.5
85,64652.6640625
86,3899727.75
87,3350717.25
88,3333333.5
89,7887612.0
90,9776815.0
91,55238.171875
92,3333333.5
93,5026517.0
94,3333333.5
95,55238.171875
96,4972381.5
97,3333333.5
98,3766645.5
99,9119891.0
100,332898.3125
101,6327730.0
102,3333333.5
103,83476.34375
104,9782649.0
105,9305223.0
106,55238.171875
107,3734155.5
108,4972381.5
109,4947769.0
110,118937.2578125
111,7068553.0
112,55238.171875
113,3897891.25
114,204257.53125
115,108675.4296875
116,3333333.5
117,4894558.0
118,9711609.0
119,27347.107421875
120,864904.8125
121,4971132.0
122,552723.3125
123,108675.4296875
124,950238.75
125,55238.171875
126,108675.4296875
127,873132.0625
128,113869.703125
129,4972381.5
130,49264.73046875
131,108675.4296875
132,5466185.0
133,4745515.5
134,3855108.25
135,4972381.5
136,4972380.5
137,9778104.0
138,55238.171875
139,8490773.0
140,140515.703125
141,109643.0546875
142,3333333.5
143,7327806.0
144,220435.34375
145,275102.53125
146,8617337.0
147,3219366.0
148,108675.4296875
149,285257.0625
150,4914937.5
151,61260.62109375
152,30679.0
153,3333333.5
154,835485.875
155,4926040.0
156,7751959.5
157,108675.4296875
158,4442801.5
159,170268.28125
160,941010.0625
161,8063357.0
162,5385064.5
163,603179.625
164,194080.140625
165,221568.125
166,1838387.75
167,2009147.875
168,949222.3125
169,76733.9140625
170,54589.9765625
171,303651.71875
172,1098003.25
173,254336.203125
174,54216.10546875
175,178113.15625
176,3497304.0
177,2665093.0
178,1837267.25
179,1138462.625
180,4346665.0
181,1363670.5
182,2814032.75
183,2962186.25
184,1488739.875
185,4008696.0
186,1589643.25
187,2131450.0
188,3085973.75
189,3029038.5
190,8773320.0
191,9636503.0
192,7759865.0
193,436714.5625
194,205471.4375
195,1103220.375
196,8239671.0
197,9782448.0
198,9596404.0
199,3200551.25
200,2631127.5
201,3452778.5
202,368681.8125
203,75163.7421875
204,376663.53125
205,2005969.0
206,8583639.0
207,7089887.5
208,1291993.375
209,1177488.875
210,4276707.0
211,2016362.875
212,3249512.25
213,1849830.125
214,1031780.6875
215,2749993.5
216,2366987.25
217,543247.25
218,525543.75
219,3473633.75
220,3140321.0
221,207764.828125
222,105706.5078125
223,365804.90625
224,2595838.0
225,2898956.25
226,291948.90625
227,627485.5
228,5432060.0
229,6886930.5
230,1395649.5
231,1958871.875
232,3055412.0
233,6633032.5
234,4457909.0
235,1126362.875
236,1206533.75
237,852301.5
238,2918673.5
239,2904732.5
240,1574534.75
241,3745183.0
242,2187502.0
243,1680271.875
244,3992155.0
245,3488447.0
246,886181.875
247,624312.625
248,3440669.5
249,8974431.0
250,8955953.0
251,9220535.0
252,7629147.0
253,4903410.0
254,4023900.75
255,3333333.5
256,2003901.75
257,773484.5625
258,2889181.75
259,4854824.0
260,3333333.5
261,2650980.0
262,3116534.75
263,3333333.5
264,2867782.75
265,1937225.5
266,3956929.5
267,4501397.5
268,1037266.75
269,3600382.5
270,4651964.5
271,4674692.0
272,2987747.5
273,3008763.5
274,4390099.5
275,4428937.0
276,1661094.0
277,1686988.375
278,5780044.0
279,6137534.5
280,2288984.75
281,2273633.75
282,2157682.75
283,1453929.125
284,2513660.5
285,4556815.0
286,1321789.875
287,1780228.875
288,6730448.5
289,5123951.0
290,3194320.75
291,4783344.5
292,5399226.5
293,4080126.5
294,3333333.5
295,3012763.0
296,253690.125
297,224861.5625
298,1334285.875
299,3871083.5
300,3333333.5
301,3029632.5
302,1069764.125
303,1608412.25
304,2042962.875
305,3333333.5
306,3224002.0
307,4754835.5
308,4866128.5
309,4445385.5
310,407155.46875
311,699203.25
312,3570770.25
313,3876630.25
314,3333333.5
315,3626155.25
316,4299571.0
317,3333333.5
318,1434900.125
319,1437182.375
320,2640538.5
321,1545795.625
322,1043697.375
323,1266395.875
324,1427227.25
325,3333333.5
326,3333333.5
327,1033767.25
328,2855996.5
329,2578544.5
330,2452791.25
331,1538851.5
332,1510560.125
333,3231868.75
334,4122184.75
335,4111957.75
336,6296494.5
337,1797131.0
338,1222853.625
339,2337015.25
340,5851132.5
341,3418876.75
342,1161444.625
343,633597.8125
344,662810.9375
345,1714404.125
346,2720777.75
347,2118410.5
348,2482157.75
349,1788992.75
350,4572513.0
351,6022492.0
352,2178141.75
353,1306877.25
354,1714804.375
355,4046086.75
356,3993684.25
357,2016223.5
358,2834447.5
359,4538988.5
360,1594072.0
361,1581977.0
362,3774757.75
363,2552431.75
364,1357465.125
365,1987980.625
366,4468654.0
367,3532941.75
368,1341288.0
369,943816.0
370,4340383.5
371,2264353.25
372,626226.875
373,972343.625
374,5207859.5
375,4427309.5
376,1180146.375
377,1288979.375
378,4893444.0
379,3939902.75
380,970285.1875
381,1570703.125
382,5013414.5
383,4833649.5
384,1439043.0
385,1895799.625
386,4419422.0
387,4634688.5
388,3408380.25
389,1621087.0
390,3281413.0
391,1863122.0
392,658088.5625
393,669263.6875
394,1913523.625
395,1134169.0
396,624268.0625
397,667944.875
398,673606.625
399,2293823.25
400,3714705.0
401,4281349.0
402,1287276.5
403,1258649.25
404,3269093.25
405,5571121.5
406,3686919.25
407,514019.25
408,235837.328125
409,751945.0625
410,4282059.5
411,8029369.0
412,4292921.5
413,1067255.625
414,874875.1875
415,1239035.25
416,4295829.5
417,3761704.5
418,3398455.75
419,2733025.0
420,3238620.75
421,2507941.75
422,3682561.5
423,2631341.75
424,1117659.75
425,3296242.0
426,2944316.0
427,1569116.125
428,1599322.0
429,1193011.375
430,1946776.375
431,3535891.5
432,2919571.0
433,1110222.25
434,644481.375
435,1550927.5
436,5091393.0
437,4012903.0
438,1697365.625
439,917154.9375
440,2007029.625
441,5285178.5
442,5166679.5
443,3366916.25
444,793350.9375
445,588708.6875
446,891553.375
447,4933151.5
448,4061001.25
449,1905920.625
450,1666171.5
451,1641139.375
452,2836053.0
453,3713025.25
454,2895707.25
455,977130.1875
456,646378.5
457,1572649.625
458,3131203.75
459,2246998.0
460,446377.1875
461,540402.375
462,1917862.625
463,7408708.5
464,8879064.0
465,8048587.5
466,4344202.0
467,522471.34375
468,342167.3125
469,652711.5625
470,2798478.5
471,6955361.0
472,6998448.0
473,5829620.0
474,7503885.0
475,1728361.75
476,798285.25
477,865092.8125
478,1620518.75
479,4772099.5
480,6897987.5
481,3191851.5
482,1341251.875
483,2622576.75
484,2991876.5
485,1902779.5
486,2259775.5
487,2027292.25
488,7007125.0
489,7242213.5
490,6443368.0
491,2667552.0
492,1645254.5
493,667099.1875
494,3274714.25
495,2967626.5
496,3742648.25
497,3062608.25
498,1610182.25
499,1352084.0
500,1151910.875
501,2835797.0
502,5022130.0
503,4695145.0
504,1625525.25
505,1511534.5
506,1827274.5
507,1451117.0
508,1428071.5
509,3172946.75
510,2512441.5
511,3051089.0
512,3019312.25
513,1350784.25
514,2873833.25
515,5009649.0
516,4433404.0
517,2107981.5
518,2519314.0
519,1498827.875
520,2442113.0
521,1054692.5
522,1143794.125
523,1711234.5
524,2507066.75
525,1252532.0
526,2056395.125
527,821301.5625
528,1495626.625
529,3771891.25
530,3441112.75
531,1389738.875
532,2435643.5
533,3082074.5
534,3365318.0
535,1621465.375
536,1869646.125
537,3865447.0
538,3904503.25
539,1860465.375
540,2116703.75
541,4014729.25
542,3993845.5
543,905610.5625
544,1074169.375
545,2660951.0
546,3579965.5
547,2787917.25
548,2688436.25
549,1127955.75
550,529088.3125
551,795331.875
552,1493462.0
553,2203734.5
554,4752801.5
555,3616790.25
556,3337025.75
557,1228248.875
558,476993.3125
559,434221.84375
560,1186967.5
561,5470213.5
562,7299358.0
563,6541916.0
564,3187946.75
565,657165.5625
566,283972.59375
567,315551.0625
568,1262820.5
569,4892549.5
570,3847493.0
571,2129551.25
572,1359871.0
573,1682198.5
574,3256167.75
575,3169065.75
576,2650526.5
577,2684639.5
578,1954964.75
579,2235242.0
580,2972751.75
581,3139851.5
582,2560303.5
583,1342840.375
584,1397289.625
585,2821648.75
586,2586302.25
587,1772118.75
588,1319329.625
589,2405817.75
590,4272095.0
591,3069287.0
592,740098.0
593,553740.0625
594,1302796.75
595,4527647.0
596,5647465.0
597,5623044.5
598,1336650.5
599,1358194.75
600,508480.34375
601,2417980.0
602,3230792.5
603,2869726.0
604,3107811.25
605,1403882.5
606,1500143.0
607,1669993.75
608,2011528.875
609,3603167.75
610,4533166.5
611,2667735.0
612,984972.0625
613,1300777.25
614,3044869.5
615,3229382.25
616,1474438.0
617,1456282.75
618,2547219.0
619,1703864.625
620,1769127.75
621,2071090.25
622,1113816.625
623,1049843.0
624,2767055.25
625,2577935.5
626,1393849.0
627,1512237.625
628,2536670.0
629,2793834.5
630,1661551.625
631,1320434.625
632,2220818.75
633,1375431.625
634,962628.1875
635,834943.5625
636,1555806.125
637,1699525.25
638,769130.6875
639,820040.375
640,1859917.25
641,2275754.75
642,1270276.75
643,1555724.75
644,2689045.25
645,1765042.875
646,987543.8125
647,1314491.0
648,3159964.0
649,2310025.5
650,971146.8125
651,715446.1875
652,701345.5
653,1666331.875
654,2215381.0
655,1682173.625
656,1271758.125
657,1894910.125
658,2623210.75
659,2311043.0
660,1339792.875
661,1097607.75
662,1903747.375
663,2826540.5
664,2172456.0
665,1290125.375
666,829541.6875
667,1857767.375
668,3228272.75
669,4153362.0
670,4430751.0
671,2016153.125
672,576324.375
673,380555.21875
674,352384.15625
675,1459013.375
676,3144319.25
677,4633583.5
678,2876261.5
679,1107331.25
680,495510.90625
681,592260.375
682,593833.75
683,1682890.25
684,3183569.25
685,3020613.5
686,2813055.75
687,3954849.75
688,2848794.5
689,2247249.0
690,3272103.25
691,3675653.75
692,1905084.375
693,1434929.375
694,3424918.25
695,1669975.25
696,2424718.25
697,1969453.5
698,816691.125
699,2115173.25
700,1220964.75
