Step,Value
0,1379.0
1,1.0
2,0.0
3,1393.0
4,1433.0
5,1430.0
6,1407.0
7,1411.0
8,1372.0
9,1355.0
10,1.0
11,1371.0
12,1.0
13,1405.0
14,1.0
15,1433.0
16,1436.0
17,1.0
18,1433.0
19,1435.0
20,1468.0
21,1472.0
22,1498.0
23,1487.0
24,1519.0
25,1529.0
26,1.0
27,1434.0
28,1489.0
29,1516.0
30,1515.0
31,1498.0
32,1.0
33,1503.0
34,1519.0
35,1475.0
36,1464.0
37,1517.0
38,0.0
39,1541.0
40,1525.0
41,1524.0
42,1487.0
43,1558.0
44,1516.0
45,27.0
46,1550.0
47,1532.0
48,1498.0
49,0.0
50,1487.0
51,1464.0
52,1460.0
53,1456.0
54,0.0
55,0.0
56,1455.0
57,1432.0
58,0.0
59,1385.0
60,1412.0
61,1363.0
62,0.0
63,1375.0
64,1.0
65,1450.0
66,1508.0
67,1468.0
68,1459.0
69,1438.0
70,0.0
71,1467.0
72,1.0
73,1472.0
74,1498.0
75,1481.0
76,1505.0
77,1512.0
78,1458.0
79,1500.0
80,0.0
81,1561.0
82,1547.0
83,1518.0
84,0.0
85,0.0
86,0.0
87,1509.0
88,1511.0
89,1474.0
90,1.0
91,1467.0
92,1472.0
93,1432.0
94,1484.0
95,1487.0
96,1438.0
97,1457.0
98,1416.0
99,0.0
100,1427.0
101,1440.0
102,1426.0
103,1456.0
104,1425.0
105,1441.0
106,1327.0
107,1454.0
108,1442.0
109,5.0
110,1445.0
111,1430.0
112,1433.0
113,1390.0
114,1355.0
115,1.0
116,1363.0
117,1422.0
118,4.0
119,1380.0
120,1390.0
121,1401.0
122,3.0
123,1444.0
124,1447.0
125,1453.0
126,0.0
127,0.0
128,1446.0
129,5.0
130,1463.0
131,1421.0
132,10.0
133,1439.0
134,1501.0
135,1488.0
136,1434.0
137,1418.0
138,1430.0
139,1378.0
140,1408.0
141,1417.0
142,1298.0
143,1356.0
144,1364.0
145,1400.0
146,1332.0
147,1436.0
148,1367.0
149,0.0
150,1442.0
151,1410.0
152,1422.0
153,1429.0
154,1414.0
155,1387.0
156,1.0
157,0.0
158,1512.0
159,1501.0
160,1484.0
161,1521.0
162,1473.0
163,1471.0
164,1494.0
165,1488.0
166,1568.0
167,1595.0
168,1598.0
169,1646.0
170,1652.0
171,1546.0
172,1.0
173,1492.0
174,1531.0
175,1542.0
176,1470.0
177,1528.0
178,1515.0
179,1499.0
180,0.0
181,0.0
182,0.0
183,0.0
184,1446.0
185,1461.0
186,1469.0
187,1454.0
188,1443.0
189,1442.0
190,1442.0
191,1449.0
192,1326.0
193,0.0
194,1420.0
195,0.0
196,1382.0
197,1303.0
198,1461.0
199,1318.0
200,0.0
201,0.0
202,1428.0
203,1469.0
204,1447.0
205,1497.0
206,1483.0
207,1487.0
208,7.0
209,0.0
210,0.0
211,1494.0
212,1425.0
213,1519.0
214,1.0
215,1514.0
216,1522.0
217,1551.0
218,1525.0
219,1515.0
220,3.0
221,1549.0
222,1522.0
223,1506.0
224,0.0
225,1483.0
226,1476.0
227,1477.0
228,1421.0
229,1414.0
230,1422.0
231,1420.0
232,1415.0
233,1421.0
234,0.0
235,1362.0
236,1352.0
237,1351.0
238,1356.0
239,1347.0
240,1325.0
241,1330.0
242,1398.0
243,1.0
244,1406.0
245,1426.0
246,1415.0
247,0.0
248,1449.0
249,1501.0
250,1519.0
251,1508.0
252,1520.0
253,1526.0
254,1518.0
255,1456.0
256,1455.0
257,1397.0
258,1488.0
