Step,Value
0,55238.1640625
1,9053844.0
2,4620971.0
3,3333333.5
4,1045158.5
5,3831213.75
6,495750.21875
7,46161.12890625
8,55171.4375
9,9090127.0
10,9782631.0
11,1674445.625
12,113194.828125
13,279344.90625
14,4972381.5
15,1271023.625
16,108675.4296875
17,9782649.0
18,344307.59375
19,115005.4375
20,3371969.75
21,28632.978515625
22,3333333.5
23,9154428.0
24,5095218.0
25,877985.4375
26,1920024.5
27,1405930.125
28,35471.80859375
29,40638.7578125
30,1308913.625
31,55237.8671875
32,178656.65625
33,2000776.875
34,33063.33984375
35,6287988.5
36,148654.546875
37,4311373.0
38,4972381.5
39,52082.3203125
40,6916339.5
41,3607372.0
42,32735.626953125
43,2610440.5
44,1185812.625
45,93620.7421875
46,4223099.5
47,140750.484375
48,3704617.25
49,4972381.5
50,52225.60546875
51,128504.9140625
52,50534.703125
53,54811.32421875
54,9733447.0
55,7075922.5
56,108675.4296875
57,635155.0
58,108675.4296875
59,74677.125
60,5491913.0
61,920620.125
62,9782649.0
63,3334281.5
64,9782649.0
65,790563.125
66,489370.1875
67,4853105.0
68,5282522.0
69,6170488.5
70,90191.4453125
71,1715560.75
72,111671.03125
73,4307444.5
74,4972381.5
75,5023687.5
76,3498548.0
77,112404.484375
78,47016.23046875
79,9473673.0
80,9501957.0
81,1040210.375
82,4972381.5
83,98436.9140625
84,5662605.0
85,9762461.0
86,152196.71875
87,97639.6171875
88,435317.21875
89,9411338.0
90,5524949.0
91,437197.8125
92,4495975.0
93,343000.875
94,9599848.0
95,57338.453125
96,108675.484375
97,4972381.5
98,330299.8125
99,4963334.0
100,2951908.5
101,156633.265625
102,4972381.5
103,4930950.5
104,8102110.5
105,2348924.0
106,9629385.0
107,4972381.5
108,4693593.0
109,174382.109375
110,729878.75
111,2709652.25
112,6151407.0
113,1634920.375
114,8222421.0
115,9770201.0
116,4972381.5
117,5952933.5
118,7389003.5
119,9653736.0
120,4603557.0
121,8253216.5
122,7913242.0
123,9763539.0
124,6487279.5
125,4331728.0
126,117795.828125
127,6351304.5
128,8903502.0
129,9782649.0
130,6668316.5
131,7811612.5
132,9781650.0
133,9492844.0
134,6340014.5
135,9268854.0
136,9622675.0
137,7368387.0
138,9776210.0
139,9743335.0
140,9735951.0
141,2509465.75
142,9782565.0
143,9696400.0
144,5232042.5
145,2553134.5
146,6564899.0
147,9752382.0
148,9782116.0
149,9749487.0
150,9782649.0
151,9739556.0
152,1017185.0
153,5420374.5
154,9764853.0
155,8005715.5
156,9782051.0
157,6051882.0
158,9566765.0
159,9340042.0
160,8663398.0
161,9781672.0
162,9740346.0
163,5527541.0
164,3441694.75
165,9631891.0
166,9105124.0
167,8701553.0
168,9765255.0
169,9739693.0
170,8654172.0
171,9771430.0
172,9669842.0
173,9778852.0
174,9676054.0
175,9569565.0
176,9709439.0
177,9490252.0
178,8637064.0
179,9527897.0
180,9780915.0
181,9669456.0
182,9737396.0
183,8445751.0
184,9668960.0
185,9769590.0
186,9675847.0
187,9779733.0
188,9762621.0
189,7031242.5
190,9666308.0
191,9704140.0
192,9735727.0
193,9773162.0
194,9060421.0
195,9741598.0
196,9465787.0
197,9720757.0
198,6438539.5
199,9729725.0
200,9779769.0
201,9758195.0
202,9664161.0
203,9781934.0
204,9736534.0
205,9223799.0
206,9180775.0
207,9629165.0
208,9772556.0
209,9772314.0
210,9760069.0
211,9617106.0
212,9765688.0
213,9437246.0
214,9782056.0
215,9748448.0
216,9703302.0
217,9661618.0
218,9615797.0
219,9137526.0
220,9774017.0
221,9697445.0
222,9734941.0
223,9765680.0
224,9779783.0
225,9496110.0
226,9583833.0
227,9588256.0
228,8557579.0
229,8545186.0
230,9566318.0
231,9166293.0
232,9647795.0
233,9674931.0
234,9695565.0
235,9626539.0
236,9465773.0
237,9417987.0
238,9550105.0
239,9566798.0
240,9320529.0
241,9666608.0
242,9662613.0
243,9756436.0
244,9689817.0
245,9561050.0
246,9448712.0
247,9731811.0
248,9666070.0
249,9678484.0
250,8881477.0
251,9686329.0
252,9744793.0
253,9492079.0
254,9640265.0
255,9536182.0
256,9764830.0
257,9736621.0
258,9666047.0
259,9644923.0
260,9461089.0
261,9753435.0
262,9631267.0
263,9464141.0
264,9479395.0
265,9559509.0
266,9424883.0
267,9674928.0
268,7548128.5
269,9631852.0
270,9738836.0
271,9657903.0
272,9641640.0
273,9608896.0
274,9298763.0
275,9611610.0
276,9385326.0
277,9560879.0
278,9573210.0
279,9603875.0
280,9679479.0
281,9608976.0
282,9679693.0
283,9585992.0
284,8984106.0
285,9532775.0
286,9517460.0
287,9671406.0
288,9421151.0
289,9682569.0
290,9693442.0
291,9699875.0
292,9714004.0
293,9458892.0
