Step,Value
0,1087337.375
1,52337.44140625
2,5670897.0
3,6376409.5
4,4611825.5
5,109297.4453125
6,3578777.25
7,55077.14453125
8,6747971.0
9,9782649.0
10,3720325.25
11,2522563.25
12,1079704.0
13,3744775.75
14,5508454.0
15,9678288.0
16,1600161.375
17,7767516.5
18,9764617.0
19,123815.265625
20,127990.9921875
21,108675.3671875
22,492732.25
23,751355.9375
24,53159.47265625
25,9538964.0
26,9352363.0
27,36987.15625
28,9782572.0
29,108675.4296875
30,3668898.25
31,149763.296875
32,83909.453125
33,9637415.0
34,4787188.5
35,113534.9609375
36,75825.875
37,4674052.0
38,8409986.0
39,3528628.0
40,187809.3125
41,9571751.0
42,33621.19140625
43,53898.66015625
44,564345.4375
45,53928.14453125
46,7137309.5
47,5729267.0
48,54700.41015625
49,9781786.0
50,9777632.0
51,9778318.0
52,7793389.0
53,59080.4765625
54,4833868.0
55,5542665.5
56,4972380.5
57,5502221.0
58,1913471.875
59,612079.0625
60,4898667.5
61,9782649.0
62,673472.875
63,50040.38671875
64,9766307.0
65,1223700.25
66,4017177.0
67,82818.1171875
68,211930.796875
69,3464937.75
70,3333333.5
71,586293.25
72,4020253.0
73,4531007.0
74,848918.3125
75,5922267.0
76,140768.75
77,49929.55859375
78,3668055.5
79,162658.890625
80,40934.55078125
81,675505.625
82,5922596.5
83,108675.4296875
84,3080595.25
85,1583559.25
86,119998.7890625
87,9782646.0
88,9502620.0
89,54340.96484375
90,267535.25
91,9736605.0
92,51472.66796875
93,1292705.5
94,79271.84375
95,916715.3125
96,55238.171875
97,663861.875
98,173316.703125
99,5910361.0
100,115183.9921875
101,66537.390625
102,4143810.75
103,674483.5
104,1034925.5625
105,90012.328125
106,8400343.0
107,48202.29296875
108,9470586.0
109,1671393.125
110,6751651.0
111,130079.9453125
112,469962.5
113,9604368.0
114,9727569.0
115,1868235.875
116,283896.46875
117,9542980.0
118,1790708.125
119,2329721.5
120,601272.9375
121,1339761.625
122,72448.375
123,225523.640625
124,3859231.5
125,48007.171875
126,1032734.8125
127,141248.6875
128,1914858.125
129,6685602.5
130,2755077.25
131,8082999.5
132,2504694.75
133,3053382.0
134,163999.03125
135,3219539.5
136,837948.875
137,2052850.125
138,49592.390625
139,6349234.5
140,3152606.75
141,1655274.625
142,9720852.0
143,90846.1953125
144,159417.484375
145,129737.203125
146,282644.25
147,123297.5234375
148,3061855.5
149,7101609.0
150,56928.38671875
151,760523.375
152,75675.8046875
153,72637.515625
154,61922.9453125
155,4495578.0
156,66701.9296875
157,37865.68359375
158,3235967.25
159,4252563.0
160,1473630.375
161,621065.0
162,201153.453125
163,710777.6875
164,3001105.25
165,7019114.0
166,785904.4375
167,1212649.375
168,824154.6875
169,6900784.5
170,9626454.0
171,212338.625
172,114395.703125
173,2799135.75
174,136815.578125
175,265822.625
176,6620367.0
177,41530.66015625
178,429754.59375
179,168609.171875
180,681390.5625
181,479358.625
182,2934582.5
183,121460.9921875
184,250009.03125
185,254609.34375
186,6458918.5
187,108320.1953125
188,65423.66796875
189,7268880.0
190,304894.21875
191,9725122.0
192,7359635.0
193,8184511.5
194,613637.8125
195,3715668.25
196,996777.5625
197,2522427.25
198,2154719.25
199,141788.59375
200,5237090.5
201,124879.6015625
202,70583.984375
203,138040.3125
204,193123.296875
205,378728.78125
206,3324867.25
207,4665176.0
208,323491.875
209,292403.90625
210,52639.67578125
211,8440935.0
212,630772.3125
213,157520.71875
214,250540.796875
215,278412.875
216,9196359.0
217,2159080.0
218,155991.328125
219,694130.875
220,171940.375
221,7622388.0
222,1432220.875
223,3178723.25
224,1171892.0
225,6735207.5
226,6023235.5
227,426591.15625
228,58944.62109375
229,88815.3359375
230,1473037.5
231,1440588.875
232,307350.46875
233,757310.5625
234,763670.1875
235,1894670.625
236,1683003.625
237,1738478.125
238,77448.8359375
239,3296767.75
240,2665589.5
241,5193935.5
242,3265794.0
243,1914655.25
244,3317483.75
245,6798072.0
246,192080.40625
247,1006966.375
248,149251.5625
249,5148037.0
250,7888294.0
251,1144288.0
252,3913379.25
253,1671530.5
254,703831.9375
255,374159.1875
256,1174699.25
257,266446.71875
258,1577224.625
259,4401170.5
260,6125934.5
261,3121368.5
262,1410892.75
263,4375117.0
264,5780245.0
265,998648.375
266,649695.0
267,2132400.5
268,661489.8125
269,306865.53125
270,5343056.5
271,315983.9375
272,522850.90625
273,686607.875
274,3460403.75
275,64259.89453125
276,563093.8125
277,2853229.25
278,1192760.375
279,2287167.5
280,7193050.0
281,2993223.25
282,1016395.1875
283,6603176.0
284,144636.21875
285,115884.6328125
286,5904730.0
287,5029440.5
288,1862611.625
289,271335.46875
290,1637141.375
291,1654043.5
292,5945682.0
293,5573363.5
294,7166444.5
295,994762.125
296,1127859.625
297,3986759.5
298,131164.578125
299,1780377.875
300,456456.28125
301,3005120.25
302,5742076.5
303,408405.375
304,384018.75
305,775605.8125
306,1047330.9375
307,1204643.375
308,1329618.0
309,332841.46875
310,4746035.5
311,3158546.0
312,2296656.25
313,3733372.75
314,4892865.5
315,1843540.625
316,1194756.625
317,2305065.5
318,3494654.25
319,935726.0
320,6629807.0
321,3404762.25
322,8520814.0
323,6898834.5
324,5662288.5
325,1560463.625
326,943236.5
327,1058507.125
328,2247653.5
329,1070651.375
330,622568.6875
331,2792207.5
332,2550671.0
333,2202997.25
334,1342888.625
335,1285807.25
336,181492.4375
337,720188.0
338,1003686.6875
339,666799.6875
340,3534903.5
341,4235360.5
342,2180525.0
343,3987423.25
344,3952776.75
345,1064334.625
346,579566.375
347,3821347.75
348,7578990.0
349,6380055.5
350,1930022.625
351,1727239.375
352,431062.59375
353,246486.984375
354,1735869.625
355,3258611.75
356,782889.625
357,5302156.0
358,870846.875
359,1574232.125
360,1032598.1875
361,5185945.0
362,4224396.0
363,6681506.5
364,4751527.0
365,3566375.75
366,2332048.0
367,7138524.5
368,1279365.0
369,3371469.0
370,2374523.75
371,5052830.5
372,3411910.75
373,5690595.5
374,1192596.125
375,1423137.0
376,1404205.0
377,853126.5625
378,2579040.5
379,2573081.0
380,1226726.875
381,2948433.75
382,1447304.25
383,2483833.25
384,2668633.75
385,4710475.0
