Step,Value
0,2327839.25
1,2327839.25
2,4540034.5
3,4675914.5
4,2410111.5
5,2380915.0
6,4564128.5
7,151209.578125
8,4214911.0
9,4958120.0
10,2366138.5
11,4443678.0
12,4887000.5
13,4924228.5
14,5024215.5
15,2394284.25
16,4640139.5
17,4462845.5
18,2313534.25
19,2279106.5
20,3758447.25
21,4152568.75
22,2366531.75
23,4560738.0
24,5076234.0
25,5352505.5
26,157158.9375
27,7090.650390625
28,4444750.5
29,2318824.0
30,2250969.0
31,3871897.25
32,4582744.0
33,4392086.5
34,4656793.5
35,4665976.5
36,2354228.0
37,2337449.0
38,4612420.5
39,4823666.0
40,2364295.75
41,5447194.5
42,5855801.5
43,6075624.0
44,5571452.5
45,141108.765625
46,4591694.0
47,6265847.0
48,6754625.5
49,5962732.5
50,2430420.0
51,2323554.0
52,2350373.25
53,4866195.0
54,5701991.0
55,5636933.5
56,5544723.0
57,2397608.0
58,2263883.0
59,2298837.25
60,4243907.0
61,3826577.75
62,2291163.75
63,3892868.0
64,4210642.0
65,2396011.75
66,4186212.75
67,4049808.75
68,4185737.0
69,4224208.5
70,4523612.0
71,4369005.5
72,4688071.0
73,4697495.5
74,4781691.5
75,4517413.0
76,4766876.5
77,4830216.0
78,4488928.0
79,4694116.5
80,2362914.0
81,4200445.5
82,4909289.0
83,2356344.25
84,5165275.5
85,6242590.5
86,6515994.0
87,6580988.0
88,2421064.0
89,6009101.0
90,6801239.5
91,6493212.5
92,2392737.5
93,4589181.5
94,5181603.0
95,5404756.5
96,5586301.0
97,5181831.0
98,5339499.5
99,5374474.0
100,5694334.0
101,5356914.0
102,5245439.0
103,5286918.0
104,2377742.0
105,5146617.0
106,5444600.0
107,5778979.0
108,6367161.0
109,6188086.5
110,5660797.0
111,6088424.5
112,5607712.0
113,5678954.0
114,2519590.25
115,67872.015625
116,4310641.0
117,5200839.0
118,2419116.75
119,3636845.25
120,2347523.25
121,3963131.0
122,4764912.5
123,4418245.5
124,2323975.0
125,49036.453125
126,3716587.25
127,4016392.25
128,3197030.5
129,4055274.25
130,4671986.0
131,4430231.0
132,4381207.0
133,4211730.5
134,4532778.0
135,4648849.0
136,5051503.5
137,5165611.5
138,5065584.0
139,4785933.0
140,163746.953125
141,4754566.0
142,5100721.5
143,2352246.75
144,2225692.0
145,4525486.0
146,5483239.0
147,2347938.0
148,2266653.0
149,2212221.25
150,4923536.0
151,5992939.0
152,5438006.5
153,5828198.5
154,2396701.5
155,5281440.5
156,5451878.0
157,6216218.0
158,6084041.0
159,6034308.5
160,5481481.5
161,4846000.5
162,5275472.5
163,5128542.5
164,5011713.0
165,2336871.5
166,4444411.5
167,4671616.0
168,5187774.0
169,5713623.0
170,5547650.0
171,5567849.0
172,5717321.0
173,5932470.0
174,5761021.0
175,5881810.5
176,5538590.5
177,5565480.0
178,5773267.5
179,5807562.5
180,5629686.0
181,5810844.0
182,4979378.5
183,4792938.0
184,4758581.0
185,4693468.5
186,4885989.0
187,4728868.0
188,4559825.5
189,4671486.0
190,4769726.5
191,5013433.0
192,4868520.5
193,5292420.0
194,5402085.0
195,5544174.0
196,6032796.5
197,5992788.5
198,6245921.0
199,6495936.0
200,6743947.5
201,7247535.0
202,222179.125
203,5923508.0
204,2519381.25
205,6279045.0
206,6553982.0
207,6529316.5
208,6832506.5
209,6804143.0
210,2427810.0
211,5927631.5
212,5983150.5
213,6247882.0
214,6429448.0
215,5375353.5
216,2410249.75
217,4110788.5
218,3933799.25
219,4439833.5
220,4705301.0
221,4369287.0
222,4366629.0
223,4322190.5
224,3898151.25
225,3990300.0
226,4418024.5
227,4341333.5
228,4148096.25
229,4341499.5
230,4544459.0
231,4507119.5
232,4527944.0
233,5419790.0
234,167162.6875
235,5317952.5
236,5754846.0
237,6347129.5
238,5974625.0
239,6089585.0
240,6496108.0
241,6290556.5
242,6259232.5
243,6198750.5
244,5308529.5
245,4769273.0
246,2403055.25
247,4251653.5
248,4139656.5
249,3997095.25
250,4083232.5
251,4421910.0
252,4319512.0
253,3813802.25
254,4273242.5
255,4567476.5
256,3921340.25
257,4205003.5
258,2339388.0
259,4147931.5
260,4509187.5
261,4389544.0
262,4831805.5
263,2389712.5
264,3927552.75
265,4367968.5
266,4606661.0
267,4627067.5
268,4676077.0
269,4788210.5
270,5284144.5
271,5494712.0
272,5686841.0
273,5870661.5
274,5459379.0
275,5334203.5
276,5464601.0
277,5834631.0
278,5325445.5
279,5154202.0
280,5125103.5
281,5093049.0
282,4897701.0
283,4858408.0
284,4488203.0
285,4527821.5
286,4164944.0
287,4051560.5
288,4432360.5
289,4629327.5
290,4886643.0
291,4838461.5
292,4923489.5
293,5060697.0
294,5154370.0
295,4986057.5
296,4951539.5
297,5717179.5
298,5546145.5
299,5763940.5
300,5587367.0
301,5475886.5
302,5764331.0
303,2366717.5
304,4764083.5
305,4995689.5
306,4716382.5
307,4459748.5
308,4648192.5
309,5110757.5
310,2363390.5
311,4415619.5
312,4826541.0
313,4681360.5
314,4294906.5
315,4475993.0
316,4968809.5
317,5185094.5
318,5377943.5
319,5605839.5
320,5794357.5
321,6123312.5
322,5927646.5
323,5670636.5
324,5296453.5
325,5720480.5
326,5450525.0
327,5373546.5
328,5793691.0
329,6154997.5
330,6421504.5
331,6250919.0
332,6485516.5
333,6136771.0
334,6116241.5
335,5863667.5
336,6228227.5
337,5346774.5
338,5235296.0
339,5376249.5
340,4934903.5
341,4134982.5
342,4220301.5
343,4117433.5
344,4366518.5
345,4714463.5
346,4705963.0
347,4522457.0
348,4384803.0
349,4047164.0
350,2341101.75
351,4322853.0
352,4373593.0
353,4518020.5
354,4575437.0
355,4800185.5
356,4715307.5
357,5617653.0
358,5943125.0
359,6014365.0
360,5835087.0
361,5901924.0
362,5780069.0
363,5705237.0
364,5933879.5
365,5934058.0
366,5761850.5
367,5554860.5
368,4872192.5
369,4667406.5
370,4770726.5
371,4535185.0
372,4315019.0
373,4241726.5
374,4476648.5
375,4291182.5
376,3827510.75
377,3677720.75
378,4063807.75
379,4124495.75
380,3983037.25
381,4095275.25
382,4674037.5
383,4677005.5
384,4937984.0
385,5467844.0
386,5941035.5
387,5880909.5
388,5618274.5
389,6221497.5
390,6766242.5
391,6088466.5
392,5979190.5
393,6155262.0
394,6143943.0
395,6005137.5
396,5949321.0
397,5745606.5
398,6222988.5
399,5740138.5
400,5942930.5
401,5396659.5
402,4676186.0
403,4516550.5
404,4643962.0
405,3729771.5
406,3964179.5
407,4259867.5
408,4707262.0
409,4406095.0
410,4438115.0
411,4150023.75
412,4764419.0
413,4675473.0
414,5012189.0
415,5491773.5
416,5360230.5
417,5293140.5
418,6091151.0
419,6323289.5
420,6381703.5
421,6916581.0
422,7031864.5
423,6903764.5
424,6960666.5
425,7272846.5
426,7193827.0
427,7281163.5
428,7501309.5
429,7326868.5
430,7404826.5
431,6718537.5
432,6821773.5
433,6296264.5
434,5058901.0
435,4882342.5
436,4901780.0
437,4632666.5
438,4210959.5
439,3781508.0
440,3578611.75
441,3630285.75
442,3965167.75
