Step,Value
0,57548800.0
1,57548800.0
2,43468800.0
3,47257600.0
4,47001600.0
5,44800000.0
6,29337600.0
7,41779200.0
8,38604800.0
9,36812800.0
10,30259200.0
11,37068800.0
12,39884800.0
13,34355200.0
14,46131200.0
15,46899200.0
16,31539200.0
17,42240000.0
18,41164800.0
19,35174400.0
20,49049600.0
21,45465600.0
22,43673600.0
23,47411200.0
24,48537600.0
25,47104000.0
26,47308800.0
27,43468800.0
28,43622400.0
29,26624000.0
30,33792000.0
31,45977600.0
32,28006400.0
33,9984000.0
34,4966400.0
35,4659200.0
36,41779200.0
37,47667200.0
38,35788800.0
39,49561600.0
40,45209600.0
41,36812800.0
42,9625600.0
43,42649600.0
44,43776000.0
45,51097600.0
46,47718400.0
47,42137600.0
48,29798400.0
49,43622400.0
50,35840000.0
51,5990400.0
52,7680000.0
53,4761600.0
54,47104000.0
55,44697600.0
56,37836800.0
57,49459200.0
58,52326400.0
59,47616000.0
60,47155200.0
61,57139200.0
62,30515200.0
63,41369600.0
64,37580800.0
65,30822400.0
66,38707200.0
67,47155200.0
68,39475200.0
69,8243200.0
70,4505600.0
71,45977600.0
72,45004800.0
73,45619200.0
74,33280000.0
75,50688000.0
76,30310400.0
77,38092800.0
78,37427200.0
79,36403200.0
80,38246400.0
81,41625600.0
82,23705600.0
83,36505600.0
84,25907200.0
85,45312000.0
86,43110400.0
87,30003200.0
88,7372800.0
89,6809600.0
90,46899200.0
91,41932800.0
92,6144000.0
93,47923200.0
94,40396800.0
95,49254400.0
96,36659200.0
97,49152000.0
98,48332800.0
99,50688000.0
100,39526400.0
101,42854400.0
102,53401600.0
103,46950400.0
104,38809600.0
105,42035200.0
106,48025600.0
107,47667200.0
108,39424000.0
109,37120000.0
110,29900800.0
111,5836800.0
112,30054400.0
113,35891200.0
114,33075200.0
115,37376000.0
116,39014400.0
117,35993600.0
118,36403200.0
119,35993600.0
120,38502400.0
121,40704000.0
122,43622400.0
123,45926400.0
124,42956800.0
125,40448000.0
