Step,Value
0,4972380.5
1,836943.0625
2,5323928.0
3,3333333.5
4,1045158.5
5,385980.21875
6,7274161.5
7,7716131.0
8,4727390.5
9,31392.50390625
10,110094.2734375
11,41374.7265625
12,9782472.0
13,1049788.625
14,4972381.5
15,4591394.5
16,108675.4296875
17,108675.4296875
18,39901.75390625
19,102686.59375
20,3376990.75
21,9559212.0
22,3333333.5
23,51066.84375
24,2490138.5
25,3434967.0
26,7956903.5
27,8319137.0
28,405466.78125
29,284262.71875
30,37387.9140625
31,4988550.5
32,9755602.0
33,383038.46875
34,8980566.0
35,53283.84765625
36,79276.4765625
37,1377253.125
38,4972381.5
39,6635318.0
40,1898427.625
41,165450.875
42,9618491.0
43,3862201.75
44,4407094.0
45,9780290.0
46,4223099.5
47,4538155.5
48,5633063.5
49,4972381.5
50,6598165.0
51,96349.4609375
52,1509541.75
53,5591269.5
54,211192.046875
55,2847926.25
56,108675.4296875
57,8729689.0
58,9782649.0
59,6032274.0
60,1421676.125
61,37457.21484375
62,108716.9921875
63,155473.53125
64,108675.4296875
65,8305219.5
66,117364.3125
67,696532.75
68,566685.9375
69,3371674.5
70,9778960.0
71,45417.1796875
72,9782571.0
73,635416.5625
74,55238.171875
75,55235.2421875
76,531814.625
77,105067.4609375
78,9705722.0
79,224476.65625
80,466858.65625
81,1276909.375
82,55238.19921875
83,4397250.0
84,4282424.0
85,70348.6484375
86,9770398.0
87,120928.5234375
88,1983533.5
89,340189.15625
90,4376403.0
91,9007304.0
92,622542.5
93,9048698.0
94,39132.609375
95,6515286.5
96,108675.4296875
97,55238.171875
98,5279593.0
99,4968896.0
100,4257194.5
101,237296.171875
102,55238.171875
103,285094.21875
104,131230.828125
105,3082872.0
106,241274.40625
107,55238.171875
108,317019.0
109,9744259.0
110,2576759.5
111,3465744.25
112,3679654.25
113,203173.71875
114,108675.4296875
115,257358.03125
116,33687.03125
117,4199404.5
118,4763518.5
119,166952.703125
120,92428.640625
121,101727.703125
122,4212237.5
123,90187.734375
124,52546.4765625
125,88552.375
126,9782641.0
127,7603525.5
128,4025017.25
129,4073095.25
130,6439792.0
131,9176094.0
132,185916.296875
133,167688.265625
134,8912856.0
135,8418978.0
136,1016237.3125
137,597124.3125
138,411509.3125
139,7557728.5
140,7036181.5
141,6440732.0
142,166221.125
143,597020.0625
144,614776.0625
145,3707854.25
146,8835801.0
147,1955004.875
148,4972381.5
149,4972381.5
150,637066.125
151,3109884.75
152,7973769.5
153,9503295.0
154,9385290.0
155,9072933.0
156,557575.3125
157,9780969.0
158,5515277.0
159,7763556.0
160,9523268.0
161,7284683.0
162,7190989.5
163,8137136.0
164,9767642.0
165,8302129.5
166,8108967.5
167,9735224.0
168,1290223.125
169,9086504.0
170,9714043.0
171,9752515.0
172,9729831.0
173,8045964.0
174,9065614.0
175,9701864.0
176,3342809.0
177,9588068.0
178,956337.3125
179,9584091.0
180,6473979.5
181,2321242.0
182,9548028.0
183,9773821.0
184,8735493.0
185,9631621.0
186,9025043.0
187,7087360.0
188,6294499.0
189,410447.21875
190,3414347.75
191,5088452.0
192,1681910.875
193,9012593.0
194,9759243.0
195,8664796.0
196,9722191.0
197,9684061.0
198,9744437.0
199,9625058.0
200,8988302.0
201,5407662.5
202,9700305.0
203,8328591.5
204,7223721.0
205,3963059.75
206,8295699.0
207,6791688.0
208,9501757.0
209,8007110.0
210,8152854.0
211,2341896.25
212,8476567.0
213,9011062.0
214,6340133.0
215,7781117.5
216,9461299.0
217,7628863.5
218,460270.46875
219,1598729.0
220,1889577.25
221,3088820.25
222,1205885.0
223,1576470.75
224,5393007.5
225,2128979.75
226,8442409.0
227,2245484.25
228,946399.8125
229,1284340.125
230,3274316.0
231,184197.53125
232,1535468.75
233,146954.890625
234,387446.03125
235,1432735.375
236,108358.1484375
237,340989.75
238,2756306.75
239,1168847.25
240,5219824.5
241,5194745.0
242,6271908.5
243,2859012.25
244,2280146.0
245,462487.40625
246,2400371.5
247,5740443.5
248,7608422.0
249,3173103.25
250,7506954.5
251,6876002.0
252,4989388.0
253,1096686.25
254,501355.46875
255,252636.015625
256,2214083.5
257,1210483.125
258,4154756.75
259,831786.625
260,9465135.0
261,2536560.0
262,3508148.25
263,6177404.0
264,3000719.5
265,2897503.0
266,5523937.5
267,979077.6875
268,8312587.5
269,7070177.0
270,1095228.25
271,889500.0
272,3331923.25
273,7187530.0
274,75634.9140625
275,780766.8125
276,114318.265625
277,442834.46875
278,94216.515625
279,78516.703125
280,1994238.75
281,50700.98828125
282,1127653.875
283,938116.625
284,559112.3125
285,53235.47265625
286,341555.78125
287,138161.28125
288,7823919.0
289,958796.8125
290,96657.25
291,400918.875
292,3945140.5
293,72233.734375
294,43455.0625
295,50010.51171875
296,321027.25
297,121073.6328125
298,169716.625
299,251090.640625
300,62704.69921875
301,132178.40625
302,162051.265625
303,302440.8125
304,33836.32421875
305,41230.1328125
306,54387.9921875
307,177453.734375
308,95275.78125
309,43679.48828125
310,154835.03125
311,184989.640625
312,446488.9375
313,56641.21875
314,32258.12890625
315,74456.0
316,1743322.625
317,495137.25
318,32848.0859375
319,51424.41015625
320,991964.125
321,133470.71875
322,74991.0234375
323,33449.7265625
324,221614.625
325,118277.234375
326,54455.46875
327,44726.19921875
328,36289.52734375
329,3662457.25
330,31683.240234375
331,34545.9296875
332,284974.9375
333,87101.09375
334,148958.828125
335,113157.6328125
336,70517.1640625
337,70131.6328125
338,6297593.5
339,6536866.0
340,66031.6875
341,55183.796875
342,150645.421875
343,2021281.25
344,104812.21875
345,30484.2734375
346,203636.921875
347,2379357.75
348,419794.71875
349,38616.01171875
350,134087.515625
351,226279.609375
352,200685.53125
353,3947883.0
354,53847.22265625
355,157275.703125
356,5968642.0
357,70848.0390625
358,206739.125
359,212911.1875
360,1783208.875
361,209116.375
362,2324077.0
363,878524.6875
364,155108.609375
365,254946.875
366,3051592.75
367,892957.875
368,3222951.0
369,594956.0
370,2927788.5
371,5108686.5
372,7616900.0
373,869636.1875
374,8733883.0
375,3416320.5
376,8160561.5
377,9299419.0
378,8868366.0
379,5242319.5
380,5204551.0
381,9266045.0
382,5605379.5
383,9012976.0
384,8546101.0
385,9515464.0
386,9367567.0
387,7627839.5
388,6937071.5
389,4155370.5
390,4272901.5
391,4107379.25
392,6454333.0
393,1275108.625
394,7171721.5
395,5083020.5
396,9670712.0
397,8674831.0
398,9211931.0
399,9537960.0
400,9782501.0
401,9513190.0
402,9657112.0
403,9628295.0
404,9742662.0
405,8719422.0
406,9178863.0
407,8650542.0
408,9039206.0
409,2207724.75
410,7308941.5
411,6424756.5
412,7346813.5
413,3283780.25
414,9423028.0
415,9358720.0
416,4420772.0
417,7065943.5
418,4812358.5
419,9332454.0
420,9747547.0
421,719240.8125
422,4666766.0
423,8706672.0
424,4490440.0
425,7344767.5
426,6165936.0
427,3191194.0
428,7668153.0
429,4886614.5
430,7462569.5
431,5995522.0
432,9519469.0
433,7206434.0
434,3665050.0
435,1567584.125
436,8977708.0
437,9095126.0
438,5673482.0
439,6379046.0
440,545547.6875
441,9018217.0
442,7153181.5
443,3107566.0
444,2652795.25
445,7250544.5
446,8200420.0
447,7028072.5
448,8718517.0
449,5750718.0
450,7645177.0
451,9197568.0
452,9168106.0
453,9520437.0
454,9654728.0
455,9514728.0
456,7962060.0
457,8732159.0
458,7716580.0
459,3300022.0
460,1217165.0
461,9156879.0
462,6114582.0
463,8934342.0
464,5991813.5
465,7251445.5
466,9180792.0
467,7615264.0
468,6007287.5
469,2328172.0
470,8450292.0
471,5837093.5
472,5034700.5
473,6918946.0
474,765057.0
475,9488524.0
476,2497263.75
477,5588460.0
478,5486066.5
479,5681982.5
480,5237046.5
481,2933960.5
482,1455136.5
483,1820145.25
484,1027103.3125
485,5755961.5
486,847392.375
487,1027857.6875
488,1418914.25
489,1039450.8125
490,301084.53125
491,164482.71875
492,231472.421875
493,262022.484375
494,3574062.0
495,731418.1875
496,46495.3359375
497,218681.46875
498,93839.5390625
499,74117.375
500,226342.15625
501,112326.4140625
502,168216.296875
503,157432.3125
504,166016.765625
505,137323.640625
506,189151.40625
507,261914.9375
508,170397.765625
509,132087.6875
510,53474.79296875
511,238835.953125
512,213141.6875
513,96389.2421875
514,26483.443359375
515,87893.984375
516,283599.84375
517,120155.0390625
518,63622.8359375
519,77942.34375
520,179842.28125
521,472451.15625
522,64132.796875
523,122306.4765625
524,309281.53125
525,54473.8203125
526,603630.0625
