Step,Value
0,126685.734375
1,70728.9765625
2,8000613.5
3,4658013.0
4,3515729.25
5,110226.4609375
6,9414360.0
7,54537.89453125
8,103853.2890625
9,9782649.0
10,2402236.25
11,1156403.375
12,307505.34375
13,8959625.0
14,4357419.0
15,9766917.0
16,9419188.0
17,8664426.0
18,8791248.0
19,2092219.75
20,308831.71875
21,108675.4296875
22,142527.78125
23,3676822.5
24,55238.171875
25,9779399.0
26,9667076.0
27,46310.421875
28,9613592.0
29,122288.2734375
30,7168789.5
31,325253.71875
32,51106.46875
33,5240530.0
34,4674216.0
35,1330136.25
36,508698.75
37,4127403.5
38,8884836.0
39,1953921.75
40,1905124.875
41,9781021.0
42,162882.25
43,45251.203125
44,78155.125
45,52585.234375
46,3333333.5
47,7046326.0
48,55230.8515625
49,9781392.0
50,9739691.0
51,9782649.0
52,9046227.0
53,108675.4296875
54,3328655.75
55,6693566.0
56,4937489.0
57,6424773.5
58,3146800.5
59,533097.75
60,3336244.25
61,9563813.0
62,3958424.25
63,70713.5546875
64,7463558.5
65,4972381.5
66,87555.8984375
67,156832.484375
68,108675.4296875
69,9681708.0
70,3333333.5
71,4044349.25
72,5412643.5
73,3484629.5
74,4067884.75
75,7368268.5
76,91930.359375
77,34252.5625
78,3659732.25
79,296660.46875
80,93263.03125
81,9507993.0
82,5687358.0
83,108675.4296875
84,551490.1875
85,2848491.75
86,159458.625
87,9779524.0
88,3050927.5
89,47443.15625
90,163324.234375
91,5054450.5
92,31324.32421875
93,1495367.25
94,83513.421875
95,1278887.125
96,55238.171875
97,7939929.0
98,55187.40625
99,5250292.5
100,133291.0625
101,85717.125
102,1162759.875
103,6844562.5
104,134607.0
105,84179.046875
106,4972381.5
107,72690.7421875
108,6772341.5
109,4915803.0
110,7602862.0
111,50251.8203125
112,3735043.5
113,9782475.0
114,9613541.0
115,1242502.5
116,53252.5703125
117,9511311.0
118,2260339.0
119,1888308.375
120,361829.375
121,5757096.5
122,55036.6015625
123,4146342.75
124,3229126.75
125,55730.21875
126,3466139.75
127,1527429.375
128,1853586.125
129,2437128.25
130,651597.4375
131,2500266.5
132,609484.9375
133,804751.0
134,197706.0625
135,1249584.0
136,198094.0
137,41148.265625
138,91427.0234375
139,2206657.75
140,1269284.75
141,1225705.0
142,9779374.0
143,71791.234375
144,64690.72265625
145,93672.890625
146,502127.84375
147,104415.046875
148,2909936.25
149,1874781.0
150,160559.921875
151,334123.53125
152,1084671.375
153,94244.7109375
154,246356.46875
155,7245631.0
156,459643.78125
157,55214.4453125
158,3882937.75
159,2405585.25
160,4414676.5
161,624289.5625
162,490147.96875
163,93469.953125
164,107302.5390625
165,400105.78125
166,710797.0625
167,973027.125
168,807462.6875
169,753224.8125
170,3584600.75
171,2364727.75
172,414234.84375
173,390090.28125
174,134782.46875
175,1118094.625
176,2425122.25
177,166934.171875
178,4901295.5
179,2148578.0
180,510212.03125
181,901586.6875
182,1997626.0
183,776131.25
184,83427.609375
185,122400.5
186,1506343.625
187,794808.3125
188,328186.09375
189,509159.34375
190,39494.21484375
191,1757189.75
192,1435838.625
193,1679876.25
194,2163761.0
195,2064650.625
196,3518855.25
197,378257.78125
198,273710.78125
199,90893.625
200,2688504.25
201,164801.671875
202,33703.96875
203,269793.1875
204,50848.15625
205,611116.4375
206,236159.6875
207,4637277.0
208,1422063.5
209,724374.5625
210,45354.10546875
211,610462.375
212,460264.5
213,118342.140625
214,501261.5625
215,287844.53125
216,3800035.5
217,3143309.75
218,47362.9296875
219,496944.0
220,68736.2109375
221,1511121.5
222,958280.8125
223,360698.28125
224,127326.390625
225,1237192.875
226,363082.375
227,159592.34375
228,49348.5078125
229,50829.46875
230,86060.3828125
231,675411.75
232,55025.92578125
233,128691.0859375
234,393321.5625
235,49401.40625
236,419352.6875
237,149736.96875
238,35865.03125
239,315654.09375
240,86628.625
241,440544.1875
242,1754305.75
243,52901.4453125
244,73100.6953125
245,2062179.75
246,43569.20703125
247,115829.6328125
248,43584.57421875
249,342516.0
250,3761474.5
251,105203.4921875
252,3029093.75
253,65667.9140625
254,194919.6875
255,28733.71875
256,395583.3125
257,266532.90625
258,222449.984375
259,435799.46875
260,579256.8125
261,328142.875
262,78416.484375
263,108159.765625
264,564960.125
265,109420.9140625
266,262933.90625
267,96231.421875
268,40021.1953125
269,93066.8984375
270,285491.78125
271,227126.3125
272,207547.90625
273,181714.453125
274,953402.5625
275,50147.24609375
276,57013.6484375
277,419975.25
278,456378.59375
279,1154877.0
280,1004939.75
281,318867.34375
282,130061.234375
283,273320.21875
284,26891.564453125
285,33658.4609375
286,5455418.0
287,1260668.75
288,263381.5
289,118625.546875
290,58304.8984375
291,134705.703125
292,158337.21875
293,82006.34375
294,1190088.125
295,175909.234375
296,264022.375
297,77226.375
298,36971.44140625
299,112702.8359375
300,83439.90625
301,229808.59375
302,1785398.125
303,39797.23046875
304,46690.640625
305,148923.203125
306,117349.609375
307,116067.640625
308,31153.82421875
309,80795.6484375
310,145311.8125
311,90346.65625
312,398158.34375
313,555519.8125
314,268984.375
315,239807.125
316,138091.59375
317,445696.5625
318,691522.1875
319,77166.921875
320,1808434.125
321,62629.953125
322,699563.75
323,1009767.5
324,5614063.0
325,858374.8125
326,151279.40625
327,125676.2890625
328,110488.65625
329,51771.1328125
330,48525.375
331,710799.5
332,371482.9375
333,921922.5625
334,210851.65625
335,199529.609375
336,37016.625
337,48823.75390625
338,32091.130859375
339,135645.5625
340,1181584.0
341,1015424.5625
342,113198.2890625
343,56908.72265625
344,746896.5625
345,55225.71484375
346,53646.34375
347,182091.4375
348,1732589.125
349,5761646.0
350,38796.37890625
351,361737.90625
352,119091.0703125
353,50081.5625
354,170714.765625
355,506667.78125
356,167093.953125
357,1435750.25
358,45028.2734375
359,49423.64453125
360,47868.76953125
361,264293.5
362,291125.46875
363,4849005.0
364,596823.3125
365,343644.6875
366,103392.6015625
367,4934603.0
368,64470.4921875
369,132654.109375
370,58437.1953125
