Step,Value
0,1150650.875
1,51255.078125
2,7219192.0
3,8154116.5
4,5112437.0
5,111453.421875
6,4962280.5
7,54983.73828125
8,8140420.5
9,9782649.0
10,3759599.25
11,2891951.0
12,1688276.25
13,5057805.0
14,5984432.5
15,9750402.0
16,2170570.0
17,8073558.0
18,9771066.0
19,181557.8125
20,203369.515625
21,110807.9296875
22,560921.3125
23,901668.5
24,50820.74609375
25,9627743.0
26,9529311.0
27,43883.44140625
28,9782605.0
29,108675.4296875
30,6278039.0
31,280009.78125
32,89061.1640625
33,9696319.0
34,4867928.0
35,121947.2578125
36,79509.046875
37,4733264.5
38,8629664.0
39,3533244.5
40,201535.15625
41,9592435.0
42,34645.50390625
43,82440.6640625
44,1161004.0
45,53632.73046875
46,8659972.0
47,6173297.0
48,54018.0078125
49,9782423.0
50,9779022.0
51,9781764.0
52,8051831.0
53,133384.6875
54,6924153.0
55,5988876.0
56,4972380.5
57,5519391.5
58,2666918.25
59,871427.4375
60,4246838.5
61,9782649.0
62,1105982.25
63,49772.16796875
64,9771581.0
65,1953865.875
66,5304488.5
67,104215.6171875
68,558806.75
69,5191137.0
70,3333333.5
71,1137790.125
72,4281611.0
73,4648392.0
74,2427040.0
75,5953631.5
76,138847.515625
77,49028.11328125
78,5403997.5
79,178179.875
80,50460.78515625
81,1119334.5
82,5950979.0
83,108675.484375
84,5705656.5
85,2457536.0
86,123254.71875
87,9782388.0
88,9521102.0
89,54085.99609375
90,504484.6875
91,9755306.0
92,62640.44140625
93,2195388.0
94,104493.265625
95,1670082.25
96,55232.53125
97,1317378.0
98,268773.78125
99,7157932.0
100,282993.1875
101,160897.78125
102,6102370.0
103,1706515.125
104,1193939.125
105,90276.2265625
106,8775016.0
107,52136.6015625
108,9621238.0
109,5667130.0
110,7250821.0
111,129347.7734375
112,465678.5
113,9547709.0
114,9665961.0
115,1675291.0
116,231789.609375
117,9508380.0
118,1721051.875
119,2377071.75
120,757690.8125
121,2439364.25
122,92307.109375
123,264938.46875
124,3975934.75
125,50604.6328125
126,1323123.25
127,113882.3046875
128,1856243.75
129,6563486.0
130,1317565.5
131,6394596.0
132,735309.625
133,1979991.625
134,158626.25
135,1082001.5
136,237982.15625
137,999715.3125
138,44958.3359375
139,6385730.0
140,3110377.75
141,2282953.5
142,9366319.0
143,79483.9296875
144,420883.3125
145,200997.96875
146,2540008.25
147,172682.890625
148,3950103.25
149,9078475.0
150,99008.96875
151,4441154.5
152,373698.59375
153,85549.125
154,65607.765625
155,8062573.0
156,55158.9765625
157,49805.125
158,4125184.75
159,2464822.25
160,155867.6875
161,152500.34375
162,106871.3828125
163,81726.4609375
164,677949.625
165,1022138.0625
166,152866.59375
167,444922.5625
168,187449.84375
169,4906793.0
170,9601688.0
171,298297.59375
172,338847.3125
173,6752276.5
174,314936.40625
175,484733.96875
176,8171074.5
177,51787.22265625
178,4264039.5
179,693134.1875
180,2138900.5
181,622270.5625
182,3972514.25
183,104165.5390625
184,154663.34375
185,135365.484375
186,1560670.375
187,50753.2578125
188,31997.4375
189,1591590.0
190,112248.140625
191,9604654.0
192,2342826.75
193,6658094.5
194,307773.875
195,1108291.125
196,1682561.25
197,2012946.875
198,3475180.0
199,184578.578125
200,4454487.5
201,202437.234375
202,80645.4765625
203,227618.140625
204,232082.515625
205,744384.25
206,6152224.5
207,5855012.5
208,347737.84375
209,414369.6875
210,59855.82421875
211,9039731.0
212,723156.1875
213,179255.609375
214,422730.1875
215,405528.625
216,9481519.0
217,3419384.75
218,130313.0078125
219,1200368.75
220,238340.578125
221,8751363.0
222,1539424.375
223,2738767.75
224,1185750.625
225,6691841.5
226,5837127.5
227,279309.59375
228,40960.046875
229,66061.265625
230,1295353.875
231,638175.8125
232,161725.265625
233,1470881.75
234,321894.59375
235,1027978.0
236,734290.1875
237,1634846.125
238,32191.912109375
239,3186172.0
240,1555362.625
241,4237506.5
242,2508819.5
243,1235633.25
244,2142304.0
245,7708142.5
246,87001.84375
247,569251.3125
248,86655.0234375
249,6548723.0
250,8537788.0
251,1273012.25
252,3122956.5
253,2017654.75
254,643412.3125
255,121141.5546875
256,607290.6875
257,213308.84375
258,292023.96875
259,3796223.75
260,3124656.75
261,671376.125
262,1287781.75
263,1588794.0
264,6080902.0
265,353533.21875
266,295356.03125
267,3043579.25
268,888539.1875
269,314830.59375
270,8138355.0
271,402405.8125
272,1007813.125
273,996821.6875
274,6810817.0
275,134842.1875
276,1568725.75
277,4624225.0
278,3134842.75
279,2362026.75
280,8602141.0
281,4644583.0
282,738881.375
283,8145740.0
284,131486.453125
285,86700.7734375
286,7335487.0
287,7492257.0
288,1752284.125
289,171260.21875
290,1422409.125
291,881752.75
292,5813796.5
293,4912517.0
294,5677175.0
295,530524.75
296,508241.125
297,3572523.0
298,86072.21875
299,1789338.5
300,343142.8125
301,4614355.5
302,7698548.0
303,416753.84375
304,416362.65625
305,675634.6875
306,890652.8125
307,926501.75
308,1049677.25
309,277095.875
310,4817905.0
311,3334884.0
312,1980675.125
313,2559185.0
314,3875594.5
315,1277725.5
316,793986.25
317,3264720.75
318,3485189.75
319,774723.6875
320,6664461.0
321,5147401.0
322,9092752.0
323,8410383.0
324,7317582.0
325,1745164.875
326,1141550.125
327,926231.3125
328,2828032.25
329,718683.0625
330,465966.1875
331,3000753.75
332,2308393.75
333,1914506.875
334,778995.1875
335,896263.5625
336,85837.4609375
337,421336.75
338,848706.5
339,494703.625
340,3870124.25
341,4094909.25
342,2246689.25
343,5042627.5
344,3715360.25
345,871996.4375
346,526425.8125
347,2970472.0
348,7874028.5
349,5803790.0
350,2124768.5
351,1736903.0
352,404138.78125
353,240757.640625
354,2105185.0
355,3967153.25
356,330638.875
357,4081521.0
358,585264.375
359,1015018.0625
360,357313.59375
361,3055243.25
362,2403308.75
363,6467044.5
364,4310015.5
365,2514917.25
366,1703829.75
367,6536973.0
368,1004223.0625
369,3653002.0
370,2220366.25
371,5612421.5
372,4452994.0
373,6514886.0
374,1332444.875
375,1480081.25
376,1215737.0
377,851262.125
378,3467115.5
379,3145137.5
380,1039144.5625
381,3472335.0
382,2068248.25
383,2548106.25
384,2338652.5
385,3588395.0
386,954283.3125
387,151350.859375
388,2613493.0
389,202510.546875
390,1080257.5
391,560489.5
392,5155620.0
393,809813.6875
394,6485886.0
395,487534.34375
396,2265475.5
397,7043401.5
398,2420272.0
399,4220988.0
400,239019.96875
401,2715841.75
402,3930963.5
403,497497.65625
404,1033025.0625
405,1593882.125
406,429553.71875
407,2746598.75
408,2931130.5
409,1633488.375
410,719932.1875
411,2169305.0
412,824887.8125
413,1969719.875
414,3898500.25
415,769564.0
416,1116551.25
417,926637.8125
418,3394292.0
419,1965882.0
420,703866.25
421,1982743.625
422,1913809.5
423,1309716.125
424,1166744.25
425,2657811.0
426,3611720.0
427,4039535.5
428,4563727.0
429,707241.25
430,1219587.125
431,1869005.25
432,2590006.5
433,3866636.75
434,2681102.75
435,2360748.75
436,2895668.25
437,1386902.375
438,726886.0
439,2271580.5
440,1510944.5
441,1311227.5
442,405913.625
443,1411499.5
444,479947.4375
445,1596836.25
446,2265528.5
447,1338081.25
448,362486.15625
449,6152359.0
450,1668731.375
451,742880.125
452,806908.4375
453,1319620.0
454,1860885.375
455,439105.25
456,848832.8125
457,643593.75
458,1657346.5
459,430587.125
460,1896592.5
461,1484484.125
462,1710764.0
463,3362212.25
464,1563159.125
465,5709681.5
466,525901.8125
467,705656.9375
468,1120975.25
469,849256.1875
470,891689.375
471,598941.9375
472,1627495.25
473,1531359.375
474,1510066.125
475,1658012.75
476,1184847.375
477,2615389.0
478,1549686.25
479,1650663.625
480,637013.4375
481,895092.625
482,894739.3125
483,2920912.75
484,3325287.75
485,1180003.625
486,1336905.75
487,2450249.75
488,1444907.0
489,2677196.0
490,2154915.5
491,5084225.0
492,2996171.0
493,1514082.5
494,800273.0
495,1170575.375
496,1674322.5
497,1753822.0
498,2108532.0
499,1240286.625
500,1543152.0
501,1915500.625
502,1052997.5
503,2704094.25
504,1691475.375
505,2083765.75
506,688647.0625
507,2052076.25
508,2455508.25
509,314688.0
510,690044.375
511,1513972.625
512,2150534.75
513,3832406.0
514,2083935.75
515,2305523.0
516,2958950.5
517,2411911.5
518,1902602.875
519,1822677.125
520,3038264.0
521,855237.375
522,2698873.25
523,3124269.5
524,1689455.375
525,4398116.0
526,1294893.625
527,1658909.875
528,1519586.25
