Step,Value
0,1943.0
1,1949.0
2,1953.0
3,1957.0
4,1967.0
5,1.0
6,1946.0
7,1968.0
8,1.0
9,0.0
10,1968.0
11,1949.0
12,27.0
13,1932.0
14,1953.0
15,0.0
16,1958.0
17,1954.0
18,0.0
19,1951.0
20,1904.0
21,1950.0
22,1930.0
23,1940.0
24,1964.0
25,1780.0
26,1880.0
27,1797.0
28,0.0
29,1948.0
30,1831.0
31,0.0
32,0.0
33,0.0
34,0.0
35,1959.0
36,1959.0
37,22.0
38,1937.0
39,1980.0
40,0.0
41,0.0
42,1849.0
43,1946.0
44,1928.0
45,1949.0
46,1892.0
47,0.0
48,1934.0
49,11.0
50,0.0
51,0.0
52,0.0
53,1932.0
54,1941.0
55,54.0
56,1920.0
57,1914.0
58,1934.0
59,1929.0
60,1873.0
61,11.0
62,1920.0
63,1951.0
64,116.0
65,1784.0
66,1950.0
67,36.0
68,0.0
69,0.0
70,1933.0
71,1940.0
72,1930.0
73,11.0
74,1932.0
75,8.0
76,1960.0
77,1970.0
78,1956.0
79,1966.0
80,1906.0
81,288.0
82,1965.0
83,0.0
84,1868.0
85,1966.0
86,9.0
87,0.0
88,0.0
89,1932.0
90,4.0
91,0.0
92,1928.0
93,0.0
94,1937.0
95,0.0
96,1937.0
97,1935.0
98,1915.0
99,31.0
100,1872.0
101,1937.0
102,1973.0
103,1942.0
104,1966.0
105,1963.0
106,1944.0
107,1963.0
108,1861.0
109,60.0
110,0.0
111,1951.0
112,1945.0
113,1876.0
114,1768.0
115,1936.0
116,1961.0
117,1896.0
118,1946.0
119,1943.0
120,1949.0
121,1947.0
122,1936.0
123,1941.0
124,1943.0
125,1937.0
126,1952.0
127,1949.0
128,1713.0
129,1926.0
130,1949.0
131,1833.0
132,0.0
133,0.0
134,0.0
135,1678.0
136,1946.0
137,1948.0
138,1933.0
139,1950.0
140,327.0
141,1951.0
142,6.0
143,1958.0
144,1968.0
145,45.0
146,1938.0
147,1926.0
148,1933.0
149,1926.0
150,43.0
151,1767.0
152,1897.0
153,1960.0
154,1936.0
155,1794.0
156,1953.0
157,1945.0
158,1950.0
159,1956.0
160,1951.0
161,14.0
162,1924.0
163,1935.0
164,1959.0
165,3.0
166,0.0
167,1945.0
168,0.0
169,1772.0
170,16.0
171,0.0
172,1927.0
173,1954.0
174,1788.0
175,0.0
176,1865.0
177,1928.0
178,1941.0
179,1973.0
180,1914.0
181,1965.0
182,1958.0
183,1950.0
184,1956.0
185,70.0
186,1955.0
187,1855.0
188,1960.0
189,1955.0
190,33.0
191,0.0
192,0.0
193,1899.0
194,1948.0
195,1797.0
196,1936.0
197,1940.0
198,1961.0
199,133.0
200,0.0
201,1948.0
202,1788.0
203,1948.0
204,1928.0
205,1937.0
206,1944.0
207,1943.0
208,1939.0
209,1907.0
210,1734.0
211,1944.0
212,1921.0
213,1940.0
214,1953.0
215,1933.0
216,1860.0
217,1825.0
218,0.0
219,1945.0
220,1925.0
221,27.0
222,1938.0
223,1942.0
224,1938.0
225,17.0
226,1950.0
227,53.0
228,1958.0
229,1932.0
230,1979.0
231,5.0
232,1928.0
233,1960.0
234,1930.0
235,1731.0
236,21.0
