Step,Value
0,217920.0
1,217920.0
2,91200.0
3,237120.0
4,224640.0
5,219520.0
6,86080.0
7,216320.0
8,87680.0
9,225280.0
10,220480.0
11,219200.0
12,224320.0
13,221120.0
14,216960.0
15,212160.0
16,208320.0
17,221440.0
18,225280.0
19,224320.0
20,217600.0
21,219840.0
22,89600.0
23,230400.0
24,226560.0
25,91200.0
26,230400.0
27,241280.0
28,92160.0
29,232640.0
30,96000.0
31,248320.0
32,233920.0
33,92800.0
34,226880.0
35,228800.0
36,92800.0
37,1600.0
38,223360.0
39,224640.0
40,237120.0
41,236160.0
42,224320.0
43,86080.0
44,3200.0
45,207680.0
46,85760.0
47,213440.0
48,219840.0
49,87360.0
50,213760.0
51,204480.0
52,199040.0
53,205440.0
54,84480.0
55,215680.0
56,199360.0
57,209600.0
58,221760.0
59,203200.0
60,214400.0
61,196160.0
62,196160.0
63,196800.0
64,78400.0
65,191040.0
66,192960.0
67,191040.0
68,75200.0
69,180480.0
70,174720.0
71,177920.0
72,177600.0
73,173760.0
74,167040.0
75,168000.0
76,155840.0
77,68800.0
78,1600.0
79,185600.0
80,68160.0
81,0.0
82,161600.0
83,171200.0
84,67200.0
85,175040.0
86,178240.0
87,72000.0
88,176640.0
89,167680.0
90,72000.0
91,182400.0
92,180800.0
93,72000.0
94,180480.0
95,70400.0
96,175040.0
97,68800.0
98,176320.0
99,181760.0
100,173120.0
101,170560.0
102,70400.0
103,169600.0
104,184960.0
105,179200.0
106,70400.0
107,189760.0
108,76800.0
109,190080.0
110,189440.0
111,198080.0
112,76800.0
113,192320.0
114,188800.0
115,182400.0
116,173760.0
117,173120.0
118,181120.0
119,180160.0
120,180800.0
121,180800.0
122,182400.0
123,72000.0
124,162240.0
125,169600.0
126,67200.0
127,169280.0
128,68480.0
129,165120.0
130,169280.0
131,170240.0
132,157440.0
133,158400.0
134,168960.0
135,70400.0
136,173120.0
137,173760.0
138,157440.0
139,63680.0
140,165120.0
141,168000.0
142,170240.0
143,168000.0
144,68480.0
145,182080.0
146,185600.0
147,184960.0
148,78400.0
149,189760.0
150,197120.0
151,78400.0
152,194880.0
153,193920.0
154,76800.0
155,0.0
156,197440.0
157,78080.0
158,1600.0
159,192000.0
160,206080.0
161,81600.0
162,1600.0
163,1600.0
164,3200.0
165,211840.0
166,214400.0
167,86400.0
168,217600.0
169,213120.0
170,224960.0
171,213760.0
172,209280.0
173,215360.0
174,216640.0
175,211200.0
176,214400.0
177,219520.0
178,84800.0
179,238080.0
180,229120.0
181,222720.0
182,234560.0
183,220160.0
184,91200.0
185,3200.0
186,1600.0
187,241280.0
188,94080.0
189,0.0
190,242240.0
191,95360.0
192,237760.0
193,227520.0
194,220160.0
195,207360.0
196,214080.0
197,208000.0
198,208960.0
199,206080.0
200,197440.0
201,193920.0
202,193920.0
203,76800.0
204,208320.0
205,207360.0
206,196480.0
207,200000.0
208,204480.0
209,202560.0
210,201600.0
211,83200.0
212,198720.0
213,212800.0
214,82880.0
215,201600.0
216,197440.0
217,196160.0
218,195200.0
219,76800.0
220,201280.0
221,189760.0
222,196480.0
223,194240.0
224,196160.0
225,186240.0
226,180160.0
227,185600.0
228,189760.0
229,73600.0
230,0.0
231,176640.0
232,176640.0
233,65600.0
234,171840.0
235,167680.0
236,173760.0
237,169280.0
238,172160.0
239,67200.0
240,160320.0
241,147840.0
242,140160.0
243,148480.0
244,144640.0
245,156800.0
246,160000.0
247,62080.0
248,151680.0
249,64000.0
250,173120.0
251,171840.0
252,179200.0
253,168000.0
254,177600.0
255,161920.0
256,67200.0
257,172160.0
258,159040.0
259,181760.0
260,183360.0
261,183680.0
262,173760.0
263,172160.0
264,175680.0
265,183040.0
266,178880.0
267,187200.0
268,164800.0
269,173760.0
270,181120.0
271,177280.0
272,176320.0
273,178560.0
274,180480.0
275,198080.0
276,76480.0
277,184960.0
278,193920.0
279,190080.0
280,200320.0
281,197440.0
282,186880.0
283,181760.0
284,190080.0
285,76800.0
286,0.0
287,195520.0
288,209920.0
289,198080.0
290,81600.0
291,202240.0
292,210880.0
293,218880.0
294,208000.0
295,213440.0
296,216640.0
297,211520.0
298,205760.0
299,82560.0
300,208320.0
301,216320.0
302,210560.0
303,210560.0
304,212800.0
305,202880.0
306,222080.0
307,215360.0
308,221440.0
309,207360.0
310,221760.0
311,212800.0
312,206720.0
313,196160.0
314,208320.0
315,205760.0
316,203520.0
317,202560.0
318,199680.0
319,213440.0
320,209920.0
321,219200.0
322,216960.0
323,213120.0
324,209280.0
325,210240.0
326,220800.0
327,214400.0
328,200960.0
329,207040.0
330,206080.0
331,198720.0
332,203840.0
333,212800.0
334,218560.0
335,216320.0
336,208960.0
337,88000.0
338,224320.0
339,216960.0
340,223360.0
341,231680.0
342,224000.0
343,232640.0
344,244480.0
345,230400.0
346,230080.0
347,229760.0
348,234880.0
349,225600.0
350,237120.0
351,232640.0
352,226880.0
353,224640.0
354,216000.0
355,226560.0
356,235520.0
357,229760.0
358,213760.0
359,242240.0
360,223680.0
361,224320.0
362,224000.0
363,218560.0
364,219840.0
365,219200.0
366,220800.0
367,220480.0
368,221440.0
369,227200.0
370,216640.0
371,197760.0
372,208000.0
373,208000.0
374,204480.0
375,205120.0
376,203840.0
377,203840.0
378,216960.0
379,212160.0
380,228480.0
381,225600.0
382,222400.0
383,219200.0
384,226240.0
385,202880.0
386,209920.0
387,212160.0
388,81600.0
389,202560.0
390,200960.0
391,202240.0
392,198080.0
393,193280.0
394,183040.0
395,186240.0
396,195200.0
397,192320.0
398,200960.0
399,199040.0
400,203200.0
401,200000.0
402,193920.0
403,199040.0
404,187840.0
405,192000.0
406,193280.0
407,199360.0
408,200320.0
409,193280.0
410,194240.0
411,193600.0
412,197120.0
413,200640.0
414,216320.0
415,222080.0
416,221760.0
417,217280.0
418,224960.0
419,229120.0
420,235840.0
421,241920.0
422,213120.0
423,208960.0
424,218880.0
425,229120.0
426,218240.0
427,213760.0
428,224640.0
429,225280.0
430,232320.0
431,248640.0
432,244480.0
433,249280.0
434,243520.0
435,244480.0
436,248960.0
437,226880.0
438,224640.0
439,212480.0
440,204480.0
441,218240.0
442,215360.0
443,218560.0
444,212160.0
445,215360.0
446,200320.0
447,209600.0
448,202560.0
449,201600.0
450,198720.0
451,209600.0
452,217920.0
453,216320.0
454,205440.0
455,212160.0
456,220480.0
457,214720.0
458,213440.0
459,203840.0
460,220480.0
461,213440.0
462,219520.0
463,223360.0
464,217920.0
465,227200.0
466,225600.0
467,241600.0
468,218240.0
469,219840.0
470,213440.0
471,217280.0
472,211840.0
473,203840.0
474,213120.0
475,200640.0
476,186880.0
477,174400.0
478,180480.0
479,175360.0
480,169600.0
481,176640.0
482,194560.0
483,192960.0
484,185280.0
485,190720.0
486,178560.0
487,189120.0
488,189440.0
489,192640.0
490,184960.0
491,186880.0
492,186240.0
493,187200.0
494,180480.0
495,182080.0
496,192960.0
497,185280.0
498,177600.0
499,161920.0
500,157760.0
501,153600.0
502,142720.0
503,140480.0
504,150400.0
505,134400.0
506,139200.0
507,131520.0
508,139200.0
509,129600.0
510,122240.0
511,119040.0
512,113920.0
513,117120.0
514,133120.0
515,134080.0
516,144320.0
517,146880.0
518,138560.0
519,156160.0
520,158720.0
521,155520.0
522,171520.0
523,165760.0
524,168640.0
525,161600.0
526,167680.0
527,166080.0
528,162560.0
529,170240.0
530,164160.0
531,166400.0
532,165760.0
533,160640.0
534,163840.0
535,173120.0
536,168320.0
537,167360.0
538,180480.0
539,191040.0
540,187200.0
541,179520.0
542,184960.0
543,198080.0
544,219200.0
545,207360.0
546,214720.0
547,206720.0
548,213760.0
549,201600.0
550,198080.0
551,212800.0
552,212160.0
553,210560.0
554,212160.0
555,188160.0
556,197440.0
557,191680.0
558,198080.0
559,200640.0
560,207360.0
561,209600.0
562,209920.0
563,206080.0
564,215040.0
565,214720.0
566,210240.0
567,213120.0
568,209920.0
569,223040.0
570,218880.0
571,215680.0
572,211200.0
573,201280.0
574,200960.0
575,198080.0
576,202880.0
577,208640.0
578,209600.0
579,214080.0
580,212800.0
581,215360.0
582,213120.0
583,231040.0
584,214400.0
585,218240.0
586,212480.0
587,211520.0
588,213440.0
589,218240.0
590,228480.0
591,239360.0
592,232320.0
593,236160.0
594,224960.0
595,206720.0
596,207360.0
597,216000.0
598,222080.0
599,217280.0
600,220800.0
601,230080.0
602,219840.0
603,220800.0
604,220160.0
605,220800.0
606,221760.0
607,215680.0
608,207040.0
609,212160.0
610,211840.0
611,214400.0
612,206720.0
613,200640.0
614,212480.0
615,209280.0
616,193600.0
617,185600.0
618,189760.0
619,185280.0
620,186880.0
621,199360.0
622,193600.0
623,176960.0
624,171200.0
625,181440.0
626,181120.0
627,184960.0
628,200000.0
629,204480.0
630,201920.0
631,216640.0
632,197760.0
633,208000.0
634,206720.0
635,208960.0
636,191360.0
637,194240.0
638,184640.0
639,185920.0
640,179520.0
641,183360.0
642,180160.0
643,178880.0
644,168000.0
645,171200.0
646,160640.0
647,169280.0
648,176320.0
649,172800.0
650,173440.0
651,176640.0
652,184320.0
653,169920.0
654,180800.0
655,180160.0
