Step,Value
0,55238.1640625
1,8957886.0
2,4620971.0
3,3333333.5
4,1016668.25
5,3665388.5
6,478704.3125
7,45154.8984375
8,55181.81640625
9,9051956.0
10,9782597.0
11,1570261.875
12,98436.53125
13,260288.65625
14,4972381.5
15,1168641.875
16,108675.4296875
17,9782649.0
18,311041.09375
19,114372.40625
20,3371969.75
21,27882.521484375
22,3333333.5
23,9068065.0
24,4853336.0
25,656130.625
26,1810924.0
27,1036921.375
28,34299.56640625
29,39779.12890625
30,963663.5625
31,55237.99609375
32,171631.4375
33,1527560.625
34,33808.94140625
35,6268281.5
36,144200.453125
37,4292126.5
38,4972381.5
39,52627.49609375
40,6632945.5
41,3357633.0
42,32018.134765625
43,2314422.75
44,1168590.0
45,89727.2109375
46,4215376.5
47,130482.25
48,3454769.5
49,4972381.5
50,52476.34375
51,123677.0859375
52,37108.875
53,54739.84375
54,9727322.0
55,6543488.5
56,108675.484375
57,548462.5625
58,108675.3671875
59,72003.78125
60,5322211.0
61,855253.625
62,9782628.0
63,2379427.0
64,9782649.0
65,752085.75
66,440996.0625
67,4582441.5
68,5246517.5
69,5447488.0
70,88659.265625
71,1595008.375
72,108675.4296875
73,4047322.0
74,4972381.5
75,4970539.0
76,3433068.75
77,99059.359375
78,46764.7421875
79,9444023.0
80,9483966.0
81,908301.75
82,4972381.5
83,87960.703125
84,5546506.0
85,9765771.0
86,143986.546875
87,97248.25
88,423053.875
89,9344982.0
90,5122720.0
91,316193.75
92,4221029.0
93,330730.8125
94,9557232.0
95,53489.67578125
96,103139.71875
97,4972381.5
98,293173.8125
99,4960504.5
100,2848220.25
101,139862.59375
102,4972381.5
103,4989883.0
104,7341484.5
105,2198357.25
106,9360310.0
107,4972381.5
108,3428751.25
109,183004.53125
110,255098.90625
111,700944.875
112,458368.8125
113,70197.59375
114,8700569.0
115,9295303.0
116,4972381.5
117,4594698.0
118,3123929.75
119,1605044.75
120,70750.25
121,1783629.5
122,942424.6875
123,7492628.5
124,819142.75
125,1935246.625
126,98188.9375
127,88686.5078125
128,136821.328125
129,262445.625
130,1997023.25
131,806325.0
132,9769303.0
133,9246651.0
134,202651.78125
135,6543904.5
136,8724478.0
137,5649684.5
138,8469279.0
139,443650.125
140,83371.3203125
141,50166.27734375
142,9499463.0
143,739104.375
144,3426857.0
145,161635.25
146,95050.1328125
147,1250653.375
148,5841554.5
149,5574327.5
150,9497738.0
151,8036250.0
152,323177.4375
153,335495.25
154,4527137.5
155,5271341.0
156,9765798.0
157,80796.203125
158,3795787.75
159,7010115.0
160,1895463.0
161,5991379.0
162,7889686.0
163,295214.03125
164,89468.09375
165,3256565.75
166,5668498.5
167,604447.4375
168,5428789.5
169,2044493.25
170,1070524.625
171,831778.0
172,1612099.875
173,4497501.5
174,2783314.25
175,2187061.5
176,9325959.0
177,4931094.5
178,7340613.5
179,5327418.5
180,9295569.0
181,9251961.0
182,8832154.0
183,63162.5703125
184,7021967.0
185,3217106.5
186,6641955.5
187,9450502.0
188,5004139.0
189,737997.25
190,6948561.0
191,6078018.5
192,9543471.0
193,2297378.75
194,247638.15625
195,6242609.0
196,1919653.125
197,1706540.375
198,124370.265625
199,7428289.0
200,8335792.5
201,8869951.0
202,1696427.75
203,7719741.0
204,8534405.0
205,2735507.5
206,294242.5
207,1058507.375
208,317837.1875
209,311565.6875
210,693377.9375
211,3325679.25
212,2473597.5
213,1974574.75
214,9443772.0
215,6690491.0
216,5877916.0
217,3769393.25
218,5374562.0
219,1177731.125
220,9782164.0
221,3798577.5
222,7641092.0
223,6610826.5
224,5958309.0
225,1171709.75
226,202248.75
227,4455377.0
228,1221456.625
229,1913937.75
230,2520769.0
231,1020778.8125
232,4534435.5
233,7908876.0
234,9288151.0
235,7471202.5
236,9368367.0
237,8390169.0
238,8439143.0
239,8920333.0
240,6978432.0
241,6017915.0
242,5012072.5
243,9327680.0
244,6466785.5
245,8264459.5
246,2364304.25
247,1948411.125
248,457002.78125
249,6600340.0
250,1172683.0
251,2402159.75
252,1846744.25
253,7028143.0
254,7902398.5
255,8190338.0
256,4366792.0
257,6465521.5
258,2878845.75
259,7461294.5
260,904100.25
261,6714683.0
262,5757386.0
263,3009830.5
264,5639088.0
265,5310192.0
266,2989602.0
267,3621960.0
268,1750812.625
269,854158.9375
270,8289275.0
271,7243926.5
272,1628801.375
273,576600.8125
274,2774171.0
275,2180625.0
276,2744803.25
277,1519916.5
278,4432568.5
279,4563777.5
280,1166271.25
281,7034169.0
282,4444643.0
283,2643733.25
284,1158084.0
285,7655588.5
286,2396763.75
287,5214317.5
288,319696.4375
289,3561056.0
290,9443775.0
291,5610755.0
292,3445641.5
293,6899035.5
294,5844148.5
295,2460846.25
296,4712229.0
297,2443229.0
298,3345414.75
299,419065.46875
300,3393649.75
301,3428067.75
302,6563978.0
303,4537114.0
304,1879228.25
305,5520904.5
306,8471094.0
307,2855661.75
308,6836944.0
309,8364787.5
310,6954653.5
311,7919497.0
312,5868029.0
313,4038845.0
314,5868628.5
315,4386655.5
316,2219403.75
317,3314140.5
318,5765196.5
319,5720122.0
320,3479546.5
321,4522229.0
322,7413552.5
323,5077492.0
324,5391208.5
325,4685284.0
326,4401602.5
327,6191308.5
