Step,Value
0,1379.0
1,1.0
2,0.0
3,1393.0
4,1433.0
5,1430.0
6,1407.0
7,1411.0
8,1372.0
9,1355.0
10,1.0
11,1371.0
12,1.0
13,1405.0
14,1.0
15,1433.0
16,1436.0
17,1.0
18,1433.0
19,1435.0
20,1468.0
21,1472.0
22,1498.0
23,1487.0
24,1519.0
25,1529.0
26,1.0
27,1434.0
28,1489.0
29,1516.0
30,1515.0
31,1498.0
32,1.0
33,1503.0
34,1519.0
35,1475.0
36,1464.0
37,1517.0
38,0.0
39,1541.0
40,1525.0
41,1524.0
42,1487.0
43,1553.0
44,1494.0
45,1.0
46,1517.0
47,1538.0
48,1495.0
49,0.0
50,1477.0
51,1492.0
52,1467.0
53,1436.0
54,0.0
55,0.0
56,1417.0
57,1444.0
58,0.0
59,1404.0
60,1418.0
61,1355.0
62,1.0
63,1356.0
64,3.0
65,1460.0
66,1489.0
67,1443.0
68,1464.0
69,1470.0
70,0.0
71,1477.0
72,4.0
73,1474.0
74,1504.0
75,1469.0
76,1492.0
77,1548.0
78,1436.0
79,1491.0
80,0.0
81,1562.0
82,1530.0
83,1546.0
84,0.0
85,0.0
86,0.0
87,1498.0
88,1499.0
89,1463.0
90,4.0
91,1490.0
92,1481.0
93,1468.0
94,1458.0
95,1481.0
96,1478.0
97,1450.0
98,1455.0
99,0.0
100,1449.0
101,1413.0
102,1434.0
103,1476.0
104,1457.0
105,1456.0
106,1334.0
107,1423.0
108,1423.0
109,7.0
110,1420.0
111,1408.0
112,1438.0
113,1380.0
114,1391.0
115,0.0
116,1399.0
117,1383.0
118,1322.0
119,1408.0
120,1442.0
121,1433.0
122,0.0
123,1458.0
124,1453.0
125,1444.0
126,0.0
127,0.0
128,1457.0
129,9.0
130,1470.0
131,1389.0
132,0.0
133,1432.0
134,1487.0
135,1463.0
136,1460.0
137,1434.0
138,1412.0
139,1398.0
140,1388.0
141,1421.0
142,1316.0
143,1349.0
144,1356.0
145,1445.0
146,1433.0
147,1451.0
148,1347.0
149,0.0
150,0.0
151,1393.0
152,1428.0
153,1403.0
154,1384.0
155,1399.0
156,0.0
157,0.0
158,1517.0
159,1490.0
160,1458.0
161,1502.0
162,1497.0
163,1483.0
164,1485.0
165,1510.0
166,1562.0
167,1587.0
168,1613.0
169,1634.0
170,1657.0
171,1582.0
172,1550.0
173,1520.0
174,1533.0
175,1514.0
176,1480.0
177,1552.0
178,1539.0
179,1510.0
180,0.0
181,1444.0
182,1360.0
183,1354.0
184,1465.0
185,1507.0
186,1433.0
187,1343.0
188,1427.0
189,1418.0
190,1451.0
191,1462.0
192,1440.0
193,1417.0
194,1386.0
195,1428.0
196,1372.0
197,1426.0
198,1447.0
199,1404.0
200,0.0
201,0.0
202,1445.0
203,1392.0
204,1447.0
205,1470.0
206,1484.0
207,1509.0
208,1489.0
209,1378.0
210,1336.0
211,1457.0
212,1435.0
213,1492.0
214,0.0
215,1505.0
216,1499.0
217,1510.0
218,1537.0
219,1503.0
220,4.0
221,1539.0
222,1521.0
223,1489.0
224,1476.0
225,1477.0
226,1482.0
227,1454.0
228,1402.0
229,1424.0
230,1397.0
231,1396.0
232,1385.0
233,1422.0
234,0.0
235,1379.0
236,1366.0
237,1373.0
238,1328.0
239,1317.0
240,1343.0
241,1337.0
242,1401.0
243,1288.0
244,1410.0
245,1420.0
246,1432.0
247,1453.0
248,1481.0
249,1490.0
250,1514.0
251,1486.0
252,1515.0
253,1524.0
254,1540.0
255,1529.0
256,1480.0
