Step,Value
0,0.0
1,477.2994689941406
2,493.4831848144531
3,499.1058349609375
4,533.002197265625
5,498.2988586425781
6,539.467529296875
7,0.0
8,0.0
9,470.52703857421875
10,475.2506408691406
11,517.834716796875
12,0.0
13,549.92333984375
14,499.4701843261719
15,529.7232666015625
16,0.0
17,481.59710693359375
18,547.9826049804688
19,0.0
20,499.6084899902344
21,0.0
22,503.66583251953125
23,485.5775146484375
24,497.0328674316406
25,547.8204345703125
26,521.8323364257812
27,534.884033203125
28,0.0
29,0.0
30,517.5913696289062
31,0.0
32,0.0
33,489.0774841308594
34,0.0
35,457.9353942871094
36,0.0
37,471.89031982421875
38,484.455322265625
39,0.0
40,467.4931945800781
41,490.1025695800781
42,0.0
43,493.8326416015625
44,524.8264770507812
45,0.0
46,495.59039306640625
47,0.0
48,498.23236083984375
49,497.87091064453125
50,0.0
51,0.0
52,0.0
53,0.0
54,468.5279846191406
55,487.61529541015625
56,0.0
57,528.8060302734375
58,0.0
59,0.0
60,457.1905822753906
61,516.4974975585938
62,471.1600646972656
63,490.51580810546875
64,468.6717529296875
65,519.4586791992188
66,536.8995971679688
67,483.36968994140625
68,478.45318603515625
69,483.6114196777344
70,0.0
71,509.5341491699219
72,0.0
73,493.0675964355469
74,493.93353271484375
75,496.5102233886719
76,503.7953186035156
77,0.0
78,0.0
79,481.6063537597656
80,487.2649841308594
81,543.1021118164062
82,499.1565246582031
83,0.0
84,485.4032287597656
85,474.6848449707031
86,0.0
87,0.0
88,535.7333374023438
89,472.08111572265625
90,490.6474304199219
91,545.4313354492188
92,496.97967529296875
93,547.1614990234375
94,481.82183837890625
95,0.0
96,0.0
97,493.1382141113281
98,556.669189453125
99,504.5811767578125
100,519.3047485351562
101,0.0
102,487.6317443847656
103,490.1614074707031
104,486.6002502441406
105,515.2886962890625
106,481.055419921875
107,497.656982421875
108,506.9089050292969
109,550.2926025390625
110,552.9774780273438
111,552.3037719726562
112,552.6348266601562
113,0.0
114,473.51104736328125
115,480.9770812988281
116,487.7933654785156
117,486.2271423339844
118,499.0672912597656
119,509.31988525390625
120,0.0
121,496.0679016113281
122,524.4489135742188
123,475.61199951171875
124,533.4933471679688
125,511.3230895996094
126,0.0
127,0.0
128,0.0
129,549.7559204101562
130,509.1743469238281
131,535.5970458984375
132,473.0559997558594
133,470.3000793457031
134,536.7032470703125
135,476.87188720703125
136,474.628662109375
137,482.5711364746094
138,474.02386474609375
139,546.52783203125
140,0.0
141,0.0
142,470.71044921875
143,537.7250366210938
144,500.5958251953125
145,0.0
146,0.0
147,509.792724609375
148,483.0007629394531
149,488.6957092285156
150,477.2088623046875
151,477.7389221191406
152,541.4789428710938
153,547.839599609375
154,490.9813537597656
155,487.9451904296875
156,483.8503112792969
157,0.0
158,482.2085876464844
159,476.7743225097656
160,506.87298583984375
161,477.39556884765625
162,467.068359375
163,536.1407470703125
164,0.0
165,486.41766357421875
166,477.0165100097656
167,536.5387573242188
168,481.2641296386719
169,505.84765625
170,527.7528686523438
171,535.9833984375
172,523.7637329101562
173,498.94976806640625
174,510.3593444824219
175,517.7955932617188
176,483.3363037109375
177,502.93048095703125
178,496.42974853515625
179,504.08587646484375
180,488.7241516113281
181,481.98931884765625
182,478.2253723144531
183,0.0
184,473.3625183105469
185,501.83868408203125
186,483.4676208496094
187,473.1466979980469
188,492.2098083496094
189,542.8741455078125
190,493.92926025390625
191,492.2594299316406
192,482.80743408203125
193,520.3789672851562
194,548.8069458007812
195,493.5846252441406
196,523.2811889648438
197,521.5477294921875
198,0.0
199,474.6807861328125
200,482.4986877441406
201,481.5158996582031
202,519.4021606445312
203,484.37847900390625
204,485.2285461425781
205,510.3753967285156
206,548.4722290039062
207,537.7704467773438
208,551.2180786132812
209,545.5720825195312
210,541.9659423828125
211,499.696533203125
212,506.4599304199219
213,512.3756103515625
214,471.8238525390625
215,476.573486328125
216,478.93218994140625
217,490.789794921875
218,482.2806091308594
219,517.8457641601562
220,477.1585388183594
221,494.95355224609375
222,475.64666748046875
223,478.8103942871094
224,477.9252014160156
225,517.2852172851562
226,544.9923706054688
227,474.44683837890625
228,505.6725158691406
229,489.51922607421875
230,478.22393798828125
231,502.48699951171875
232,468.9509582519531
233,455.9147644042969
234,466.39520263671875
235,462.4225158691406
236,458.3504943847656
237,461.2652587890625
238,469.4326477050781
239,468.2132568359375
240,480.5294189453125
241,480.6888732910156
242,486.3341369628906
243,470.0411071777344
244,481.14453125
245,475.71044921875
246,506.89105224609375
247,517.57275390625
248,551.2614135742188
249,490.688720703125
250,532.8079833984375
251,516.912109375
252,522.6077880859375
253,490.48187255859375
254,492.3388977050781
255,489.8660583496094
256,502.6499328613281
257,494.7431335449219
258,510.5400390625
259,483.44183349609375
260,535.0535278320312
261,488.5254211425781
262,492.6664123535156
263,508.75738525390625
264,489.9875183105469
265,489.4133605957031
