Step,Value
0,4972380.5
1,836943.0625
2,5323928.0
3,3333333.5
4,1045158.5
5,385980.21875
6,7274161.5
7,7716131.0
8,4727390.5
9,31392.50390625
10,110094.2734375
11,41374.7265625
12,9782472.0
13,1049788.625
14,4972381.5
15,4591394.5
16,108675.4296875
17,108675.4296875
18,39901.75390625
19,102686.59375
20,3376990.75
21,9559212.0
22,3333333.5
23,51066.84375
24,2490138.5
25,3434967.0
26,7956903.5
27,8319137.0
28,405466.78125
29,284262.71875
30,37387.9140625
31,4988550.5
32,9755602.0
33,383038.46875
34,8980566.0
35,53283.84765625
36,79276.4765625
37,1377253.125
38,4972381.5
39,6635318.0
40,1898427.625
41,165450.875
42,9618491.0
43,3862201.75
44,4407094.0
45,9780290.0
46,4223099.5
47,4538155.5
48,5633063.5
49,4972381.5
50,6598165.0
51,96349.4609375
52,1509541.75
53,5591269.5
54,211192.046875
55,2847926.25
56,108675.4296875
57,8729689.0
58,9782649.0
59,6032274.0
60,1421676.125
61,37457.21484375
62,108716.9921875
63,155473.53125
64,108675.4296875
65,8305219.5
66,117364.3125
67,696532.75
68,566685.9375
69,3371674.5
70,9778960.0
71,45417.1796875
72,9782571.0
73,635416.5625
74,55238.171875
75,55235.2421875
76,531814.625
77,105067.4609375
78,9705722.0
79,224476.65625
80,466858.65625
81,1276909.375
82,55238.19921875
83,4397250.0
84,4282424.0
85,70348.6484375
86,9770398.0
87,120928.5234375
88,1983533.5
89,340189.15625
90,4376403.0
91,9007304.0
92,622542.5
93,9048698.0
94,39132.609375
95,6515286.5
96,108675.4296875
97,55238.171875
98,4655737.5
99,4961103.0
100,4092418.0
101,88904.515625
102,55238.19921875
103,221999.21875
104,137233.234375
105,1785655.5
106,806387.125
107,55238.171875
108,141235.25
109,9506906.0
110,223055.8125
111,186870.671875
112,2047585.75
113,184055.796875
114,99687.015625
115,872328.75
116,40360.5078125
117,55238.171875
118,4992250.0
119,130330.78125
120,141822.515625
121,98158.8046875
122,9717316.0
123,57064.83203125
124,80698.96875
125,73064.109375
126,9780798.0
127,9087975.0
128,4874038.0
129,9727728.0
130,4130110.25
131,9441626.0
132,106446.875
133,74393.453125
134,470511.71875
135,345013.59375
136,701958.1875
137,44237.74609375
138,1673620.0
139,865600.125
140,5861148.0
141,234548.0
142,124066.21875
143,500144.28125
144,55238.171875
145,64953.1015625
146,6100775.0
147,33245.48046875
148,218877.4375
149,791923.75
150,77288.640625
151,54308.62890625
152,122465.0
153,6055764.0
154,250674.875
155,120667.1484375
156,144969.453125
157,9778773.0
158,520945.0
159,88069.734375
160,6938217.5
161,3267274.75
162,163301.828125
163,196984.3125
164,3139084.25
165,307348.0625
166,746993.125
167,75757.8828125
168,76202.4765625
169,285258.78125
170,214966.484375
171,269252.625
172,497291.3125
173,177389.125
174,249770.390625
175,113977.359375
176,370535.6875
177,1575763.375
178,29622.66015625
179,767197.6875
180,162660.59375
181,100619.25
182,139932.53125
183,8365935.5
184,92116.734375
185,252137.4375
186,132628.671875
187,195948.4375
188,230257.8125
189,137002.5625
190,97832.4921875
191,184924.515625
192,109377.3671875
193,1593031.0
194,3037026.25
195,260575.9375
196,353708.96875
197,321525.59375
198,6450263.5
199,606934.6875
200,427331.65625
201,456635.3125
202,344139.21875
203,467274.8125
204,286201.21875
205,294265.6875
206,364732.25
207,191744.8125
208,752292.625
209,388066.6875
210,562412.125
211,189387.015625
212,996215.25
213,1007922.875
214,526684.8125
215,410833.6875
216,439095.96875
217,427818.8125
218,150216.609375
219,433616.5625
220,438010.96875
221,579843.75
222,556639.8125
223,926650.6875
224,1025222.9375
225,612641.0625
226,864116.125
227,319341.40625
228,786917.8125
229,376587.78125
230,924521.0
231,294557.03125
232,379215.46875
233,378946.78125
234,415144.1875
235,395770.96875
236,268946.40625
237,365486.84375
238,682693.625
239,689833.4375
240,1170938.0
241,445597.6875
242,422960.96875
243,440664.15625
244,432618.0
245,287289.53125
246,568943.3125
247,1147714.0
248,605883.6875
249,363250.25
250,1039525.1875
251,629562.5
252,315348.5
253,268561.375
254,253815.546875
255,314606.46875
256,685093.375
257,448225.0
258,329198.46875
259,179873.3125
260,2956927.5
261,443535.90625
262,268605.84375
263,525254.875
264,907971.875
265,441127.71875
266,849556.25
267,340690.65625
268,2043695.25
269,450900.21875
270,463948.78125
271,377857.90625
272,353076.84375
273,620733.1875
274,249726.25
275,488709.21875
276,292675.84375
277,418373.90625
278,288766.0
279,297012.3125
280,380936.6875
281,314682.1875
282,437267.15625
283,566850.25
284,842881.75
285,296578.71875
286,352839.8125
287,373526.28125
288,823316.5
289,390339.6875
290,302472.375
291,447018.78125
292,614706.25
293,422968.28125
294,418148.3125
295,351293.3125
296,325228.34375
297,479831.0
298,556364.9375
299,978612.3125
300,603133.875
301,463909.0
302,522261.75
303,562420.875
304,274033.75
305,386038.28125
306,447393.71875
307,1297677.125
308,621579.9375
309,584380.0625
310,714333.5625
311,514532.46875
312,773131.875
313,328238.875
314,242075.640625
315,435791.375
316,772358.9375
317,389236.3125
318,401811.625
319,408913.375
320,415733.75
321,424687.125
322,630868.8125
323,299228.25
324,683485.0625
325,613581.0
326,443569.78125
327,368137.5
328,303859.8125
329,438141.4375
330,406711.21875
331,363874.6875
332,415482.71875
333,558617.3125
334,613091.125
335,471490.625
336,387291.3125
337,484962.875
338,673928.9375
339,822041.9375
340,455936.90625
341,445734.8125
342,611796.3125
343,370547.09375
344,342714.40625
345,275209.40625
346,392601.5
347,487695.78125
348,430907.40625
349,317568.375
350,470956.75
351,387136.59375
352,667730.875
353,971909.375
354,249106.890625
355,447849.03125
356,774738.9375
357,464716.78125
358,558161.3125
359,459152.71875
360,416912.46875
361,537517.75
362,734392.9375
363,270850.125
364,377352.0
365,430284.0625
366,395853.15625
367,377384.625
368,394588.21875
369,444475.21875
370,574178.9375
371,463757.84375
372,533083.875
373,316339.8125
374,420195.71875
375,358088.8125
376,375765.03125
377,508230.65625
378,487199.0625
379,540437.6875
380,513625.0
381,486362.71875
382,382204.15625
383,369105.3125
384,235790.296875
385,464966.375
386,405824.4375
387,558900.5
388,569112.0625
389,490706.40625
390,519829.71875
391,447889.3125
392,425902.5625
393,376562.21875
394,293352.125
395,323717.1875
396,399350.03125
397,608484.5625
398,632553.5625
399,490142.65625
400,1259160.75
401,420496.53125
402,442545.71875
403,394704.5
404,412431.8125
405,359925.15625
406,422311.3125
407,434194.21875
408,431097.03125
409,393357.9375
410,749156.625
411,404420.21875
412,406591.71875
413,370121.625
414,518425.21875
415,445782.90625
416,524253.0
417,358301.125
418,410909.8125
419,597643.5625
420,464248.46875
421,442259.6875
422,566136.5
423,497500.625
424,384778.3125
425,622229.75
426,385574.625
427,582893.6875
428,506567.8125
429,496938.59375
430,603766.375
431,437661.78125
432,458674.90625
433,515993.96875
434,437674.375
435,414151.875
436,449024.65625
437,448086.65625
438,908318.8125
439,395284.96875
440,409170.03125
441,424170.875
442,441740.625
443,435132.5625
444,617037.8125
445,464546.34375
446,510711.40625
447,531731.5625
448,432570.625
449,459717.3125
450,480187.09375
451,666737.0625
452,556170.0625
453,468589.25
454,430174.625
455,454639.5
456,401624.15625
457,551533.625
458,847075.625
459,656265.5625
460,680202.75
461,553007.6875
462,488185.84375
463,384962.375
464,381785.75
465,393080.15625
466,413691.59375
467,462115.0
468,497240.875
469,513515.5
470,728169.375
471,506224.375
472,461645.15625
473,455042.96875
474,381773.34375
475,490870.1875
476,484131.46875
477,493173.4375
478,425823.96875
479,433084.8125
480,468106.5
481,462895.375
482,484158.78125
483,515771.96875
484,522673.875
485,438116.0
486,482201.875
487,467535.375
488,449305.21875
489,447734.21875
490,399637.9375
491,443664.1875
492,565169.25
493,457933.8125
494,467376.625
495,469349.59375
496,412542.21875
497,453034.0
498,436399.59375
499,397961.25
500,467965.09375
501,478120.25
502,520244.3125
503,508468.6875
504,471722.75
505,690947.875
506,357831.9375
507,398476.5
508,402947.5
509,405372.15625
510,446736.59375
511,649349.0625
512,516385.21875
513,421721.96875
514,409045.34375
515,355307.96875
516,409067.5625
517,413113.34375
518,437295.625
519,548228.3125
520,675103.125
521,711414.4375
522,508186.34375
523,519966.21875
524,424638.46875
525,337806.28125
526,518972.15625
527,855393.25
528,426338.90625
529,489022.875
530,562911.5
531,457605.34375
532,518711.875
533,488225.21875
534,487718.5
535,429753.375
536,661003.875
537,520430.90625
538,525398.5625
539,446708.25
540,462009.71875
541,436160.8125
542,487849.71875
