Step,Value
1,193.94302368164062
2,196.3937530517578
3,213.507568359375
4,208.48715209960938
5,208.56997680664062
6,207.7472381591797
7,209.61831665039062
8,211.0557861328125
9,205.44235229492188
10,206.84674072265625
11,204.88314819335938
12,210.3332977294922
13,202.9654083251953
14,207.2348175048828
15,207.38482666015625
16,204.74317932128906
17,204.2037353515625
18,199.8163299560547
19,208.6796875
20,218.7955322265625
21,209.5417938232422
22,200.6526336669922
23,200.21412658691406
24,209.15834045410156
25,202.81272888183594
26,207.22080993652344
27,210.82615661621094
28,204.7152099609375
29,206.0349884033203
30,205.09620666503906
31,207.25257873535156
32,203.5378875732422
33,203.56317138671875
34,208.41481018066406
35,209.85540771484375
36,205.8318634033203
37,205.7008514404297
38,198.6121826171875
39,202.2715301513672
40,203.37454223632812
41,204.88040161132812
42,201.2778778076172
43,198.52615356445312
44,205.35862731933594
45,201.44149780273438
46,209.95619201660156
47,204.79867553710938
48,210.76580810546875
49,199.27088928222656
50,200.17779541015625
51,200.92181396484375
52,197.02606201171875
53,209.29736328125
54,201.6129150390625
55,211.1568603515625
56,207.5966033935547
57,204.60850524902344
58,203.732666015625
59,201.90904235839844
60,208.62274169921875
61,205.44305419921875
62,204.95327758789062
63,207.08543395996094
64,212.63218688964844
65,207.50860595703125
66,210.30551147460938
67,201.5735321044922
68,204.8333740234375
69,208.66510009765625
70,212.42886352539062
71,203.5100555419922
72,199.7852325439453
73,202.45484924316406
74,207.31361389160156
75,203.99191284179688
76,206.76953125
77,203.27145385742188
78,210.06459045410156
79,197.09376525878906
80,206.04623413085938
81,199.46571350097656
82,211.7738494873047
83,201.92184448242188
84,205.35858154296875
85,202.53543090820312
86,211.08164978027344
87,202.82244873046875
88,204.62521362304688
89,212.45411682128906
90,206.50498962402344
91,205.5532684326172
92,212.81092834472656
93,208.4077606201172
94,205.636474609375
95,197.69041442871094
96,205.31016540527344
97,211.82723999023438
98,200.31991577148438
99,214.90638732910156
100,208.92062377929688
101,213.62225341796875
102,211.98443603515625
103,210.97286987304688
104,205.80572509765625
105,208.17214965820312
106,209.927490234375
107,202.13795471191406
108,206.85018920898438
109,210.50425720214844
110,205.12278747558594
111,199.55038452148438
112,203.62774658203125
113,208.7373046875
114,209.67005920410156
115,201.4031219482422
116,202.14605712890625
117,207.58230590820312
118,205.46566772460938
119,207.7613525390625
120,210.86734008789062
121,208.92799377441406
122,205.87075805664062
123,211.82135009765625
124,202.71322631835938
125,204.4849090576172
126,209.28775024414062
127,200.83473205566406
128,203.94334411621094
129,209.6181640625
130,205.5797576904297
131,205.91778564453125
132,208.1586456298828
133,196.99615478515625
134,207.54959106445312
135,205.88333129882812
136,208.06871032714844
137,212.9981231689453
138,197.3634796142578
139,207.09613037109375
140,201.05458068847656
141,211.3760986328125
142,212.94671630859375
143,212.56875610351562
144,199.71876525878906
145,212.35304260253906
146,208.10476684570312
147,208.13783264160156
148,211.94786071777344
149,205.18824768066406
150,201.48040771484375
151,210.91993713378906
152,213.64646911621094
153,207.73324584960938
154,204.21023559570312
155,213.33975219726562
156,204.65744018554688
157,206.73501586914062
158,206.99490356445312
159,204.76333618164062
160,204.76702880859375
161,203.93966674804688
162,208.6181182861328
163,207.38026428222656
164,209.6019744873047
165,209.7754669189453
166,205.58705139160156
167,207.59478759765625
168,201.7854766845703
169,207.11239624023438
170,210.84963989257812
171,211.44436645507812
172,204.434814453125
173,215.95579528808594
174,209.06881713867188
175,207.8473358154297
176,207.3878631591797
177,198.42855834960938
178,215.14942932128906
179,199.94088745117188
180,213.35989379882812
181,203.8979034423828
182,205.0963897705078
183,206.2709503173828
184,207.27456665039062
185,209.82583618164062
186,211.61801147460938
187,203.1527557373047
188,198.7498016357422
189,199.55616760253906
190,200.6237335205078
191,209.47149658203125
192,210.68247985839844
193,205.13636779785156
194,213.24098205566406
195,204.0771484375
196,208.6280059814453
197,205.46630859375
198,198.83255004882812
199,204.34080505371094
200,206.87307739257812
201,208.3145751953125
202,207.57200622558594
203,211.15211486816406
204,201.4510955810547
205,203.75039672851562
206,200.26187133789062
207,198.42640686035156
208,204.6214599609375
209,208.49807739257812
210,201.2929229736328
211,210.64837646484375
212,201.2648468017578
213,201.72525024414062
214,201.0279541015625
215,201.46372985839844
216,198.9810791015625
217,199.5065460205078
218,201.74755859375
219,210.77745056152344
220,203.6756591796875
221,206.45443725585938
222,201.3187713623047
223,206.23828125
224,196.36219787597656
225,200.44541931152344
226,210.29147338867188
227,204.3005828857422
228,195.77755737304688
229,200.66270446777344
230,199.95541381835938
231,208.53504943847656
232,204.22894287109375
233,205.48756408691406
234,196.7061767578125
235,205.48867797851562
236,195.48597717285156
237,199.13197326660156
238,203.9059600830078
239,195.68678283691406
240,199.86839294433594
241,194.51771545410156
242,192.72169494628906
243,201.56051635742188
244,213.8976287841797
245,202.94801330566406
246,199.61245727539062
247,199.3312530517578
248,196.4627227783203
249,204.36184692382812
250,204.07981872558594
251,200.37490844726562
252,198.63345336914062
253,202.9273681640625
254,193.2521514892578
255,201.44908142089844
256,194.15089416503906
257,202.726318359375
258,200.47166442871094
259,202.82583618164062
260,194.71897888183594
261,199.32177734375
262,202.21026611328125
263,204.0014190673828
264,196.65576171875
265,197.10745239257812
266,201.9742431640625
267,202.65325927734375
268,197.19126892089844
269,196.89657592773438
270,209.00863647460938
271,204.62319946289062
272,200.3556365966797
273,201.1326446533203
274,202.052001953125
275,198.0682830810547
276,195.56202697753906
277,206.2920379638672
278,198.6221160888672
279,201.65089416503906
280,196.09510803222656
281,198.54107666015625
282,195.73448181152344
283,210.5911865234375
284,201.598388671875
285,198.6314239501953
286,195.23202514648438
287,211.26455688476562
288,199.73458862304688
289,197.6022491455078
290,198.7786865234375
291,203.26385498046875
292,199.7776641845703
293,194.6230010986328
294,198.7767791748047
295,207.2397918701172
296,197.85060119628906
297,199.4317169189453
298,202.87408447265625
299,199.0413055419922
300,195.29776000976562
301,195.9506072998047
302,200.6234588623047
303,199.9733123779297
304,196.0636444091797
305,194.8827667236328
306,194.77023315429688
307,205.19850158691406
308,199.55825805664062
309,198.71371459960938
310,195.11590576171875
311,204.26617431640625
312,195.44725036621094
313,197.40750122070312
314,202.80116271972656
315,203.80471801757812
316,190.03135681152344
317,195.6177978515625
318,187.74920654296875
319,203.21485900878906
320,192.9913787841797
321,192.8063507080078
322,196.7776641845703
323,190.75706481933594
324,192.8147430419922
325,195.8391571044922
326,190.9019775390625
327,192.1192626953125
328,191.16366577148438
329,189.37306213378906
330,192.4104461669922
331,198.11260986328125
332,194.36692810058594
333,193.16058349609375
334,192.77943420410156
335,193.71347045898438
336,188.77696228027344
337,198.80572509765625
338,193.55364990234375
339,198.91233825683594
340,188.66000366210938
341,188.10345458984375
342,200.24449157714844
343,196.52854919433594
344,195.72439575195312
345,189.42832946777344
346,189.03781127929688
347,194.08016967773438
348,198.75262451171875
349,193.10498046875
350,192.8547821044922
351,198.48207092285156
352,198.04222106933594
353,190.22962951660156
354,199.09158325195312
355,194.70497131347656
356,196.65768432617188
357,198.45298767089844
358,189.70326232910156
359,200.80377197265625
360,188.9720916748047
361,192.04660034179688
362,192.28932189941406
363,190.18331909179688
364,191.2209014892578
365,194.1517791748047
366,192.88319396972656
367,194.71182250976562
368,188.4467315673828
369,200.01963806152344
370,201.4836883544922
371,194.98016357421875
372,194.79473876953125
373,192.52618408203125
374,200.53289794921875
375,199.80929565429688
376,199.04510498046875
377,197.12249755859375
378,193.23715209960938
379,198.8174591064453
380,201.9107208251953
381,196.26400756835938
382,201.57235717773438
383,194.2342071533203
384,190.00209045410156
385,197.86936950683594
386,192.5759735107422
387,194.19717407226562
388,201.50820922851562
389,188.93045043945312
390,195.3106231689453
391,184.247802734375
392,195.23214721679688
393,195.978271484375
394,193.73101806640625
395,191.50221252441406
396,199.4242401123047
397,191.78399658203125
398,193.84214782714844
399,198.1422576904297
400,189.93873596191406
