Step,Value
1,38742160.0
2,38742160.0
3,37269828.0
4,35767872.0
5,35079076.0
6,35643420.0
7,36648528.0
8,37723440.0
9,38227704.0
10,40229160.0
11,42146948.0
12,37014756.0
13,38420148.0
14,37414780.0
15,37840548.0
16,36347848.0
17,35026296.0
18,33102126.0
19,32624870.0
20,32046208.0
21,33381502.0
22,32965392.0
23,34836932.0
24,36006624.0
25,37149244.0
26,39244288.0
27,37376908.0
28,38436148.0
29,39599060.0
30,38344828.0
31,37289504.0
32,35844816.0
33,36279292.0
34,32164788.0
35,34359348.0
36,33191412.0
37,31423258.0
38,32230852.0
39,35752788.0
40,35832772.0
41,37786836.0
42,41894616.0
43,44725256.0
44,44557196.0
45,44964284.0
46,47154048.0
47,44047828.0
48,48467736.0
49,50279764.0
50,43735720.0
51,43143580.0
52,41396712.0
53,40396736.0
54,39924484.0
55,41567480.0
56,40728028.0
57,40916068.0
58,38810212.0
59,38308224.0
60,39029460.0
61,34603968.0
62,29009382.0
63,31687924.0
64,33038198.0
65,31108404.0
66,31192048.0
67,31422932.0
68,29307900.0
69,29540038.0
70,31758964.0
71,34596296.0
72,31388442.0
73,33823668.0
74,33414282.0
75,33861964.0
76,32781208.0
77,33512738.0
78,34705264.0
79,31333430.0
80,34411876.0
81,35653220.0
82,35854448.0
83,37371444.0
84,36508380.0
85,41197980.0
86,43566768.0
87,47755948.0
88,46375544.0
89,47171100.0
90,47278636.0
91,47781420.0
92,46062956.0
93,44876712.0
94,40101816.0
95,40289672.0
96,43034388.0
97,41724648.0
98,37975908.0
99,38489608.0
100,38699684.0
101,40543252.0
102,38616852.0
103,37285076.0
104,37048952.0
105,37315372.0
106,38628116.0
107,38386560.0
108,43284176.0
109,1479107.625
110,37981080.0
111,770012.375
112,23962.0
113,28068.3125
114,22109.86328125
115,167895.765625
116,41285.8203125
117,22460.89453125
118,52986.03515625
119,25609388.0
120,615420.3125
121,107967.8359375
122,137010.890625
123,81927.953125
124,34007.82421875
125,84725.5546875
126,19851462.0
127,664555.3125
128,18751660.0
129,616110.875
130,20583502.0
131,27662104.0
132,27592594.0
133,26651766.0
134,27371116.0
135,30221286.0
136,30776386.0
137,32728076.0
138,35382944.0
139,36563420.0
140,33682408.0
141,38220648.0
142,39362076.0
143,38410812.0
144,39156492.0
145,37852104.0
146,39849036.0
147,41425552.0
148,40781072.0
149,43115720.0
150,40198740.0
151,41689964.0
152,44344536.0
153,39158068.0
154,40798880.0
155,39515440.0
156,40221172.0
157,39563816.0
158,43329604.0
159,42914188.0
160,39870236.0
161,36156732.0
162,36965768.0
163,37102708.0
164,37128460.0
165,36934932.0
166,36440652.0
167,35896168.0
168,36112232.0
169,38370708.0
170,41939288.0
171,39280564.0
172,41358732.0
173,41365192.0
174,41687700.0
175,40838048.0
176,41235620.0
177,39765748.0
178,39192648.0
179,42543272.0
180,41992024.0
181,42271228.0
182,40036800.0
183,37387760.0
184,34668688.0
185,35153236.0
186,32928194.0
187,35008004.0
188,34388160.0
189,32515668.0
190,31934866.0
191,34497228.0
192,37393272.0
193,34724584.0
194,36593636.0
195,38702232.0
196,40212948.0
197,45035436.0
198,44642824.0
199,43067296.0
200,44093952.0
201,45117904.0
202,47478416.0
203,49172296.0
