Step,Value
1,387388.28125
2,282428.6875
3,3376049.5
4,1558405.75
5,6160117.0
6,3228656.0
7,5365442.5
8,1294094.625
9,6122612.0
10,3738408.0
11,1796546.875
12,2758597.75
13,2149447.25
14,1942077.125
15,2520707.0
16,2317189.25
17,6682766.5
18,101998.8203125
19,1419937.0
20,2786603.5
21,4189377.5
22,567547.3125
23,4490053.5
24,3594363.75
25,1457355.875
26,1188400.0
27,3080369.25
28,2892351.25
29,1711505.625
30,3006886.25
31,659990.1875
32,2533173.5
33,337049.625
34,2760627.5
35,1965543.375
36,1154349.25
37,4187223.0
38,6103620.0
39,6695465.0
40,787565.4375
41,5977457.0
42,3290326.25
43,6329435.0
44,3912634.75
45,1934302.125
46,6472674.5
47,4848181.5
48,9000881.0
49,2740891.5
50,785670.5625
51,276639.625
52,3835213.5
53,1441606.75
54,5502804.0
55,861067.0
56,857048.0625
57,4057445.75
58,3587803.75
59,2768478.75
60,3315695.5
61,5702327.0
62,1663958.0
63,1630830.0
64,240965.5
65,1006128.5
66,1807211.0
67,1636427.375
68,6182564.0
69,7707363.5
70,5814709.0
71,5871305.0
72,2312480.0
73,526386.9375
74,6987908.0
75,1099693.875
76,299441.53125
77,503989.875
78,1093291.0
79,2194233.5
80,565661.125
81,4657191.0
82,5810184.5
83,1047599.0
84,446093.21875
85,1613820.75
86,2205367.0
87,4939169.5
88,1667431.625
89,6375384.5
90,298134.71875
91,3676266.75
92,4756142.0
93,5141904.5
94,6579953.5
95,2560007.5
96,1184139.875
97,4915068.0
98,7908280.0
99,4492090.0
100,7952819.0
101,1757560.125
102,2441893.0
103,3634112.5
104,5193065.5
105,5133741.0
106,858692.875
107,3412599.75
108,600872.8125
109,5825869.0
110,737864.875
111,1214228.0
112,755813.375
113,1760947.5
114,168510.171875
115,388895.96875
116,8973024.0
117,78366.4453125
118,105225.8828125
119,1405779.0
120,3972244.75
121,2589415.25
122,1131250.0
123,3113074.5
124,2373065.0
125,2402868.0
126,655533.0625
127,7331287.5
128,5879315.0
129,493466.40625
130,8002773.0
131,1013408.625
132,4528816.5
133,1935359.625
134,2738902.5
135,3267408.5
136,362054.53125
137,788392.0
138,4924521.0
139,1629295.625
140,6056218.5
141,2666965.5
142,5624820.5
143,5252468.0
144,1900921.125
145,918639.375
146,691701.9375
147,1836132.375
148,1518266.375
149,4307875.0
150,4086665.0
151,2445016.5
152,4235527.0
153,2736147.75
154,5749987.0
155,6557668.0
156,648308.5
157,901024.625
158,1770514.75
159,5498587.5
160,1084387.75
161,3516483.25
162,8976629.0
163,849474.875
164,7705552.5
165,452374.59375
166,1392909.375
167,2589876.0
168,1124708.75
169,990386.4375
170,2630600.25
171,2791000.25
172,616030.9375
173,1585066.375
174,1848719.375
175,6344037.0
176,2302104.75
177,8453220.0
178,156351.53125
179,2106505.75
180,1890424.0
181,3145632.25
182,2011833.875
183,261743.828125
184,7251296.0
185,6772737.5
186,5337718.5
187,6057727.5
188,1619475.0
189,144163.546875
190,5292377.0
191,797311.875
192,3014625.25
193,4520484.5
194,3349110.5
195,5049060.5
196,2341142.5
197,5809217.0
198,6837362.5
199,419040.84375
200,5187103.5
201,41627.05078125
202,2823577.25
203,8992897.0
204,109597.8046875
205,5634964.5
206,3323672.5
207,947986.375
208,1382670.5
209,421665.96875
210,3263755.75
211,2374251.25
212,600009.4375
213,909962.875
214,2034730.5
215,2393599.25
216,7378891.0
217,1771362.0
218,8710655.0
219,4012438.0
220,5492511.5
221,1706751.125
222,5458724.0
223,5379155.5
224,3490694.5
225,81636.7578125
226,382477.78125
227,428746.21875
228,1615251.875
229,842227.875
230,2385579.0
231,5790821.5
232,1771979.125
233,4590913.5
234,2091740.375
235,4160379.75
236,883959.375
237,3460883.25
238,3450513.75
239,3327480.5
240,6193067.5
241,1495505.25
242,6608916.0
243,1659521.875
244,5643245.5
245,1116147.75
246,8009537.0
247,1420895.75
248,9145827.0
249,3512777.5
250,2249845.25
251,2198736.0
252,2746580.75
253,6268509.0
254,2091716.125
255,3648531.25
256,6309303.5
257,8843163.0
258,6498078.5
259,1245093.75
260,673453.0625
261,7033488.0
262,2281737.5
263,874792.4375
264,1881218.5
265,3899984.75
266,7944721.5
267,3027357.5
268,1337055.75
269,5986812.5
270,2371346.75
271,1057904.125
272,5633355.0
273,9660346.0
274,7400200.5
275,4098830.25
276,1889308.5
277,5203639.5
278,417968.375
279,1044862.5
280,3726765.5
281,353827.5
282,7963042.5
283,413225.53125
284,3795228.25
285,5731102.0
286,1844168.5
287,617783.1875
288,1744543.75
289,2988456.25
290,7482721.0
291,4664731.0
292,3634598.75
293,2098298.75
294,5223105.5
295,5177848.5
296,2911758.0
297,6927702.0
298,7316233.5
299,8029369.5
300,5927719.0
301,2065953.0
302,310825.78125
303,1896249.0
304,4087727.25
305,1550087.125
306,1919599.875
307,309477.90625
308,265770.09375
309,2052694.125
310,2846228.25
311,1371626.0
312,361061.28125
313,77872.9296875
314,863996.875
315,2689205.75
316,6157487.0
317,8970698.0
318,7949399.0
319,4426905.0
320,9445446.0
321,6468815.0
322,3810036.0
323,2994342.75
324,1042836.75
325,1019735.9375
326,3705899.5
327,2804241.75
328,3232555.5
329,3847736.0
330,496453.0
331,1673458.875
332,613313.75
333,3466625.75
334,2139952.0
335,3423717.0
336,8305045.5
337,310478.125
338,8419268.0
339,5944099.0
340,6956695.5
341,7899886.0
342,797759.9375
343,2272165.0
344,1380268.875
345,8016613.0
346,2310486.5
347,1645359.5
348,477705.4375
349,3229033.75
350,5507132.0
351,60291.19140625
352,6352439.5
353,95378.4609375
354,917366.125
355,3238794.0
356,3027089.0
357,7264667.5
358,2925798.0
359,2866354.25
360,1929035.0
361,1739095.125
362,7363981.5
363,3105789.0
364,610455.375
365,8841265.0
366,1533652.875
367,6741814.0
368,442924.375
369,334331.53125
370,3291608.5
371,1186194.125
372,4097876.0
373,2316948.0
374,5428837.5
375,4980325.0
376,1189809.5
377,6182549.5
378,2430475.25
379,3410847.75
380,408510.0
381,1471266.25
382,672782.875
383,7703255.5
384,2627812.25
385,2965434.0
386,2807208.0
387,3958395.0
388,1226763.25
389,118803.34375
390,1682377.625
391,574019.5
392,2485235.75
393,1796602.75
394,4055412.75
395,2242343.5
396,830112.625
397,3680775.25
398,5215327.0
399,204172.640625
400,4133718.0
401,1396179.625
402,826399.0
403,6955633.0
404,563767.625
405,1763510.875
406,442313.5625
407,1737783.375
408,122384.234375
409,493904.65625
410,5169643.0
411,903466.1875
412,686652.875
413,5658235.5
414,5986423.5
415,7015973.5
416,4308148.5
417,293042.5625
418,1843117.5
419,6943715.0
420,693985.625
421,5014449.0
422,3599753.0
423,4953140.5
424,2215242.75
425,8331200.5
426,6375054.5
427,8839556.0
428,3531029.0
429,977765.375
430,9301283.0
431,541601.3125
432,772526.3125
433,833022.5
434,2459174.75
435,4702192.0
436,6190273.0
437,5076140.0
438,5027647.5
439,3185681.75
440,7834111.5
441,6323368.0
442,2110575.5
443,263333.21875
444,6739008.0
445,654841.0
446,910096.5625
447,1181240.5
448,837951.75
449,2956569.0
450,2622390.0
451,5754428.0
452,4086265.75
453,3059916.5
454,1173797.75
455,4261475.5
456,973378.0625
457,98013.6015625
458,5164446.0
459,7422818.5
460,4794655.5
461,4650903.5
462,4021813.5
463,3150885.0
464,333007.84375
465,2328926.0
466,388640.46875
467,5461132.5
468,452177.125
469,5372751.5
470,1499349.125
471,7194493.5
472,1642905.5
473,4573539.5
474,5294377.0
475,883374.1875
476,2291593.5
477,7948495.5
478,3757065.75
479,3499727.75
480,1379285.125
481,3631510.25
482,1984622.5
483,6900508.0
484,3439844.75
485,6139486.0
486,7423592.0
487,95806.3984375
488,3413942.75
489,1616299.625
490,2259936.25
491,4987899.5
492,3867086.25
493,801781.25
494,3351751.75
495,785100.6875
496,8081429.0
497,5242913.0
498,638448.125
499,1938559.25
500,1456151.25
501,1058139.125
502,2597100.25
503,3523820.0
504,7225749.0
505,8203541.5
506,3826460.75
507,1184215.0
508,3480128.25
509,823763.6875
510,987364.25
511,153946.78125
512,3362600.75
513,5867522.0
514,1050397.125
515,1173943.0
516,2733518.75
517,8780731.0
518,1005323.4375
519,6302824.5
520,7988355.0
521,1211351.0
522,1311677.125
523,4706188.0
524,1802380.125
525,246083.40625
526,272944.375
527,6635164.0
528,4785243.5
529,6921818.5
530,8760309.0
531,3345894.25
532,6115651.0
533,4293322.0
534,5822601.5
535,1109778.25
536,5950258.5
537,9282125.0
538,4510325.0
539,3992512.75
540,4831856.0
541,1838105.375
542,8474266.0
543,815731.9375
544,9689502.0
545,5726999.5
546,4985222.5
547,9501387.0
548,8266305.5
549,9009804.0
550,6546532.0
551,1033609.4375
552,248997.859375
553,8428372.0
554,985500.8125
555,7148618.5
556,2928992.0
557,3009248.5
558,909992.4375
559,6816930.0
560,1035675.4375
561,2250773.25
562,6627744.5
563,4981329.0
564,4836373.5
565,1928226.75
566,4143819.5
567,699809.3125
568,8040347.5
569,1207123.125
570,5573898.5
571,1727537.125
572,3376992.75
573,7370999.0
574,517575.03125
575,8317611.0
576,3606428.75
577,949363.25
578,894961.1875
579,6508669.5
580,204033.5
581,3111056.75
582,6294660.5
583,1920939.375
584,3248018.0
585,6887281.0
586,446163.09375
587,9112887.0
588,983157.6875
589,3239135.5
590,4084776.25
591,72838.140625
592,7976483.5
593,4904499.5
594,8430924.0
595,4232342.5
596,488168.3125
597,1058333.125
598,8507481.0
599,7890624.0
600,8936192.0
601,2387402.75
602,1921190.375
603,730254.4375
604,4207410.0
605,1470307.75
606,2292226.0
607,3240154.75
608,6493100.5
609,1390778.625
610,9414572.0
611,8851763.0
612,270010.09375
613,4948545.0
614,1668099.375
615,8427428.0
616,6828003.5
617,6361390.5
618,2092713.0
619,5599707.0
620,5664732.5
621,2328229.75
622,2074503.25
623,5885517.5
624,2182757.5
625,3529424.75
626,5579966.5
627,6042762.0
628,3528778.25
629,410907.8125
630,1568037.0
631,8377685.0
632,2412492.25
633,446055.34375
634,461507.9375
635,768830.5
636,2954524.75
637,9153894.0
638,1264084.875
639,9281775.0
640,1921113.125
641,3093629.75
642,5680866.0
643,1558180.75
644,6632102.5
645,6791063.5
646,2112522.75
647,6016607.5
648,918410.875
649,5480655.5
650,695032.3125
651,4384104.5
652,4417537.0
653,528350.9375
654,2884465.25
655,6260153.5
656,4100574.5
657,1941490.75
658,4915025.0
659,5617307.5
660,4338182.5
661,7468968.5
662,5166374.5
663,6854388.5
664,4088871.5
665,4239081.0
666,3921665.75
667,4617660.5
668,1379007.5
669,7122102.0
670,6292059.0
671,5067957.5
672,8107466.5
673,7108667.0
674,317584.34375
675,6973074.5
676,7929274.5
677,2055155.75
678,1655259.875
679,5825178.5
680,4043817.5
681,3855499.0
682,2615536.25
683,7016328.0
684,5140262.0
685,6611182.0
686,2279292.5
687,7688032.5
688,9604794.0
689,3704798.5
690,5526814.0
691,9152056.0
692,7629528.5
693,217228.140625
694,4146747.0
695,3867440.5
696,2721298.25
697,3440302.0
698,441518.03125
699,3474436.75
700,2228362.5
701,1650217.625
702,3139098.25
703,6391563.5
704,7228919.5
705,7345912.0
706,6340219.5
707,1328190.375
708,6246514.5
709,5398924.5
710,3087565.0
711,1884622.25
712,5521597.5
713,8021235.5
714,5628710.5
715,4854294.5
716,8411849.0
717,9012939.0
718,5442054.5
719,6292518.0
720,6634532.0
721,3904447.5
722,4966987.0
723,6162305.0
724,1125559.375
725,740700.4375
726,3377690.25
727,5773741.5
728,5642528.0
729,6973101.5
730,4434443.5
731,5903163.5
732,8796231.0
733,7687860.5
734,2966438.75
735,5919740.0
736,5693725.5
737,2803197.0
738,7059571.5
739,262814.3125
740,7931024.5
741,2422978.5
742,3641683.5
743,2885515.5
744,6584504.0
745,5029744.5
746,3929547.0
747,1035809.5
748,916484.9375
749,4945550.0
750,7423392.5
751,8408539.0
752,8192318.5
753,3864314.25
754,5769654.0
755,4216693.5
756,7984054.0
757,2218438.75
758,8129450.5
759,7904080.5
760,2895903.5
761,795725.4375
762,1679613.875
763,6384188.5
764,647080.8125
765,5362234.0
766,766123.5625
767,6906148.0
768,1676491.75
769,2932325.5
770,6742142.0
771,7170394.0
772,1094736.75
773,7693417.0
774,1201092.75
775,8398485.0
776,5421574.5
777,1217093.0
778,6006607.5
779,3301816.0
780,1317873.0
781,8141061.5
782,5920936.0
783,1601364.0
784,6617580.5
785,6054772.0
786,6656142.0
787,2808431.0
788,5363915.0
789,3253911.5
790,8370445.0
791,3530003.25
792,7412058.5
793,1699214.0
794,7367035.5
795,2756776.25
796,4042024.0
797,2796701.0
798,3095369.0
799,6184555.5
800,6241023.0
801,3146709.0
802,4708902.0
803,4091957.75
804,2550391.75
805,9429806.0
806,2249203.0
807,2597327.0
808,4637027.5
809,7800744.0
810,3875132.25
811,1850865.0
812,1101476.5
813,4425095.5
814,2364871.0
815,2644494.5
816,959096.5625
817,5563418.5
818,8629768.0
819,733002.4375
820,3168853.5
821,3142277.0
822,2811038.5
823,7235043.5
824,4465548.0
825,1116108.25
826,3584236.75
827,1271369.125
828,7700182.0
829,4735445.0
830,6447977.5
831,528421.125
832,8020227.0
833,5962004.0
834,2954245.25
835,9270900.0
836,2635194.25
837,8561392.0
838,579730.0
839,5183561.0
840,694559.75
841,2585840.5
842,5775627.0
843,4869411.5
844,3213335.25
845,4278673.5
846,3025862.0
847,7634718.5
848,7017697.5
849,7342729.0
850,7516380.0
851,3111308.0
852,2528853.0
853,4838954.0
854,5123436.0
855,2520026.25
856,340666.625
857,1619686.125
858,2887879.0
859,4315212.5
860,8159562.0
861,1226929.0
862,7073537.5
863,7006962.5
864,2510422.75
865,5357106.5
866,7236769.0
867,1566106.625
868,8498994.0
869,5869728.5
870,4293982.0
871,7010595.0
872,858540.6875
873,5264941.5
874,1947377.375
875,3847326.75
876,3705108.25
877,4542386.0
878,7304139.5
879,5279459.5
880,5217997.0
881,6733209.5
882,383812.5625
883,1027320.6875
884,1008966.9375
885,6697808.0
886,6637676.5
887,9255566.0
888,1707682.75
889,3928640.75
890,4634558.5
891,3441552.75
892,8302198.5
893,1401817.0
894,4047563.75
895,5637129.0
896,5310585.0
897,4223180.0
898,5048076.0
899,3746767.0
900,2884969.0
901,8717850.0
902,1890602.75
903,1537391.75
904,5177555.5
905,7784220.0
906,425182.6875
907,5951885.0
908,2946242.0
909,4513338.0
910,6013736.5
911,499529.125
912,2763147.0
913,4352806.0
914,5365823.0
915,4274023.5
916,1396964.625
917,5020808.0
918,5594930.5
919,5251233.5
920,4195803.0
921,1974175.0
922,7672406.5
923,9217411.0
924,387744.375
925,9821171.0
926,2117821.25
927,7207376.5
928,8344799.5
929,8159334.0
930,6106158.5
931,1895275.25
932,258624.3125
933,1140293.75
934,3319585.5
935,3832721.5
936,602241.3125
937,7767572.0
938,7919794.5
939,2253451.0
940,5681318.5
941,1616547.375
942,9268074.0
943,3626998.0
944,7277432.5
945,6133530.0
946,640020.4375
947,4361360.5
948,2780855.25
949,1270415.875
950,2243403.5
951,4771565.0
952,2678143.0
953,4561691.5
954,7246842.0
955,1106577.0
956,1709872.625
957,2456804.25
958,5209447.0
959,5502119.0
960,4788753.5
961,5282567.5
962,512500.46875
963,2714620.75
964,6858041.5
965,5203469.5
966,6754527.0
967,5519039.0
968,3171611.75
969,3623024.25
970,4698197.5
971,9116805.0
972,2835453.5
973,4893684.0
974,239341.3125
975,513011.40625
976,5156039.5
977,827433.375
978,864457.125
979,3012029.25
980,9126961.0
981,8309282.5
982,426584.71875
983,6151280.5
984,4602812.5
985,1501747.375
986,3836749.25
987,5399871.0
988,7143256.0
989,6449408.0
990,3314030.5
991,2851558.75
992,4501417.5
993,667747.25
994,8074254.5
995,8776072.0
996,1144950.125
997,2927064.25
998,3143182.0
999,5215606.5
1000,4600022.0
1001,9151213.0
1002,7835562.0
1003,2962363.0
1004,7672418.0
1005,3282870.25
1006,1673762.375
1007,9801319.0
1008,5791141.0
1009,6304950.5
1010,2973845.25
1011,411157.15625
1012,6566928.5
1013,6393483.5
1014,3009848.0
1015,4070307.0
1016,4694534.0
1017,4189254.0
1018,2768958.5
1019,7771767.0
1020,9040667.0
1021,6425885.5
1022,1797356.625
1023,3927242.75
1024,7190082.5
1025,1945244.5
1026,3392843.25
1027,3942212.5
1028,6268344.5
1029,5091641.0
1030,632965.5
1031,6098646.0
1032,5189875.0
1033,7491726.5
1034,2562959.5
1035,6466304.0
1036,4305147.0
1037,4953681.5
1038,4673972.0
1039,7585975.5
1040,4511932.5
1041,6232655.5
1042,3492654.25
1043,2276798.75
1044,6424306.5
1045,5692192.5
1046,7617233.0
1047,6377944.0
1048,1204170.125
1049,8191524.5
1050,7442534.0
1051,4783577.5
1052,4759579.5
1053,4863085.0
1054,7521529.0
1055,6869198.5
1056,6347224.0
1057,4189916.25
1058,7821082.0
1059,5244702.0
1060,2077058.75
1061,7752236.5
1062,8806919.0
1063,7734467.0
1064,4396902.5
1065,1177069.375
1066,5694904.5
1067,5818919.0
1068,963236.4375
1069,7207631.0
1070,655053.3125
1071,8573705.0
1072,6495682.5
1073,2794265.5
1074,6892604.0
1075,1922177.5
1076,2772779.25
1077,7863556.0
1078,309203.15625
1079,1563635.5
1080,3925863.75
1081,5149262.5
1082,6686129.0
1083,6016364.5
1084,858774.25
1085,6501431.0
1086,2418272.25
1087,2282240.0
1088,4345944.5
1089,4620447.0
1090,1769606.625
1091,7031492.5
1092,3299664.25
1093,1476041.25
1094,6174507.5
1095,2904344.75
1096,7823211.0
1097,3781079.25
1098,6732480.5
1099,3009787.5
1100,1153430.25
1101,6739460.0
1102,7350985.5
1103,5876425.5
1104,4967557.0
1105,7795394.0
1106,6202146.5
1107,6296682.0
1108,5701875.0
1109,4812228.5
1110,6210369.5
1111,984727.9375
1112,9530605.0
1113,5926460.5
1114,4554960.5
1115,3563546.5
1116,2948539.0
1117,3182210.0
1118,6637599.0
1119,7609892.0
1120,2396078.25
1121,8388724.0
1122,8696567.0
1123,2026401.625
1124,6656897.0
1125,706109.6875
1126,284160.0
1127,2638313.5
1128,999918.5
1129,735643.875
1130,8847107.0
1131,6486395.5
1132,6578538.5
1133,5292362.5
1134,2935508.0
1135,7129426.5
1136,2036508.125
1137,682875.6875
1138,6006225.5
1139,6055506.5
1140,703862.375
1141,4355545.0
1142,3807114.0
1143,2333049.5
1144,6561283.0
1145,2313636.0
1146,1778149.75
1147,7015705.0
1148,7699741.0
1149,2262872.25
1150,6958294.5
1151,619128.3125
1152,8554614.0
1153,8995597.0
1154,1807719.625
1155,7923487.5
1156,6612717.0
1157,1758019.0
1158,4599055.0
1159,629608.125
1160,6678270.5
1161,4905706.0
1162,8509392.0
1163,5494475.5
1164,2993552.5
1165,6255198.5
1166,3266289.25
1167,3474246.75
1168,2497485.5
1169,5648907.0
1170,8280698.0
1171,4072187.5
1172,695810.375
1173,8264113.0
1174,7754169.5
1175,4669863.5
1176,8778722.0
1177,2467305.5
1178,3901152.5
1179,4497233.0
1180,8405652.0
1181,4795212.5
1182,5199058.5
1183,3108111.0
1184,6711954.0
1185,3073805.25
1186,5864579.0
1187,7482146.0
1188,5143023.0
1189,7499535.0
1190,4061615.25
1191,6604423.5
1192,6316996.0
1193,4020219.5
1194,4060574.75
1195,1735086.25
1196,5515089.0
1197,6260190.0
1198,3800062.75
1199,6631169.5
1200,1514636.375
1201,1228541.375
1202,7280621.0
1203,4133376.5
1204,6350556.5
1205,1916438.25
1206,3439435.25
1207,8221012.0
1208,788292.375
1209,2827157.75
1210,3417676.5
1211,8096304.5
1212,2894437.25
1213,2984575.0
1214,5183552.5
1215,1736758.5
1216,1880342.25
1217,760535.875
1218,8830101.0
1219,3907438.0
1220,7569687.0
1221,8506998.0
1222,8427096.0
1223,2873931.0
1224,2802158.25
1225,6427206.0
1226,1104772.375
1227,9299788.0
1228,6795276.5
1229,8601179.0
1230,6480437.5
1231,4752970.5
1232,1930391.875
1233,5183515.0
1234,5532937.0
1235,7520464.5
1236,6101640.0
1237,4650773.0
1238,1534545.625
1239,217569.109375
1240,2276699.0
1241,7426252.5
1242,3115802.5
1243,4201456.5
1244,6417047.0
1245,6575213.0
1246,3266645.75
1247,6060866.0
1248,6385982.5
1249,1241784.75
1250,4690213.5
1251,2879198.5
1252,1742062.75
1253,2653320.75
1254,2332711.0
1255,4703818.5
1256,6198024.0
1257,2699336.75
1258,3209255.0
1259,4797353.5
1260,3844862.25
1261,7751589.0
1262,6460085.0
1263,7556687.5
1264,4265299.0
1265,2777782.5
1266,4997241.0
1267,2244741.25
1268,5201357.5
1269,5784250.0
1270,728512.875
1271,420028.5
1272,1587228.0
1273,3119183.25
1274,4781485.0
1275,3862635.5
1276,3954147.0
1277,6437922.5
1278,4743811.0
1279,1897116.875
1280,4089173.0
1281,8785231.0
1282,7226895.5
1283,4137646.25
1284,4756036.5
1285,9165102.0
1286,5874297.0
1287,6328388.0
1288,5710448.0
1289,3084849.5
1290,4512034.0
1291,3400105.0
1292,4632267.5
1293,5478126.5
1294,5076347.0
1295,2070868.5
1296,6013963.0
1297,4629374.0
1298,8342370.0
1299,9234749.0
1300,8039085.5
1301,2460901.0
1302,2499613.25
1303,5601541.5
1304,8390777.0
1305,6755451.0
1306,6469170.5
1307,2156896.25
1308,6156544.5
1309,8183081.5
1310,649133.9375
1311,778478.25
1312,5294608.0
1313,4004300.0
1314,3446653.0
1315,3183220.25
1316,6577412.5
1317,3841323.75
1318,7397088.0
1319,413205.25
1320,2628516.75
1321,2386143.0
1322,5612548.0
1323,4989816.5
1324,3410439.0
1325,5980344.0
1326,5435482.5
1327,2895625.75
1328,2558937.75
1329,5543590.0
