Step,Value
1,387388.28125
2,282123.59375
3,3375047.75
4,1557259.875
5,6152634.5
6,3227448.5
7,5374346.0
8,1298066.625
9,6124328.0
10,3739161.5
11,1798629.125
12,2760946.75
13,2150083.25
14,1941132.5
15,2519125.75
16,2318590.5
17,6683684.5
18,101310.703125
19,1420751.75
20,2784907.0
21,4188425.75
22,567961.9375
23,4493083.0
24,3591894.0
25,1458696.0
26,1195499.375
27,3079343.25
28,2883500.5
29,1714753.75
30,3008280.75
31,662072.4375
32,2536195.0
33,338835.5625
34,2760432.0
35,1968899.25
36,1153824.75
37,4184982.75
38,6090132.5
39,6697673.0
40,789994.0625
41,5982622.5
42,3295383.75
43,6326668.5
44,3909621.0
45,1939917.75
46,6461877.0
47,4825417.5
48,8987800.0
49,2737093.75
50,787486.3125
51,275026.125
52,3837318.5
53,1442522.0
54,5502191.0
55,854823.875
56,853399.5625
57,4052908.0
58,3587495.0
59,2762462.5
60,3303913.25
61,5699631.5
62,1666990.25
63,1631404.75
64,241194.03125
65,1006180.4375
66,1803101.875
67,1636646.75
68,6191904.5
69,7699861.5
70,5815323.5
71,5856441.5
72,2316013.25
73,525940.6875
74,6977383.5
75,1101600.25
76,299561.78125
77,502747.5625
78,1091853.25
79,2191550.25
80,563763.8125
81,4661270.5
82,5806432.0
83,1050344.25
84,445126.5625
85,1613943.75
86,2208012.0
87,4948030.5
88,1667769.75
89,6399196.5
90,297322.375
91,3680040.75
92,4751068.0
93,5130182.0
94,6581917.5
95,2559846.0
96,1184158.875
97,4905804.0
98,7901881.5
99,4484392.0
100,7938922.0
101,1762207.5
102,2439780.25
103,3635982.75
104,5197667.0
105,5133559.5
106,855249.25
107,3410940.25
108,596722.375
109,5840335.5
110,737776.8125
111,1209927.625
112,753856.5
113,1759086.5
114,169402.46875
115,386644.375
116,8982245.0
117,77685.625
118,103779.1484375
119,1405834.5
120,3972027.0
121,2587847.0
122,1129585.625
123,3107443.75
124,2373717.5
125,2399247.5
126,655882.875
127,7335894.5
128,5890579.0
129,392920.96875
130,7967006.5
131,744269.125
132,4237004.5
133,1511584.375
134,2276628.0
135,2854061.75
136,252098.453125
137,669826.9375
138,4664044.5
139,1362505.75
140,5537438.0
141,2265217.75
142,5506602.0
143,4835705.0
144,1421228.0
145,732738.375
146,558441.3125
147,1462934.0
148,1252087.75
149,3793850.0
150,3794362.75
151,2244086.5
152,4062810.5
153,2479059.5
154,5527050.0
155,6209735.5
156,476249.09375
157,763682.0
158,1556925.875
159,5366350.5
160,955685.0
161,3256616.0
162,8884894.0
163,723074.3125
164,7596307.0
165,325137.75
166,1036229.125
167,2194810.0
168,931040.375
169,842037.4375
170,2229736.5
171,2526105.75
172,505910.78125
173,1350349.375
174,1634612.25
175,6145811.0
176,1845474.25
177,8385172.0
178,117013.609375
179,1980683.75
180,1676400.5
181,2906236.25
182,1548558.125
183,168037.6875
184,6769128.5
185,6537332.0
186,5084809.0
187,5940426.0
188,1252045.375
189,92883.4140625
190,4746985.0
191,669885.1875
192,2693255.0
193,4311259.0
194,3042635.0
195,4618626.5
196,2109191.5
197,5642773.5
198,6724967.0
199,336814.1875
200,5016970.5
201,26944.787109375
202,2352244.75
203,9010172.0
204,66921.3671875
205,5360266.5
206,2896364.25
207,747175.5625
208,1174270.5
209,313389.59375
210,2967702.25
211,2074566.375
212,457213.03125
213,638191.25
214,1835957.375
215,1970515.875
216,7249282.0
217,1528837.625
218,8677831.0
219,3793921.5
220,5334823.0
221,1392169.75
222,4976452.0
223,5189084.5
224,3041294.75
225,51025.25390625
226,291378.875
227,283647.125
228,1434382.75
229,722290.25
230,2114305.25
231,5597727.5
232,1626241.375
233,4428630.0
234,1778660.0
235,3950774.75
236,712720.625
237,3197260.5
238,3043953.0
239,2984936.0
240,5981210.5
241,1218924.125
242,6206620.5
243,1313640.625
244,5399205.0
245,869769.25
246,7937097.0
247,1206089.625
248,9125251.0
249,3167900.25
250,2010929.25
251,1948396.0
252,2431531.75
253,5951513.0
254,1835611.875
255,3215701.5
256,6143523.5
257,8817959.0
258,6440980.0
259,1244436.0
260,652215.4375
261,7081160.0
262,2255994.75
263,980960.5625
264,1539339.75
265,4066550.75
266,8039445.5
267,2603878.75
268,1204173.25
269,5958215.5
270,2494603.25
271,1034098.0625
272,5462101.0
273,9669608.0
274,7212769.5
275,4211052.0
276,1864589.0
277,5302627.0
278,402577.34375
279,1122575.875
280,3675046.25
281,370798.9375
282,8053656.0
283,444302.71875
284,3157627.25
285,5796982.5
286,1913695.875
287,669094.875
288,1790212.0
289,3112458.0
290,7475978.0
291,3232871.25
292,3459398.25
293,1994650.25
294,5363218.0
295,5308245.0
296,2452437.75
297,6805814.0
298,7405658.5
299,7894758.5
300,5893845.5
301,2101083.5
302,318935.1875
303,1606237.75
304,4034429.75
305,1556200.125
306,1961659.5
307,214300.953125
308,243221.296875
309,1877636.625
310,2454050.75
311,1473088.125
312,360791.875
313,54972.1015625
314,1117226.375
315,2705550.5
316,6257705.0
317,8953545.0
318,7965046.0
319,4510618.5
320,9433818.0
321,6201990.0
322,3857515.75
323,2659972.5
324,1012729.9375
325,1105267.625
326,3901196.75
327,2571304.5
328,2936241.25
329,3837523.25
330,550411.3125
331,1703417.25
332,487284.8125
333,3438130.0
334,2081237.875
335,3486697.5
336,8318563.0
337,249156.21875
338,8421195.0
339,5887103.5
340,6910065.5
341,7354889.0
342,789650.4375
343,2315514.5
344,1425377.625
345,8075353.0
346,2383889.5
347,1623891.75
348,447801.28125
349,3285671.25
350,5691763.0
351,50819.87890625
352,6433285.5
353,101998.234375
354,970322.1875
355,3169252.75
356,3101723.75
357,7189381.0
358,3115942.25
359,2397564.75
360,1996864.625
361,1794353.25
362,7609897.5
363,3226341.5
364,650428.75
365,8836077.0
366,1626227.625
367,6844659.5
368,406780.53125
369,377137.5
370,3177938.25
371,1206108.75
372,4387042.0
373,2426878.0
374,5520255.0
375,5108006.0
376,1131660.25
377,6076278.5
378,2292268.75
379,3441953.25
380,428370.65625
381,1307482.0
382,678149.375
383,7765016.0
384,2622802.25
385,2654072.25
386,2655992.0
387,3764065.25
388,842008.3125
389,52699.453125
390,1049198.25
391,347617.34375
392,1975857.625
393,1263534.0
394,3846966.25
395,1915227.375
396,584227.125
397,3271115.75
398,4352031.5
399,115239.0078125
400,3974105.0
401,1095240.875
402,658512.8125
403,6912243.0
404,512040.90625
405,1476632.375
406,251278.515625
407,1253673.875
408,70187.65625
409,296227.96875
410,4810976.5
411,561387.5
412,475328.15625
413,5441754.0
414,5701369.5
415,7003073.0
416,3831987.75
417,185147.078125
418,1701462.375
419,7079870.0
420,594893.9375
421,4103442.75
422,3402816.75
423,4677471.0
424,1882278.875
425,8256546.5
426,6090533.0
427,8859274.0
428,3207330.0
429,982899.0625
430,9444734.0
431,308101.53125
432,625850.4375
433,539927.125
434,2099339.0
435,4846370.5
436,5898495.5
437,4848596.5
438,4667093.0
439,2706703.25
440,7911945.0
441,6065939.0
442,1716346.0
443,184591.28125
444,6723974.0
445,427647.53125
446,671549.5625
447,1096124.25
448,617931.875
449,2532854.75
450,2699598.0
451,5823876.5
452,3736137.25
453,2501933.0
454,1157074.25
455,4056361.0
456,697597.6875
457,74627.53125
458,5467264.5
459,7473554.0
460,4337663.0
461,4013798.5
462,3724186.5
463,3579220.5
464,326195.46875
465,1861681.625
466,240220.484375
467,5268970.0
468,284000.3125
469,4802302.5
470,1342331.0
471,7200536.0
472,1256771.25
473,4250397.5
474,5481772.5
475,664250.75
476,2518517.25
477,7378533.0
478,3692870.25
479,3928491.25
480,1013657.8125
481,3224362.25
482,1575919.25
483,6820314.0
484,3641530.0
485,6116476.0
486,7280290.0
487,49033.8828125
488,3019023.5
489,1396780.125
490,1799732.25
491,4542292.0
492,3943741.0
493,616236.9375
494,2893239.0
495,794013.75
496,8223350.0
497,5316774.0
498,407563.71875
499,1541934.75
500,1565066.875
501,860488.3125
502,2370533.5
503,3618259.25
504,7482837.0
505,8418310.0
506,3352474.25
507,1202863.625
508,2899594.5
509,664372.9375
510,702391.0625
511,81371.1875
512,2934747.0
513,5595259.5
514,1030242.375
515,880159.1875
516,2274313.25
517,8562618.0
518,1021987.25
519,5735362.0
520,7804028.0
521,840418.1875
522,796386.0625
523,4196869.5
524,1306641.5
525,187917.59375
526,170724.46875
527,6089807.5
528,4693665.5
529,6760492.5
530,8517672.0
531,3315720.75
532,6055938.5
533,4378606.0
534,5873397.0
535,716856.0625
536,5636509.5
537,9129615.0
538,4173914.0
539,3288167.75
540,4634415.0
541,1304963.875
542,8357172.5
543,631804.8125
544,9687890.0
545,5289834.0
546,4935440.0
547,9425524.0
548,8090190.5
549,8885323.0
550,6256520.5
551,836049.1875
552,248422.421875
553,8003409.0
554,713281.0625
555,7006864.0
556,2613665.5
557,2747684.75
558,658981.375
559,6623212.0
560,800051.6875
561,1967473.875
