Step,Value
1,18358294.0
2,496219.875
3,3069974.25
4,1734345.125
5,55818.5078125
6,4398292.0
7,4572081.5
8,16833802.0
9,7263662.0
10,479907.40625
11,133498.890625
12,210984.328125
13,6227032.5
14,1743678.875
15,14334534.0
16,16997448.0
17,618135.875
18,18069784.0
19,7754115.0
20,9096277.0
21,8664164.0
22,6613391.0
23,10148081.0
24,7650092.0
25,667936.9375
26,19328930.0
27,11984524.0
28,5586316.0
29,15567384.0
30,4047737.0
31,1429483.125
32,5144331.5
33,8498308.0
34,12232548.0
35,15839030.0
36,129119.0
37,5013694.0
38,8926774.0
39,3221345.0
40,97894.5625
41,496477.21875
42,5643757.0
43,150877.53125
44,2074473.25
45,18678952.0
46,2295265.25
47,3039661.0
48,55237.921875
49,774890.125
50,7412625.5
51,14388897.0
52,13045051.0
53,4893304.5
54,7666823.5
55,18506034.0
56,18182674.0
57,137398.8125
58,10261638.0
59,143376.3125
60,64287.33984375
61,4551291.0
62,15329375.0
63,116971.421875
64,19728482.0
65,18220026.0
66,18738362.0
67,9244540.0
68,158507.59375
69,308774.0
70,5598431.0
71,127434.03125
72,17346418.0
73,19228062.0
74,344495.5625
75,19121408.0
76,19399122.0
77,19807896.0
78,12182181.0
79,11982487.0
80,19088828.0
81,5726126.5
82,8186688.0
83,2509363.25
84,18312820.0
85,5893100.5
86,1543434.125
87,403625.21875
88,5934446.5
89,554600.4375
90,9340792.0
91,2708871.25
92,3668426.75
93,4733361.0
94,7755472.0
95,16035978.0
96,12403002.0
97,3749943.75
98,324769.34375
99,9778423.0
100,17430540.0
101,2266424.25
102,5695495.0
103,16373523.0
104,10596048.0
105,15720935.0
106,3392019.5
107,694597.5625
108,4563825.0
109,3628175.25
110,5454118.5
111,1575373.0
112,7720399.0
113,15008239.0
114,9493177.0
115,2221336.0
116,938108.6875
117,9496338.0
118,637178.5
119,1836181.125
120,12094417.0
121,8051812.5
122,5572316.5
123,3211858.25
124,3093297.5
125,3290650.75
126,19569532.0
127,78809.921875
128,17309948.0
129,12578722.0
130,10035048.0
131,1122410.75
132,10336572.0
133,19741802.0
134,10142202.0
135,6716293.0
136,18515808.0
137,1124292.75
138,72568.765625
139,7220133.0
140,18349524.0
141,6156352.0
142,48398.15234375
143,13053133.0
144,4951703.0
145,3010428.5
146,18111274.0
147,684644.1875
148,7611013.5
149,8868905.0
150,8899529.0
151,506568.0625
152,7231276.0
153,13169478.0
154,500087.28125
155,4221762.0
156,5856638.0
157,2660409.25
158,19019088.0
159,1740675.25
160,8763978.0
161,1642089.5
162,153656.484375
163,11273779.0
164,10918528.0
165,2959640.5
166,3220866.25
167,10756177.0
168,16362748.0
169,5320727.0
170,4610401.0
171,535576.5
172,104153.7265625
173,9656612.0
174,7994655.5
175,1730395.0
176,18883610.0
177,535139.0625
178,71923.78125
179,7389069.0
180,1406502.625
181,15466621.0
182,1686718.375
183,470176.15625
184,380097.6875
185,11597716.0
186,864540.5625
187,670150.6875
188,17213394.0
189,6966520.0
190,5854392.0
191,8133556.0
192,2232218.75
193,508676.8125
194,10625086.0
195,19216562.0
196,16236924.0
197,9185521.0
198,15161306.0
199,15331283.0
200,6794654.5
201,18749496.0
202,10147512.0
203,18240068.0
204,2224374.75
205,1713718.625
206,6822795.5
207,12266504.0
208,243834.875
209,195219.515625
210,6698447.0
211,3730959.5
212,12822423.0
213,16114168.0
214,19376252.0
215,13065338.0
216,2569033.5
217,2968215.0
218,2924101.0
219,6677322.0
220,280613.40625
221,16363825.0
222,1752675.75
223,18309146.0
224,3835334.75
225,9483115.0
226,8260024.0
227,174339.765625
228,12231084.0
229,17667574.0
230,170079.234375
231,4940338.5
232,14332004.0
233,688658.0
234,3835443.0
235,14792521.0
236,17882894.0
237,2398013.25
238,15496281.0
239,5206844.0
240,10166649.0
241,16230724.0
242,136793.96875
