Step,Value
1,50240.0
2,50240.0
3,41920.0
4,40640.0
5,39680.0
6,44480.0
7,42240.0
8,45440.0
9,44160.0
10,42240.0
11,47680.0
12,44800.0
13,43520.0
14,44800.0
15,45760.0
16,41600.0
17,50240.0
18,51840.0
19,56960.0
20,50880.0
21,55040.0
22,56640.0
23,56000.0
24,60480.0
25,58880.0
26,55040.0
27,52800.0
28,51840.0
29,49920.0
30,53440.0
31,48320.0
32,48320.0
33,46720.0
34,48640.0
35,50240.0
36,53760.0
37,54080.0
38,56320.0
39,56000.0
40,52800.0
41,57920.0
42,54720.0
43,64320.0
44,66240.0
45,63040.0
46,62720.0
47,60160.0
48,63360.0
49,63040.0
50,65920.0
51,51200.0
52,53760.0
53,58240.0
54,55360.0
55,49600.0
56,55360.0
57,50880.0
58,53440.0
59,52480.0
60,61120.0
61,58240.0
62,59200.0
63,62720.0
64,65280.0
65,65600.0
66,66560.0
67,66560.0
68,74240.0
69,68160.0
70,76800.0
71,82880.0
72,76160.0
73,73920.0
74,73920.0
75,71680.0
76,71040.0
77,72000.0
78,71040.0
79,70400.0
80,74240.0
81,71040.0
82,70080.0
83,68160.0
84,63360.0
85,68160.0
86,71360.0
87,72640.0
88,73280.0
89,67840.0
90,62080.0
91,62720.0
92,68800.0
93,66240.0
94,66560.0
95,65280.0
96,57280.0
97,54400.0
98,51840.0
99,53760.0
100,43200.0
101,47360.0
102,47040.0
103,47360.0
104,43840.0
105,47040.0
106,48960.0
107,58240.0
108,55680.0
109,61120.0
110,56320.0
111,56320.0
112,49280.0
113,47360.0
114,50240.0
115,46080.0
116,51520.0
117,49280.0
118,48960.0
119,49280.0
120,47040.0
121,50240.0
122,50880.0
123,49920.0
124,55040.0
125,48960.0
126,43200.0
127,44800.0
128,44160.0
129,44480.0
130,45440.0
131,48960.0
132,47680.0
133,49600.0
134,49280.0
135,48960.0
136,51200.0
137,63680.0
138,61760.0
139,59840.0
140,64960.0
141,65280.0
142,65920.0
143,66880.0
144,62080.0
145,66240.0
146,63680.0
147,62400.0
148,64000.0
149,64320.0
150,63360.0
151,57280.0
152,65280.0
153,61760.0
154,65920.0
155,57280.0
156,57600.0
157,56000.0
158,62720.0
159,58880.0
160,61760.0
161,60800.0
162,61760.0
163,56640.0
164,63360.0
165,61760.0
166,64000.0
167,58880.0
168,66240.0
169,69760.0
170,67840.0
171,67200.0
172,69440.0
173,72000.0
174,70400.0
175,63680.0
176,66240.0
177,65600.0
178,62400.0
179,62080.0
180,60480.0
181,63040.0
182,65920.0
183,65280.0
184,58880.0
185,61440.0
186,60160.0
187,60480.0
188,58240.0
189,61760.0
190,67520.0
191,63680.0
192,55360.0
193,61760.0
194,53760.0
195,57920.0
196,51200.0
197,56320.0
198,56640.0
199,55360.0
200,54720.0
201,56640.0
202,60160.0
203,59520.0
204,55360.0
205,45440.0
206,50560.0
207,47040.0
208,38080.0
209,41600.0
210,39680.0
211,39040.0
212,40640.0
213,39040.0
214,37760.0
215,42880.0
216,41920.0
217,38400.0
218,33600.0
219,35520.0
220,35200.0
221,36160.0
222,45440.0
223,44800.0
224,48000.0
225,50240.0
226,51200.0
227,46720.0
228,42880.0
229,44160.0
230,36480.0
231,42240.0
232,39680.0
233,39040.0
234,40000.0
235,44160.0
236,40960.0
237,44480.0
238,47360.0
239,50880.0
240,59520.0
241,58880.0
242,55040.0
243,60800.0
244,66880.0
245,58880.0
246,61440.0
247,62080.0
248,63680.0
249,56320.0
250,71040.0
251,66880.0
252,71360.0
253,67520.0
254,65920.0
255,61120.0
256,61440.0
257,59200.0
258,57600.0
259,59840.0
260,56000.0
261,65920.0
262,64960.0
263,59840.0
264,61120.0
265,61440.0
266,59200.0
267,56640.0
268,58880.0
269,62080.0
270,61120.0
271,64960.0
272,66880.0
273,62720.0
274,68160.0
275,71360.0
276,70720.0
277,63680.0
278,63360.0
279,63360.0
280,66880.0
281,65920.0
282,74560.0
283,71360.0
284,67840.0
285,71040.0
286,72640.0
287,75200.0
288,72960.0
289,69760.0
290,71680.0
291,72000.0
292,75520.0
293,65600.0
294,73920.0
295,75200.0
296,78720.0
297,72960.0
298,77760.0
299,74240.0
300,68160.0
301,70720.0
302,75200.0
303,77440.0
304,79680.0
305,86720.0
306,80960.0
307,86080.0
308,95360.0
309,84480.0
310,84480.0
311,90240.0
312,94720.0
313,91520.0
314,85440.0
315,82880.0
316,84160.0
317,87680.0
318,73600.0
319,83200.0
320,73280.0
321,74880.0
322,70080.0
323,70400.0
324,69440.0
325,66880.0
326,64000.0
327,63360.0
328,69120.0
329,67520.0
330,64000.0
331,65600.0
332,62080.0
333,64960.0
334,67200.0
335,64960.0
336,64320.0
337,69120.0
338,60480.0
339,57600.0
340,62080.0
341,58240.0
342,56640.0
343,54400.0
344,56320.0
345,58880.0
346,56640.0
347,57920.0
348,55680.0
349,53440.0
350,52800.0
351,51840.0
352,58880.0
353,57600.0
354,63040.0
355,62400.0
356,53440.0
357,64320.0
358,58240.0
359,57600.0
360,54080.0
361,48960.0
362,49920.0
363,52160.0
364,53760.0
365,52480.0
366,49600.0
367,52800.0
368,57920.0
369,59200.0
370,62080.0
371,63040.0
372,64320.0
373,61440.0
374,59200.0
375,62720.0
376,66240.0
377,75200.0
378,67200.0
379,70720.0
380,67200.0
381,73600.0
382,65280.0
383,75520.0
384,73280.0
385,73280.0
386,78720.0
387,65920.0
388,66240.0
389,61120.0
390,62400.0
391,63360.0
392,66880.0
393,66880.0
394,73920.0
395,68480.0
396,71040.0
397,75840.0
398,69760.0
399,68800.0
400,73600.0
401,65920.0
402,71360.0
403,70080.0
404,67200.0
405,65280.0
406,64960.0
407,64320.0
408,67840.0
409,61440.0
410,67520.0
411,64320.0
412,64640.0
413,61440.0
414,63680.0
415,60480.0
416,67520.0
417,72320.0
418,71040.0
419,65280.0
420,63360.0
421,69440.0
422,71040.0
423,66240.0
424,73280.0
425,66880.0
426,63680.0
427,61120.0
428,62400.0
429,63360.0
430,58560.0
431,60480.0
432,56640.0
433,60800.0
434,58880.0
435,54720.0
436,60480.0
437,57920.0
438,55680.0
439,56000.0
440,48640.0
441,54080.0
442,51520.0
443,54720.0
444,56320.0
445,54720.0
446,57600.0
447,56320.0
448,53760.0
449,53120.0
450,55360.0
451,59520.0
452,66560.0
453,66880.0
454,66560.0
455,63360.0
456,63040.0
457,65280.0
458,62400.0
459,59840.0
460,57920.0
461,55680.0
462,61440.0
463,55040.0
464,47040.0
465,45120.0
466,47680.0
467,45120.0
468,48320.0
469,54080.0
470,52480.0
471,49280.0
472,40320.0
473,46720.0
474,52800.0
475,52480.0
476,54720.0
477,55360.0
478,56000.0
479,56640.0
480,48960.0
481,57280.0
482,49280.0
483,49920.0
484,53120.0
485,58240.0
486,59520.0
487,65280.0
488,67200.0
489,69760.0
490,75840.0
491,70080.0
492,77120.0
493,85760.0
494,77120.0
495,80960.0
496,83520.0
497,69120.0
498,75520.0
499,83520.0
500,78080.0
501,79680.0
502,84800.0
503,75200.0
504,81280.0
505,73600.0
506,78720.0
507,76160.0
508,79360.0
509,74240.0
510,85440.0
511,81280.0
512,78080.0
513,82880.0
514,77440.0
515,90880.0
516,87040.0
517,81280.0
518,83200.0
519,75200.0
520,78720.0
521,80640.0
522,74560.0
523,85760.0
524,82560.0
525,71040.0
526,75520.0
527,70400.0
528,78720.0
529,72960.0
530,73280.0
531,72640.0
532,69440.0
533,70080.0
534,71360.0
535,62080.0
536,64000.0
537,66560.0
538,66880.0
539,73600.0
540,67840.0
541,64000.0
542,59840.0
543,60160.0
544,57600.0
545,61440.0
546,62400.0
547,66560.0
548,56640.0
549,52800.0
550,52160.0
551,49280.0
552,41600.0
553,47040.0
554,44160.0
555,44800.0
556,48640.0
557,40960.0
558,45440.0
559,48000.0
560,51840.0
561,51840.0
562,48960.0
563,49920.0
564,52480.0
565,45440.0
566,48000.0
567,53120.0
568,46400.0
569,46400.0
570,50560.0
571,50880.0
572,49280.0
573,50880.0
574,48960.0
575,45760.0
576,50240.0
577,48640.0
578,45760.0
579,44800.0
580,47040.0
581,52480.0
582,57280.0
583,53440.0
584,53440.0
585,51840.0
586,58560.0
587,51840.0
588,47680.0
589,52160.0
590,54400.0
591,48000.0
592,51520.0
593,59200.0
594,56320.0
595,57280.0
596,58560.0
597,63360.0
598,59840.0
599,61760.0
600,61760.0
601,66240.0
602,66880.0
603,71360.0
604,65920.0
605,69120.0
606,71680.0
607,68160.0
608,79360.0
609,76480.0
610,81280.0
611,82560.0
612,81600.0
613,76160.0
614,86080.0
615,83200.0
616,85120.0
617,85440.0
618,82560.0
619,83840.0
620,75840.0
621,76160.0
622,75840.0
623,73600.0
624,77760.0
625,74240.0
626,72320.0
627,74240.0
628,72960.0
629,73280.0
630,81920.0
631,82560.0
632,78720.0
633,80640.0
634,82560.0
635,77760.0
636,73280.0
637,75520.0
638,71680.0
639,79680.0
640,81920.0
641,74880.0
642,81600.0
643,79040.0
644,81600.0
645,70400.0
646,77120.0
647,78720.0
648,73920.0
649,79040.0
650,77120.0
651,80320.0
652,79360.0
653,75520.0
654,72960.0
655,68480.0
656,73280.0
657,76800.0
658,71360.0
659,83200.0
660,80320.0
661,76160.0
662,84480.0
663,86400.0
664,83520.0
665,83200.0
666,74880.0
667,75200.0
668,82240.0
669,73600.0
670,71680.0
671,68160.0
672,58880.0
673,59840.0
674,67840.0
675,58240.0
676,52800.0
677,57280.0
678,49600.0
679,49600.0
680,51200.0
681,50560.0
682,45440.0
683,49920.0
684,46720.0
685,46400.0
686,48000.0
687,48640.0
688,52800.0
689,50880.0
690,55680.0
691,49600.0
692,50560.0
693,51520.0
694,54720.0
695,57280.0
696,54720.0
697,50240.0
698,58880.0
699,53120.0
700,58560.0
701,59200.0
702,67200.0
703,66560.0
704,56960.0
705,60480.0
706,58880.0
707,64320.0
708,62400.0
709,60160.0
710,61760.0
711,66560.0
712,66560.0
713,57920.0
714,67840.0
715,67200.0
716,61120.0
717,65280.0
718,67840.0
719,63040.0
720,66240.0
721,66560.0
722,65600.0
723,68160.0
724,76160.0
725,54720.0
726,57920.0
727,53760.0
728,56000.0
729,63680.0
730,54400.0
731,50240.0
732,48000.0
733,57600.0
734,55360.0
735,53440.0
736,53440.0
737,60480.0
738,60800.0
739,63360.0
740,58880.0
741,46400.0
742,48640.0
743,42880.0
744,43520.0
745,54400.0
746,52160.0
747,53440.0
748,56960.0
749,55360.0
750,57920.0
751,56320.0
752,51520.0
753,55680.0
754,63040.0
755,59200.0
756,65600.0
757,60480.0
758,59200.0
759,55040.0
760,56640.0
761,58880.0
762,56320.0
763,56640.0
764,53440.0
765,55040.0
766,50880.0
767,56000.0
768,57600.0
769,51520.0
770,58880.0
771,54400.0
772,52160.0
773,56960.0
774,54400.0
775,55040.0
776,61120.0
777,53120.0
778,53760.0
779,59520.0
780,58880.0
781,61120.0
782,60800.0
783,66240.0
784,66560.0
785,70720.0
786,59200.0
787,65600.0
788,67520.0
789,64960.0
790,61440.0
791,66880.0
792,71040.0
793,76800.0
794,80960.0
795,75840.0
796,74880.0
797,76800.0
798,70720.0
799,73920.0
800,75840.0
801,71680.0
802,82560.0
803,71360.0
804,75200.0
805,80960.0
806,76800.0
807,81920.0
808,72000.0
809,70400.0
810,76480.0
811,75840.0
812,85440.0
813,87040.0
814,80960.0
815,81280.0
816,81600.0
817,80320.0
818,70720.0
819,68800.0
820,72640.0
821,71360.0
822,69760.0
823,68480.0
824,79040.0
825,80000.0
826,74560.0
827,74240.0
828,68480.0
829,73280.0
830,71680.0
831,71040.0
832,71040.0
833,68800.0
834,75200.0
835,72320.0
836,71360.0
837,69440.0
838,69440.0
839,66240.0
840,64960.0
841,68800.0
842,71680.0
843,72320.0
844,71680.0
845,70080.0
846,64000.0
847,68800.0
848,63360.0
849,67200.0
850,66560.0
851,66560.0
852,68800.0
853,68800.0
854,70080.0
855,68480.0
856,66560.0
857,65280.0
858,65600.0
859,58240.0
860,64320.0
861,66880.0
862,59840.0
863,54400.0
864,57920.0
865,57600.0
866,56000.0
867,56320.0
868,54080.0
869,66560.0
870,65280.0
871,71040.0
872,69440.0
873,68160.0
874,63680.0
875,66240.0
876,67840.0
877,73920.0
878,71360.0
879,69440.0
880,64960.0
881,65600.0
882,56320.0
883,61760.0
884,53760.0
885,62400.0
886,58240.0
887,60480.0
888,59520.0
889,49600.0
890,55360.0
891,58560.0
892,58560.0
893,52800.0
894,49600.0
895,48320.0
896,46400.0
897,47680.0
898,45440.0
899,46080.0
900,44160.0
901,46720.0
902,44480.0
903,43200.0
904,47040.0
905,50880.0
906,52800.0
907,54080.0
908,59200.0
909,55680.0
910,55040.0
911,56000.0
912,52800.0
913,50880.0
914,52160.0
915,52160.0
916,49920.0
917,49920.0
918,54400.0
919,49600.0
920,52480.0
921,50240.0
922,49920.0
923,51840.0
924,58240.0
925,54080.0
926,56320.0
927,56960.0
928,54720.0
929,55040.0
930,50240.0
931,59520.0
932,56000.0
933,52480.0
934,61440.0
935,56960.0
936,57280.0
937,65280.0
938,67840.0
939,61120.0
940,61120.0
941,57600.0
942,58240.0
943,60480.0
944,61760.0
945,53120.0
946,59840.0
947,60800.0
948,61440.0
949,63040.0
950,62400.0
951,63360.0
952,64960.0
953,56960.0
954,63040.0
955,64640.0
956,67840.0
957,68800.0
958,72960.0
959,67200.0
960,70400.0
961,69760.0
962,72640.0
963,66880.0
964,65600.0
965,73920.0
966,71680.0
967,66880.0
968,69440.0
969,61120.0
970,64960.0
971,65600.0
972,67200.0
973,64960.0
974,73920.0
975,71360.0
976,72320.0
977,70720.0
978,65600.0
979,67200.0
980,71040.0
981,72320.0
982,76800.0
983,73600.0
984,79360.0
985,75200.0
986,77760.0
987,78400.0
988,80640.0
989,78080.0
990,83520.0
991,80960.0
992,82560.0
993,81280.0
994,85760.0
995,84160.0
996,78720.0
997,82240.0
998,77120.0
999,74240.0
1000,80960.0
1001,70720.0
1002,76480.0
1003,70080.0
1004,68480.0
1005,67840.0
1006,65280.0
1007,72640.0
1008,72960.0
1009,74240.0
1010,74240.0
1011,70080.0
1012,70400.0
1013,69760.0
1014,69760.0
1015,69760.0
1016,63680.0
1017,61120.0
1018,61760.0
1019,67200.0
1020,59840.0
1021,58560.0
1022,60800.0
1023,58560.0
1024,59200.0
1025,58560.0
1026,59840.0
1027,59520.0
1028,55360.0
1029,54080.0
1030,61760.0
1031,62080.0
1032,57920.0
1033,53760.0
1034,50880.0
1035,50880.0
1036,50560.0
1037,54720.0
1038,61440.0
1039,52160.0
1040,51840.0
1041,49280.0
1042,53120.0
1043,57600.0
1044,60800.0
1045,51520.0
1046,46400.0
1047,57920.0
1048,57600.0
1049,64640.0
1050,55040.0
1051,51840.0
1052,52160.0
1053,52480.0
1054,49280.0
1055,48320.0
1056,54080.0
1057,48000.0
1058,43200.0
1059,39360.0
1060,44800.0
1061,39680.0
1062,42560.0
1063,40000.0
1064,39360.0
1065,36480.0
1066,38720.0
1067,39360.0
1068,34880.0
1069,40000.0
1070,38400.0
1071,35840.0
1072,40960.0
1073,39040.0
1074,38400.0
1075,38400.0
1076,34240.0
1077,34880.0
1078,39040.0
1079,38720.0
1080,53440.0
1081,59520.0
1082,53440.0
1083,49920.0
1084,55040.0
1085,61440.0
1086,55040.0
1087,58560.0
1088,63040.0
1089,58880.0
1090,69440.0
1091,64960.0
1092,59840.0
1093,64960.0
1094,64960.0
1095,66240.0
1096,68160.0
1097,71680.0
1098,69120.0
1099,69440.0
1100,64960.0
1101,73920.0
1102,71040.0
1103,60800.0
1104,67200.0
1105,63360.0
1106,63040.0
1107,63040.0
1108,68160.0
1109,58240.0
1110,63360.0
1111,69120.0
1112,68480.0
1113,65920.0
