Step,Value
0,2501526.75
1,9506557.0
2,5187187.0
3,3333333.5
4,111132.5
5,2108239.5
6,108675.4296875
7,49386.44921875
8,7875446.0
9,3394679.5
10,9608942.0
11,9365380.0
12,8685704.0
13,7589968.0
14,463780.03125
15,4949159.0
16,37588.44140625
17,1715706.5
18,55942.6328125
19,7561273.0
20,6767325.0
21,44381.59375
22,3926255.0
23,3897030.0
24,228221.5625
25,980518.25
26,3128256.75
27,3145138.5
28,9749231.0
29,7777292.5
30,7545643.0
31,4992454.0
32,35807.359375
33,47916.30078125
34,1642417.5
35,307020.40625
36,4972380.5
37,334840.71875
38,9782649.0
39,7661538.5
40,3754440.25
41,40768.05078125
42,164429.34375
43,1057678.75
44,52181.26171875
45,2554357.75
46,167497.578125
47,9782649.0
48,3160153.75
49,1688056.875
50,4970943.5
51,171763.765625
52,108675.4296875
53,46867.82421875
54,6020881.0
55,1067152.125
56,8867990.0
57,244357.453125
58,2176602.0
59,273865.21875
60,882774.8125
61,941531.875
62,36903.05078125
63,310540.40625
64,2056564.875
65,54223.45703125
66,7061897.5
67,393131.25
68,5381316.0
69,169729.609375
70,5287705.0
71,9084626.0
72,258034.453125
73,1606482.875
74,183428.1875
75,7305496.5
76,2291170.25
77,405411.59375
78,9782649.0
79,1762407.0
80,55238.171875
81,907987.625
82,3717774.5
83,137752.578125
84,9776300.0
85,2329087.5
86,5365958.0
87,211754.484375
88,27553.021484375
89,498655.875
90,4181086.0
91,360131.15625
92,4416816.0
93,174546.234375
94,258356.953125
95,1103203.0
96,1679713.125
97,9455515.0
98,9782404.0
99,1855274.25
100,7509029.5
101,3398346.0
102,2065375.875
103,3333333.5
104,2103059.25
105,48909.30078125
106,67015.515625
107,9770463.0
108,158656.859375
109,4207817.0
110,53161.921875
111,3105837.75
112,2570983.75
113,4589242.5
114,4708028.5
115,3758238.5
116,5967401.5
117,597538.375
118,229143.171875
119,55200.6953125
120,9729472.0
121,51573.8515625
122,70998.9921875
123,2210999.5
124,3514772.25
125,3634916.0
126,118014.5859375
127,2844548.0
128,1106366.5
129,9505739.0
130,9744364.0
131,131834.078125
132,216138.40625
133,2794719.0
134,3599337.0
135,51486.62890625
136,44247.4140625
