Step,Value
0,4689472.5
1,108675.4296875
2,9782648.0
3,108675.4296875
4,3136288.5
5,9782649.0
6,3333333.5
7,3333333.5
8,108675.4296875
9,3333333.5
10,3333333.5
11,108675.4296875
12,3772728.75
13,9782649.0
14,1638213.75
15,196641.40625
16,8759448.0
17,108675.4296875
18,3333333.5
19,738731.1875
20,9782649.0
21,383738.0625
22,9782649.0
23,55238.171875
24,4972381.5
25,4434782.5
26,4858484.0
27,108675.4296875
28,108675.4296875
29,4784700.5
30,4972380.5
31,4406903.5
32,4972380.5
33,1532223.375
34,4972380.5
35,108675.4296875
36,29736.796875
37,41281.86328125
38,3106641.5
39,55578.0234375
40,4972381.5
41,110784.34375
42,108675.4296875
43,108675.4296875
44,450652.625
45,108675.4296875
46,108675.4296875
47,9771770.0
48,108675.4296875
49,7596399.0
50,108675.4296875
51,44602.7421875
52,4972380.5
53,27580.591796875
54,3333333.5
55,108675.4296875
56,9782649.0
57,2935646.0
58,7395675.0
59,9782649.0
60,4078588.75
61,4972380.5
62,4972381.5
63,945320.0
64,55238.171875
65,108675.4296875
66,55238.171875
67,105835.3359375
68,448334.84375
69,42161.6328125
70,108675.4296875
71,8363479.5
72,5248095.5
73,3333333.5
74,61632.46875
75,3333333.5
76,8824982.0
77,3333333.5
78,108675.4296875
79,27479.46484375
80,1322710.75
81,8968151.0
82,53359.02734375
83,3333333.5
84,100271.7890625
85,3333333.5
86,37114.13671875
87,55238.171875
88,50978.71484375
89,4907463.0
90,4194312.5
91,1276558.25
92,108675.4296875
93,9782649.0
94,9782649.0
95,9782649.0
96,4972381.5
97,110662.1953125
98,108675.4296875
99,3877102.5
100,3779167.0
101,4972380.5
102,55238.171875
103,3333333.5
104,108675.4296875
105,602769.5625
106,4972380.5
107,49817.9765625
108,55238.171875
109,4972380.5
110,3333333.5
111,135701.078125
112,3333333.5
113,4333927.0
114,7992360.5
115,9782287.0
116,4788619.0
117,108675.4296875
118,126651.3046875
119,4972380.5
120,169105.734375
121,4972381.5
122,3333333.5
123,4972380.5
124,4382815.0
125,3333333.5
126,4972380.5
127,108675.4296875
128,9782649.0
129,3333333.5
130,9773755.0
131,108675.4296875
132,9223165.0
133,926036.0
134,4494613.5
135,3333333.5
136,8244667.5
137,108675.4296875
138,4372247.0
139,4972381.5
140,167442.859375
141,108675.4296875
142,4972380.5
143,9707070.0
144,28172.654296875
145,5793321.5
146,9743265.0
147,7372505.0
148,3313797.0
149,58428.2734375
150,8497933.0
151,9782649.0
152,9782649.0
153,50541.60546875
154,982695.4375
155,55238.171875
156,9743770.0
157,142567.640625
158,183188.078125
159,9778944.0
160,100781.625
161,23750.41796875
162,9130827.0
163,1306551.5
164,7056045.0
165,857102.5625
166,9633914.0
167,122663.2890625
168,278727.21875
169,648117.875
170,1519848.125
171,9291930.0
172,3670656.75
173,6709302.0
174,8963447.0
175,2613150.0
176,31286.0546875
177,53687.0546875
178,458117.1875
179,33191.1953125
180,174760.21875
181,1141442.875
182,5102671.0
183,1040909.375
184,330084.40625
185,180343.390625
186,44930.58203125
187,140755.078125
188,671643.0625
189,2437969.75
190,4618762.0
191,1242328.75
192,193741.296875
193,328919.25
194,870494.25
195,7053719.0
196,8705160.0
197,7876398.0
198,2168157.0
199,257202.09375
200,640774.0625
201,1159062.25
202,682329.4375
203,509737.09375
204,866949.125
205,510320.5
206,99757.78125
207,126402.2578125
208,39697.65625
209,82108.328125
210,103068.8203125
211,4344114.0
212,151357.21875
213,175979.375
214,3634209.75
215,3237744.5
216,6391956.0
217,7289662.5
218,6486041.5
219,949454.5
220,248454.140625
221,594567.5625
222,3132995.75
223,3952052.5
224,8241668.5
225,7612726.5
226,2574412.25
227,224040.0
228,83525.4453125
229,327196.5
230,787577.375
231,283630.90625
232,208497.046875
233,445934.71875
234,120398.5625
235,281913.5
236,465236.875
237,783792.75
238,2714551.0
239,3333333.5
240,4483513.0
241,1193749.375
242,1007848.875
243,1050657.75
244,3392254.75
245,3946234.25
246,1073131.25
247,844281.1875
248,825869.6875
249,142333.578125
250,1948383.625
251,1151714.125
252,108160.609375
253,161076.859375
254,536085.375
255,553669.875
256,290832.1875
257,554771.8125
258,1206658.0
259,816135.4375
260,320124.28125
261,574827.9375
262,983379.875
263,1698633.875
264,317248.0625
265,372831.15625
266,3065749.0
267,2399966.0
268,2276999.5
269,228957.046875
270,237263.0
271,1649125.5
272,8207055.5
273,9242970.0
274,8367534.5
275,2905165.75
276,67360.5625
277,47757.31640625
278,54962.25390625
279,53860.9453125
280,271883.46875
281,1847149.875
282,6692189.0
283,5825605.5
284,2811855.5
285,1153450.125
286,489796.28125
287,502235.03125
288,1128352.625
289,1524730.625
290,195116.828125
291,55469.8984375
292,68725.828125
293,475394.03125
