Step,Value
0,3219318.5
1,395635.9375
2,3668757.75
3,3331398.0
4,127596.671875
5,2965366.25
6,9782496.0
7,9241652.0
8,1672823.0
9,4657362.5
10,181518.125
11,322009.5
12,43460.5546875
13,1707455.625
14,9506378.0
15,4949134.5
16,9299270.0
17,8243237.0
18,6823909.5
19,1213696.875
20,51601.05078125
21,2038192.75
22,60861.31640625
23,6050668.5
24,9720801.0
25,341347.5625
26,4658621.5
27,3447719.75
28,61926.203125
29,2175672.5
30,490664.09375
31,55133.01171875
32,1260780.75
33,4273593.0
34,2894617.5
35,137988.28125
36,156920.625
37,7823959.0
38,3259936.5
39,982680.1875
40,3333333.5
41,8434480.0
42,4084123.75
43,3935591.25
44,69930.2734375
45,1270917.375
46,9657914.0
47,3583403.0
48,8601685.0
49,1542130.25
50,227365.828125
51,78798.9296875
52,28975.49609375
53,80828.7421875
54,3696263.25
55,578142.3125
56,719244.125
57,1786738.75
58,3124486.25
59,130888.4765625
60,9605102.0
61,2388899.5
62,3703979.5
63,1722956.125
64,5287024.0
65,109518.6796875
66,5222518.5
67,68228.1015625
68,8096390.0
69,126305.0625
70,5258888.5
71,9778364.0
72,113066.109375
73,866977.875
74,4539598.5
75,6080707.5
76,4872178.0
77,54210.109375
78,4502247.5
79,61266.125
80,29080.529296875
81,1169773.25
82,1258210.25
83,109679.96875
84,269609.09375
85,5667034.5
86,7991875.0
87,498368.6875
88,63283.3828125
89,8407513.0
90,9091562.0
91,94991.6328125
92,8139235.0
93,7987420.0
94,2061389.375
95,3675508.75
96,110192.8828125
97,6791633.5
98,9561601.0
99,371942.5625
100,2677546.25
101,6083051.5
102,1902090.875
103,7569756.0
104,8142146.0
105,844743.625
106,105564.625
107,109193.21875
108,3921381.5
109,32967.5390625
110,6285424.0
111,119028.0859375
112,1273866.125
113,2550780.5
114,1005966.75
115,209487.375
116,1956736.125
117,64064.23828125
118,9676531.0
119,220449.328125
120,979333.9375
121,377253.75
122,159631.0
123,3687597.5
124,3105936.25
125,79426.3125
126,994885.5625
127,3344754.0
128,835156.75
129,3916040.0
130,5939467.0
131,891302.125
132,4283750.5
133,8791117.0
134,695874.8125
135,362199.0
136,1129709.375
137,610434.625
138,1816439.875
139,2086051.25
140,1639745.25
141,1249589.375
142,453896.96875
143,5499207.0
144,346488.03125
145,208147.671875
146,1037204.8125
147,191180.6875
148,453498.4375
149,186738.203125
150,3536974.5
151,213784.71875
152,292861.8125
153,1643928.75
154,1036191.9375
155,5113789.5
156,431290.8125
157,428918.21875
158,2522106.75
159,1547140.0
160,1351958.25
161,164251.84375
162,1535711.625
163,210804.921875
164,1332373.75
165,962353.75
166,1085876.125
167,516388.625
168,3174204.5
169,6956746.5
170,670212.9375
171,6437176.0
172,5048324.0
173,7254777.0
174,804910.125
175,2228568.0
176,828929.625
177,2103052.0
178,479995.6875
179,327810.65625
180,619948.25
181,576766.4375
182,636372.0
183,1011077.8125
184,1031730.3125
185,9393212.0
186,6985447.5
187,2766064.0
188,5812222.0
189,362987.53125
190,7776767.5
191,513036.1875
192,854454.4375
193,814193.5
194,88949.9609375
195,1401055.0
196,177743.703125
197,1515045.625
198,834211.625
199,98527.9921875
200,412887.59375
201,2010741.125
202,1543977.0
203,386233.1875
204,1238567.0
205,1288416.25
206,396969.34375
207,1691623.125
208,225501.921875
209,866327.5625
210,2141797.75
211,1542663.375
212,739324.8125
213,2291576.75
214,667372.9375
215,1324701.125
216,1723851.875
217,2551888.25
218,371806.875
219,459994.78125
220,1959058.375
221,3320691.25
222,512166.125
223,2671683.25
224,1464184.5
225,51456.8046875
226,238476.828125
227,1336059.375
228,72079.7890625
229,225385.984375
230,1211945.75
231,177286.546875
232,702852.4375
233,363333.6875
234,1443215.75
235,102796.21875
236,502221.21875
237,1410583.75
238,926021.8125
239,2262751.5
240,649103.0625
241,918021.5625
242,4535651.0
243,4238566.0
244,464242.4375
245,1002181.625
246,416851.9375
247,159363.46875
248,835781.9375
249,201445.671875
250,631101.375
251,1521136.875
252,389825.875
253,949250.4375
254,857838.4375
255,647712.5625
256,483587.09375
257,5691072.5
258,5561346.5
259,739389.375
260,2333521.75
261,2342712.25
262,3803296.75
263,2964863.5
264,4321404.5
265,3102541.25
266,661859.0625
267,3273503.0
268,1064990.875
269,622082.8125
270,2639350.5
271,197870.828125
272,164992.765625
273,174145.15625
274,504190.59375
275,642149.0625
276,371948.34375
277,254281.953125
278,793009.3125
279,373097.40625
280,4007552.0
