Step,Value
0,2501526.75
1,9563203.0
2,5188045.5
3,3530145.25
4,105094.171875
5,2107561.75
6,112881.34375
7,49230.4609375
8,7875980.0
9,3394670.25
10,9609988.0
11,9365451.0
12,8685825.0
13,7932988.0
14,463386.1875
15,4949134.5
16,37557.57421875
17,1714993.25
18,55967.14453125
19,7572607.0
20,6753758.0
21,44625.47265625
22,3927287.75
23,3895399.25
24,228067.15625
25,978962.1875
26,3127559.75
27,2676171.75
28,9748679.0
29,7778627.5
30,7979426.5
31,5279954.0
32,8567985.0
33,3322964.5
34,3552691.0
35,1505985.5
36,9746398.0
37,1576368.25
38,6664601.5
39,332310.28125
40,3333333.5
41,487952.65625
42,156843.65625
43,2128817.75
44,9070518.0
45,234259.109375
46,202194.71875
47,4298868.0
48,1314504.5
49,4058203.0
50,51295.2265625
51,1001571.0625
52,390896.1875
53,9773333.0
54,1186841.625
55,41237.8359375
56,6564378.5
57,49012.87109375
58,3648446.75
59,90163.8515625
60,31314.814453125
61,7530395.5
62,558750.625
63,6658775.0
64,4162774.75
65,9654976.0
66,4716570.0
67,9578081.0
68,47809.5078125
69,9780235.0
70,928728.0625
71,132744.859375
72,9782482.0
73,9101816.0
74,1925901.125
75,53858.1015625
76,4613877.5
77,4015360.75
78,995505.3125
79,191382.640625
80,9356800.0
81,471973.65625
82,1256499.625
83,107679.8828125
84,9499730.0
85,56393.953125
86,59512.12109375
87,1272127.125
88,5226511.5
89,40133.2421875
90,639568.625
91,9076904.0
92,1199299.25
93,1029822.8125
94,7815455.0
95,2263645.75
96,3245565.5
97,2967377.5
98,410944.03125
99,3239303.75
100,6288938.5
101,77667.59375
102,244991.984375
103,242126.15625
104,1809441.75
105,7987067.5
106,9483870.0
107,9546927.0
108,2036083.75
109,8987080.0
110,132917.109375
111,9781767.0
112,1763184.25
113,4143069.0
114,2250251.0
115,5003977.5
116,6833472.5
117,576728.8125
118,122215.5390625
119,1394327.75
120,672413.0625
121,96231.59375
122,73743.1328125
123,4460188.0
124,5157282.5
125,8449039.0
126,4546043.5
127,430237.125
128,2982005.0
129,5817578.0
130,441408.34375
131,5129098.5
132,482084.09375
133,803646.375
134,172373.90625
135,1154591.25
136,2511206.25
137,892932.4375
138,3414211.75
139,1145068.875
140,87976.0546875
141,38550.03515625
142,9513531.0
143,3279506.5
144,7239859.5
