Step,Value
0,3219318.5
1,395635.9375
2,3668757.75
3,3331398.0
4,127596.671875
5,2965366.25
6,9782496.0
7,9241652.0
8,1672823.0
9,4657362.5
10,181518.125
11,322009.5
12,43460.5546875
13,1707455.625
14,9506378.0
15,4949134.5
16,9299270.0
17,8243237.0
18,6823909.5
19,1213696.875
20,51601.05078125
21,2038192.75
22,60861.31640625
23,6050668.5
24,9720801.0
25,341347.5625
26,4658621.5
27,3447719.75
28,61926.203125
29,2175672.5
30,490664.09375
31,55133.01171875
32,8751183.0
33,7457974.0
34,1551506.625
35,4406706.5
36,4972380.5
37,4833298.0
38,108675.484375
39,829079.125
40,3754793.0
41,1377798.875
42,1308631.875
43,7669106.5
44,3338108.75
45,48298.04296875
46,70213.84375
47,108675.4296875
48,3241980.0
49,91294.8984375
50,58120.7734375
51,4663707.0
52,9781925.0
53,2315798.5
54,54123.2890625
55,8695347.0
56,488790.09375
57,1118580.125
58,7100816.0
59,3079659.75
60,718280.0625
61,198680.15625
62,8695114.0
63,358528.09375
64,5812570.0
65,9730214.0
66,49989.4765625
67,609019.0
68,2700919.0
69,1785742.5
70,116899.3984375
71,118046.0234375
72,4810893.5
73,7542270.0
74,63989.1796875
75,2644323.75
76,4841312.5
77,639791.625
78,108675.484375
79,7708366.5
80,4972381.5
81,4543387.0
82,3717737.25
83,7909302.5
84,138583.53125
85,3835544.25
86,271231.40625
87,9732987.0
88,604546.5
89,9477094.0
90,1094489.375
91,9427606.0
92,5529303.5
93,67329.375
94,712442.3125
95,8859169.0
96,6984384.0
97,486714.625
98,114048.5078125
99,1854186.0
100,2585619.5
101,94746.1171875
102,72689.09375
103,3333333.5
104,7197507.0
105,1388090.5
106,4164088.0
107,150928.96875
108,80140.46875
109,738550.875
110,6361778.0
111,620846.625
112,4837731.5
113,5464878.5
114,55144.44921875
115,1906249.125
116,54257.52734375
117,8858168.0
118,9491714.0
119,4972381.5
120,129755.84375
121,2123843.0
122,153553.140625
123,2777750.5
124,6293154.5
125,92081.0390625
126,97012.296875
127,6937755.0
128,3918439.5
129,55787.26953125
130,210741.296875
131,3853825.75
132,9736667.0
133,5640369.5
134,3072610.0
135,6546078.5
136,7445309.0
137,6948091.5
138,9590795.0
139,114755.7734375
140,2179361.5
141,5605222.5
142,437027.78125
143,8296751.5
144,645610.6875
145,8688250.0
146,7321360.5
147,9236212.0
148,242979.828125
149,9664453.0
150,7550563.0
151,462921.21875
152,962207.8125
153,9782636.0
154,354387.28125
155,440758.53125
156,175250.03125
157,6451389.0
158,323694.90625
159,1001681.5625
160,7272959.0
161,3703952.5
162,1828598.875
163,785248.75
164,4581819.0
165,8366877.0
166,186808.328125
167,7030455.5
168,8683002.0
169,1427939.625
170,959213.125
171,1697246.125
172,135237.296875
173,1029871.5
174,142637.5625
175,71791.5
176,8832552.0
177,1429690.875
178,8584755.0
179,1211968.875
180,897895.3125
181,8083170.5
182,3291902.75
183,6396464.0
184,7947696.0
185,1193315.875
186,5969794.5
187,2209915.5
188,2552163.5
189,1611605.125
190,2150098.75
191,864925.3125
192,2166839.75
193,4671838.5
194,2397528.75
195,264114.28125
196,6082452.5
197,1452540.5
198,932671.4375
199,2837194.25
200,137964.046875
201,4603234.0
202,699773.5
203,6855530.0
204,1583156.625
205,5713837.0
206,1032847.0
207,3674215.75
208,7921440.0
209,5583008.0
210,4327944.5
211,7544198.5
212,8568682.0
213,271372.9375
214,2505559.0
215,2484262.5
216,690328.3125
217,1081886.875
218,636128.1875
219,292573.875
220,5127840.0
221,1447834.5
222,5622836.5
223,9265321.0
224,9465817.0
225,196707.0625
226,9002050.0
227,486841.0
228,1668698.625
229,1193391.125
230,395104.75
231,2146047.0
232,2590586.75
233,6123498.0
234,921951.25
235,1056196.125
236,464757.53125
237,8171587.0
238,2903924.25
239,7130544.0
240,2205703.5
241,1253825.25
242,1216866.75
243,894124.5
244,1252058.0
245,549989.1875
246,6518593.5
247,7390562.5
248,350647.0
249,1225609.875
250,7185740.0
251,2695676.5
252,6517808.0
253,1945535.25
254,1610187.0
255,444986.34375
256,1667024.75
257,427443.75
258,1482707.5
259,160400.640625
260,7376038.5
261,6126116.5
262,6291744.0
263,3894913.75
264,683408.375
265,3280262.75
266,896326.0625
267,1022361.125
268,2515261.0
269,490169.15625
270,1386682.25
271,3818818.25
272,1748441.5
273,5473726.5
274,1488265.75
275,2004764.375
276,1268834.0
277,8652448.0
278,402292.59375
279,3068737.0
280,2418352.5
