Step,Value
0,5.331782341003418
1,5.294131278991699
2,3.9259767532348633
3,4.92380428314209
4,5.565457344055176
5,5.593545913696289
6,5.540993690490723
7,1.491203784942627
8,3.0724899768829346
9,4.12233829498291
10,2.095427989959717
11,2.329740047454834
12,3.2967660427093506
13,3.0106027126312256
14,2.6263556480407715
15,4.338710784912109
16,1.594238519668579
17,3.157484769821167
18,3.641366481781006
19,4.077032566070557
20,4.30751371383667
21,5.831145763397217
22,5.3745222091674805
23,4.012472629547119
24,2.405695676803589
25,6.324471473693848
26,4.495433807373047
27,5.188174247741699
28,2.2016983032226562
29,5.385087966918945
30,3.991631507873535
31,4.68271017074585
32,2.3587262630462646
33,3.254347085952759
34,6.402607440948486
35,5.565707683563232
36,4.3464674949646
37,5.348626613616943
38,5.3813395500183105
39,4.415660381317139
40,4.637021064758301
41,6.197971343994141
42,6.145966053009033
43,3.595900774002075
44,5.241574287414551
45,5.866653919219971
46,5.691060543060303
47,5.420351982116699
48,5.074769020080566
49,6.093153476715088
50,4.907437324523926
51,4.5637969970703125
52,5.479403018951416
53,5.72379207611084
54,4.653537273406982
55,2.3340017795562744
56,2.9105570316314697
57,7.2095947265625
58,3.0066890716552734
59,6.266044616699219
60,7.095540523529053
61,6.673461437225342
62,2.483971357345581
63,6.56878137588501
64,4.248445510864258
65,1.191438913345337
66,4.143187522888184
67,7.233160018920898
68,4.445126056671143
69,5.836267948150635
70,4.780338764190674
71,2.4259305000305176
72,5.466371059417725
73,3.2670376300811768
74,6.696805477142334
75,5.219522953033447
76,4.630058765411377
77,7.297882080078125
78,5.345343589782715
79,2.489534378051758
80,4.493256092071533
81,5.4361653327941895
82,4.707007884979248
83,2.901923418045044
84,5.414099216461182
85,5.176275730133057
86,5.099660873413086
87,2.7018895149230957
88,6.378777503967285
89,2.7746405601501465
90,5.742729663848877
91,2.2532389163970947
92,4.213122844696045
93,5.6054463386535645
94,7.2867512702941895
95,2.8015570640563965
96,3.651066780090332
97,5.270251274108887
98,5.335468292236328
99,6.157896518707275
100,5.159809112548828
101,5.465218544006348
102,5.939631462097168
103,5.080253601074219
104,2.9087274074554443
105,6.115604400634766
106,4.902906894683838
107,5.5088396072387695
108,5.6735053062438965
109,5.981667995452881
110,3.8468217849731445
111,6.485130310058594
112,4.607013702392578
113,4.146615028381348
114,5.102947235107422
115,5.4944748878479
116,4.654575824737549
117,2.333505153656006
118,2.2063608169555664
119,4.43131685256958
120,5.337223529815674
121,5.766089916229248
122,5.687267303466797
123,5.520320415496826
124,3.8347349166870117
125,5.283874034881592
126,5.653613090515137
127,3.6490612030029297
128,5.453941345214844
129,2.0340733528137207
