Step,Value
0,43.0
1,45.0
2,44.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,69.0
9,33.0
10,31.0
11,41.0
12,0.0
13,66.0
14,0.0
15,2.0
16,0.0
17,28.0
18,0.0
19,0.0
20,98.0
21,37.0
22,33.0
23,63.0
24,50.0
25,47.0
26,48.0
27,35.0
28,12.0
29,68.0
30,99.0
31,0.0
32,73.0
33,72.0
34,56.0
35,0.0
36,51.0
37,51.0
38,56.0
39,0.0
40,120.0
41,67.0
42,0.0
43,40.0
44,29.0
45,22.0
46,0.0
47,60.0
48,0.0
49,0.0
50,32.0
51,0.0
52,0.0
53,57.0
54,0.0
55,0.0
56,59.0
57,75.0
58,40.0
59,0.0
60,52.0
61,44.0
62,0.0
63,89.0
64,0.0
65,20.0
66,0.0
67,86.0
68,50.0
69,44.0
70,60.0
71,37.0
72,32.0
73,22.0
74,6.0
75,20.0
76,26.0
77,0.0
78,33.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,35.0
85,24.0
86,0.0
87,21.0
88,0.0
89,81.0
90,30.0
91,33.0
92,36.0
93,45.0
94,16.0
95,0.0
96,37.0
97,0.0
98,0.0
99,57.0
100,43.0
101,68.0
102,0.0
103,21.0
104,36.0
105,29.0
106,31.0
107,51.0
108,44.0
109,53.0
110,42.0
111,69.0
112,47.0
113,34.0
114,23.0
115,17.0
116,25.0
117,29.0
118,30.0
119,30.0
120,21.0
121,20.0
122,16.0
123,19.0
124,25.0
125,23.0
126,13.0
127,29.0
128,31.0
129,27.0
130,17.0
131,26.0
132,27.0
133,25.0
134,31.0
135,50.0
136,27.0
137,21.0
138,17.0
139,18.0
140,19.0
141,33.0
142,45.0
143,36.0
144,27.0
145,19.0
146,30.0
147,42.0
148,27.0
149,34.0
150,17.0
151,30.0
152,30.0
153,34.0
154,26.0
155,0.0
156,16.0
157,41.0
158,29.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,5.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,66.0
184,0.0
185,105.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,67.0
194,1.0
195,128.0
196,0.0
197,149.0
198,60.0
199,35.0
200,35.0
201,29.0
202,21.0
203,17.0
204,29.0
205,32.0
206,28.0
207,22.0
208,0.0
209,30.0
210,28.0
211,30.0
212,0.0
213,73.0
214,0.0
215,0.0
216,48.0
217,34.0
218,40.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,76.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,8.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,32.0
267,0.0
268,117.0
269,0.0
270,0.0
271,0.0
272,110.0
273,0.0
274,75.0
275,34.0
276,40.0
277,46.0
278,36.0
279,35.0
280,25.0
281,27.0
282,14.0
283,19.0
284,23.0
285,27.0
286,26.0
287,54.0
288,32.0
289,41.0
290,43.0
291,34.0
292,53.0
293,61.0
294,47.0
295,41.0
296,52.0
297,40.0
298,49.0
299,47.0
300,32.0
301,34.0
302,43.0
303,45.0
304,40.0
305,43.0
306,39.0
307,45.0
308,44.0
309,36.0
310,38.0
311,41.0
312,36.0
313,20.0
314,29.0
315,23.0
316,23.0
317,24.0
318,15.0
319,30.0
320,26.0
321,22.0
322,20.0
323,5.0
324,10.0
325,10.0
326,18.0
327,13.0
328,13.0
329,9.0
330,11.0
331,13.0
332,11.0
333,19.0
334,12.0
335,16.0
336,16.0
337,19.0
338,26.0
339,22.0
340,37.0
341,33.0
342,28.0
343,44.0
344,59.0
345,50.0
346,86.0
347,67.0
348,91.0
349,76.0
350,69.0
351,38.0
352,46.0
353,28.0
354,29.0
355,18.0
356,15.0
357,13.0
358,14.0
359,10.0
360,8.0
361,12.0
362,9.0
363,18.0
364,8.0
365,4.0
366,7.0
367,7.0
368,22.0
369,23.0
370,26.0
371,23.0
372,30.0
373,27.0
374,37.0
375,50.0
376,67.0
377,48.0
378,68.0
379,50.0
380,59.0
381,50.0
382,35.0
383,41.0
384,45.0
385,42.0
386,41.0
387,28.0
388,23.0
389,18.0
390,14.0
391,8.0
392,17.0
393,7.0
394,4.0
395,2.0
396,12.0
397,6.0
398,5.0
399,12.0
400,13.0
401,15.0
402,11.0
403,14.0
404,16.0
405,15.0
406,14.0
407,13.0
408,17.0
409,23.0
410,40.0
411,34.0
412,34.0
413,63.0
414,53.0
415,57.0
416,55.0
417,49.0
418,56.0
419,25.0
420,33.0
421,25.0
422,14.0
423,20.0
424,31.0
425,18.0
426,14.0
427,12.0
428,18.0
429,21.0
430,17.0
431,10.0
432,6.0
433,9.0
434,9.0
435,14.0
436,9.0
437,17.0
438,17.0
439,23.0
440,12.0
441,17.0
442,32.0
443,29.0
444,47.0
445,29.0
446,36.0
447,22.0
448,30.0
449,20.0
450,12.0
451,26.0
452,30.0
453,29.0
454,17.0
455,21.0
456,14.0
457,22.0
458,13.0
