Step,Value
0,1585.0
1,1589.0
2,1.0
3,0.0
4,1545.0
5,1531.0
6,1581.0
7,1567.0
8,1.0
9,0.0
10,1593.0
11,1573.0
12,1.0
13,1608.0
14,1585.0
15,1561.0
16,1.0
17,1562.0
18,1569.0
19,1555.0
20,1529.0
21,1534.0
22,1.0
23,1525.0
24,1520.0
25,1534.0
26,1567.0
27,1562.0
28,1561.0
29,0.0
30,1503.0
31,1.0
32,1561.0
33,1557.0
34,1516.0
35,1531.0
36,1.0
37,1501.0
38,1508.0
39,1561.0
40,1.0
41,1483.0
42,1506.0
43,7.0
44,0.0
45,1502.0
46,1509.0
47,1501.0
48,2.0
49,1509.0
50,3.0
51,0.0
52,1540.0
53,1551.0
54,1530.0
55,1.0
56,1436.0
57,1538.0
58,0.0
59,1509.0
60,1512.0
61,1503.0
62,1518.0
63,1496.0
64,1.0
65,1545.0
66,1494.0
67,0.0
68,1502.0
69,1495.0
70,0.0
71,0.0
72,0.0
73,1484.0
74,1479.0
75,1499.0
76,1510.0
77,1483.0
78,1495.0
79,1495.0
80,1.0
81,0.0
82,1505.0
83,1492.0
84,1515.0
85,0.0
86,1507.0
87,1509.0
88,1502.0
89,1526.0
90,1537.0
91,0.0
92,1591.0
93,1.0
94,1587.0
95,1600.0
96,1603.0
97,1609.0
98,1618.0
99,1620.0
100,1609.0
101,1622.0
102,1605.0
103,5.0
104,1557.0
105,0.0
106,1505.0
107,5.0
108,1543.0
109,0.0
110,0.0
111,0.0
112,1450.0
113,1570.0
114,1550.0
115,1577.0
116,1584.0
117,1596.0
118,1.0
119,1581.0
120,1581.0
121,1588.0
122,1582.0
123,1570.0
124,2.0
125,0.0
126,1590.0
127,1.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,1553.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,1562.0
155,2.0
156,1571.0
157,1585.0
158,3.0
159,0.0
160,0.0
161,0.0
162,1466.0
163,1.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,1494.0
194,1.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,1433.0
202,0.0
203,1544.0
204,1513.0
205,1528.0
206,1514.0
207,1522.0
208,1561.0
209,1538.0
210,1558.0
211,1567.0
212,1554.0
213,1556.0
214,1564.0
215,1592.0
216,1574.0
217,1587.0
218,1585.0
219,1600.0
220,1571.0
221,1571.0
222,1589.0
223,1573.0
224,1573.0
225,1573.0
226,1585.0
227,1586.0
228,1576.0
229,1583.0
230,1579.0
231,1591.0
232,1578.0
233,1543.0
234,1555.0
235,1512.0
236,1532.0
237,1505.0
238,1550.0
239,1562.0
240,1540.0
