Step,Value
0,6579450.0
1,6579450.0
2,6679627.0
3,6546201.5
4,192535.796875
5,16881.236328125
6,16479.607421875
7,19233.921875
8,19184.251953125
9,5542737.0
10,6978440.0
11,6833607.0
12,6726450.0
13,213554.5
14,6289714.0
15,223583.9375
16,6092722.0
17,5896590.5
18,6933383.5
19,207310.875
20,13317.94140625
21,5508785.0
22,6956007.0
23,6775936.5
24,6344932.0
25,6648737.0
26,6387411.0
27,6249394.5
28,6493241.5
29,5785462.0
30,5922619.5
31,5492149.5
32,5063413.0
33,5984114.5
34,5767475.0
35,6185182.5
36,5629593.5
37,6261450.0
38,6014142.5
39,5886610.0
40,176378.390625
41,5160396.5
42,5859639.0
43,6468484.0
44,6449351.0
45,7309250.0
46,7575815.0
47,220121.359375
48,6254446.5
49,7751701.5
50,219209.890625
51,6993985.0
52,235955.09375
53,16610.408203125
54,6258365.0
55,214080.296875
56,5076929.5
57,5989092.0
58,5754847.0
59,6837041.5
60,222760.890625
61,6445575.0
62,6834657.0
63,189664.5
64,5461359.0
65,218261.796875
66,5627004.5
67,163438.90625
68,5667562.5
69,6227069.5
70,6029062.5
71,6030322.5
72,6779352.5
73,7207604.5
74,7917973.0
75,7870161.0
76,8334463.5
77,8169498.5
78,6539759.0
79,7050934.5
80,226870.84375
81,3340.076171875
82,4059.7451171875
83,9729.7470703125
84,5405598.0
85,6834400.5
86,6938379.5
87,6346495.5
88,7098815.5
89,223698.671875
90,5667539.5
91,6843931.0
92,7077828.0
93,7006949.5
94,6652134.0
95,7610826.0
96,6207173.5
97,6620539.5
98,210084.078125
99,8724.7607421875
100,5964294.0
101,6503064.0
102,6049104.0
103,5956271.5
104,7036695.5
105,7104361.5
106,7550471.5
107,6962977.5
108,6560823.0
109,6640427.5
110,6629575.5
111,6245342.5
112,6226924.5
113,6554695.0
114,6578043.0
115,7175842.5
116,7404970.5
117,7279547.0
118,7186323.5
119,7327539.0
120,7510006.0
121,7203043.5
122,7485529.0
123,8321570.0
124,7458729.5
125,7414622.5
126,8012393.0
127,7841532.0
128,7602941.5
129,7241077.0
130,7399667.0
131,7531055.5
132,7366290.5
133,7310364.0
134,7408414.5
135,7029498.5
136,6614115.5
137,6893604.0
138,7597914.0
139,7373518.5
140,7604890.5
141,7279305.5
142,6929005.0
143,6981699.5
144,7096377.0
145,7506553.0
146,7415976.5
147,7523377.0
148,6786987.5
149,6644497.0
150,6983014.0
151,7772153.5
152,6828475.5
153,6760345.0
154,6838016.0
155,7127233.5
156,7167075.5
157,7931480.0
158,7132888.0
159,7313682.0
160,243301.5
161,11357.759765625
162,16801.677734375
163,4972993.0
164,159264.4375
165,27286.9765625
166,9402.37109375
167,21765.98046875
168,20001.40625
169,7510.54443359375
170,5237890.0
171,170775.828125
172,18032.388671875
173,11456.3583984375
174,3055.981201171875
175,10463.4443359375
176,24425.84765625
177,9252.009765625
178,7002.8232421875
179,6439.1748046875
180,10157.185546875
181,0.0
182,21157.71484375
183,12438.814453125
184,5703849.0
185,203317.125
186,5334739.5
187,166367.640625
188,8115.28369140625
189,8505.6259765625
190,3984.441162109375
191,4549.63818359375
192,5882.5615234375
193,3860.927001953125
194,5776869.5
195,217314.34375
196,4775274.0
197,150752.0
198,4606425.0
199,5734904.5
200,6649176.5
201,7239709.0
202,7365941.5
203,7402253.0
204,7888490.0
205,7555099.5
206,6892637.5
207,7275430.0
208,7595597.0
209,224911.296875
210,7020600.5
211,7417099.5
212,7126774.5
213,259064.328125
214,5827385.0
215,213574.578125
216,5800552.5
217,6763604.5
218,6823362.0
219,6628619.0
220,188387.703125
221,3920.673095703125
222,10390.923828125
223,14790.7373046875
224,0.0
225,14844.70703125
226,10181.0517578125
227,0.0
228,14903.8505859375
229,10278.396484375
230,10294.37890625
231,12536.9091796875
232,4471.28271484375
233,0.0
234,2501.354736328125
235,6320.02392578125
236,0.0
237,15268.4365234375
238,2859.248779296875
239,9287.4921875
240,0.0
241,22971.103515625
242,0.0
243,6122560.5
244,208872.375
245,26175.1484375
246,4809.8623046875
247,3219.755859375
248,6019.7119140625
249,13959.2412109375
250,6653.466796875
251,15002.353515625
252,5770.20556640625
253,0.0
254,0.0
255,0.0
256,1551.510009765625
257,5891153.5
258,188042.40625
259,5907.04931640625
260,6639.01171875
261,10598.9013671875
262,7530.38330078125
263,0.0
264,0.0
265,4507.8564453125
266,9825.57421875
267,4683955.5
268,161069.109375
269,4870942.5
270,190169.734375
271,2641.23681640625
272,4303.974609375
273,5601334.0
274,196661.40625
275,5074271.0
276,6371763.5
277,6542442.5
278,6734363.0
279,6941396.5
280,6880596.0
281,7321134.5
282,7655558.5
283,8076002.5
284,7971443.0
285,7469417.5
286,7170014.5
287,6759888.0
288,6429683.5
289,6654174.0
290,6595848.5
291,6807933.0
292,6687883.5
293,6202547.0
294,5996444.0
295,6422063.5
296,6509957.5
297,6574963.0
298,6401041.0
299,5835183.5
300,6408091.0
301,7164100.5
302,6865642.5
303,6885136.0
304,6555612.5
305,6809698.5
306,6296825.5
307,6244794.5
308,6476060.0
309,6193638.5
310,6248063.5
311,6769001.5
312,7215050.5
313,7095298.0
314,7647759.5
315,7273897.5
316,7752159.0
317,7706628.5
318,7787250.0
319,8025299.5
320,7434618.5
321,7625523.5
322,8140501.5
323,8155624.0
324,8741646.0
325,8908441.0
326,9165546.0
327,8664760.0
328,8170043.0
329,8862522.0
330,8788725.0
331,9106855.0
332,8825366.0
333,8523244.0
334,7997691.5
335,8111571.5
336,8393590.0
337,8357774.0
338,8029791.0
339,7677931.0
340,7241192.5
341,6939079.5
342,7024475.5
343,7057847.5
344,6824227.0
345,6328263.5
346,5918990.5
347,5255188.0
348,5361196.0
349,5172696.5
350,5304844.0
351,5935461.0
352,6744091.5
353,6704956.0
354,7099623.0
355,7329729.5
356,7508678.5
357,8244340.0
358,8053938.5
359,8563799.0
360,8817912.0
361,9054944.0
362,8679729.0
363,8644023.0
364,8771379.0
365,9668014.0
366,9710553.0
367,9928032.0
368,8941922.0
369,7992629.0
370,7683580.5
371,8075692.0
372,8133896.0
373,7170196.5
374,7044550.0
375,7118943.5
376,6446783.0
377,6107049.0
378,5968032.0
379,5884578.0
380,5837497.0
381,5961556.0
382,6172695.5
383,7026950.0
384,6366714.5
385,6402016.5
386,6678015.5
387,6751519.5
388,7217811.5
389,7739377.5
390,7922975.5
391,8438450.0
392,8675259.0
393,8437948.0
394,9178354.0
395,8747863.0
396,9535720.0
397,9664723.0
398,9832435.0
399,9603337.0
400,9387799.0
401,8871397.0
402,8936243.0
403,8744941.0
404,9021090.0
405,8398598.0
406,8626539.0
407,8484303.0
408,8433971.0
409,7842963.0
410,7452308.5
411,6952097.5
412,6846984.0
413,6735682.5
414,5868438.5
415,6203596.0
416,5887089.0
417,6323501.5
418,6427038.0
419,6404342.0
420,6776525.0
421,6888759.0
422,7071595.0
423,7946680.0
424,7452243.5
425,7553002.5
426,8319748.5
427,8099069.5
428,7865273.0
429,8004415.0
430,8340302.0
431,8328476.0
432,8779702.0
433,8761802.0
434,8723294.0
435,8646921.0
436,8814569.0
437,8875827.0
438,8498159.0
439,8639634.0
440,8556066.0
441,8704838.0
442,8096780.0
443,7312008.5
444,6848123.0
445,6676462.5
446,7198697.5
447,7152990.5
448,7735676.0
449,7300331.0
450,7557443.5
451,7957912.0
452,7278124.5
453,7406435.0
454,7242389.0
455,7814189.5
456,7735171.0
457,8083531.5
458,8063137.5
459,7997937.0
460,7863996.0
461,7504703.0
462,7861884.0
463,7650666.0
464,7589327.0
465,7705301.5
466,7949403.5
467,7912983.0
468,7693305.0
469,7024121.0
470,6664141.5
471,6019938.5
472,6318129.5
473,6615306.5
474,6708626.5
475,6922005.5
476,6539566.5
477,6794942.0
478,7246263.5
479,7158330.5
480,7383576.0
481,7590578.5
482,7109848.0
483,7729760.0
484,7662917.0
485,8151272.5
486,8181154.0
487,8136366.0
488,7884922.0
489,7621622.0
490,7807304.5
491,8137090.0
492,8206803.5
493,8698726.0
494,8282512.0
495,7855986.0
496,7310410.0
497,7300151.5
498,7135994.0
499,7446606.5
500,7523476.0
501,7597938.5
502,7744011.5
503,7590010.0
504,7582079.0
505,7624260.0
506,7653286.0
507,6939041.5
508,6979455.5
509,7436506.5
510,7608304.5
511,8180010.5
512,7892778.0
513,7191184.0
514,6684546.0
515,6860411.5
516,7362586.5
517,6668027.5
518,7006711.5
519,7618111.5
520,7098013.0
521,7389172.5
522,7818803.5
523,7751378.0
524,8789947.0
525,8741635.0
526,9188840.0
527,8222655.0
528,8228764.5
529,8246798.0
530,8382307.0
531,8586799.0
532,8195488.5
533,7625653.0
534,7505021.0
535,6659830.5
536,6638712.0
537,6318311.5
538,6081271.5
539,6277505.0
540,6332930.5
541,6890671.0
542,6308081.0
543,5912539.5
544,6606691.0
545,7102331.0
546,7010634.5
547,7473607.0
548,7285847.0
549,7104347.0
550,7594101.0
551,8206847.0
552,8268425.0
553,8609367.0
554,9266521.0
555,8772773.0
556,8223133.0
557,8488605.0
558,7824678.0
559,7443888.5
560,7579736.0
561,7280047.0
562,6742552.0
563,7188849.5
564,7153285.0
565,6923264.5
566,6984445.5
567,6817315.0
568,6240785.5
569,6558007.5
570,6930022.0
571,6938526.0
572,6372745.0
573,6673732.5
574,7344683.5
575,7623138.5
576,7562517.0
577,7654780.5
578,8021570.0
579,8055135.5
580,8115000.5
581,8008618.5
582,7985264.0
583,8973750.0
584,8473267.0
585,8469307.0
586,8175453.5
587,8634694.0
588,8640035.0
589,8903749.0
590,8770417.0
591,8614112.0
592,8954172.0
593,9350157.0
594,9160333.0
595,9293823.0
596,8596538.0
597,9032338.0
598,8842357.0
599,8454130.0
600,7639197.0
601,7538835.5
602,7079978.0
603,6728383.5
604,6740180.0
605,6821888.0
606,6661145.0
607,7026805.5
608,7860202.5
609,7824391.0
610,7322889.5
611,6769108.0
612,7230436.0
613,7677236.0
614,7506007.0
615,7751262.0
616,7733250.5
617,7913456.0
618,8228201.0
619,7717080.0
620,8204428.0
621,8693168.0
622,8410594.0
623,8517705.0
624,8370079.0
625,8290479.0
626,7857998.5
627,7441180.0
628,7233300.0
629,6993277.0
630,6886049.5
631,6898081.5
632,6470559.0
633,6412490.0
634,6599951.5
635,7025487.0
636,7159239.0
637,7264268.0
638,7240707.0
639,7186684.5
640,7752301.5
641,6939945.5
642,6942957.5
643,6839972.5
644,6813587.5
645,6386139.5
646,6648177.5
647,6322190.0
648,6418670.0
649,7210939.5
650,7335595.5
651,8337134.5
652,8379448.5
653,8964273.0
654,9003646.0
655,9051166.0
656,8968981.0
657,9553212.0
658,9180036.0
659,9767993.0
660,9403504.0
661,9218035.0
662,8459572.0
663,8783316.0
664,8855240.0
665,8258230.0
666,8618564.0
667,8011558.5
668,7931237.5
669,7583357.0
670,7068643.5
671,7190189.0
672,7597767.5
673,7342009.5
674,7882892.0
675,7444833.5
676,7142693.5
677,6883472.0
678,7451206.0
679,7439704.5
680,7488850.5
681,7554808.0
682,8153476.0
683,7973660.0
684,8071851.5
685,8106544.0
686,7636782.5
687,8084659.5
688,7726292.5
689,7676423.0
690,7845658.5
691,7556608.5
692,7209581.0
693,6546088.5
694,6375583.5
695,6371202.0
696,6219157.0
697,6211753.0
698,5842997.5
699,5890740.5
700,6001732.5
701,6130652.5
702,6257445.0
703,6097020.5
704,6699378.5
705,6928128.5
706,6904790.5
707,6847147.5
708,6775958.5
709,6486601.0
710,6563683.5
711,6912763.0
712,6872856.5
713,6931188.5
714,6916535.0
715,7166043.5
716,7578045.5
717,7985728.0
718,8245257.5
719,7999023.0
720,7734365.0
721,7336238.0
722,7272593.5
723,7123505.5
724,7755695.5
725,7528879.5
726,7512130.5
727,7975248.5
728,7942470.5
729,7104841.5
730,7204213.5
731,7397047.0
732,7586627.0
733,8072503.0
734,7596370.5
735,7368153.0
736,7290352.0
737,6695149.0
738,6106542.5
739,5872003.5
740,6106452.5
741,6672548.0
742,7278831.5
743,7403941.5
744,6934777.0
745,7163199.0
746,7306949.0
747,7537256.5
748,7288444.5
749,7345460.5
750,7417003.0
751,7586028.5
752,7545646.5
753,7515999.0
754,7998430.5
755,8426109.0
756,8284414.0
757,8552970.0
758,7803511.0
759,8888749.0
760,7923848.0
761,8143694.0
762,8010532.0
763,7993718.5
764,7886077.0
765,7837383.5
766,7958765.5
767,7647870.5
768,7406625.5
769,7427095.0
770,7655737.0
771,7812420.0
772,7519065.0
773,7729141.5
774,7416292.0
775,6942989.5
776,6916233.0
777,6820588.5
778,6651858.5
779,6858261.0
780,7142673.5
781,6991232.0
782,6527989.5
783,6696974.0
784,6759279.0
785,7161116.5
786,7394212.0
787,7145850.0
788,7060980.0
789,7252902.0
790,6795722.5
791,6639506.5
792,6717596.0
793,7066447.5
794,7056505.5
795,7514314.0
