Step,Value
0,43.0
1,45.0
2,44.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,69.0
9,33.0
10,31.0
11,41.0
12,0.0
13,66.0
14,0.0
15,2.0
16,0.0
17,28.0
18,0.0
19,0.0
20,98.0
21,37.0
22,33.0
23,63.0
24,50.0
25,47.0
26,48.0
27,35.0
28,12.0
29,68.0
30,99.0
31,0.0
32,73.0
33,72.0
34,56.0
35,0.0
36,51.0
37,51.0
38,56.0
39,0.0
40,120.0
41,67.0
42,0.0
43,40.0
44,29.0
45,22.0
46,0.0
47,60.0
48,0.0
49,0.0
50,32.0
51,0.0
52,0.0
53,57.0
54,0.0
55,0.0
56,59.0
57,75.0
58,40.0
59,0.0
60,52.0
61,44.0
62,0.0
63,89.0
64,0.0
65,20.0
66,0.0
67,86.0
68,50.0
69,44.0
70,60.0
71,37.0
72,32.0
73,22.0
74,6.0
75,20.0
76,26.0
77,0.0
78,33.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,35.0
85,24.0
86,0.0
87,21.0
88,0.0
89,81.0
90,30.0
91,33.0
92,36.0
93,45.0
94,16.0
95,0.0
96,37.0
97,0.0
98,0.0
99,42.0
100,39.0
101,44.0
102,0.0
103,0.0
104,73.0
105,41.0
106,45.0
107,45.0
108,58.0
109,38.0
110,57.0
111,39.0
112,43.0
113,34.0
114,0.0
115,57.0
116,0.0
117,45.0
118,0.0
119,0.0
120,0.0
121,0.0
122,24.0
123,37.0
124,45.0
125,0.0
126,19.0
127,23.0
128,34.0
129,23.0
130,24.0
131,0.0
132,58.0
133,24.0
134,52.0
135,47.0
136,47.0
137,20.0
138,31.0
139,38.0
140,24.0
141,22.0
142,42.0
143,37.0
144,39.0
145,32.0
146,23.0
147,33.0
148,19.0
149,33.0
150,19.0
151,25.0
152,35.0
153,28.0
154,26.0
155,40.0
156,22.0
157,36.0
158,33.0
159,32.0
160,14.0
161,21.0
162,16.0
163,24.0
164,17.0
165,0.0
166,19.0
167,31.0
168,36.0
169,35.0
170,41.0
171,32.0
172,23.0
173,28.0
174,30.0
175,14.0
176,17.0
177,23.0
178,28.0
179,29.0
180,54.0
181,47.0
182,39.0
183,35.0
184,37.0
185,33.0
186,43.0
187,30.0
188,34.0
189,29.0
190,21.0
191,16.0
192,1.0
193,23.0
194,13.0
195,44.0
196,21.0
197,43.0
198,21.0
199,23.0
200,28.0
201,22.0
202,18.0
203,14.0
204,16.0
205,31.0
206,25.0
207,28.0
208,0.0
209,6.0
210,17.0
211,11.0
212,23.0
213,18.0
214,12.0
215,13.0
216,7.0
217,24.0
218,24.0
219,44.0
220,0.0
221,35.0
222,51.0
223,47.0
224,74.0
225,41.0
226,51.0
227,45.0
228,58.0
229,37.0
230,42.0
231,53.0
232,57.0
233,48.0
234,28.0
235,55.0
236,51.0
237,40.0
238,21.0
239,32.0
240,17.0
241,25.0
242,14.0
243,0.0
244,18.0
245,26.0
246,45.0
247,32.0
248,16.0
249,22.0
250,11.0
251,13.0
252,17.0
253,20.0
254,25.0
255,25.0
256,10.0
257,15.0
258,13.0
259,0.0
260,21.0
261,17.0
262,27.0
263,37.0
264,41.0
265,41.0
266,32.0
267,44.0
268,41.0
269,0.0
270,46.0
271,39.0
272,30.0
273,26.0
274,30.0
275,14.0
276,33.0
277,23.0
278,26.0
279,27.0
280,21.0
281,18.0
282,14.0
283,11.0
284,18.0
285,19.0
286,14.0
287,45.0
288,36.0
289,25.0
290,30.0
291,28.0
292,32.0
293,35.0
294,49.0
295,38.0
296,28.0
297,33.0
298,57.0
299,31.0
300,15.0
301,29.0
302,30.0
303,27.0
304,41.0
305,53.0
306,44.0
307,35.0
308,45.0
309,45.0
310,28.0
311,20.0
312,26.0
313,14.0
314,18.0
315,16.0
316,17.0
317,23.0
318,10.0
319,22.0
320,24.0
321,11.0
322,17.0
323,14.0
324,1.0
325,10.0
326,18.0
327,13.0
328,13.0
329,5.0
330,4.0
331,11.0
332,10.0
333,17.0
334,11.0
335,13.0
336,14.0
337,18.0
338,16.0
339,32.0
340,27.0
341,0.0
342,34.0
343,42.0
344,58.0
345,56.0
346,88.0
347,72.0
348,93.0
349,81.0
350,48.0
351,44.0
352,37.0
353,30.0
354,19.0
355,15.0
356,14.0
357,23.0
358,14.0
359,0.0
360,13.0
361,6.0
362,11.0
363,5.0
364,7.0
365,7.0
366,6.0
367,8.0
368,20.0
369,14.0
370,12.0
371,15.0
372,0.0
373,0.0
374,35.0
375,40.0
376,62.0
377,60.0
378,55.0
379,81.0
380,52.0
381,62.0
382,46.0
383,59.0
384,37.0
385,40.0
386,31.0
387,33.0
388,31.0
389,15.0
390,13.0
391,9.0
392,13.0
393,13.0
394,8.0
395,6.0
396,0.0
397,6.0
398,5.0
399,8.0
400,9.0
401,9.0
402,8.0
403,8.0
404,6.0
405,5.0
406,17.0
407,10.0
408,18.0
409,15.0
410,29.0
411,26.0
412,40.0
413,51.0
414,69.0
415,57.0
416,54.0
417,35.0
418,46.0
419,30.0
420,37.0
421,33.0
422,12.0
423,19.0
424,19.0
425,11.0
426,15.0
427,18.0
428,23.0
429,14.0
430,17.0
431,12.0
432,14.0
433,12.0
434,0.0
435,8.0
436,10.0
437,17.0
438,11.0
439,10.0
440,13.0
441,13.0
442,24.0
443,27.0
444,41.0
445,29.0
446,28.0
447,15.0
448,32.0
449,16.0
450,18.0
451,28.0
452,35.0
453,25.0
454,20.0
455,10.0
456,12.0
457,17.0
458,16.0
