Step,Value
0,1922543.625
1,1794934.375
2,6077611.0
3,108675.4296875
4,45327.8203125
5,106612.296875
6,32494.904296875
7,55238.19140625
8,1202510.125
9,4028508.25
10,5675003.5
11,2927673.25
12,98209.875
13,4795020.0
14,85646.1484375
15,380697.5625
16,222887.4375
17,3522897.0
18,55238.1640625
19,108675.4296875
20,3594838.0
21,4097005.25
22,7262987.0
23,7868402.5
24,5981978.0
25,7253159.5
26,1737464.5
27,2249575.75
28,632766.5
29,5780212.5
30,9429609.0
31,195689.421875
32,2647546.0
33,4479345.5
34,4975654.0
35,233016.984375
36,4972381.5
37,8805313.0
38,8520494.0
39,167943.21875
40,4972381.5
41,3756934.75
42,430536.09375
43,1898869.25
44,9623253.0
45,6952994.5
46,38017.63671875
47,6267652.0
48,378814.4375
49,73484.46875
50,4923359.0
51,88733.078125
52,161759.515625
53,4594353.5
54,55235.109375
55,219169.71875
56,9482044.0
57,2220751.75
58,9782414.0
59,106925.6875
60,1035337.125
61,6129594.0
62,67545.5703125
63,5127046.0
64,75261.8359375
65,462387.84375
66,55143.55859375
67,1431457.875
68,8752789.0
69,1142611.375
70,9776588.0
71,9781842.0
72,4972381.5
73,3200384.5
74,4127891.25
75,3581782.0
76,1680787.5
77,191386.859375
78,6779695.5
79,98367.5
80,144800.921875
81,108675.4296875
82,36640.203125
83,206027.9375
84,7213904.5
85,1023585.75
86,349854.71875
87,6781640.0
88,51705.953125
89,4972381.5
90,9684564.0
91,9757541.0
92,2758848.25
93,1392705.625
94,979441.0625
95,331768.90625
96,3075016.25
97,135378.953125
98,183645.703125
99,1136767.75
100,3333333.5
101,1079602.25
102,191593.890625
103,123835.3828125
104,6303447.5
105,4657633.5
106,5491944.0
107,8976806.0
108,4715990.5
109,7631806.0
110,9782649.0
111,3712099.75
112,4949548.0
113,6801657.5
114,136356.453125
115,7343821.5
116,126888.4140625
117,4966531.0
118,117784.390625
119,130299.3203125
120,56939.66015625
121,210557.9375
122,8535125.0
123,1447039.375
124,1933815.625
125,556627.125
126,2258466.25
127,9779217.0
128,4914970.5
129,4719801.5
130,7241669.5
131,54353.1015625
132,1137030.0
133,5791266.0
134,3712738.75
135,6848141.5
136,1442498.125
137,8127993.5
138,9688811.0
139,9210198.0
140,2105320.25
141,1439253.375
142,8793218.0
143,4290518.0
144,1612702.75
145,5384240.0
146,9168773.0
147,1353286.375
148,9343481.0
149,2851424.25
150,6996807.5
151,3262401.75
152,9374634.0
153,8933123.0
154,8358891.0
155,1665244.125
156,8008070.5
157,9126838.0
158,9774243.0
159,2926648.25
160,9381035.0
161,9668899.0
162,9350616.0
163,5997681.5
164,9487862.0
165,211304.421875
166,7694852.0
167,3803926.5
168,1735501.0
169,7953228.0
170,8467317.0
171,3286841.0
172,8088855.5
173,3446750.0
174,8875874.0
175,2048933.375
176,9025779.0
177,2542643.25
178,2180523.0
179,9292507.0
180,5346730.0
181,8777226.0
182,8812197.0
183,9029934.0
184,7599860.0
185,7899754.0
186,1536713.75
187,850882.1875
188,3843765.25
189,7723847.5
190,1223575.375
191,4513361.0
192,615505.3125
193,8743808.0
194,6989966.0
195,6884467.5
196,3664672.25
197,9163646.0
198,9654057.0
199,9192333.0
200,4726166.5
201,8781849.0
202,8286673.0
203,3219778.5
204,9552770.0
205,8466982.0
206,9674140.0
207,7375027.5
208,2262650.0
209,9077101.0
210,6171554.5
211,7397675.5
212,2770805.0
213,9270372.0
214,398450.53125
215,2221681.0
216,7077736.5
217,9746705.0
218,9779065.0
219,4796117.0
220,376300.84375
221,4872364.0
222,4011361.0
223,7645321.0
224,2124859.75
225,3938847.0
226,6881555.5
227,8161812.5
228,5328470.5
229,9635072.0
230,3514552.5
231,2103014.25
232,3287460.5
233,8112738.0
234,8967322.0
235,9576804.0
236,4353234.5
237,7633592.5
238,9387104.0
239,2576114.75
240,8206305.0
241,6941516.0
242,7657060.0
243,229468.78125
244,4683318.0
245,8713591.0
246,8729321.0
247,6471659.0
248,6459934.5
249,8240118.5
250,5198167.0
251,6348011.5
252,4253752.0
253,7517237.5
254,3415000.5
255,2508593.25
256,8218463.5
257,3987539.75
258,1244067.375
259,500850.625
260,7124175.0
261,7910626.5
262,8679441.0
263,8064260.5
264,5682889.0
265,5734924.5
266,8042311.5
267,3654818.75
268,3903077.5
269,352190.53125
270,4820673.5
271,9452459.0
272,4937692.5
273,4396089.5
274,8637167.0
275,934488.875
276,7894487.0
277,6044498.0
278,4167195.0
279,7144620.5
280,6123703.5
281,1009789.1875
282,4569813.5
283,3900988.75
284,4532898.0
285,1370673.125
286,8768170.0
287,2353180.0
288,6994104.0
289,8697058.0
290,8656683.0
291,5042675.5
292,1183322.5
293,4516899.0
294,5118155.5
295,3498127.25
296,6903983.0
297,2876990.75
298,5395640.0
299,5609698.5
300,2926849.75
301,1849020.0
302,8569294.0
303,443971.5
304,6403783.0
305,2053784.625
306,3416037.25
307,735717.1875
308,1436024.5
309,6054948.5
310,2544635.5
311,4934044.5
312,4965763.0
313,5315026.0
314,3738231.75
315,8606848.0
316,6638348.5
317,6274126.0
318,1791662.25
319,5328427.0
320,2016158.0
321,1186389.625
322,3432853.0
323,2026154.125
324,1097782.25
325,6773532.5
326,3131566.75
327,9065791.0
328,4541278.5
329,3447508.0
330,5529188.5
331,2649824.25
332,4977712.5
333,5177371.5
334,3024481.0
335,7986774.5
336,8675807.0
337,5140792.0
338,5569583.0
339,3617274.75
340,7415240.0
341,1136779.75
342,3339029.5
343,8225165.5
344,4595443.5
345,3473158.0
346,2785696.0
347,6517265.0
348,4356566.0
349,4991983.0
350,5782908.0
351,3516169.75
352,5670498.0
353,2354368.5
354,4890191.5
355,4092704.75
356,4124585.5
357,7378238.5
358,4779652.0
359,1288705.125
360,1974571.5
361,7088093.0
362,8735415.0
363,1652962.0
364,4938877.0
365,3092036.25
366,9001689.0
367,5034553.5
368,4614945.0
369,4437593.0
370,1214717.375
371,4186715.0
372,581986.0
373,643398.9375
374,5849479.5
375,4629128.5
376,2247487.5
377,2962455.25
378,1529603.0
379,5213696.0
380,5107538.0
381,4300177.0
382,4570644.5
383,5181289.5
384,4994685.5
385,3798244.5
386,3527710.25
387,4084487.5
388,8050180.5
389,7744087.0
390,3145299.75
391,4861477.5
392,3939345.75
393,7538120.5
394,7283225.5
395,2493393.5
396,419051.9375
397,4566099.5
398,3164337.25
399,2131207.5
400,1573119.625
401,6835107.0
402,6570459.5
403,3910682.75
404,7316980.5
405,5934271.0
406,4869875.5
407,8461340.0
408,7558520.5
409,7332384.0
410,6225513.0
411,7888658.5
412,5921139.5
413,5426484.0
414,4716852.5
415,497588.6875
416,1200700.0
417,2380501.25
418,1147920.75
419,2715255.5
420,6209706.0
421,5395251.5
422,542465.125
423,7694460.0
424,7678786.0
425,7712420.0
426,5595483.0
427,7732329.0
428,4994573.5
429,4212208.5
430,3634497.25
431,6854449.5
432,3396923.0
433,3071975.75
434,593696.9375
435,3639966.5
436,3101322.25
437,4942035.0
438,5918826.5
439,9016281.0
440,6722431.0
441,4359871.5
442,6265987.0
443,8543160.0
444,7441323.5
445,6812977.0
446,3960591.75
447,5847914.0
448,4176341.5
449,2192075.5
450,4548982.0
451,3488123.0
452,2102129.25
453,2884137.75
454,5851813.0
455,2746468.75
456,5578723.5
457,5779909.0
458,8038882.0
459,4885941.0
460,5629182.0
461,4223728.5
462,2826286.5
463,7742644.5
464,5887691.5
465,1455582.125
466,1212294.0
467,6392142.0
468,4827882.0
469,3754264.75
470,6340092.0
471,6688264.5
472,3031444.75
473,4851848.0
474,4851102.5
475,5968196.5
476,4932922.5
477,4698939.0
478,3169773.0
479,3955814.5
480,2633990.25
481,3287505.75
482,1209377.5
483,3272627.0
484,4321240.0
485,3209285.75
486,8739951.0
487,8373169.5
488,7589503.0
489,4899741.0
490,6960331.0
491,6606002.0
492,5153945.0
493,5530386.5
494,7499412.5
495,4700522.0
496,5287885.0
497,6409999.5
498,4154447.5
499,2324403.0
500,2837608.25
501,4786819.0
502,6800424.0
503,6808197.0
504,3412243.75
505,4793745.5
506,5926414.0
507,5882725.0
508,4631594.0
509,6058796.0
510,6358537.5
511,4964034.0
512,4513789.0
513,1990318.5
514,1909575.875
515,2071833.625
516,5343020.5
517,2517035.5
518,3774571.75
519,4122610.5
520,3394822.0
521,4377575.0
522,4866571.5
523,2225645.25
524,730834.375
525,3718884.5
526,3982709.0
527,6566062.0
528,3149370.5
529,3662320.75
530,3338480.0
531,5806955.0
532,3699676.5
533,5008789.5
534,4966890.0
535,3829194.5
536,4864553.0
537,4436170.0
538,5097589.5
539,6317541.0
540,3507048.0
541,7534746.0
542,1503431.625
543,6348309.5
544,948878.0
545,4666980.5
546,3892961.5
547,3406528.75
548,3958246.75
549,5148874.5
550,6392990.5
551,4435116.0
552,5288089.0
553,2589896.0
554,4894885.0
555,5203541.5
556,6152768.5
557,4505771.5
558,6556815.0
559,3615728.25
560,7119979.5
561,5645179.5
562,5468985.5
563,6875804.0
564,2125715.25
565,5351675.5
566,5235522.5
567,7996190.0
568,2072305.125
569,3992166.5
570,4340156.5
571,3401542.25
572,5885672.5
573,6542390.0
574,2011912.625
575,4142457.75
576,4796065.0
577,4815958.5
578,3909225.25
579,5966391.0
580,2967155.25
581,4065052.75
582,8017958.5
583,3774905.25
584,4375042.5
585,5693436.5
586,4633693.5
587,4977408.5
588,5671148.5
589,5723104.5
590,3698532.25
591,3823698.75
592,2526715.75
593,4512629.5
594,7440232.5
595,5661278.5
596,5433815.5
597,7444923.5
598,6834009.5
599,4888610.0
600,7055777.5
601,6923815.0
602,4788080.0
603,5075760.5
604,1890707.0
605,5935194.5
606,4351769.0
607,3488572.0
608,5415603.0
609,4902408.0
610,5656624.5
611,4434057.0
612,6620439.5
613,7244606.5
614,4830681.0
615,6897004.0
616,7906859.0
617,7176214.0
618,5810256.0
619,5829040.5
620,4744824.0
621,6762218.0
622,6100538.5
623,7882030.0
624,7141210.0
625,4898855.5
626,3713210.25
627,4238728.5
628,2525864.25
629,3588532.0
630,2215645.0
631,5402346.5
632,4945935.5
633,7589342.0
634,6724258.5
635,7528690.0
636,6711343.0
637,6342332.0
638,6302267.5
639,5273139.5
640,5289343.0
641,6848358.5
642,7818596.5
643,8313530.0
644,3484546.25
645,4143341.0
646,4672090.0
647,7397626.5
648,3714235.75
649,6054433.5
650,3277374.5
651,4756466.0
652,4923638.5
653,3560742.25
654,5193839.0
655,5425833.0
656,6037764.0
657,4866430.0
658,3554746.0
659,4588296.0
660,3885225.25
661,3755411.0
662,4924030.0
663,4128958.0
664,4344784.0
665,2846804.0
666,2264895.25
667,3732173.25
668,6616751.0
669,5689204.5
670,4044917.5
671,8079309.5
672,4109550.5
673,5688163.0
674,5743120.5
675,4389398.0
676,6176877.0
677,4245940.0
678,6118161.5
679,6498487.0
680,4675146.0
681,4970313.5
682,6772340.0
683,2458254.5
684,6730665.5
685,4254466.0
686,5736492.5
687,5422733.0
688,7005197.0
689,5642893.5
690,6353452.0
691,4206126.5
692,2031339.5
693,5298966.0
694,4609749.5
695,2538752.75
696,7156284.0
697,7294863.0
698,4903970.5
699,2830518.0
700,6137318.0
701,5863144.5
702,7098481.0
703,6277190.0
704,2798215.75
705,8105948.0
706,6182136.5
707,4105486.75
708,7391300.0
709,3873956.0
710,5045012.0
711,4733399.5
712,4241025.0
713,5021114.5
714,4495147.0
715,7726290.0
716,5560357.0
717,3970210.75
718,6645770.5
719,5463666.5
720,6477630.5
721,7295834.0
722,5908648.0
723,4372439.5
724,7784655.5
725,6066668.0
726,6208727.0
727,6187124.5
728,5273126.5
729,1957263.375
730,4760306.0
731,4234501.5
732,2666467.75
733,5220484.5
734,7176547.5
735,6588199.0
736,3940600.25
737,7901156.0
738,5127457.5
739,7369529.0
740,3592171.75
741,6643014.0
742,3170068.0
743,4178469.75
744,6993437.0
745,5881269.0
746,7174455.5
747,3309676.0
748,3525237.75
749,5137828.0
750,5715727.0
751,2827142.25
752,7861162.0
753,6317463.0
754,5380805.5
755,5553986.0
756,6345752.0
757,3029206.0
758,4399444.5
759,5671405.0
760,5294242.5
761,5665328.5
762,3947054.25
763,6956264.0
764,8728064.0
765,4607956.5
766,6781326.0
767,6356181.0
768,5156194.5
769,7979627.5
770,6008185.5
771,5338478.0
772,5453147.5
773,6121325.0
774,3796713.0
775,3867627.75
776,4369220.5
777,5955745.5
778,6413629.5
779,5454305.0
780,7100105.5
781,5977580.5
782,7859939.5
783,5585633.5
784,7128800.5
785,6146351.5
786,5225391.5
787,7867375.5
788,6189561.0
789,2597636.5
790,7491205.5
791,3721877.25
792,7748793.5
793,6285316.0
794,5480506.5
795,6618381.5
796,5608467.0
797,6239021.0
798,7162668.5
799,8489776.0
800,4608775.5
801,7147293.0
802,6055223.5
803,8503084.0
804,6092553.0
805,7982864.0
806,5561789.5
807,6277088.5
808,6906302.5
809,8122728.5
810,5305439.0
811,6600585.5
812,4959511.5
813,5600747.0
814,5657494.5
815,6498083.0
816,7580474.5
817,7253195.5
818,7944762.0
819,6499077.5
820,4408455.0
821,7691087.5
822,7545456.5
823,4765914.5
824,7120879.5
825,5783006.5
826,6768220.0
827,5598045.0
828,6901379.0
829,6978949.5
830,3067578.5
831,6735918.0
832,3969182.75
833,4569576.0
834,4776887.5
835,4503065.0
836,7146030.0
837,5051745.0
838,2454139.5
839,5519604.0
840,3064915.75
841,7225193.5
842,5727269.5
843,6678157.5
844,7953017.0
845,5419488.0
846,8660886.0
847,7732134.0
848,5123412.0
849,7094777.0
850,2781890.0
851,3561604.5
852,3730306.25
853,5294143.0
854,5315044.0
855,5211578.0
856,5005651.5
857,5608666.5
858,7604840.0
859,4784860.0
860,4571154.0
861,8581459.0
862,8477769.0
863,6297262.5
864,5243349.5
865,7147121.0
866,7405256.0
867,7880100.5
868,4373283.5
869,7225156.0
870,7656050.5
871,6583040.0
872,5775880.0
873,7283177.5
874,3891743.5
875,5297810.5
876,3547983.25
877,3336234.75
878,3759220.25
879,6420902.5
880,6652982.0
881,4721279.5
882,7688380.0
883,6302795.5
884,6140055.5
885,7198826.5
886,4747869.5
887,6022524.0
888,6272524.0
889,7110649.5
890,5883314.5
891,7388581.0
892,6070294.5
893,3928395.0
894,4251552.5
895,4647239.5
896,7685209.5
897,4073642.25
898,7602311.5
899,6747868.0
900,7002019.5
901,6194771.5
902,4625070.0
903,6336936.5
904,5712490.0
905,5411403.0
906,4673356.0
907,5770972.0
908,5154214.0
909,5989229.0
910,5958014.0
911,6187541.5
912,6961021.0
913,8265763.0
914,7422753.5
915,5234368.5
916,6160056.0
917,7590873.0
918,7486642.5
919,6548921.5
920,4531898.0
921,6775050.0
922,7319278.5
923,3905192.25
924,2913826.75
925,5041449.0
926,7843431.0
927,5193385.5
928,7381217.0
929,8080032.5
930,6191351.0
931,8353776.5
932,6285257.5
933,4524581.0
934,6734792.0
935,5341361.0
936,5553706.5
937,7499615.5
938,5642185.0
939,4275131.0
940,6312205.0
941,5124777.0
942,4371868.5
943,5851675.5
944,4985507.0
945,3770618.75
946,6335757.0
947,7749536.0
948,6222346.5
949,6987617.0
950,7177482.0
951,7831836.5
952,4097241.25
953,7154612.0
954,7561682.0
955,6248168.0
956,5020677.0
957,6426989.5
958,4559712.0
959,1783099.5
960,4344516.5
961,5512374.0
962,5877372.5
963,4825708.5
964,5256494.5
965,5956955.0
966,6390633.0
967,5938962.0
968,6586644.5
969,5415157.0
970,6491403.0
971,3619379.75
972,5332751.5
973,6049000.5
974,7198485.0
975,7869453.0
976,6124053.0
977,6902489.5
978,5364490.0
979,6534641.5
980,5468255.5
981,5595138.0
982,7192150.0
983,6423815.0
984,5887684.0
985,7083249.0
986,6898114.5
987,6926026.5
988,6722656.5
989,8064187.0
990,4036882.75
991,6500007.0
992,3373234.25
993,5317188.5
994,6775290.5
995,5353226.0
996,5214584.5
997,6596853.5
998,6109486.0
999,4932783.5
1000,4344746.0
1001,4872378.5
1002,3380379.75
1003,4723682.5
1004,6336094.5
1005,3759677.75
1006,7469650.5
1007,5620787.5
1008,6753602.5
1009,6708889.5
1010,6902031.5
1011,7430414.0
1012,6001165.0
1013,6464329.0
1014,4796433.5
1015,7202975.0
1016,5578266.5
1017,3060624.25
1018,4385143.0
1019,4120154.75
1020,6074177.0
1021,5003470.0
1022,6456532.0
1023,6787429.0
1024,5924013.5
1025,5619642.5
1026,6361788.0
1027,6473708.0
1028,4833882.5
1029,6615175.0
1030,7628759.0
1031,6855702.0
1032,6472588.0
1033,5975890.0
1034,5932781.5
1035,7974378.0
1036,5554049.0
1037,6395569.0
1038,6229805.5
1039,5453982.0
1040,6258456.0
1041,5991701.0
1042,5269299.0
1043,4461211.5
1044,3186689.0
1045,6799102.0
1046,4156617.0
1047,5798054.5
1048,6762795.5
1049,6256602.0
1050,5041966.5
1051,5279722.0
1052,5138806.5
1053,6755388.5
1054,5659701.0
1055,5741403.5
1056,5919640.5
1057,6405244.5
1058,6069829.0
1059,6426064.5
1060,7613120.0
1061,5469089.0
1062,7253384.0
1063,7559381.5
1064,6571802.5
1065,6172309.5
1066,6737807.5
1067,4979935.5
1068,6726255.0
1069,7235427.5
1070,7852895.5
1071,7131623.5
1072,7144413.0
1073,7227607.0
1074,6974337.5
1075,7846976.5
1076,8661323.0
1077,7205222.0
1078,4488400.0
1079,5199834.0
1080,6669336.0
1081,6833610.5
1082,3674011.75
1083,4711404.0
1084,6280646.5
1085,4401645.5
1086,3702766.0
1087,5053689.5
1088,5105814.5
1089,4987306.5
1090,6452671.5
1091,4227817.0
1092,7860368.0
1093,7288586.0
1094,7009567.0
1095,4585456.5
1096,7970665.0
1097,7020367.0
1098,6769609.5
1099,7013524.0
1100,8746514.0
1101,6621082.0
1102,7535224.5
1103,6234908.5
1104,5649966.0
1105,7298898.5
1106,6614293.5
1107,5539648.5
1108,4241668.5
1109,4300410.5
1110,3384608.75
1111,3858681.25
1112,7161049.0
1113,4003677.75
1114,6810471.5
1115,7523815.5
1116,3461375.75
1117,6069337.5
1118,5229845.0
1119,6509090.0
1120,6527964.0
1121,6646081.0
1122,7897179.5
1123,7386933.5
1124,8725234.0
1125,4447331.5
1126,7704620.0
1127,7911789.0
1128,2236719.25
1129,8441507.0
1130,5892433.5
1131,5085981.5
1132,6550323.5
1133,4790156.5
1134,5799142.5
1135,4920906.5
1136,5142401.5
1137,7593405.0
1138,5694176.0
1139,6175025.0
1140,5086214.0
1141,5945943.0
1142,7327712.0
1143,6647749.5
1144,6135171.5
1145,5836663.0
1146,6100145.0
1147,5654652.5
1148,7089767.0
1149,6631824.5
1150,7069111.5
1151,5851861.0
1152,6232078.0
1153,7081207.5
1154,6666649.0
1155,5238833.5
1156,5876128.0
1157,5941924.5
1158,6288010.0
1159,2554586.5
1160,6603182.0
1161,6133092.0
1162,5783383.5
1163,6975491.0
1164,4543024.5
1165,7262541.0
1166,6443059.5
1167,4518041.5
1168,5283627.5
1169,6647441.0
1170,3597196.75
1171,7844588.0
1172,7685736.0
1173,5650759.5
1174,5201419.5
1175,5884825.5
1176,6989331.0
1177,6498876.0
1178,7052532.5
1179,3909548.75
1180,7402115.5
1181,6570616.0
1182,7021391.5
1183,8371743.0
1184,7189160.0
1185,5201756.5
1186,7441058.0
1187,7450394.5
1188,6030243.0
1189,7866018.0
1190,8209063.0
1191,6774330.0
1192,7201475.0
1193,3739157.0
1194,5846964.5
1195,5823703.0
1196,6330979.0
1197,6614970.5
1198,6783420.5
1199,4092604.25
1200,4716837.0
1201,3733164.25
1202,6197383.5
1203,6978186.0
1204,7349834.5
1205,7483016.5
1206,6823512.5
1207,6970455.0
1208,6785348.0
1209,4406137.0
1210,7647834.5
1211,5702215.5
1212,7936112.5
1213,6359059.0
1214,6759453.0
1215,4555843.5
1216,6922396.5
1217,6847661.0
1218,4987081.5
1219,6390754.5
1220,5710262.0
1221,5404327.0
1222,6863301.5
1223,5459923.0
1224,4768730.5
1225,6350852.5
1226,5392835.0
1227,7084581.5
1228,7304162.5
1229,7324850.5
1230,6818864.5
1231,5964203.5
1232,4782854.5
1233,5279667.5
1234,7650360.5
1235,7167455.5
1236,7169841.0
1237,7992976.5
1238,7327759.5
1239,7210123.5
1240,6561438.5
1241,4092231.5
1242,6974700.5
1243,6745795.5
1244,5557408.5
1245,7237051.5
1246,5164811.0
1247,5646198.5
1248,5699764.0
1249,4845446.5
1250,7869014.0
1251,6827532.0
1252,3757518.75
1253,6016848.0
1254,6330349.0
1255,6795792.5
1256,7132026.5
1257,8353274.5
1258,7220403.0
1259,7506709.0
1260,6604497.0
1261,7288364.0
1262,5237327.0
1263,5354052.0
1264,5304036.5
1265,6793395.5
1266,5740423.0
1267,5568599.5
1268,6420934.0
1269,4329833.0
1270,4856415.5
1271,5718932.0
1272,3277685.25
1273,5260523.5
1274,7211478.0
1275,6411711.5
1276,7097611.5
1277,5319481.5
1278,8874439.0
1279,7014474.5
1280,5025940.0
1281,8071008.5
1282,8182392.0
1283,7316131.0
1284,7165476.5
1285,7262875.5
1286,6610539.0
1287,8694336.0
1288,7130771.5
1289,6143286.0
1290,6433592.0
1291,6023830.0
1292,4551818.5
1293,4471329.5
1294,5821235.0
1295,5831479.5
1296,6354094.0
1297,5470496.0
1298,7612164.5
1299,8831964.0
1300,7304026.0
1301,7828981.5
1302,7755922.0
1303,6426837.5
1304,5721193.0
1305,6256126.0
1306,4096961.25
1307,7393791.0
1308,7215416.0
1309,7148792.5
1310,7945407.0
1311,7778283.0
1312,7164102.0
1313,7712205.5
1314,6247306.5
1315,7991118.0
1316,6190414.5
1317,6503731.5
1318,6806859.0
1319,6129264.0
1320,6763765.0
1321,5294640.5
1322,7158071.0
1323,6874243.5
1324,5226001.0
1325,6187732.0
1326,6069913.0
1327,5469029.5
1328,7025510.5
1329,6915525.0
1330,4064366.25
1331,6859821.0
1332,1797164.125
1333,5597018.5
1334,5329358.0
1335,3792050.0
1336,5112492.5
1337,6646588.0
1338,3801262.75
1339,6553003.0
1340,5105042.5
1341,6709167.0
1342,6225412.5
1343,7562502.5
1344,5913975.0
1345,4482269.5
1346,3749597.0
1347,7655840.0
1348,7028564.0
1349,6522688.5
1350,6679108.5
1351,6717476.0
1352,6411312.0
1353,7906558.5
1354,8213255.0
1355,8425767.0
1356,8461718.0
1357,6375990.0
1358,8074164.5
1359,7300893.0
1360,7246214.5
1361,5608755.5
1362,6429574.0
1363,7645644.0
1364,6800034.0
1365,5966871.5
1366,6457205.0
1367,5791374.5
1368,5330800.0
1369,7172217.5
1370,7724700.0
1371,6751742.5
