Step,Value
0,7046321.0
1,4065033.5
2,5265428.0
3,9782649.0
4,6793562.0
5,1161908.0
6,3704047.25
7,4972380.5
8,9132338.0
9,6709827.0
10,60478.57421875
11,3123842.0
12,9703551.0
13,4188435.75
14,171247.296875
15,275725.65625
16,9781345.0
17,3333333.5
18,4955132.5
19,108675.4296875
20,2794050.25
21,5085259.0
22,2170273.25
23,52776.50390625
24,2189574.25
25,3165063.5
26,5045060.5
27,340407.90625
28,7744917.5
29,4140393.75
30,74217.7265625
31,9589210.0
32,7768057.0
33,55238.171875
34,2238059.25
35,63098.2890625
36,4720744.0
37,1668102.25
38,644211.5
39,903959.4375
40,4972381.5
41,6096730.0
42,2429427.25
43,8055564.0
44,329567.65625
45,5393512.0
46,9410434.0
47,3694560.75
48,8419487.0
49,5220551.5
50,4972381.5
51,9772897.0
52,680389.5
53,2896877.75
54,4876459.0
55,9782079.0
56,125718.125
57,2390087.75
58,116148.84375
59,108675.4296875
60,2036685.625
61,634869.3125
62,9288118.0
63,55182.61328125
64,9778587.0
65,500857.65625
66,4515249.5
67,8560283.0
68,36994.53125
69,6184853.5
70,88145.625
71,119602.375
72,4972381.5
73,7625766.0
74,53362.3046875
75,3649045.0
76,6998994.5
77,4172689.0
78,46972.9453125
79,120631.1640625
80,9588090.0
81,9782649.0
82,1274691.625
83,283889.875
84,216191.34375
85,9133611.0
86,4957534.5
87,44162.59765625
88,108675.484375
89,55238.171875
90,83708.734375
91,162460.1875
92,55238.171875
93,9069353.0
94,5136204.0
95,1096579.625
96,1800555.75
97,79170.234375
98,413203.25
99,609400.6875
100,3333333.5
101,4725210.0
102,4192309.0
103,9780844.0
104,1649250.5
105,5052944.0
106,4057663.5
107,349847.90625
108,791195.5
109,3819747.5
110,108675.4296875
111,3290228.5
112,4972381.5
113,49479.5625
114,178777.90625
115,46206.4296875
116,99664.5234375
117,4929795.0
118,9775649.0
119,928167.0
120,133710.953125
121,38628.51953125
122,151800.5
123,292321.625
