Step,Value
0,1898467.75
1,1207727.25
2,9895443.0
3,5524.73193359375
4,10666.8486328125
5,16239.9677734375
6,9780.01171875
7,2752.575439453125
8,523866.28125
9,5395739.5
10,5661996.0
11,4038243.0
12,5132.7548828125
13,1082584.375
14,5340.537109375
15,339250.71875
16,82697.2734375
17,5598200.5
18,2764.6572265625
19,5524.73193359375
20,4048002.0
21,4639957.0
22,9400623.0
23,9941591.0
24,7007358.0
25,8819782.0
26,48890.47265625
27,2040326.75
28,216542.1875
29,3949687.5
30,9694114.0
31,83476.4609375
32,2489841.25
33,3414413.75
34,3785204.5
35,80607.9453125
36,5091825.5
37,9971112.0
38,7978510.5
39,4525.9853515625
40,4998617.5
41,3737249.25
42,11384.0068359375
43,5073846.0
44,9867621.0
45,7925108.0
46,1894.9697265625
47,4516026.0
48,9697.544921875
49,1901.972900390625
50,4926969.5
51,4456.283203125
52,3857.248779296875
53,8964702.0
54,50002.7265625
55,2740381.25
56,9527891.0
57,2570288.0
58,9950954.0
59,5524.7373046875
60,40077.73046875
61,6460234.5
62,56084.11328125
63,5543648.0
64,27309.1875
65,12851.501953125
66,2452.0673828125
67,545601.3125
68,9671846.0
69,45490.203125
70,9986867.0
71,9988782.0
72,4998617.5
73,2426979.5
74,8596132.0
75,5348622.0
76,64509.38671875
77,9547.0693359375
78,7089984.5
79,8800.6650390625
80,7226.76416015625
81,5524.7265625
82,4798.560546875
83,6770.89111328125
84,1084157.625
85,830991.4375
86,8552.8857421875
87,6890474.5
88,1463.0831298828125
89,4998617.5
90,9988218.0
91,9915624.0
92,68820.2578125
93,1783629.375
94,1006559.5
95,269903.9375
96,112665.8359375
97,7034.88671875
98,8890.662109375
99,2544498.75
100,3333333.5
101,1866130.125
102,12143.27734375
103,19297.638671875
104,7128569.0
105,5463845.0
106,5808201.0
107,8898985.0
108,5354310.5
109,9882622.0
110,9988951.0
111,768833.3125
112,4890752.0
113,7451544.0
114,7583.484375
115,8003054.5
116,9004.748046875
117,4975583.0
118,5859.1552734375
119,8708.83984375
120,1675.3060302734375
121,3113.811279296875
122,9932798.0
123,393155.875
124,506493.21875
125,16567.93359375
126,1849201.375
127,9988096.0
128,3325168.0
129,215106.359375
130,843908.8125
131,2626.1552734375
132,343291.34375
133,3377950.25
134,4678055.5
135,9676391.0
136,68781.3359375
137,5049856.5
138,9901052.0
139,9918042.0
140,2129630.0
141,530030.1875
142,9762962.0
143,8527178.0
144,78677.3984375
145,5872471.5
146,7424927.0
147,161202.75
148,9658654.0
149,79950.4375
150,316438.40625
151,1116999.25
152,9956034.0
153,9293629.0
154,9157373.0
155,1764562.25
156,9975790.0
157,9985670.0
158,9988845.0
159,469220.125
160,9864388.0
161,9965373.0
162,9299324.0
163,4162556.5
164,6742549.5
165,2284.548583984375
166,6212266.0
167,31763.533203125
168,32795.8671875
169,7012648.0
170,8655733.0
171,139925.828125
172,1671824.875
173,470225.25
174,2324696.0
175,1437660.25
176,9908613.0
177,403939.65625
178,1221405.75
179,9982646.0
180,5894124.5
