Step,Value
0,36.0
1,38.0
2,42.0
3,1938.0
4,1514.0
5,1552.0
6,1568.0
7,1519.0
8,5.0
9,34.0
10,24.0
11,33.0
12,1955.0
13,48.0
14,1590.0
15,0.0
16,1944.0
17,58.0
18,1509.0
19,1536.0
20,53.0
21,35.0
22,32.0
23,69.0
24,27.0
25,29.0
26,1915.0
27,55.0
28,0.0
29,57.0
30,62.0
31,1961.0
32,80.0
33,55.0
34,57.0
35,1539.0
36,100.0
37,71.0
38,59.0
39,1555.0
40,128.0
41,48.0
42,1526.0
43,85.0
44,31.0
45,19.0
46,1457.0
47,32.0
48,1955.0
49,1946.0
50,51.0
51,1968.0
52,1542.0
53,58.0
54,1489.0
55,56.0
56,27.0
57,24.0
58,31.0
59,1507.0
60,1504.0
61,63.0
62,1457.0
63,78.0
64,1453.0
65,1558.0
66,1443.0
67,53.0
68,83.0
69,1943.0
70,187.0
71,75.0
72,38.0
73,12.0
74,12.0
75,11.0
76,1468.0
77,1446.0
78,76.0
79,1527.0
80,1931.0
81,1957.0
82,1533.0
83,1446.0
84,78.0
85,12.0
86,1961.0
87,47.0
88,1381.0
89,79.0
90,45.0
91,36.0
92,1594.0
93,128.0
94,33.0
95,0.0
96,1580.0
97,1606.0
98,1635.0
99,84.0
100,63.0
101,49.0
102,1558.0
103,1948.0
104,67.0
105,54.0
106,42.0
107,61.0
108,37.0
109,46.0
110,53.0
111,41.0
112,53.0
113,38.0
114,1283.0
115,55.0
116,1565.0
117,61.0
118,1933.0
119,1581.0
120,1384.0
121,1589.0
122,93.0
123,0.0
124,0.0
125,1960.0
126,97.0
127,48.0
128,34.0
129,0.0
130,10.0
131,1566.0
132,0.0
133,39.0
134,54.0
135,37.0
136,1971.0
137,45.0
138,40.0
139,29.0
140,35.0
141,0.0
142,22.0
143,16.0
144,1432.0
145,41.0
146,11.0
147,1952.0
148,47.0
149,1948.0
150,0.0
151,32.0
152,44.0
153,32.0
154,19.0
155,34.0
156,32.0
157,37.0
158,28.0
159,0.0
160,22.0
161,29.0
162,16.0
163,30.0
164,21.0
165,1548.0
166,67.0
167,1500.0
168,1962.0
169,76.0
170,39.0
171,1968.0
172,26.0
173,0.0
174,31.0
175,13.0
176,22.0
177,0.0
178,15.0
179,55.0
180,27.0
181,32.0
182,43.0
183,26.0
184,20.0
185,24.0
186,0.0
187,1475.0
188,15.0
189,42.0
190,1443.0
191,19.0
192,1475.0
193,61.0
194,31.0
195,50.0
196,1470.0
197,84.0
198,42.0
199,32.0
200,17.0
201,17.0
202,27.0
203,1527.0
204,64.0
205,1.0
206,27.0
207,0.0
208,1510.0
209,9.0
210,18.0
211,13.0
212,1522.0
213,72.0
214,1530.0
215,1500.0
216,47.0
217,33.0
218,40.0
219,1562.0
220,1574.0
221,72.0
222,48.0
223,41.0
224,66.0
225,29.0
226,64.0
227,55.0
228,34.0
229,47.0
230,1.0
231,1596.0
232,33.0
233,46.0
234,56.0
235,78.0
236,0.0
237,67.0
238,58.0
239,1538.0
240,54.0
241,44.0
242,25.0
243,1509.0
244,48.0
245,32.0
246,44.0
247,37.0
248,41.0
249,23.0
250,12.0
251,14.0
252,0.0
253,32.0
254,1506.0
255,1547.0
256,57.0
257,0.0
258,1503.0
259,1529.0
260,0.0
261,41.0
262,60.0
263,34.0
264,0.0
265,31.0
266,54.0
267,4.0
268,41.0
269,1590.0
270,1558.0
271,104.0
272,35.0
273,1553.0
274,84.0
275,1553.0
276,113.0
277,0.0
278,18.0
279,21.0
280,15.0
281,1543.0
282,0.0
283,17.0
284,22.0
285,1937.0
286,33.0
287,32.0
288,45.0
289,24.0
290,44.0
291,0.0
292,1446.0
293,1524.0
294,1953.0
295,58.0
296,55.0
297,1968.0
298,107.0
299,5.0
300,1450.0
301,1392.0
302,58.0
303,1416.0
304,74.0
305,0.0
306,54.0
307,1443.0
308,1428.0
309,65.0
310,1283.0
311,76.0
312,1427.0
313,1937.0
314,0.0
315,31.0
316,30.0
317,20.0
318,1405.0
319,60.0
320,0.0
321,17.0
322,11.0
323,0.0
324,1561.0
325,31.0
326,1528.0
327,75.0
328,1536.0
329,1525.0
330,0.0
331,1510.0
332,38.0
333,27.0
334,1348.0
335,69.0
336,24.0
337,22.0
338,35.0
339,8.0
340,41.0
341,1465.0
342,0.0
343,52.0
344,0.0
345,1535.0
346,1420.0
347,5.0
348,1426.0
349,197.0
350,73.0
351,8.0
352,53.0
353,1433.0
354,70.0
355,0.0
356,1453.0
357,66.0
358,1259.0
359,1541.0
360,1927.0
361,77.0
362,14.0
363,0.0
364,1560.0
365,0.0
366,10.0
367,28.0
368,25.0
369,30.0
370,20.0
371,16.0
372,1575.0
373,1592.0
374,93.0
375,73.0
376,1524.0
377,1939.0
378,1587.0
379,116.0
380,0.0
381,42.0
382,1492.0
383,158.0
384,64.0
385,1414.0
386,93.0
387,39.0
388,51.0
389,25.0
390,1570.0
391,1.0
392,0.0
393,10.0
394,13.0
395,2.0
396,1550.0
397,25.0
398,10.0
399,0.0
400,0.0
401,19.0
402,19.0
403,11.0
404,0.0
405,1570.0
406,1568.0
407,66.0
408,0.0
409,0.0
410,0.0
411,43.0
412,23.0
413,56.0
414,91.0
415,0.0
416,1517.0
417,58.0
418,6.0
419,41.0
420,29.0
421,28.0
422,1520.0
423,70.0
424,28.0
425,24.0
426,21.0
427,23.0
428,28.0
429,27.0
430,16.0
431,18.0
432,12.0
433,0.0
434,1316.0
435,1505.0
436,1367.0
437,0.0
438,23.0
439,25.0
440,32.0
441,11.0
442,1496.0
443,71.0
444,45.0
445,31.0
446,1516.0
447,57.0
448,23.0
449,20.0
450,16.0
451,25.0
452,21.0
453,42.0
454,29.0
455,6.0
456,6.0
457,1938.0
458,48.0
459,0.0
460,1458.0
461,0.0
462,0.0
463,24.0
464,25.0
465,11.0
466,1490.0
467,32.0
468,17.0
469,22.0
470,53.0
471,23.0
472,1515.0
473,70.0
474,46.0
475,54.0
476,33.0
477,0.0
478,1551.0
479,55.0
480,28.0
481,30.0
482,33.0
483,0.0
484,3.0
485,0.0
486,29.0
487,13.0
488,19.0
489,0.0
490,19.0
491,1530.0
492,1.0
493,0.0
494,28.0
495,0.0
496,14.0
497,28.0
498,16.0
499,0.0
500,19.0
501,19.0
502,25.0
503,19.0
504,18.0
505,21.0
506,26.0
507,24.0
508,18.0
509,10.0
510,11.0
511,0.0
512,15.0
513,1504.0
514,10.0
515,6.0
516,26.0
517,7.0
518,1569.0
519,76.0
520,2.0
521,8.0
522,22.0
523,1526.0
524,1922.0
525,47.0
526,22.0
527,21.0
528,0.0
529,16.0
530,14.0
531,21.0
532,11.0
533,0.0
534,31.0
535,0.0
536,44.0
537,37.0
538,50.0
539,56.0
540,42.0
541,53.0
542,0.0
543,38.0
544,1598.0
545,69.0
546,40.0
547,30.0
548,29.0
549,23.0
550,9.0
551,11.0
552,12.0
553,0.0
554,17.0
555,14.0
556,11.0
557,18.0
558,30.0
559,0.0
560,23.0
561,23.0
562,32.0
563,29.0
564,1493.0
565,90.0
566,36.0
567,65.0
568,1507.0
569,97.0
570,61.0
571,40.0
572,25.0
573,22.0
574,1413.0
575,63.0
576,21.0
577,13.0
578,0.0
579,15.0
580,0.0
581,23.0
582,18.0
583,0.0
584,0.0
585,14.0
586,12.0
587,11.0
588,12.0
589,7.0
590,23.0
591,9.0
592,10.0
593,10.0
594,9.0
595,29.0
596,13.0
597,7.0
598,9.0
599,0.0
600,24.0
601,24.0
602,22.0
603,24.0
604,1934.0
605,72.0
606,31.0
607,3.0
608,20.0
609,0.0
610,39.0
611,25.0
612,16.0
613,21.0
614,10.0
615,6.0
616,11.0
617,17.0
618,7.0
619,13.0
620,3.0
621,7.0
622,10.0
623,15.0
624,11.0
625,21.0
626,20.0
627,20.0
628,24.0
629,32.0
630,39.0
631,27.0
632,42.0
633,41.0
634,23.0
635,29.0
636,14.0
637,28.0
638,32.0
639,25.0
640,25.0
641,28.0
642,30.0
643,39.0
644,0.0
645,27.0
646,0.0
647,41.0
648,8.0
649,24.0
650,0.0
651,13.0
652,7.0
653,2.0
654,5.0
655,5.0
656,5.0
657,3.0
658,3.0
659,7.0
660,4.0
661,11.0
662,12.0
663,11.0
664,7.0
665,0.0
666,0.0
667,14.0
668,17.0
669,30.0
670,21.0
671,16.0
672,9.0
673,19.0
674,20.0
675,28.0
676,32.0
677,20.0
678,25.0
679,12.0
680,11.0
681,12.0
682,12.0
683,0.0
684,12.0
685,14.0
686,16.0
687,16.0
688,19.0
689,16.0
690,33.0
691,17.0
692,0.0
693,44.0
694,34.0
695,0.0
696,51.0
697,56.0
698,51.0
699,0.0
700,44.0
701,52.0
702,40.0
703,37.0
704,0.0
705,25.0
706,38.0
707,17.0
708,41.0
709,41.0
710,36.0
711,24.0
712,35.0
713,38.0
714,31.0
715,19.0
716,15.0
717,11.0
718,16.0
719,19.0
720,23.0
721,33.0
722,24.0
