Step,Value
0,152000.0
1,152000.0
2,147200.0
3,64000.0
4,0.0
5,163840.0
6,167040.0
7,152320.0
8,153600.0
9,59200.0
10,1600.0
11,144000.0
12,149120.0
13,57600.0
14,138880.0
15,148480.0
16,159040.0
17,60800.0
18,156160.0
19,152000.0
20,168000.0
21,169280.0
22,164160.0
23,67200.0
24,171840.0
25,174080.0
26,169600.0
27,157120.0
28,155840.0
29,157760.0
30,58880.0
31,147840.0
32,60800.0
33,155200.0
34,160000.0
35,176320.0
36,168000.0
37,68800.0
38,175360.0
39,176000.0
40,158720.0
41,68800.0
42,186880.0
43,176640.0
44,70400.0
45,0.0
46,177920.0
47,178560.0
48,180800.0
49,75200.0
50,176320.0
51,72000.0
52,0.0
53,170560.0
54,164160.0
55,169600.0
56,67200.0
57,167040.0
58,167360.0
59,70400.0
60,172800.0
61,175680.0
62,179200.0
63,176960.0
64,187520.0
65,70400.0
66,162560.0
67,181120.0
68,70080.0
69,184320.0
70,188480.0
71,74880.0
72,0.0
73,0.0
74,176960.0
75,190720.0
76,183680.0
77,179520.0
78,182720.0
79,185280.0
80,188160.0
81,70400.0
82,0.0
83,179200.0
84,188160.0
85,182080.0
86,72960.0
87,178560.0
88,180160.0
89,175360.0
90,170880.0
91,163840.0
92,64000.0
93,144000.0
94,60800.0
95,147520.0
96,140160.0
97,142720.0
98,138240.0
99,138880.0
100,132800.0
101,143040.0
102,140800.0
103,142400.0
104,56000.0
105,147840.0
106,62080.0
107,160960.0
108,65600.0
109,159040.0
110,167360.0
111,65600.0
112,1600.0
113,0.0
114,166080.0
115,160960.0
116,153600.0
117,148160.0
118,60480.0
119,3200.0
120,151360.0
121,153920.0
122,143680.0
123,152320.0
124,153600.0
125,59200.0
126,146880.0
127,145280.0
128,58880.0
129,136320.0
130,56000.0
131,144000.0
132,153920.0
133,139520.0
134,144960.0
135,59200.0
136,161280.0
137,144000.0
138,150400.0
139,140800.0
140,57600.0
141,1600.0
142,144960.0
143,151040.0
144,152960.0
145,154880.0
146,149760.0
147,60800.0
148,0.0
149,0.0
150,147200.0
151,57280.0
152,136000.0
153,59200.0
154,1600.0
155,152000.0
156,147200.0
157,58880.0
158,0.0
159,0.0
160,145920.0
161,60800.0
162,0.0
163,0.0
164,151680.0
165,62400.0
166,154880.0
167,64000.0
168,183680.0
169,68800.0
170,0.0
171,170880.0
172,176320.0
173,177600.0
174,171840.0
175,173440.0
176,172160.0
177,68800.0
178,164160.0
179,68800.0
180,1600.0
181,1600.0
182,1600.0
183,3200.0
184,192320.0
185,186880.0
186,75200.0
187,197760.0
188,193600.0
189,78400.0
190,198720.0
191,196480.0
192,76480.0
193,182720.0
194,194560.0
195,168320.0
196,175680.0
197,187520.0
198,186560.0
199,72000.0
200,0.0
201,1600.0
202,164160.0
203,68800.0
204,171200.0
205,70400.0
206,1600.0
207,172160.0
208,170560.0
209,168640.0
210,175680.0
211,152960.0
212,160320.0
213,157120.0
214,157120.0
215,146240.0
216,152640.0
217,58560.0
218,0.0
219,0.0
220,148160.0
221,159040.0
222,146560.0
223,152320.0
224,158720.0
225,62080.0
226,160640.0
227,150400.0
228,146560.0
229,157440.0
230,155200.0
231,59200.0
232,144640.0
233,62400.0
234,1600.0
235,160000.0
236,67200.0
237,171200.0
238,184640.0
239,170560.0
240,170560.0
241,68800.0
242,1600.0
243,1600.0
244,165120.0
245,171840.0
246,168000.0
247,178560.0
248,164800.0
249,64000.0
250,164160.0
251,168640.0
252,161600.0
253,162240.0
254,150720.0
255,153280.0
256,145920.0
257,60800.0
258,145920.0
259,147840.0
260,156480.0
261,142400.0
262,62400.0
263,0.0
264,141440.0
265,151360.0
266,143680.0
267,155520.0
268,150080.0
269,152000.0
270,147200.0
271,152000.0
272,145280.0
273,157760.0
274,171200.0
275,62400.0
276,152000.0
277,59200.0
278,142720.0
279,153920.0
280,62080.0
281,169280.0
282,162240.0
283,65600.0
284,161920.0
285,166080.0
286,174400.0
287,176320.0
288,165440.0
289,174720.0
290,177600.0
291,73600.0
292,190720.0
293,179520.0
294,182720.0
295,75200.0
296,184960.0
297,203200.0
298,185280.0
299,178560.0
300,185280.0
301,185600.0
302,201920.0
303,201920.0
304,210240.0
305,81600.0
306,201920.0
307,207680.0
308,202560.0
309,206720.0
310,220160.0
311,221120.0
312,202880.0
313,213120.0
314,204800.0
315,193920.0
316,80000.0
317,195520.0
318,190080.0
319,200640.0
320,73600.0
321,169600.0
322,159040.0
323,166080.0
324,165440.0
325,157440.0
326,162560.0
327,162880.0
328,174400.0
329,162880.0
330,171840.0
331,166400.0
332,170880.0
333,65600.0
334,157440.0
335,164480.0
336,168640.0
337,161280.0
338,162880.0
339,158080.0
340,163200.0
341,168960.0
342,172480.0
343,174720.0
344,170240.0
345,166080.0
346,170560.0
347,167040.0
348,171840.0
349,168320.0
350,182080.0
351,189120.0
352,188160.0
353,179840.0
354,180480.0
355,189440.0
356,184000.0
357,175040.0
358,175360.0
359,169920.0
360,176000.0
361,163520.0
362,164800.0
363,167040.0
364,147520.0
365,146560.0
366,57600.0
367,1600.0
368,146240.0
369,148800.0
370,142080.0
371,150400.0
372,154240.0
373,154240.0
374,147520.0
375,156800.0
376,153600.0
377,156800.0
378,164800.0
379,159040.0
380,155520.0
381,162560.0
382,167360.0
383,168000.0
384,162560.0
385,162880.0
386,145280.0
387,158080.0
388,152640.0
389,158720.0
390,154560.0
391,157440.0
392,157760.0
393,154240.0
394,158400.0
395,155840.0
396,162240.0
397,154240.0
398,156160.0
399,151360.0
400,154240.0
401,138560.0
402,142400.0
403,136000.0
404,148160.0
405,145280.0
406,136000.0
407,140800.0
408,134080.0
409,140160.0
410,140480.0
411,146240.0
412,142080.0
413,137280.0
414,142080.0
415,148800.0
416,158080.0
417,164480.0
418,159360.0
419,160640.0
420,163840.0
421,160320.0
422,164160.0
423,163520.0
424,169600.0
425,153600.0
426,162240.0
427,167360.0
428,158080.0
