Step,Value
0,1960.0
1,1885.0
2,1919.0
3,1912.0
4,1.0
5,1929.0
6,1938.0
7,1948.0
8,1912.0
9,1948.0
10,55.0
11,1675.0
12,10.0
13,1942.0
14,1948.0
15,1956.0
16,1945.0
17,1942.0
18,1935.0
19,1924.0
20,1.0
21,1902.0
22,10.0
23,1910.0
24,1935.0
25,1859.0
26,1948.0
27,1972.0
28,0.0
29,1932.0
30,1865.0
31,40.0
32,1932.0
33,1940.0
34,1948.0
35,1952.0
36,1949.0
37,1952.0
38,38.0
39,1902.0
40,1949.0
41,1959.0
42,1921.0
43,1945.0
44,1953.0
45,0.0
46,0.0
47,0.0
48,1948.0
49,39.0
50,0.0
51,1957.0
52,1955.0
53,1953.0
54,40.0
55,1938.0
56,1861.0
57,1910.0
58,1938.0
59,1911.0
60,1880.0
61,1812.0
62,1937.0
63,1828.0
64,1946.0
65,1961.0
66,54.0
67,1867.0
68,1965.0
69,1960.0
70,22.0
71,0.0
72,1951.0
73,1954.0
74,14.0
75,1957.0
76,1962.0
77,1936.0
78,0.0
79,1957.0
80,1964.0
81,1962.0
82,1956.0
83,1957.0
84,37.0
85,1942.0
86,1779.0
87,1946.0
88,1901.0
89,1923.0
90,1900.0
91,1934.0
92,1947.0
93,57.0
94,1907.0
95,1961.0
96,1948.0
97,1918.0
98,15.0
99,1942.0
100,1950.0
101,8.0
102,0.0
103,1956.0
104,1953.0
105,1923.0
106,1949.0
107,0.0
108,0.0
109,1909.0
110,1954.0
111,1939.0
112,1961.0
113,1973.0
114,91.0
115,1963.0
116,241.0
117,1971.0
118,1965.0
119,1972.0
120,1832.0
121,1978.0
122,0.0
123,1958.0
124,1956.0
125,65.0
126,0.0
127,1948.0
128,1939.0
129,9.0
130,0.0
131,1939.0
132,1962.0
133,1946.0
134,1932.0
135,1931.0
136,1941.0
137,1935.0
138,1927.0
139,67.0
140,1961.0
141,1962.0
142,1948.0
143,1972.0
144,1941.0
145,1952.0
146,1960.0
147,1962.0
148,1853.0
149,1958.0
150,1947.0
151,0.0
152,1882.0
153,1973.0
154,1856.0
155,1851.0
156,1820.0
157,1949.0
158,1806.0
159,1957.0
160,1958.0
161,1943.0
162,1950.0
163,1833.0
164,1948.0
165,1925.0
166,50.0
167,1916.0
168,1933.0
169,1944.0
170,1970.0
171,1969.0
172,1830.0
173,1963.0
174,33.0
175,0.0
176,1932.0
177,1709.0
178,1955.0
179,1927.0
180,1950.0
181,1928.0
182,1940.0
183,1956.0
184,1952.0
185,1952.0
186,1954.0
187,1817.0
188,1930.0
189,1964.0
190,1926.0
191,1943.0
192,1949.0
193,1951.0
194,1953.0
195,1832.0
196,1960.0
197,1969.0
198,1941.0
199,1960.0
200,0.0
201,1933.0
202,1936.0
203,1946.0
204,1861.0
205,1927.0
206,1909.0
207,1947.0
208,1943.0
209,1913.0
210,1940.0
211,1939.0
212,1961.0
213,44.0
214,1867.0
215,1934.0
216,43.0
217,1898.0
218,1939.0
219,1889.0
220,1954.0
221,1945.0
222,1941.0
223,1944.0
224,1959.0
225,1879.0
226,1956.0
227,1915.0
228,1946.0
229,1933.0
230,1920.0
231,1927.0
232,1934.0
233,1903.0
234,1875.0
235,1898.0
236,20.0
237,1946.0
238,1948.0
239,1960.0
240,1960.0
241,1966.0
242,1970.0
243,1953.0
244,1971.0
245,1936.0
246,1958.0
247,1947.0
248,1798.0
249,1862.0
250,1948.0
251,1949.0
252,1924.0
253,1931.0
254,1948.0
255,1926.0
256,1933.0
257,1935.0
258,1930.0
259,1795.0
260,1952.0
261,1965.0
262,1946.0
263,1961.0
264,1952.0
265,1938.0
266,1943.0
267,1949.0
268,1948.0
269,1774.0
270,1831.0
271,1930.0
272,1934.0
273,1948.0
274,1936.0
275,1926.0
276,1925.0
277,1908.0
278,1880.0
279,1950.0
280,1944.0
281,1951.0
282,1946.0
283,1970.0
284,1924.0
285,1935.0
286,1866.0
287,1929.0
288,1926.0
289,1933.0
290,1921.0
291,15.0
292,1940.0
293,1957.0
294,1914.0
295,1963.0
296,1805.0
297,1678.0
298,1842.0
299,1934.0
300,1942.0
301,1947.0
302,1846.0
303,1945.0
304,1946.0
305,1958.0
306,1926.0
307,1948.0
308,1929.0
309,1915.0
310,1781.0
311,1963.0
312,1965.0
313,1946.0
314,1904.0
315,1917.0
316,1941.0
317,1790.0
318,1948.0
319,1855.0
320,1940.0
321,1944.0
322,1940.0
323,1952.0
324,1932.0
325,1936.0
326,1904.0
327,1926.0
328,1949.0
329,1935.0
330,1921.0
331,1947.0
332,1961.0
333,1967.0
334,1937.0
335,1944.0
336,1928.0
337,1968.0
338,1963.0
339,1834.0
340,1966.0
341,1965.0
342,1960.0
343,1952.0
344,1907.0
345,1923.0
346,1949.0
347,1958.0
348,1964.0
349,1952.0
350,1985.0
351,1978.0
352,1974.0
353,1858.0
354,1934.0
355,1906.0
356,1929.0
357,1940.0
358,1926.0
359,1957.0
360,1959.0
361,1914.0
362,1938.0
363,1952.0
364,1768.0
365,1922.0
366,1922.0
367,1939.0
368,1949.0
369,1927.0
370,1966.0
371,1917.0
372,1957.0
373,1963.0
374,1956.0
375,1948.0
376,1952.0
377,1975.0
378,1963.0
379,1952.0
380,1954.0
381,1941.0
382,1928.0
383,1945.0
384,1960.0
385,1906.0
386,1923.0
387,1948.0
388,1942.0
389,1956.0
390,1956.0
391,1960.0
392,1937.0
393,1946.0
394,1909.0
