Step,Value
1,1600000.0
2,6600000.0
3,2400000.0
4,2200000.0
5,3400000.0
6,200000.0
7,4800000.0
8,600000.0
9,5200000.0
10,3000000.0
11,3400000.0
12,3000000.0
13,4800000.0
14,1800000.0
15,6000000.0
16,4400000.0
17,5600000.0
18,8200000.0
19,4000000.0
20,2000000.0
21,7800000.0
22,6000000.0
23,3200000.0
24,400000.0
25,2600000.0
26,4800000.0
27,6000000.0
28,3400000.0
29,2000000.0
30,800000.0
31,200000.0
32,6000000.0
33,2000000.0
34,2600000.0
35,8800000.0
36,4600000.0
37,2200000.0
38,2200000.0
39,1800000.0
40,1600000.0
41,5200000.0
42,2000000.0
43,2600000.0
44,5000000.0
45,4400000.0
46,7200000.0
47,3000000.0
48,1800000.0
49,1400000.0
50,6200000.0
51,2200000.0
52,2800000.0
53,1600000.0
54,3400000.0
55,3400000.0
56,3600000.0
57,1200000.0
58,6600000.0
59,5800000.0
60,3800000.0
61,4000000.0
62,6600000.0
63,1800000.0
64,3000000.0
65,3000000.0
66,400000.0
67,5000000.0
68,2400000.0
69,800000.0
70,600000.0
71,1000000.0
72,2400000.0
73,6000000.0
74,2800000.0
75,3600000.0
76,800000.0
77,3000000.0
78,3200000.0
79,400000.0
80,1800000.0
81,2400000.0
82,4600000.0
83,1600000.0
84,3800000.0
85,200000.0
86,400000.0
87,3200000.0
88,4600000.0
89,2000000.0
90,1200000.0
91,200000.0
92,3600000.0
93,1200000.0
94,2400000.0
95,2800000.0
96,4000000.0
97,800000.0
98,2200000.0
99,5400000.0
100,2400000.0
101,6800000.0
102,800000.0
103,2200000.0
104,1200000.0
105,1000000.0
106,600000.0
107,3400000.0
108,1400000.0
109,8600000.0
110,5800000.0
111,200000.0
112,3000000.0
113,200000.0
114,1200000.0
115,6400000.0
116,400000.0
117,3600000.0
118,4200000.0
119,5400000.0
120,7400000.0
121,1800000.0
122,7000000.0
123,3000000.0
124,400000.0
125,8200000.0
126,1000000.0
127,3200000.0
128,7200000.0
129,200000.0
130,800000.0
131,400000.0
132,4600000.0
133,5800000.0
134,800000.0
135,1200000.0
136,3200000.0
