Step,Value
1,30.957977294921875
2,33.11774826049805
3,31.946746826171875
4,31.408039093017578
5,36.75278854370117
6,38.753997802734375
7,39.91927719116211
8,41.089595794677734
9,44.504600524902344
10,40.435630798339844
11,41.56232833862305
12,39.824703216552734
13,43.670040130615234
14,48.156097412109375
15,38.66562271118164
16,41.66585159301758
17,42.3430290222168
18,38.964630126953125
19,41.79631042480469
20,39.758792877197266
21,39.41999435424805
22,41.49842834472656
23,43.1230354309082
24,39.38999938964844
25,47.22061538696289
26,42.476356506347656
27,46.39882278442383
28,47.41460037231445
29,45.80769348144531
30,42.109073638916016
31,44.24930191040039
32,46.29706573486328
33,48.286170959472656
34,52.43735122680664
35,52.13532638549805
36,47.11076354980469
37,45.84050369262695
38,44.65232467651367
39,49.23355484008789
40,44.85362243652344
41,46.18182373046875
42,46.962196350097656
43,50.56300735473633
44,45.23025894165039
45,44.37074661254883
46,45.96841049194336
47,44.333099365234375
48,45.191619873046875
49,40.493404388427734
50,52.13385009765625
51,47.44778060913086
52,44.1475715637207
53,49.482269287109375
54,50.065975189208984
55,49.66715621948242
56,45.91866683959961
57,54.97818374633789
58,53.787479400634766
59,56.97706604003906
60,58.254573822021484
61,63.52565383911133
62,62.83495330810547
63,61.369232177734375
64,55.65835189819336
65,58.667152404785156
66,58.871517181396484
67,65.2413558959961
68,53.92695999145508
69,56.2364387512207
70,58.95426940917969
71,50.689308166503906
72,55.878807067871094
73,54.52009201049805
74,60.702728271484375
75,54.865970611572266
76,53.4964485168457
77,47.38860321044922
78,48.99468994140625
79,49.89875030517578
80,43.91748809814453
81,46.70195388793945
82,55.73128128051758
83,51.60343933105469
84,48.73661804199219
85,36.07797622680664
86,37.6782112121582
87,41.575496673583984
88,43.098167419433594
89,38.05470657348633
90,31.329774856567383
91,35.29052734375
92,45.446659088134766
93,32.145320892333984
94,35.985233306884766
95,43.53044891357422
96,43.462318420410156
97,44.33723831176758
98,39.900211334228516
99,47.43647003173828
100,37.161312103271484
101,34.57965850830078
102,34.80056381225586
103,34.30016326904297
104,31.327770233154297
105,34.267662048339844
106,35.736328125
107,38.12144470214844
108,36.03159713745117
109,37.36080551147461
110,31.37029266357422
111,37.649658203125
112,43.33009719848633
113,35.17045974731445
114,34.4453239440918
115,32.9348030090332
116,31.53059196472168
117,36.909244537353516
118,35.47092819213867
119,34.20342254638672
120,34.6596565246582
121,40.87333297729492
122,44.636871337890625
123,42.143226623535156
124,42.19062423706055
125,51.280574798583984
126,53.368473052978516
127,43.02113342285156
128,47.54873275756836
129,41.13822555541992
130,43.322906494140625
131,44.42709732055664
132,44.286502838134766
133,47.59885025024414
134,47.02982711791992
135,47.834197998046875
136,46.302154541015625
137,46.24966049194336
138,47.74766540527344
139,45.76358413696289
140,48.140689849853516
141,45.459014892578125
142,48.57062911987305
143,46.46064376831055
144,46.71089553833008
145,37.30677032470703
146,42.929683685302734
147,44.91583251953125
148,45.988555908203125
149,49.108741760253906
150,42.49405288696289
151,51.69916534423828
152,49.59461212158203
153,55.1508903503418
154,44.48564910888672
155,47.14677047729492
156,43.28643798828125
157,46.64786148071289
158,54.29640579223633
159,56.22394943237305
160,49.3364372253418
161,53.241477966308594
162,59.02649688720703
163,57.00752639770508
164,54.83023452758789
165,45.2261962890625
166,43.4514274597168
167,49.11893081665039
168,48.75857925415039
169,51.90652847290039
170,52.806236267089844
171,48.133602142333984
172,41.71087646484375
173,41.498111724853516
174,45.18583679199219
175,46.11638259887695
176,39.344337463378906
177,45.073455810546875
178,45.95280075073242
179,57.972015380859375
180,51.18443298339844
181,43.72217559814453
182,42.858421325683594
183,49.71990966796875
184,52.17335510253906
185,43.879920959472656
186,44.265499114990234
187,39.67245864868164
188,42.14490509033203
189,47.52347946166992
190,50.08679962158203
191,45.129432678222656
192,41.749977111816406
193,42.01005935668945
194,42.51481628417969
195,39.90723419189453
196,35.84379196166992
197,28.267757415771484
198,28.30488395690918
199,38.63037872314453
200,31.1817626953125
201,33.746543884277344
202,31.15608787536621
203,32.1451416015625
204,31.922883987426758
205,35.33707809448242
206,31.542192459106445
207,27.302358627319336
208,31.734769821166992
209,31.468524932861328
210,35.34183120727539
211,39.32505798339844
212,39.564109802246094
213,31.38667106628418
214,41.07743453979492
215,40.39095687866211
216,36.42335891723633
217,36.51951599121094
218,35.720279693603516
219,31.40761947631836
220,30.870756149291992
221,37.291473388671875
222,35.16709518432617
223,32.28586196899414
224,32.582557678222656
225,35.80744171142578
226,37.10616683959961
227,34.41447830200195
228,38.90760040283203
229,41.90645980834961
230,42.22982406616211
231,42.5415153503418
232,41.152015686035156
233,47.774349212646484
234,48.88186264038086
235,43.94728469848633
236,43.656375885009766
237,53.962425231933594
238,51.48810577392578
239,51.150596618652344
240,61.41935729980469
241,57.27748489379883
242,52.82149124145508
243,50.44402313232422
244,47.25877380371094
245,48.01423263549805
246,48.324676513671875
247,44.26017761230469
248,49.849205017089844
249,43.38639450073242
250,51.92365264892578
251,45.93781280517578
252,45.147178649902344
253,46.303611755371094
254,39.940555572509766
255,42.664737701416016
256,39.698883056640625
257,41.618534088134766
258,45.154048919677734
259,50.111976623535156
260,48.577613830566406
261,49.11069869995117
262,54.56341552734375
263,54.00511932373047
264,60.248291015625
265,55.43096923828125
266,53.98215103149414
267,53.352176666259766
268,51.6130256652832
269,63.186134338378906
270,54.24641036987305
271,73.85337829589844
272,51.68292999267578
273,56.23693084716797
274,50.112342834472656
275,53.29941940307617
276,63.89724349975586
277,51.54716110229492
278,50.413936614990234
279,57.109886169433594
280,47.697628021240234
281,59.4637336730957
282,54.148380279541016
283,48.59101867675781
284,51.18333435058594
285,56.93251419067383
286,59.06761932373047
287,65.74430084228516
288,53.71604537963867
289,54.51513671875
290,46.26173782348633
291,55.94884490966797
292,57.9708137512207
293,60.46234130859375
294,62.202877044677734
295,58.63298034667969
296,64.45051574707031
297,62.30246353149414
298,63.7620849609375
299,68.14849853515625
300,68.7392578125
301,85.33369445800781
302,62.417274475097656
303,66.54008483886719
304,59.439144134521484
305,62.715518951416016
306,61.01920700073242
307,68.9385757446289
308,65.27891540527344
309,57.46328353881836
310,67.87820434570312
311,54.617469787597656
312,66.25323486328125
313,49.82439041137695
314,51.64537811279297
315,47.10733413696289
316,55.64262390136719
317,53.59130859375
318,56.868289947509766
319,53.78229522705078
320,52.17705154418945
321,52.16931915283203
322,50.27418518066406
323,47.86626052856445
324,46.712310791015625
325,54.966800689697266
326,49.27470779418945
327,48.56022262573242
328,47.217735290527344
329,52.58437728881836
330,49.30955123901367
331,49.954933166503906
332,51.206199645996094
333,50.67119598388672
334,46.77643585205078
335,45.64338684082031
336,50.354148864746094
337,55.20442199707031
338,43.87216567993164
339,54.77018737792969
340,42.09064483642578
341,45.634586334228516
342,57.11118698120117
343,52.459964752197266
344,51.05842208862305
345,47.04623031616211
346,55.39863204956055
347,44.77032470703125
348,55.53773880004883
349,44.307464599609375
