Step,Value
1,10271016.0
2,4789998.0
3,3329336.0
4,1550282.0
5,9771003.0
6,6522571.0
7,1420192.25
8,13590555.0
9,4853044.0
10,5485716.5
11,10112567.0
12,454865.8125
13,12515175.0
14,4692682.5
15,2827510.0
16,10568717.0
17,6068349.5
18,2140045.25
19,5200988.5
20,1986168.0
21,4118966.25
22,5232482.5
23,3668520.25
24,605102.125
25,10221773.0
26,431190.4375
27,9806677.0
28,5810878.5
29,2020665.75
30,3873894.5
31,3574668.75
32,5654030.5
33,12669626.0
34,7009555.0
35,930056.0625
36,5143778.5
37,14760758.0
38,3632303.0
39,4839483.5
40,2502084.75
41,11674551.0
42,7633437.5
43,4826184.0
44,4054136.25
45,15284694.0
46,5841529.5
47,683762.1875
48,4781700.5
49,12239820.0
50,6021756.0
51,5713216.0
52,6228809.0
53,5167196.5
54,10700614.0
55,3994015.5
56,4759496.5
57,2567967.5
58,4276232.5
59,15118272.0
60,18902376.0
61,10870602.0
62,2979605.5
63,9077838.0
64,7052155.5
65,8267244.5
66,254072.703125
67,3909019.0
68,11530994.0
69,9720963.0
70,3539507.5
71,2709520.75
72,7167689.0
73,186085.65625
74,2610250.0
75,2103846.75
76,402816.34375
77,8090589.0
78,11607068.0
79,4476478.0
80,7199176.0
81,10255667.0
82,10579164.0
83,5475665.5
84,2104889.25
85,2963480.0
86,715811.5
87,2905150.25
88,2202049.25
89,4012221.75
90,10759487.0
91,2989326.0
92,2561015.75
93,1954289.25
94,14093906.0
95,15748658.0
96,15490483.0
97,932787.6875
98,5857886.0
99,10889525.0
100,4806821.5
101,2592617.5
102,11705399.0
103,2035004.75
104,1259825.125
105,4525787.5
106,1531618.125
107,1507734.375
108,8001848.0
109,6440357.5
110,2801487.25
111,4411788.5
112,2077038.375
113,14213027.0
114,4765559.0
115,6508671.0
116,2895154.0
117,9850628.0
118,4290306.5
119,16897420.0
120,4624828.5
121,5721641.0
122,3165409.25
123,5111027.0
124,10758517.0
125,11970278.0
126,9357225.0
127,7399090.5
128,1986834.0
129,2191886.5
130,751108.875
131,2225063.5
132,1589698.0
133,2049161.0
134,1018516.75
135,4687510.5
136,3965856.5
137,6832849.0
138,2022582.125
139,12824557.0
140,2899477.5
141,909472.5
142,8506411.0
143,3885428.25
144,13058028.0
145,9922959.0
146,4430105.0
147,2542818.0
148,1844355.5
149,3739406.75
150,8643494.0
151,4880233.0
152,10235240.0
153,17752048.0
154,7332554.5
155,12763494.0
156,910453.5
157,12409981.0
158,1702127.75
159,13617291.0
160,3407483.0
161,3589732.0
162,13084154.0
163,2429630.5
164,3010457.25
165,1220782.75
166,5746516.0
167,5808769.5
168,1849042.125
169,5300929.0
170,3938801.0
171,13475598.0
172,652157.5625
173,12419636.0
174,2294102.25
175,3730537.25
176,1826038.625
177,882173.1875
178,4820703.5
179,2094305.625
180,3840903.75
181,2773619.5
182,2293557.25
183,7739273.5
184,910741.4375
185,2949819.75
