Step,Value
1,4376913.0
2,4376913.0
3,4148530.75
4,4014131.25
5,3885811.0
6,4240406.0
7,4421909.5
8,96898.7890625
9,9053.267578125
10,3756506.75
11,4112929.25
12,4695098.0
13,4891640.0
14,4990051.5
15,4994178.0
16,4980718.0
17,4817513.5
18,4319928.0
19,4644906.0
20,4534532.0
21,4732956.5
22,4692906.5
23,4590309.0
24,4299185.0
25,3858077.0
26,4012400.25
27,124516.0078125
28,3812823.5
29,4446601.5
30,4420015.5
31,4067910.25
32,3968623.75
33,3914540.75
34,3788355.25
35,3546299.0
36,100358.234375
37,3021969.5
38,3281549.5
39,3290014.0
40,3164231.0
41,3397123.0
42,3277126.25
43,3925595.0
44,3790576.75
45,122151.140625
46,10366.654296875
47,4190283.75
48,4889688.5
49,4919159.0
50,4688852.5
51,4853307.5
52,147147.21875
53,4108374.5
54,4558456.5
55,121051.0078125
56,7913.62158203125
57,3594396.75
58,117757.578125
59,8322.5830078125
60,3752902.0
61,3893975.5
62,88383.7890625
63,3062621.0
64,3464867.75
65,3201093.75
66,3342572.5
67,3139884.75
68,3275370.5
69,3154448.0
70,91786.1171875
71,9055.9287109375
72,2374005.5
73,3459991.0
74,4164144.5
75,4487509.5
76,4334708.0
77,4815585.0
78,4468514.0
79,4180562.5
80,3907202.75
81,3892584.25
82,3582685.0
83,3990617.25
84,4051019.0
85,3874366.5
86,4171232.25
87,4372729.0
88,4494669.5
89,4775383.5
90,4879124.0
91,4677533.0
92,116512.796875
93,2935044.75
94,82086.1875
95,2775849.0
96,97831.6484375
97,3266732.0
98,116260.3671875
99,3123054.0
100,3266953.25
101,3037049.0
102,2848574.0
103,2706521.0
104,2837186.75
105,2973444.5
106,3188003.5
107,3598627.5
108,3660322.5
109,4204513.0
110,4475786.0
111,4402170.5
112,4555883.5
113,149198.03125
114,13225.68359375
115,3961654.25
116,4916453.5
117,140089.578125
118,4360.11865234375
119,3688021.5
120,4079477.25
121,4416812.0
122,4731320.5
123,4498879.5
124,4236933.0
125,3644941.5
126,3474307.0
127,3743353.25
128,123259.1875
129,2875234.75
130,3336668.25
131,3034993.0
132,2777159.5
133,2401526.75
134,2525063.0
135,2933316.75
136,3064042.5
137,2959482.75
138,3044885.25
139,3431130.75
140,3935089.25
141,4176216.0
142,4286060.5
143,4512480.5
144,4280786.5
145,4255043.0
146,4207409.0
147,4064680.25
148,4147632.0
149,4299871.0
150,4679235.5
151,3996740.75
152,4031382.0
153,4008344.75
154,4047864.75
155,4265804.0
156,4660852.0
157,4826979.5
158,4459244.0
159,146136.328125
160,0.0
161,3346284.5
162,3611086.25
