Step,Value
1,59801600.0
2,59801600.0
3,46387200.0
4,46796800.0
5,53657600.0
6,60416000.0
7,49715200.0
8,47974400.0
9,50227200.0
10,49049600.0
11,45209600.0
12,46643200.0
13,41625600.0
14,39731200.0
15,41472000.0
16,41625600.0
17,37376000.0
18,39475200.0
19,34304000.0
20,46233600.0
21,42291200.0
22,49049600.0
23,49203200.0
24,51763200.0
25,57497600.0
26,62515200.0
27,53299200.0
28,60672000.0
29,46745600.0
30,46899200.0
31,53606400.0
32,45516800.0
33,45619200.0
34,47923200.0
35,46336000.0
36,41164800.0
37,56524800.0
38,56371200.0
39,54886400.0
40,56985600.0
41,59494400.0
42,58521600.0
43,61696000.0
44,52428800.0
45,47718400.0
46,52019200.0
47,48128000.0
48,51763200.0
49,52889600.0
50,50790400.0
51,50944000.0
52,45926400.0
53,45824000.0
54,56729600.0
55,51097600.0
56,48537600.0
57,33996800.0
58,46745600.0
59,45209600.0
60,37734400.0
61,8396800.0
62,46848000.0
63,48896000.0
64,48998400.0
65,53555200.0
66,55756800.0
67,54886400.0
68,56115200.0
69,48640000.0
70,55756800.0
71,57753600.0
72,46745600.0
73,55961600.0
74,49408000.0
75,45107200.0
76,43827200.0
77,47411200.0
78,46489600.0
79,50688000.0
80,44441600.0
81,48332800.0
82,49356800.0
83,46028800.0
84,44748800.0
85,46899200.0
86,35532800.0
87,46028800.0
88,35174400.0
89,49152000.0
90,38502400.0
91,42854400.0
92,44339200.0
93,47001600.0
94,44595200.0
95,47104000.0
96,57753600.0
97,39782400.0
98,49305600.0
99,37580800.0
100,47360000.0
101,54732800.0
102,53708800.0
103,58368000.0
104,52684800.0
105,53760000.0
106,40192000.0
107,47052800.0
108,53811200.0
109,51404800.0
110,52121600.0
111,48691200.0
112,46028800.0
113,41574400.0
114,45056000.0
115,40089600.0
116,47360000.0
117,34252800.0
118,49510400.0
119,39270400.0
120,48332800.0
121,43571200.0
122,54886400.0
123,43980800.0
124,46848000.0
125,49049600.0
126,51097600.0
127,54784000.0
128,41062400.0
129,53145600.0
130,55296000.0
131,49920000.0
132,47513600.0
133,41625600.0
134,42752000.0
135,39219200.0
136,45670400.0
137,43520000.0
138,34304000.0
139,41932800.0
140,33228800.0
141,47769600.0
142,56422400.0
143,49971200.0
144,39833600.0
145,45465600.0
146,51353600.0
147,42393600.0
148,45158400.0
149,43980800.0
150,38604800.0
151,45926400.0
152,50995200.0
153,49971200.0
154,50278400.0
155,52736000.0
156,43366400.0
157,56320000.0
158,55142400.0
159,54323200.0
160,49817600.0
161,45363200.0
162,50073600.0
163,50739200.0
164,54988800.0
165,39014400.0
166,58163200.0
167,55808000.0
168,48691200.0
169,57395200.0
170,53299200.0
171,48793600.0
172,55040000.0
173,42444800.0
174,36966400.0
