Step,Value
1,2.8679721355438232
2,4.9989728927612305
3,7.15113639831543
4,4.579738140106201
5,3.364095687866211
6,2.413682460784912
7,5.520134925842285
8,4.780659198760986
9,4.923335075378418
10,2.4639651775360107
11,4.198134899139404
12,2.591109275817871
13,3.4791758060455322
14,6.676278114318848
15,3.296623468399048
16,2.963742256164551
17,6.51689338684082
18,6.118655204772949
19,4.277859210968018
20,6.5426716804504395
21,4.550327301025391
22,6.67572546005249
23,2.545933485031128
24,5.840413570404053
25,3.3375682830810547
26,5.409420013427734
27,4.142195701599121
28,6.806855201721191
29,2.5961318016052246
30,4.968451499938965
31,2.3718903064727783
32,6.369782447814941
33,3.7134861946105957
34,6.0061750411987305
35,5.400515079498291
36,4.448525905609131
37,3.4627225399017334
38,2.2776100635528564
39,5.4941792488098145
40,5.7660441398620605
41,4.225945949554443
42,3.878324270248413
43,6.340169906616211
44,3.5418570041656494
45,4.6890459060668945
46,6.104948997497559
47,4.281234264373779
48,6.184475421905518
49,3.7517783641815186
50,6.063976287841797
51,2.9852399826049805
52,2.3507838249206543
53,5.71455192565918
54,5.1196417808532715
55,2.530653238296509
56,5.868857383728027
57,5.482645034790039
58,3.184863328933716
59,2.4831554889678955
60,2.098936080932617
61,4.749677658081055
62,3.276395559310913
63,5.494362831115723
64,5.535145282745361
65,2.8266072273254395
66,2.8949239253997803
67,6.604397296905518
68,3.302292823791504
69,4.588423728942871
70,2.521338701248169
71,6.626213073730469
72,2.4437239170074463
73,6.418280124664307
74,2.210561990737915
75,1.6112431287765503
76,5.439854621887207
77,5.907340049743652
78,2.9033026695251465
79,5.213026523590088
80,5.643420219421387
81,4.186286926269531
82,3.7413618564605713
83,2.508441209793091
84,5.854969024658203
85,6.689404010772705
86,2.7815492153167725
87,5.759959697723389
88,2.4929213523864746
89,6.567321300506592
90,3.011730670928955
91,2.5390119552612305
92,6.847679138183594
93,5.773923397064209
94,2.378476619720459
95,4.887523174285889
96,2.127063751220703
97,5.372064590454102
98,5.074362277984619
99,3.9800565242767334
100,6.070324420928955
101,6.192812442779541
102,3.3264503479003906
103,6.409677982330322
104,2.2991976737976074
105,6.2644782066345215
106,4.723795413970947
107,6.543854236602783
108,2.2408857345581055
109,5.656737327575684
110,6.594683647155762
111,6.450273036956787
112,5.285960674285889
113,4.67095422744751
114,4.076531410217285
115,3.7120370864868164
116,5.456064224243164
117,5.7604570388793945
118,3.8106908798217773
119,2.8813729286193848
120,5.556199550628662
121,6.039287567138672
122,2.9124157428741455
123,5.05992317199707
124,6.27349328994751
125,6.757931232452393
126,2.877028226852417
127,5.336056709289551
128,5.881145477294922
129,6.4253129959106445
130,7.256963729858398
131,4.615257263183594
132,3.1739163398742676
133,3.6057567596435547
134,3.135169506072998
135,7.020785331726074
136,4.365076065063477
137,6.59904670715332
138,2.5992319583892822
139,6.561566352844238
140,3.662076234817505
141,5.053913593292236
142,3.66146183013916
143,6.667064189910889
144,3.8975071907043457
145,5.377240180969238
146,4.310149192810059
147,2.7359437942504883
148,4.622113227844238
149,5.683164119720459
150,2.503906011581421
151,4.4832963943481445
152,3.509073495864868
153,3.391681671142578
154,6.331236839294434
155,4.885075569152832
156,3.172576427459717
157,6.690231800079346
158,4.764034748077393
159,5.425304889678955
160,3.043759346008301
161,5.640197277069092
162,6.962095260620117
163,7.225027084350586
164,3.899862289428711
165,2.6225781440734863
166,4.531977653503418
167,3.218855857849121
168,5.809525966644287
169,5.712133407592773
170,5.762118816375732
171,3.0870487689971924
172,5.200250148773193
173,6.984842300415039
174,2.429750919342041
175,2.972094774246216
176,3.9363858699798584
177,5.480345249176025
178,6.0943989753723145
179,4.8875250816345215
180,7.098067283630371
181,3.327848434448242
182,2.723728895187378
183,4.414285182952881
184,3.3207430839538574
185,5.686349868774414
186,6.975961685180664
187,4.050384998321533
188,2.765110969543457
189,6.267644882202148
190,5.085442066192627
191,5.345058441162109
192,2.1764931678771973
193,2.3023266792297363
194,5.142574310302734
195,5.393939971923828
196,4.72196102142334
197,4.4123358726501465
198,4.749832630157471
199,6.194554328918457
200,2.782390832901001
201,4.698243141174316
202,5.070747375488281
203,7.265869617462158
204,2.9154462814331055
205,7.0102739334106445
206,5.648879528045654
207,2.517876148223877
208,5.453592777252197
209,6.23732328414917
210,5.514468193054199
211,4.439033031463623
212,2.5409364700317383
213,6.035274505615234
214,3.6963653564453125
215,5.018038749694824
216,5.490063190460205
217,5.26564884185791
218,5.910695552825928
219,6.442050933837891
220,5.882662296295166
221,2.9793670177459717
222,3.3575713634490967
223,2.5369884967803955
224,4.44646692276001
225,2.988469123840332
226,5.372258186340332
227,6.166812419891357
228,7.310204982757568
229,6.1268229484558105
230,6.241815567016602
231,5.305854797363281
232,2.8903281688690186
233,6.201852798461914
234,6.052163600921631
235,5.781966209411621
236,5.561039924621582
237,5.094733238220215
238,5.468504905700684
239,5.136997699737549
240,4.745941638946533
241,2.355958938598633
242,2.3065690994262695
243,2.3095221519470215
244,6.232826232910156
245,2.84298038482666
