Step,Value
1,6000000.0
2,5000000.0
3,1000000.0
4,4000000.0
5,4000000.0
6,6000000.0
7,5000000.0
8,2000000.0
9,2000000.0
10,4000000.0
11,4000000.0
12,8000000.0
13,2000000.0
14,5000000.0
15,4000000.0
16,6000000.0
17,1000000.0
18,5000000.0
19,2000000.0
20,2000000.0
21,1000000.0
22,5000000.0
23,5000000.0
24,6000000.0
25,4000000.0
26,3000000.0
27,1000000.0
28,4000000.0
29,6000000.0
30,3000000.0
31,2000000.0
32,3000000.0
33,5000000.0
34,3000000.0
35,3000000.0
36,2000000.0
37,4000000.0
38,1000000.0
39,2000000.0
40,2000000.0
41,6000000.0
42,3000000.0
43,7000000.0
44,4000000.0
45,1000000.0
46,1000000.0
47,5000000.0
48,3000000.0
49,6000000.0
50,7000000.0
51,4000000.0
52,8000000.0
53,2000000.0
54,6000000.0
55,5000000.0
56,1000000.0
57,1000000.0
58,3000000.0
59,1000000.0
60,4000000.0
61,3000000.0
62,3000000.0
63,6000000.0
64,1000000.0
65,1000000.0
66,2000000.0
67,3000000.0
68,6000000.0
69,6000000.0
70,1000000.0
71,5000000.0
72,1000000.0
73,6000000.0
74,2000000.0
75,3000000.0
76,2000000.0
77,1000000.0
78,1000000.0
79,3000000.0
80,7000000.0
81,6000000.0
82,4000000.0
83,1000000.0
84,4000000.0
85,4000000.0
86,6000000.0
87,3000000.0
88,2000000.0
89,4000000.0
90,5000000.0
91,4000000.0
92,2000000.0
93,1000000.0
94,1000000.0
95,1000000.0
96,4000000.0
97,5000000.0
98,5000000.0
99,4000000.0
100,4000000.0
101,2000000.0
102,5000000.0
103,1000000.0
104,6000000.0
105,3000000.0
106,4000000.0
107,6000000.0
108,1000000.0
109,5000000.0
110,1000000.0
111,2000000.0
112,1000000.0
113,3000000.0
114,3000000.0
115,1000000.0
116,1000000.0
117,2000000.0
118,1000000.0
119,3000000.0
120,3000000.0
121,3000000.0
122,5000000.0
123,2000000.0
124,5000000.0
125,5000000.0
126,3000000.0
127,1000000.0
128,3000000.0
129,4000000.0
130,4000000.0
131,3000000.0
132,4000000.0
133,1000000.0
134,2000000.0
135,3000000.0
136,7000000.0
137,1000000.0
138,1000000.0
139,7000000.0
140,1000000.0
141,2000000.0
142,5000000.0
143,5000000.0
144,4000000.0
145,5000000.0
146,1000000.0
147,5000000.0
148,3000000.0
149,7000000.0
150,2000000.0
151,1000000.0
152,5000000.0
153,5000000.0
154,2000000.0
155,6000000.0
156,1000000.0
157,1000000.0
158,4000000.0
159,2000000.0
160,6000000.0
161,3000000.0
162,3000000.0
163,5000000.0
164,6000000.0
165,3000000.0
166,2000000.0
167,4000000.0
168,5000000.0
169,3000000.0
170,1000000.0
171,5000000.0
172,3000000.0
173,1000000.0
174,7000000.0
175,1000000.0
176,2000000.0
177,3000000.0
178,4000000.0
179,2000000.0
180,7000000.0
181,4000000.0
182,3000000.0
183,1000000.0
184,6000000.0
185,3000000.0
186,5000000.0
187,5000000.0
188,5000000.0
189,1000000.0
190,3000000.0
191,4000000.0
192,3000000.0
193,2000000.0
194,2000000.0
195,1000000.0
196,4000000.0
197,4000000.0
198,6000000.0
199,2000000.0
200,1000000.0
201,3000000.0
202,1000000.0
203,2000000.0
204,3000000.0
205,3000000.0
206,1000000.0
207,6000000.0
208,3000000.0
209,3000000.0
210,3000000.0
211,6000000.0
212,1000000.0
213,1000000.0
214,1000000.0
215,3000000.0
216,6000000.0
217,7000000.0
218,6000000.0
219,3000000.0
220,2000000.0
221,1000000.0
222,3000000.0
223,3000000.0
224,4000000.0
225,3000000.0
226,4000000.0
227,5000000.0
228,2000000.0
229,1000000.0
230,6000000.0
231,5000000.0
232,2000000.0
233,2000000.0
234,1000000.0
235,2000000.0
236,8000000.0
237,3000000.0
238,1000000.0
239,1000000.0
240,4000000.0
241,2000000.0
242,3000000.0
243,3000000.0
244,5000000.0
245,1000000.0
246,3000000.0
247,6000000.0
248,3000000.0
249,4000000.0
250,2000000.0
251,6000000.0
252,7000000.0
253,3000000.0
254,3000000.0
255,2000000.0
256,1000000.0
257,4000000.0
258,1000000.0
259,1000000.0
260,1000000.0
261,2000000.0
262,1000000.0
263,3000000.0
264,4000000.0
265,1000000.0
266,4000000.0
267,1000000.0
268,5000000.0
269,7000000.0
270,1000000.0
271,6000000.0
272,2000000.0
273,1000000.0
274,3000000.0
275,4000000.0
276,5000000.0
277,2000000.0
278,3000000.0
279,3000000.0
280,3000000.0
281,1000000.0
282,5000000.0
283,2000000.0
284,3000000.0
285,3000000.0
286,4000000.0
287,5000000.0
288,1000000.0
289,8000000.0
290,5000000.0
291,2000000.0
292,7000000.0
293,7000000.0
294,3000000.0
295,7000000.0
296,2000000.0
297,2000000.0
298,3000000.0
299,4000000.0
300,2000000.0
301,3000000.0
302,6000000.0
303,1000000.0
304,3000000.0
305,3000000.0
306,2000000.0
307,2000000.0
308,4000000.0
309,5000000.0
310,2000000.0
311,1000000.0
312,3000000.0
313,5000000.0
314,4000000.0
315,3000000.0
316,3000000.0
317,8000000.0
318,4000000.0
319,8000000.0
320,4000000.0
321,1000000.0
322,4000000.0
323,1000000.0
324,2000000.0
325,1000000.0
326,3000000.0
327,3000000.0
328,5000000.0
329,3000000.0
330,1000000.0
331,1000000.0
332,5000000.0
333,1000000.0
334,3000000.0
335,2000000.0
336,7000000.0
337,1000000.0
338,1000000.0
339,2000000.0
340,1000000.0
341,2000000.0
342,1000000.0
343,2000000.0
344,3000000.0
345,4000000.0
346,2000000.0
347,2000000.0
348,3000000.0
349,3000000.0
350,4000000.0
351,1000000.0
352,3000000.0
353,5000000.0
354,4000000.0
355,5000000.0
356,2000000.0
357,1000000.0
358,1000000.0
359,4000000.0
360,6000000.0
361,2000000.0
362,3000000.0
363,2000000.0
364,3000000.0
365,1000000.0
366,1000000.0
367,1000000.0
368,3000000.0
369,6000000.0
370,3000000.0
371,6000000.0
372,3000000.0
373,7000000.0
374,3000000.0
375,2000000.0
376,1000000.0
377,1000000.0
378,3000000.0
379,3000000.0
380,7000000.0
381,7000000.0
382,2000000.0
383,6000000.0
384,3000000.0
385,3000000.0
386,3000000.0
387,3000000.0
388,4000000.0
389,2000000.0
390,5000000.0
391,3000000.0
392,1000000.0
393,3000000.0
394,2000000.0
395,4000000.0
396,2000000.0
397,1000000.0
398,2000000.0
399,4000000.0
400,1000000.0
401,2000000.0
402,4000000.0
403,4000000.0
404,2000000.0
405,6000000.0
406,2000000.0
407,2000000.0
408,4000000.0
409,5000000.0
410,4000000.0
411,2000000.0
412,1000000.0
413,1000000.0
414,2000000.0
415,4000000.0
416,2000000.0
417,4000000.0
418,6000000.0
419,4000000.0
420,3000000.0
421,1000000.0
422,8000000.0
423,3000000.0
424,8000000.0
425,4000000.0
426,6000000.0
427,6000000.0
428,1000000.0
429,7000000.0
430,1000000.0
431,8000000.0
432,6000000.0
433,1000000.0
434,2000000.0
435,5000000.0
436,3000000.0
437,6000000.0
438,1000000.0
439,1000000.0
440,3000000.0
441,3000000.0
442,1000000.0
