Step,Value
1,4511859.5
2,6956610.5
3,6963432.5
4,1518180.875
5,4991911.0
6,3438333.25
7,6950888.5
8,1518182.625
9,4509650.0
10,3423721.25
11,4408752.5
12,4530513.5
13,1052518.75
14,4508541.0
15,6020941.0
16,1518073.625
17,983163.0
18,3447564.25
19,982931.875
20,2241648.5
21,1518181.875
22,1518181.875
23,4508534.5
24,982931.1875
25,3333332.0
26,3333333.5
27,990756.25
28,1838871.875
29,3350269.5
30,1513831.625
31,2168827.25
32,6963575.5
33,4506218.0
34,6963636.5
35,1805843.5
36,1518216.25
37,1518185.375
38,2407291.25
39,4508535.5
40,983564.6875
41,5554111.0
42,4695620.0
43,3293650.75
44,3333333.5
45,6956224.5
46,4508534.5
47,4508534.5
48,1518181.875
49,6938954.0
50,4508248.0
51,3333331.75
52,4144828.5
53,4525328.5
54,987075.0
55,4508494.5
56,1529702.25
57,2494515.0
58,3582241.5
59,983055.3125
60,1521250.125
61,6721061.5
62,1144800.375
63,1517934.0
64,1037744.375
65,3323551.5
66,982931.1875
67,1524598.0
68,1518181.75
69,3452268.0
70,1308005.875
71,1044713.125
72,3333325.5
73,4508429.0
74,3333333.75
75,1518181.875
76,1441666.375
77,1870994.125
78,4259934.0
79,4506999.0
80,983050.4375
81,6963636.5
82,2400641.25
83,4508519.5
84,6960263.5
85,6963636.5
86,1518181.875
87,3330252.75
88,1518187.125
89,4508534.5
90,1259210.75
91,4508534.5
92,2794228.75
93,1519988.625
94,4411598.0
95,4522685.5
96,6963616.5
97,6948733.5
98,4228712.5
99,6863616.5
100,3333333.75
101,6959446.0
102,989533.125
103,3337625.0
104,6961918.0
105,2153724.5
106,3335291.75
107,4508534.5
108,1518189.75
109,4484199.5
110,4511090.0
111,3436708.5
112,1054276.5
113,983034.0
114,1518642.0
115,3333028.0
116,6853404.5
117,986236.1875
118,1036211.5
119,4506160.0
120,4049634.0
121,4579520.5
122,1517771.75
123,1540036.0
124,3608588.5
125,3263642.5
126,1077790.75
127,1507938.75
128,2439430.0
129,1473421.25
130,1011867.5
131,3075388.25
132,2257171.0
133,2317308.5
134,1293753.625
135,989647.3125
136,1235445.25
137,1352898.625
138,1396448.375
139,1022088.0
140,1023972.6875
141,995090.375
142,1191296.0
143,1082373.375
144,1251770.0
145,1001672.5
146,998550.4375
147,1250283.75
148,1035625.9375
149,1089330.875
150,1185255.875
151,2479158.25
152,1395276.5
153,1369765.5
154,1437213.625
155,1479377.625
156,1224243.125
157,984255.75
158,1129987.125
159,1285298.75
160,1447833.375
161,1070050.625
162,1068782.875
163,1024728.0
164,993581.125
165,1008858.4375
166,1005703.9375
167,1003289.0
168,1004456.0
169,1030488.4375
170,992843.0625
171,994130.875
172,985552.8125
173,1000814.8125
174,994769.25
175,992380.625
176,1002693.25
177,1016499.0
178,1060326.5
179,983342.4375
180,990873.75
181,992205.6875
182,1056954.25
183,1028343.875
184,1286652.875
185,991891.25
186,1027180.5625
187,995555.875
188,984285.0
189,989874.0
190,992855.625
191,1009165.125
192,989650.5625
193,1014969.4375
194,1432281.0
195,1421910.625
196,1387346.125
197,1428325.0
198,1214821.75
199,1392988.875
200,1454969.375
201,1062950.5
202,1152334.75
203,1069713.625
204,994485.625
205,1003968.9375
206,1006305.3125
207,1003147.9375
208,1034751.9375
209,1017858.9375
210,1029906.8125
211,1075198.5
212,1178329.625
213,1447718.75
214,1511320.5
215,1529626.0
216,1529319.875
217,1530856.625
218,1527444.25
219,1524000.0
220,1520485.875
221,1520371.25
222,1486724.75
223,1500223.875
224,1483932.0
225,1483423.25
226,1514175.875
227,1447535.75
228,1530084.75
229,1532979.125
230,1535198.375
231,1528085.5
232,1523956.0
233,1520976.75
234,1509875.25
235,1519576.125
236,1524177.75
237,1525359.625
238,1524431.375
239,1496833.125
240,1530433.75
241,1525826.25
242,1525196.75
243,1528883.875
244,1524072.25
245,1526607.25
246,1526063.375
247,1523916.75
248,1524068.375
249,1520992.5
250,1518511.5
251,1523933.875
252,1517424.375
253,1517280.625
254,1526162.0
255,1521860.125
256,1525271.875
257,1524075.25
258,1521580.125
259,1521037.875
260,1525328.25
261,1527869.0
262,1526313.625
263,1520672.0
264,1522170.75
265,1518247.125
266,1521854.0
267,1519491.25
268,1519748.375
269,1526107.375
270,1526572.125
271,1523707.25
272,1532678.625
273,1522844.25
274,1523511.0
275,1525686.875
276,1524231.0
277,1523666.125
278,1528004.75
279,1523838.0
280,1527823.75
281,1519210.625
282,1526229.625
283,1523137.25
284,1525941.375
285,1523247.25
286,1521448.625
287,1531261.0
288,1532429.0
289,1526994.75
290,1526933.625
291,1524180.625
292,1526037.125
293,1524928.375
294,1527127.5
295,1532888.5
296,1532515.75
297,1524278.25
298,1524671.0
299,1525795.875
300,1526304.375
301,1540269.375
302,1526179.625
303,1527515.0
304,1525493.375
305,1525206.875
306,1531339.875
307,1534710.375
308,1535871.125
309,1521015.875
310,1520443.0
311,1521882.875
312,1520757.125
313,1525479.25
314,1521895.5
315,1531269.25
316,1537509.5
317,1523541.5
318,1529429.875
319,1520534.5
320,1523703.625
321,1524937.25
322,1526054.0
323,1531898.625
324,1532186.75
325,1525010.75
326,1531327.125
327,1523612.75
328,1524338.375
329,1524163.5
330,1524398.5
331,1523427.375
332,1524953.125
333,1527785.125
334,1523625.25
335,1527237.25
336,1525200.625
337,1525702.125
338,1524603.625
339,1525697.75
340,1526111.375
341,1525221.0
342,1530376.25
343,1531857.125
344,1526108.375
345,1524312.25
346,1527602.375
347,1527865.625
348,1525715.125
349,1534903.75
350,1541119.625
351,1530207.375
352,1522520.125
353,1522281.625
354,1521845.75
355,1523344.625
356,1526245.0
357,1530321.125
358,1538714.875
359,1526080.375
360,1530555.625
361,1526356.25
362,1526447.875
363,1527425.0
364,1526030.25
365,1531349.375
366,1526732.25
367,1531004.5
368,1525371.125
369,1529466.25
370,1526817.5
371,1528288.375
372,1525425.875
373,1521895.125
374,1526438.0
375,1524872.875
376,1523667.125
377,1529995.0
378,1534219.25
379,1524923.0
380,1526543.75
381,1526726.5
382,1527599.375
383,1528586.25
384,1522655.5
385,1524694.375
386,1526074.125
387,1521465.5
388,1529514.75
389,1527459.0
390,1530213.625
391,1529303.375
392,1525041.875
393,1524300.75
394,1524374.125
395,1528728.5
396,1532594.125
397,1533065.625
398,1526855.5
399,1525270.625
400,1524873.875
401,1524325.875
402,1526495.5
403,1524325.25
404,1526501.375
405,1532371.625
406,1532057.375
407,1528022.0
408,1522410.75
409,1531633.75
410,1528502.875
411,1526726.625
412,1531494.75
413,1533587.25
414,1529513.5
415,1531509.125
416,1527030.5
417,1535062.25
418,1529350.375
419,1535479.25
420,1530904.75
421,1527445.5
422,1526788.125
423,1528396.625
424,1526268.875
425,1531155.875
426,1530342.875
427,1528865.875
428,1531372.5
429,1534559.125
430,1529822.25
431,1531395.375
432,1528449.5
433,1523431.875
434,1525705.0
435,1529655.125
436,1530495.125
437,1530743.375
438,1528171.0
439,1526475.125
440,1524666.0
441,1526208.875
442,1530347.75
443,1530321.25
444,1529721.625
445,1525483.0
446,1524034.5
447,1526824.375
448,1529785.125
449,1530629.375
450,1536417.0
451,1525889.0
452,1527426.375
453,1526680.25
454,1527636.0
455,1528631.0
456,1525881.75
457,1527060.125
458,1527922.875
459,1525642.0
460,1528528.75
461,1527511.5
462,1523837.25
463,1526504.0
464,1524468.125
465,1523005.5
466,1522985.75
467,1524747.125
468,1524808.5
469,1526043.625
470,1528686.625
471,1530903.625
472,1534559.0
473,1527825.0
474,1527867.625
475,1520829.5
476,1525739.125
477,1529165.625
478,1527853.125
479,1532249.0
