Step,Value
1,5164085.0
2,5164085.0
3,2125342.75
4,122069.9140625
5,96168.9375
6,86958.109375
7,3849254.75
8,2684962.25
9,102206.3984375
10,3960558.5
11,4603871.5
12,4784832.0
13,4820867.0
14,4857387.5
15,268386.6875
16,108897.1015625
17,3729583.0
18,4360544.0
19,4398323.0
20,4472382.0
21,4501965.5
22,4771084.0
23,4870692.5
24,179932.5625
25,4067161.25
26,4481899.5
27,4729788.5
28,4924379.0
29,5014772.0
30,5172285.5
31,5125585.0
32,5159379.0
33,2445122.5
34,4586475.5
35,1086379.0
36,4374885.5
37,3523703.25
38,113605.453125
39,4218446.5
40,162919.234375
41,4440067.0
42,4699743.5
43,371782.71875
44,3926203.25
45,4367741.5
46,1102332.625
47,3849993.0
48,162348.484375
49,3692709.0
50,4409639.0
51,72181.2734375
52,3460539.75
53,4279977.5
54,4668931.5
55,4640573.0
56,4756729.0
57,1953050.125
58,4283384.5
59,4705072.0
60,4749812.5
61,4911071.0
62,4760527.5
63,4815150.5
64,4933819.5
65,4847908.0
66,4977405.0
67,4870685.0
68,396614.28125
69,118878.890625
70,4036853.75
71,4797568.5
72,4763820.0
73,4680958.0
74,4679342.5
75,4822074.0
76,4666803.0
77,4937938.5
78,4835241.0
79,4956996.0
80,4775067.5
81,4790282.0
82,3617514.0
83,111160.1015625
84,66033.5625
85,118559.75
86,87755.5859375
87,3415348.25
88,4055491.25
89,4377242.5
90,176043.984375
91,4025339.5
92,4550175.0
93,4730532.0
94,4752479.0
95,223421.03125
96,49546.1015625
97,103512.6796875
98,88649.8203125
99,3214891.25
100,4128572.5
101,4272435.0
102,4658227.5
103,4760850.5
104,4670534.5
105,3926507.5
106,4549701.5
107,4738311.0
108,263812.40625
109,3221342.5
110,204423.84375
111,3769808.75
112,4520522.5
113,4596819.5
114,4535159.5
115,1131273.25
116,4056601.25
117,2825855.0
118,4258432.0
119,4579729.0
120,4598067.5
121,286429.4375
122,3365848.0
123,1739093.0
124,3986113.25
125,4479834.0
126,4682773.5
127,4617300.5
128,4482000.5
129,4621779.0
130,4670441.0
131,4568449.0
132,4679022.5
133,4512913.5
134,4460193.5
135,4633538.5
136,4633295.5
137,4758983.5
138,4729175.0
139,4708693.5
140,4774193.0
141,4710595.5
142,4751027.0
143,4812334.5
144,4702644.0
145,4873319.0
146,4652786.0
147,4578382.5
148,4703713.0
149,4755853.5
150,4717787.0
151,4796765.5
152,4684164.5
153,4668580.5
154,4725952.5
155,4770299.5
156,4722218.0
157,4745283.5
158,4645064.5
159,4746491.0
160,4797584.5
161,4637371.0
162,4745675.0
163,4752317.5
164,4816379.0
165,4788141.5
166,4720826.5
167,4745339.5
168,4764273.5
169,4850826.5
170,4828746.0
171,4600200.5
172,4686355.0
173,4577537.5
174,4762585.5
175,4780552.5
176,4694160.0
177,4674140.5
178,4698940.0
179,4727989.0
180,4857797.5
181,4703182.5
182,4767407.5
183,4791323.0
184,4744840.5
185,4814578.0
186,4835548.5
187,4862859.0
188,4791756.5
189,5046354.5
190,4955424.0
191,5017687.5
192,5046532.5
193,5053050.0
194,4948862.5
195,4914330.5
196,5003440.5
197,4978504.0
198,4931550.5
199,5029313.0
200,4964745.5
201,5007333.0
202,4976586.0
203,4805551.0
204,4870811.5
205,5098033.0
206,4990078.0
207,5030041.0
208,5002792.5
209,5064014.5
210,5071978.0
211,4913007.0
212,5050465.0
213,5030781.0
214,4918787.0
215,4988915.5
216,4971694.0
217,5007340.5
218,5156929.5
219,4908765.5
220,5033859.0
221,4886196.5
222,4955949.0
223,4924772.5
224,5044451.5
225,5055630.0
226,5002196.0
227,5056372.0
228,4951200.0
229,4975563.5
230,4987634.5
231,4983948.5
232,5020902.0
233,5006753.5
234,4933981.5
235,4976356.5
236,4944751.5
237,4990568.5
238,5038697.5
239,4998706.0
240,4996545.5
241,5100822.5
242,4967086.5
243,4970253.5
244,4963573.0
245,4984217.0
246,5001563.0
247,4983969.0
248,5025841.5
249,4928329.0
250,5023121.5
251,4858796.0
252,4960233.0
253,4975700.5
254,5118378.0
255,5006809.0
256,4968501.0
257,5074996.5
258,4937891.0
259,5018150.5
260,5055136.5
261,5166092.5
262,5193854.0
263,5332510.5
264,5220694.0
265,5129889.0
266,5159010.5
267,5062763.0
268,5195504.0
269,5165092.5
270,5064218.0
271,4943654.5
272,5115326.5
273,5056989.5
274,5207839.5
275,4929023.0
276,5173192.5
277,5173437.5
278,5145391.0
279,5099069.5
280,5126235.0
281,5168290.5
282,4984252.0
283,5187011.0
284,5246084.0
285,5134529.0
286,5163133.0
287,5167923.0
288,5175045.5
289,5175742.5
290,4950548.5
291,5223485.5
292,5206645.5
293,5185991.0
294,5077052.5
295,5175711.5
296,5187434.0
297,5114141.5
298,5129972.5
299,5100369.5
300,5191144.5
301,5130840.0
302,5236563.0
303,5113646.5
304,5035778.0
305,5029093.0
306,5073893.0
307,5259796.0
308,5012479.5
309,5246163.5
310,5072987.0
311,5032697.5
312,5097788.5
313,5159195.0
314,5075577.5
315,5135870.5
316,5142418.5
317,5170648.5
318,5153005.5
319,5104771.5
320,5085943.5
321,5056849.0
322,5115855.5
323,4980493.5
324,5122995.0
325,5126074.0
326,5081555.5
327,4980478.5
328,5186559.5
329,5263143.0
330,5185650.0
331,5173648.0
332,5067739.0
333,5177214.0
334,5114262.5
335,5115146.0
336,5196722.5
337,5136594.5
338,5221400.5
339,5178740.5
340,5170842.5
341,5168613.5
342,5246068.0
343,5069470.0
344,5113181.5
345,5229687.0
346,5117041.0
347,5129402.0
348,5127484.0
349,5032018.0
350,5184842.5
351,5266108.0
352,5001090.0
353,5093119.0
354,5134998.0
355,5072026.5
356,4998045.0
357,5071620.5
358,5088241.5
359,5157093.0
360,5110931.0
361,5208443.5
362,5203739.0
363,5164540.5
364,5120719.5
365,5065900.0
366,5140356.0
367,5224691.0
368,5102713.0
369,5205118.5
370,5122678.0
371,5098168.5
372,5041735.0
373,5050941.0
374,5107628.5
375,5129677.0
376,5209968.5
377,5020986.0
378,5062356.5
379,5180750.5
380,4937139.5
381,5016754.0
382,5098253.5
383,5211110.0
384,5037855.5
385,5254874.5
386,5176701.5
387,5000367.0
388,5033958.0
389,5027770.5
390,5218983.0
391,5097624.0
392,4922511.0
393,5184493.5
394,5074765.0
395,5122276.0
396,5142582.0
397,5151565.0
398,5325745.5
399,5281778.0
400,5210110.0
401,5199344.0
402,5229671.5
403,5123034.5
404,5234544.5
405,5144039.5
406,5046630.0
407,5169453.0
408,5137654.5
409,5227060.5
410,5099053.0
411,5145422.0
412,5096298.0
413,5138153.5
414,5060744.0
415,5133753.0
416,5033915.5
417,4982524.0
418,5148496.0
419,5075466.5
420,5025291.0
421,5099835.5
422,5038254.5
423,5077666.5
424,5207140.5
425,5144083.0
426,5092513.5
427,5158778.5
428,5123502.0
429,5145124.5
430,5082401.0
431,5078365.0
432,4937487.5
433,5133054.0
434,5020968.0
435,5084118.0
436,5149723.5
437,5120231.5
438,5165067.5
439,5119804.5
440,5188875.5
441,5199842.0
442,5253490.0
443,5107936.0
444,5083151.5
445,5106020.0
446,5169214.0
447,5196516.5
448,5113416.5
449,5216577.5
450,5154587.5
451,5144329.5
452,5139899.5
453,5063370.0
454,5148803.5
455,5260069.0
456,5071727.0
457,5040264.5
458,5095976.0
459,5118764.5
460,5158369.0
461,5241332.0
462,5031881.5
463,5129499.0
464,5174359.5
465,5229483.5
466,5241807.0
467,5147382.0
468,5050226.0
469,5223146.5
470,5058720.5
471,5206411.0
472,5123796.0
473,5166251.5
474,5030014.5
475,5170362.0
476,5252301.0
477,5094997.5
478,5168114.0
479,5142347.0
480,4883413.0
481,5311603.0
482,5306957.0
483,5157984.5
484,5233944.5
485,5098794.5
486,5109845.5
487,5236978.5
488,5112173.5
489,5244926.0
490,5103115.5
491,5104814.5
492,5162821.5
493,5132971.0
494,5045556.0
495,5006878.0
496,5118703.5
497,5035054.0
498,5203701.0
499,5042119.5
500,5202982.5
501,5262338.0
502,5114022.0
503,5177337.0
504,5145305.5
505,5107860.0
506,5061952.5
507,5104182.0
508,5049800.5
509,5113294.0
510,5058057.0
511,5064280.5
512,5117328.0
513,5200589.0
514,5182520.5
515,5115892.5
516,5137492.5
517,5233708.0
518,5080946.5
519,5133747.5
520,5099930.0
521,4916377.0
522,5186658.5
523,5071109.0
524,5025526.5
525,5254540.0
526,5023595.5
527,5054952.5
528,5111307.0
529,5023267.0
530,5145607.0
531,5206269.0
532,5153994.5
533,5176290.5
534,5120876.0
535,5111531.5
536,5175499.5
537,5142491.5
538,4984742.0
539,5031539.5
540,5101188.0
541,5131212.0
542,5116321.5
543,5153057.5
544,5172192.5
545,5103943.0
546,5137626.0
547,5144679.5
548,5244076.0
549,5084023.5
550,5053740.5
551,5165419.5
552,5216279.5
553,5182153.5
554,5062855.0
555,5090922.5
556,5024975.5
557,5196422.0
558,5295542.0
559,5125854.5
560,5160335.0
561,5142602.5
562,5024542.0
563,5042066.5
564,5120321.5
565,5239972.5
566,5095624.0
567,5153881.5
568,5194081.0
569,5262384.5
570,5117610.5
571,5042048.5
572,5060825.0
573,5033426.5
574,5254883.5
575,5095929.5
576,5100111.0
577,5006719.0
578,5099738.0
579,5147398.0
580,5211134.0
581,5168918.0
582,5012561.0
583,5104552.5
584,5115284.0
585,5197640.5
586,5181512.5
587,5244914.5
588,5251305.5
589,5080673.0
590,5099579.5
591,5080410.0
592,5129636.0
593,5173121.0
594,5231638.5
595,5214629.5
596,5209037.0
597,5158202.0
598,5218387.5
599,5219204.5
600,5186864.5
601,5097460.5
602,5143198.0
603,5003784.0
604,5185123.0
605,4902919.5
606,5031819.5
607,4985918.5
608,5081944.5
609,5043493.0
610,5058503.0
611,5199106.5
612,5179679.0
613,5147170.0
614,5127461.0
615,5121885.0
616,5190704.5
617,5039520.0
618,5000579.5
619,5101425.5
620,5194158.5
621,5166987.0
622,5185168.5
623,5050778.0
624,5208333.0
625,5132241.0
626,5212815.0
627,5022908.5
628,5152910.5
629,5272836.0
630,5073575.0
631,5138835.5
632,5111459.0
633,5052286.5
634,5024700.5
635,5119544.0
636,5076553.0
637,5033942.5
638,5105195.0
639,5169838.5
640,5210081.5
641,5052536.5
642,5117318.5
643,5063358.0
644,5094004.0
645,5279728.5
646,5241227.0
647,5179201.5
648,5202852.5
649,5167020.5
650,5056245.0
651,5098864.0
652,5152577.0
653,5092885.0
654,4983430.5
655,5069984.5
656,5016332.0
657,5028613.5
