Step,Value
1,194560.0
2,194560.0
3,188800.0
4,191680.0
5,185920.0
6,192320.0
7,198400.0
8,189120.0
9,187520.0
10,205760.0
11,184640.0
12,198720.0
13,197760.0
14,193280.0
15,198400.0
16,193920.0
17,191360.0
18,192000.0
19,194880.0
20,199040.0
21,187840.0
22,187840.0
23,200320.0
24,203200.0
25,196480.0
26,205760.0
27,195200.0
28,195840.0
29,190720.0
30,196160.0
31,198720.0
32,191360.0
33,189440.0
34,193280.0
35,203840.0
36,196480.0
37,204480.0
38,195200.0
39,196160.0
40,189440.0
41,194240.0
42,197440.0
43,195840.0
44,195840.0
45,192000.0
46,193920.0
47,200960.0
48,188800.0
49,190080.0
50,193600.0
51,194560.0
52,193280.0
53,193920.0
54,187520.0
55,196160.0
56,194240.0
57,192320.0
58,190400.0
59,189120.0
60,199680.0
61,191680.0
62,196160.0
63,189120.0
64,193920.0
65,194880.0
66,190720.0
67,195200.0
68,197760.0
69,195200.0
70,196480.0
71,194240.0
72,185920.0
73,200960.0
74,194560.0
75,193920.0
76,195200.0
77,195840.0
78,185920.0
79,196160.0
80,200640.0
81,203520.0
82,199040.0
83,194560.0
84,197760.0
85,204800.0
86,194240.0
87,194240.0
88,188480.0
89,200000.0
90,195840.0
91,193920.0
92,195520.0
93,194880.0
94,197760.0
95,194560.0
96,187840.0
97,204480.0
98,201600.0
99,190400.0
100,197120.0
101,197440.0
102,206080.0
103,189120.0
104,192960.0
105,189120.0
106,199360.0
107,195200.0
108,199040.0
109,198720.0
110,197440.0
111,184960.0
112,201280.0
113,201920.0
114,190400.0
115,198400.0
116,191680.0
117,191360.0
118,193600.0
119,197120.0
120,198400.0
121,194560.0
122,192320.0
123,197120.0
124,201600.0
125,199360.0
126,192320.0
127,199680.0
128,200640.0
129,197440.0
130,193600.0
131,198400.0
132,193280.0
133,189120.0
134,188160.0
135,196160.0
136,189760.0
137,187840.0
138,185920.0
139,193600.0
140,196800.0
141,197760.0
142,190400.0
143,198400.0
144,187520.0
145,200640.0
146,199680.0
147,187200.0
148,186880.0
149,193600.0
150,197120.0
151,184640.0
152,187520.0
153,194240.0
154,198400.0
155,192640.0
156,192320.0
157,192320.0
158,189760.0
159,192000.0
160,192320.0
161,191680.0
162,194880.0
163,198400.0
164,190400.0
165,200000.0
166,199040.0
167,193280.0
168,190400.0
169,196800.0
170,200000.0
171,196480.0
172,194240.0
173,189760.0
174,191680.0
175,192320.0
176,200640.0
177,194240.0
178,197760.0
179,193280.0
180,197760.0
181,194880.0
182,193280.0
183,188800.0
184,194880.0
185,195200.0
186,194240.0
187,192960.0
188,206400.0
189,197760.0
190,192640.0
