Step,Value
1,6663920.0
2,6663920.0
3,6698494.0
4,6851474.0
5,6884296.0
6,6806094.5
7,6950129.0
8,6833826.0
9,6806348.5
10,6683688.0
11,6761819.5
12,6879783.5
13,6816898.5
14,7009641.0
15,7008210.0
16,6863913.5
17,6681583.5
18,6790548.0
19,6879531.0
20,7032362.5
21,6882234.0
22,6938046.0
23,6809333.0
24,6795586.0
25,7036483.0
26,6985404.5
27,6790525.5
28,6810387.5
29,6791213.5
30,6981712.0
31,6795252.0
32,6756575.5
33,6806977.5
34,6735947.0
35,6864607.0
36,6843600.0
37,6933210.0
38,6817275.5
39,6806799.0
40,6819796.5
41,6925377.0
42,6940449.0
43,6829488.0
44,6852149.5
45,6916516.0
46,6831062.5
47,6934049.5
48,6958855.0
49,6787033.0
50,6910347.5
51,6702214.0
52,6939484.5
53,6998953.5
54,6940238.0
55,6784517.0
56,6774124.5
57,6761691.5
58,6956253.5
59,6918503.5
60,6750998.5
61,6683010.5
62,7005898.5
63,6716215.5
64,6861774.5
65,6732321.0
66,6816185.0
67,6929502.5
68,7075571.0
69,7060511.0
70,6696668.5
71,6890741.0
72,6799076.0
73,6836342.0
74,6857634.5
75,6903829.0
76,6798707.5
77,6882854.5
78,6840938.0
79,6883179.5
80,6818644.5
81,6863378.0
82,6933966.0
83,6716977.0
84,6928718.5
85,6859791.5
86,6901819.0
87,7033073.0
88,6962885.5
89,6788746.0
90,6729438.0
91,6798899.5
92,6717772.0
93,6875615.0
94,6832783.0
95,6729284.0
96,6758919.0
97,6758216.0
98,6897460.5
99,6797234.5
100,6672564.5
101,6857487.5
102,6753917.0
103,6847303.0
104,6894404.5
105,6776348.0
106,6816525.0
107,6846615.0
108,6889140.5
109,6770863.0
110,6828428.5
111,6643580.5
112,6843637.5
113,6945561.5
114,6791954.5
115,6829214.5
116,6760008.0
117,6882932.0
118,6988855.5
119,6977421.5
120,6716470.5
121,6848995.5
122,6843686.0
123,6771463.5
124,6766445.5
125,6772389.5
126,6731418.5
127,6809744.0
128,6694308.5
129,6809510.0
130,6839923.0
131,6730356.0
132,6766983.5
133,6905959.0
134,6908126.5
135,6822000.0
136,6906673.0
137,6790016.5
138,6945503.0
139,6894972.0
140,6914813.0
141,6854163.0
142,6889737.0
143,6915380.5
144,6799771.5
145,6639157.5
146,6713721.5
147,6764289.0
148,6779583.5
149,6723256.0
150,6716162.5
151,6821719.0
152,6961748.0
153,6619610.0
154,6731952.0
155,6756281.5
156,6715439.0
157,6847134.5
158,6727864.0
159,7029907.5
160,6968667.0
161,7048712.0
162,6897451.5
163,6916681.5
164,6951340.0
165,6725418.5
166,6953559.5
167,6862526.5
168,6873208.0
169,6929196.0
170,6712080.5
171,6859599.0
172,6876192.5
173,6824258.5
174,7008419.0
175,6882622.0
176,6876160.5
177,6800169.0
178,6636050.5
179,6907242.5
180,6899298.0
181,6755959.0
182,6865900.5
183,7002764.5
184,6914035.0
185,6771586.5
186,6768513.0
187,6753255.5
188,6962309.0
189,6934216.5
190,6908676.0
191,6902741.0
192,6863615.5
193,6857237.5
194,6738672.0
