Step,Value
1,158720.0
2,158720.0
3,157760.0
4,153280.0
5,152960.0
6,148160.0
7,158080.0
8,163520.0
9,143360.0
10,158080.0
11,156480.0
12,156800.0
13,159360.0
14,152000.0
15,153280.0
16,155520.0
17,150400.0
18,158720.0
19,150400.0
20,150080.0
21,146240.0
22,158400.0
23,150080.0
24,156800.0
25,154560.0
26,152000.0
27,157760.0
28,152000.0
29,149120.0
30,152640.0
31,160320.0
32,160000.0
33,147840.0
34,155520.0
35,153280.0
36,145280.0
37,155200.0
38,152960.0
39,152320.0
40,158080.0
41,152000.0
42,159680.0
43,151680.0
44,150080.0
45,153920.0
46,151680.0
47,155840.0
48,154560.0
49,152320.0
50,153600.0
51,153280.0
52,157760.0
53,159040.0
54,151360.0
55,155840.0
56,162240.0
57,154240.0
58,155520.0
59,152960.0
60,158400.0
61,155520.0
62,150720.0
63,157120.0
64,158720.0
65,153280.0
66,158720.0
67,154560.0
68,152640.0
69,152960.0
70,152960.0
71,156480.0
72,151680.0
73,157760.0
74,146560.0
75,151360.0
76,146880.0
77,158400.0
78,149440.0
79,155200.0
80,154560.0
81,155840.0
82,154880.0
83,154560.0
84,148480.0
85,160000.0
86,155840.0
87,154560.0
88,159360.0
89,157120.0
90,153920.0
91,154880.0
92,148160.0
93,155200.0
94,150720.0
95,159360.0
96,159680.0
97,150080.0
98,152640.0
99,152000.0
100,150080.0
101,152960.0
102,148160.0
103,149760.0
104,161600.0
105,151040.0
106,155840.0
107,152320.0
108,155520.0
109,158080.0
110,159040.0
111,155840.0
112,155520.0
113,148800.0
114,149440.0
115,154240.0
116,157760.0
117,158720.0
118,158400.0
119,159680.0
120,150400.0
121,158080.0
122,151360.0
123,148160.0
124,155200.0
125,154560.0
126,151040.0
127,158080.0
128,154240.0
129,163520.0
130,150400.0
131,162560.0
132,151040.0
133,149440.0
134,153280.0
135,152960.0
136,148800.0
137,156800.0
138,146880.0
139,150080.0
140,160000.0
141,153280.0
142,158080.0
143,156480.0
144,159040.0
145,151040.0
146,149440.0
147,158400.0
148,147520.0
149,153920.0
150,155200.0
151,158400.0
152,148160.0
153,154880.0
154,147520.0
155,152320.0
156,154240.0
157,159040.0
158,151040.0
159,150080.0
160,149120.0
161,149440.0
162,149120.0
163,160640.0
164,154560.0
165,153600.0
166,153600.0
167,157760.0
168,155840.0
169,158080.0
170,155520.0
171,154880.0
172,158400.0
173,151680.0
174,148480.0
175,163200.0
176,149440.0
177,156480.0
178,151680.0
179,157440.0
180,150720.0
181,158080.0
182,152960.0
183,147840.0
184,155520.0
185,154560.0
186,153600.0
187,153600.0
188,153280.0
189,150720.0
190,155520.0
191,156480.0
192,147520.0
193,153920.0
194,154240.0
195,146240.0
196,149760.0
197,156160.0
198,152320.0
199,148480.0
200,155840.0
201,158720.0
202,155520.0
203,155840.0
204,156160.0
205,157440.0
206,155840.0
207,158080.0
208,153920.0
209,153920.0
210,154880.0
211,151360.0
212,154880.0
213,155200.0
214,156480.0
215,152960.0
216,156160.0
217,154240.0
218,157120.0
219,150720.0
220,157120.0
221,159040.0
222,156160.0
223,156160.0
224,140800.0
225,153600.0
226,152640.0
227,158080.0
228,152320.0
229,158080.0
230,154240.0
231,157120.0
232,163520.0
233,159680.0
234,157760.0
235,152320.0
236,161600.0
237,154560.0
238,149760.0
239,154880.0
240,157440.0
241,158400.0
242,160000.0
243,154240.0
244,151360.0
245,151680.0
246,150720.0
247,147840.0
248,153600.0
249,151680.0
250,153920.0
251,155840.0
252,154560.0
253,154240.0
254,150080.0
255,156480.0
256,156480.0
257,157440.0
258,154560.0
259,152960.0
260,154560.0
261,156800.0
262,151040.0
263,158400.0
264,151360.0
265,158400.0
266,150720.0
267,153600.0
268,152000.0
269,162880.0
270,156480.0
271,149760.0
272,151360.0
273,156160.0
274,150400.0
275,153600.0
276,161600.0
277,151040.0
278,154240.0
279,153280.0
280,158080.0
281,160320.0
282,148480.0
283,151360.0
284,158080.0
285,155520.0
286,159680.0
287,157440.0
288,149440.0
289,147520.0
290,154560.0
291,153280.0
292,155840.0
293,155840.0
294,157120.0
295,158720.0
296,150400.0
297,153920.0
298,151040.0
299,147200.0
300,157440.0
301,156160.0
302,164160.0
303,146240.0
304,154560.0
305,151040.0
306,156160.0
307,157760.0
308,151360.0
309,154880.0
310,152960.0
311,153920.0
312,158080.0
313,157120.0
314,154560.0
315,155520.0
316,151040.0
317,150400.0
318,152000.0
319,153600.0
320,151680.0
321,153920.0
322,150720.0
323,153600.0
324,151360.0
325,158080.0
326,155840.0
327,148160.0
328,152320.0
329,145600.0
330,153920.0
331,153920.0
332,151680.0
333,154240.0
334,152960.0
335,152960.0
336,154560.0
337,151360.0
338,154880.0
339,148480.0
340,156480.0
341,162240.0
342,155520.0
343,153600.0
344,162240.0
345,156480.0
346,153600.0
347,152960.0
348,150720.0
349,155520.0
350,151040.0
351,158080.0
352,156480.0
353,156480.0
354,155520.0
355,150720.0
356,156160.0
357,161280.0
358,158400.0
359,157120.0
360,149760.0
361,160640.0
362,154880.0
363,153600.0
364,149760.0
365,161600.0
366,161600.0
367,152640.0
368,153600.0
369,155520.0
370,156480.0
371,151360.0
372,155840.0
373,155520.0
374,144320.0
375,148480.0
376,149760.0
377,152000.0
378,148160.0
379,148160.0
380,161280.0
381,145280.0
382,155840.0
383,152000.0
384,160960.0
385,150720.0
386,158080.0
387,150720.0
388,145920.0
389,164160.0
390,157120.0
391,145600.0
392,151040.0
393,152320.0
394,154240.0
395,156160.0
396,153280.0
397,144640.0
398,155520.0
399,157760.0
400,156800.0
401,153600.0
402,148480.0
403,154240.0
404,158080.0
405,152640.0
406,152320.0
407,156480.0
408,151360.0
409,158080.0
410,146880.0
411,158080.0
412,153920.0
413,147520.0
414,154240.0
415,153600.0
416,150720.0
417,152960.0
418,152960.0
419,148800.0
420,155200.0
421,162880.0
422,156480.0
423,159360.0
424,156800.0
425,153920.0
426,154880.0
427,160640.0
428,146880.0
429,150400.0
430,154240.0
431,160000.0
432,155520.0
433,147840.0
434,156160.0
435,151680.0
436,143360.0
437,151360.0
438,153600.0
439,152960.0
440,153280.0
441,148160.0
442,158720.0
443,152000.0
444,162240.0
445,155520.0
446,157760.0
447,161920.0
448,154240.0
449,150720.0
450,150080.0
451,155200.0
452,160000.0
453,154240.0
454,160000.0
455,160640.0
456,149120.0
457,160960.0
458,143680.0
459,160640.0
460,157440.0
461,153280.0
462,160640.0
463,162560.0
464,153600.0
465,158720.0
466,151040.0
467,155520.0
468,157760.0
469,154560.0
470,153600.0
471,160960.0
472,150400.0
473,155200.0
474,154240.0
475,147840.0
476,156800.0
477,160320.0
478,153920.0
479,154560.0
480,155840.0
481,148800.0
482,147840.0
483,151680.0
484,159360.0
485,157120.0
486,154880.0
487,152960.0
488,153280.0
489,148800.0
490,154880.0
491,156480.0
492,150080.0
493,150720.0
494,152640.0
495,157440.0
496,154240.0
497,155200.0
498,151360.0
499,157120.0
500,153600.0
501,158080.0
502,163200.0
503,151680.0
504,151680.0
505,157120.0
506,163200.0
507,155520.0
508,150720.0
509,161920.0
510,153600.0
511,150400.0
512,155840.0
513,157760.0
514,155200.0
515,153280.0
516,155200.0
517,152640.0
518,155200.0
519,152000.0
520,157440.0
521,150080.0
522,156160.0
523,155200.0
524,162880.0
525,155840.0
526,150720.0
527,146880.0
528,153920.0
529,152640.0
530,147200.0
531,148480.0
532,160640.0
533,154560.0
534,157120.0
535,155840.0
536,152960.0
537,157760.0
538,156480.0
539,155520.0
540,153280.0
541,154880.0
542,152640.0
543,152000.0
544,149440.0
545,151040.0
546,144960.0
547,152960.0
548,154560.0
549,150080.0
550,149440.0
551,153600.0
552,164800.0
553,159360.0
554,156800.0
555,153280.0
556,156160.0
557,150080.0
558,151680.0
559,151680.0
560,152640.0
561,150400.0
562,152640.0
563,152960.0
564,159360.0
565,149760.0
566,154560.0
567,152960.0
568,152000.0
569,152320.0
570,154560.0
571,156160.0
572,152960.0
573,160000.0
574,148480.0
575,154240.0
576,151680.0
577,158400.0
578,154560.0
579,151680.0
580,151040.0
581,151360.0
582,160960.0
583,158720.0
584,154560.0
585,153920.0
586,157120.0
587,154880.0
588,147200.0
589,156800.0
590,161280.0
591,156480.0
592,152320.0
593,148800.0
594,153600.0
595,152960.0
596,151680.0
597,156800.0
598,155520.0
599,156480.0
600,159360.0
601,151680.0
602,150080.0
603,151040.0
604,149120.0
605,158720.0
606,156800.0
607,154880.0
608,152320.0
609,149440.0
610,146240.0
611,157440.0
612,161280.0
613,145280.0
614,162880.0
615,152640.0
616,157120.0
617,152000.0
618,158720.0
619,151360.0
620,153600.0
621,161280.0
622,155520.0
623,160000.0
624,149440.0
625,155520.0
626,157440.0
627,153280.0
628,150400.0
629,158720.0
630,152960.0
631,156800.0
632,155520.0
633,166400.0
634,149120.0
635,155520.0
636,152320.0
637,157440.0
638,157120.0
639,162240.0
640,153280.0
641,157760.0
642,156160.0
643,153920.0
644,159040.0
645,153920.0
646,159680.0
647,150400.0
648,148480.0
649,155520.0
650,149760.0
651,153920.0
652,153920.0
653,153280.0
654,158400.0
655,151360.0
656,151360.0
657,155520.0
658,151360.0
659,157440.0
660,148800.0
661,164160.0
662,158400.0
663,152960.0
664,157120.0
665,150400.0
666,154880.0
667,151680.0
668,155520.0
669,164480.0
670,156480.0
671,160960.0
672,154880.0
673,158720.0
674,157440.0
675,155840.0
676,149440.0
677,150400.0
678,158720.0
679,150720.0
680,155520.0
681,156160.0
682,154240.0
683,152640.0
684,162560.0
685,160000.0
686,155520.0
687,149760.0
688,155840.0
689,150080.0
690,152000.0
691,153920.0
692,155520.0
693,150720.0
694,149440.0
695,156160.0
696,154880.0
697,152000.0
698,153280.0
699,161280.0
700,154880.0
701,157440.0
702,152000.0
703,150720.0
704,144000.0
705,151040.0
706,160640.0
707,164160.0
708,148480.0
709,154880.0
710,154880.0
711,151040.0
712,158080.0
713,145280.0
714,151680.0
715,159680.0
716,159040.0
717,151040.0
718,150080.0
719,150720.0
720,148160.0
721,158720.0
722,153280.0
723,150080.0
724,153280.0
725,158080.0
726,156800.0
727,146880.0
728,152320.0
729,152960.0
730,159680.0
731,155520.0
732,145600.0
733,145280.0
734,150720.0
735,154560.0
736,157760.0
737,153600.0
738,151360.0
739,151040.0
740,149760.0
741,149760.0
742,147840.0
743,156800.0
