Step,Value
1,107115.5390625
2,109254.4609375
3,4396221.0
4,532466.3125
5,4031720.5
6,4395682.5
7,4897275.5
8,4795714.5
9,1567624.25
10,4243902.0
11,182157.84375
12,92661.28125
13,3969877.25
14,4695712.5
15,4658598.0
16,730323.0
17,104291.109375
18,4194663.0
19,4860888.0
20,5076391.5
21,5088986.0
22,5027559.5
23,5149188.5
24,4957433.0
25,4908758.5
26,5056629.0
27,5132936.5
28,407243.875
29,4346862.0
30,387811.125
31,108223.3203125
32,3971397.25
33,280257.46875
34,4257660.0
35,194718.59375
36,4264809.0
37,166852.609375
38,4240648.5
39,4770859.0
40,4943067.5
41,4954954.0
42,5129779.0
43,5109171.5
44,5131628.5
45,612658.1875
46,4526423.5
47,5285636.5
48,5253216.5
49,5310445.0
50,5322350.5
51,5145439.5
52,5169355.0
53,200392.625
54,112208.4375
55,3489807.75
56,856992.8125
57,96560.7890625
58,3765208.5
59,156409.390625
60,4237137.5
61,4756020.5
62,179254.734375
63,4137384.0
64,4634199.0
65,313108.59375
66,3816990.75
67,178651.515625
68,63675.60546875
69,119408.4453125
70,4113989.0
71,4823544.5
72,4923514.0
73,5153647.5
74,4925687.0
75,5140616.0
76,175809.578125
77,1622.19287109375
78,4104263.5
79,4725887.5
80,4765272.5
81,160865.140625
82,3988467.75
83,4696183.5
84,4833855.5
85,4964900.0
86,4935054.0
87,5141482.0
88,214561.640625
89,4174269.75
90,4885477.0
91,4803072.0
92,4861502.0
93,4735861.0
94,392930.625
95,4171559.0
96,172406.3125
97,114340.0546875
98,3629150.0
99,4358975.5
100,4410253.5
101,4527541.0
102,4633359.5
103,4688884.5
104,4710792.5
105,4724182.0
106,174059.875
107,43271.83984375
108,4093836.0
109,4687284.5
110,4812042.5
111,4910316.0
112,171870.03125
113,3603355.0
114,4572080.0
115,4741826.5
116,180828.859375
117,4510064.5
118,5125558.0
119,5105115.0
120,5174174.5
121,5181118.5
122,5075280.5
123,5056781.0
124,5128419.5
125,954498.9375
126,4441706.5
127,4932073.0
128,4963119.5
129,4915683.5
130,5016714.0
131,410522.875
132,3853126.5
133,158682.796875
134,3956246.0
135,4590661.0
136,4813597.5
137,5114837.0
138,5142882.0
139,188093.28125
140,4506396.5
141,354950.1875
142,4288661.0
143,4831521.0
144,4874423.5
145,4903501.0
146,236872.03125
147,4204730.0
148,167705.328125
149,4277720.5
150,4991679.0
151,4990637.5
152,4999681.5
153,4982548.5
154,4959789.0
155,5157649.0
156,5182383.5
157,5195294.5
158,5224542.0
159,232965.859375
160,45814.58203125
161,4432789.0
162,5158859.0
163,239274.421875
164,4081940.25
165,4838932.5
166,4736398.5
167,4811570.0
168,243060.515625
169,3945862.0
170,4639751.5
171,152549.71875
172,71157.125
173,4035030.0
174,1349198.75
175,1715.2489013671875
176,3787948.25
177,177897.453125
178,29393.03515625
