Step,Value
1,11161600.0
2,10086400.0
3,10700800.0
4,7987200.0
5,6400000.0
6,9062400.0
7,9420800.0
8,8396800.0
9,9420800.0
10,8448000.0
11,8089600.0
12,10035200.0
13,8345600.0
14,6963200.0
15,11161600.0
16,8960000.0
17,9369600.0
18,10854400.0
19,9523200.0
20,9574400.0
21,10598400.0
22,11980800.0
23,9881600.0
24,7372800.0
25,11161600.0
26,8601600.0
27,7936000.0
28,10035200.0
29,9881600.0
30,8038400.0
31,9369600.0
32,8448000.0
33,9574400.0
34,9830400.0
35,11008000.0
36,7424000.0
37,10035200.0
38,9625600.0
39,9779200.0
40,8140800.0
41,8601600.0
42,9779200.0
43,6144000.0
44,9369600.0
45,9728000.0
46,7731200.0
47,9625600.0
48,11571200.0
49,10035200.0
50,8857600.0
51,8601600.0
52,7065600.0
53,8704000.0
54,7833600.0
55,9164800.0
56,8448000.0
57,9932800.0
58,10035200.0
59,9318400.0
60,8806400.0
61,9625600.0
62,7526400.0
63,7628800.0
64,8038400.0
65,10188800.0
66,11571200.0
67,8192000.0
68,8192000.0
69,10137600.0
70,8704000.0
71,9779200.0
72,8806400.0
73,11315200.0
74,7577600.0
75,8345600.0
76,10393600.0
77,7987200.0
78,9369600.0
79,9676800.0
80,12236800.0
81,9881600.0
82,10240000.0
83,7628800.0
84,7424000.0
85,9984000.0
86,9574400.0
87,11315200.0
88,8652800.0
89,10496000.0
90,10035200.0
91,10803200.0
92,11622400.0
93,11264000.0
94,9625600.0
95,9113600.0
96,11264000.0
97,8857600.0
98,9472000.0
99,10956800.0
100,8806400.0
101,10086400.0
102,10035200.0
103,8806400.0
104,8192000.0
105,9830400.0
106,10291200.0
107,7270400.0
108,8550400.0
109,12441600.0
110,8550400.0
111,9830400.0
112,8755200.0
113,9267200.0
114,9216000.0
115,7116800.0
116,7372800.0
117,7731200.0
118,7014400.0
119,7116800.0
120,10342400.0
121,8704000.0
122,11417600.0
123,9574400.0
124,12134400.0
125,10393600.0
126,11264000.0
127,9113600.0
128,11724800.0
129,9779200.0
130,7884800.0
131,10393600.0
132,9625600.0
133,10342400.0
134,11008000.0
135,8960000.0
136,8192000.0
137,12083200.0
138,7987200.0
139,9267200.0
140,8038400.0
141,9113600.0
142,9318400.0
143,13107200.0
144,9676800.0
145,8806400.0
146,7270400.0
147,9216000.0
148,10035200.0
149,10803200.0
150,11724800.0
151,8908800.0
152,9881600.0
153,10086400.0
154,9011200.0
155,7884800.0
156,9164800.0
157,8243200.0
158,8294400.0
159,11622400.0
160,10035200.0
161,7628800.0
162,12339200.0
163,10854400.0
164,9881600.0
165,8448000.0
166,10444800.0
167,11673600.0
168,9420800.0
169,8908800.0
170,8499200.0
171,9164800.0
172,9728000.0
173,10393600.0
174,9472000.0
175,12544000.0
176,10496000.0
177,11059200.0
178,9625600.0
179,9420800.0
180,8652800.0
181,10086400.0
182,8499200.0
183,7628800.0
184,11008000.0
185,13004800.0
186,9267200.0
187,11161600.0
188,11161600.0
189,9216000.0
190,10905600.0
191,9932800.0
192,8243200.0
193,10649600.0
194,10700800.0
195,9676800.0
196,9113600.0
197,9984000.0
198,9369600.0
199,8806400.0
200,12134400.0
201,7782400.0
202,7168000.0
203,10649600.0
204,9984000.0
205,7219200.0
206,7782400.0
207,8806400.0
208,6144000.0
209,9216000.0
210,9574400.0
211,9574400.0
212,7577600.0
213,9676800.0
214,8652800.0
215,9625600.0
216,12083200.0
217,11417600.0
218,9420800.0
219,10700800.0
220,8704000.0
221,8908800.0
222,9574400.0
223,8704000.0
224,9318400.0
225,8908800.0
226,7782400.0
227,10496000.0
228,9216000.0
229,9728000.0
230,8755200.0
231,8499200.0
232,8243200.0
233,10496000.0
234,11264000.0
235,10035200.0
236,11212800.0
237,11212800.0
238,10240000.0
239,6963200.0
240,10854400.0
241,9676800.0
242,10700800.0
243,8960000.0
244,8448000.0
245,6348800.0
246,8857600.0
247,9472000.0
248,9318400.0
249,8499200.0
250,9318400.0
251,7680000.0
252,8806400.0
253,10035200.0
254,8806400.0
255,7833600.0
256,6963200.0
257,9420800.0
258,11161600.0
259,9472000.0
260,11264000.0
261,9779200.0
262,7219200.0
263,7884800.0
264,11724800.0
265,8345600.0
266,11622400.0
267,10905600.0
268,9267200.0
269,8499200.0
270,10342400.0
271,8396800.0
272,8857600.0
273,7680000.0
274,9369600.0
275,10854400.0
276,7372800.0
277,10393600.0
278,10137600.0
279,9574400.0
280,9574400.0
281,8704000.0
282,8448000.0
283,10598400.0
284,8908800.0
285,9267200.0
286,9881600.0
287,8294400.0
288,7526400.0
289,9574400.0
290,7680000.0
291,10342400.0
292,11571200.0
293,7731200.0
294,11417600.0
295,7372800.0
296,8396800.0
297,13363200.0
298,8806400.0
299,12800000.0
300,8601600.0
301,7168000.0
302,10035200.0
303,7526400.0
304,8192000.0
305,9267200.0
306,8448000.0
307,8857600.0
308,10035200.0
309,8140800.0
310,10854400.0
311,8448000.0
312,8448000.0
313,7014400.0
314,7884800.0
315,7424000.0
316,9523200.0
317,6707200.0
318,8038400.0
319,13670400.0
320,10240000.0
321,9369600.0
322,8499200.0
323,6348800.0
324,9318400.0
325,10598400.0
326,10035200.0
327,8140800.0
328,9420800.0
329,9318400.0
330,6553600.0
331,7833600.0
332,8243200.0
333,8806400.0
334,12185600.0
335,9625600.0
336,8499200.0
337,11827200.0
338,9420800.0
339,10547200.0
340,11571200.0
341,9779200.0
342,10905600.0
343,9574400.0
344,10188800.0
345,10035200.0
346,11673600.0
347,8345600.0
348,11110400.0
349,9574400.0
350,8345600.0
351,8499200.0
352,10496000.0
353,9062400.0
354,10342400.0
355,8038400.0
356,8345600.0
357,8038400.0
358,10547200.0
359,8243200.0
360,8038400.0
361,9369600.0
362,7475200.0
363,8140800.0
364,10547200.0
365,9113600.0
366,8960000.0
367,10649600.0
368,9728000.0
369,9062400.0
370,10752000.0
371,8857600.0
372,8140800.0
373,5939200.0
374,11366400.0
375,8806400.0
376,8038400.0
377,8704000.0
378,9062400.0
379,9216000.0
380,11264000.0
381,8448000.0
382,9728000.0
383,8960000.0
384,7731200.0
385,10188800.0
386,8038400.0
387,8396800.0
388,10137600.0
389,11212800.0
390,8396800.0
391,6656000.0
392,9164800.0
393,9216000.0
394,11571200.0
395,8448000.0
396,10342400.0
397,10240000.0
398,9216000.0
399,10854400.0
400,9932800.0
401,8857600.0
402,10240000.0
403,9881600.0
404,9420800.0
405,7628800.0
406,8550400.0
407,10035200.0
408,11264000.0
409,7731200.0
410,10598400.0
411,7884800.0
412,8755200.0
413,9062400.0
414,9472000.0
415,8652800.0
416,5683200.0
417,9676800.0
418,9267200.0
419,10137600.0
420,7782400.0
421,8601600.0
422,8345600.0
423,9420800.0
424,7731200.0
425,9984000.0
426,8192000.0
427,7782400.0
428,10137600.0
429,8396800.0
430,11366400.0
431,7680000.0
432,9369600.0
433,9062400.0
434,8755200.0
435,9113600.0
436,7833600.0
437,11827200.0
438,10598400.0
439,10291200.0
440,9267200.0
441,8806400.0
442,7936000.0
443,8704000.0
444,6963200.0
445,10137600.0
446,10444800.0
447,9164800.0
448,9369600.0
449,9779200.0
450,10393600.0
451,8345600.0
452,9779200.0
453,8704000.0
454,8550400.0
455,7680000.0
456,9625600.0
457,8755200.0
458,5478400.0
459,9881600.0
460,9676800.0
461,6809600.0
462,9676800.0
463,10649600.0
464,10905600.0
465,9574400.0
466,8243200.0
467,8140800.0
468,12390400.0
469,11366400.0
470,8499200.0
471,9984000.0
472,10649600.0
473,10854400.0
474,12851200.0
475,10188800.0
476,9011200.0
477,7321600.0
478,9932800.0
479,10137600.0
480,9113600.0
481,10956800.0
482,10137600.0
483,6502400.0
484,10444800.0
485,8038400.0
486,8960000.0
487,9728000.0
488,7219200.0
489,12032000.0
490,8243200.0
491,11008000.0
492,9267200.0
493,10547200.0
494,9830400.0
495,10444800.0
496,10240000.0
497,8960000.0
498,8448000.0
499,8908800.0
500,8499200.0
501,8704000.0
502,9164800.0
503,10035200.0
504,9779200.0
505,9472000.0
506,9830400.0
507,10291200.0
508,9011200.0
509,10240000.0
510,7577600.0
511,7680000.0
512,9472000.0
513,10496000.0
514,10086400.0
515,7219200.0
516,7833600.0
517,8908800.0
518,8755200.0
519,10700800.0
520,12697600.0
521,10547200.0
522,6860800.0
523,9932800.0
524,9676800.0
525,8499200.0
526,8601600.0
527,10854400.0
528,9523200.0
529,10598400.0
530,11724800.0
531,8550400.0
532,8908800.0
533,10188800.0
534,9728000.0
535,9984000.0
536,11264000.0
537,9011200.0
538,9932800.0
539,8550400.0
540,9420800.0
541,7833600.0
542,10137600.0
543,9523200.0
544,7884800.0
545,8140800.0
546,8704000.0
547,10137600.0
548,10240000.0
549,8550400.0
550,7833600.0
551,9779200.0
552,12288000.0
553,6912000.0
554,7987200.0
555,8601600.0
556,10700800.0
557,9113600.0
558,8499200.0
559,9984000.0
560,9062400.0
561,8294400.0
562,10137600.0
563,9779200.0
564,10854400.0
565,8396800.0
566,10188800.0
567,11417600.0
568,8652800.0
569,11315200.0
570,8499200.0
571,8294400.0
572,10291200.0
573,8089600.0
574,8089600.0
575,10291200.0
576,10393600.0
577,11110400.0
578,11212800.0
579,6144000.0
580,6963200.0
581,9318400.0
582,10086400.0
583,8908800.0
584,7219200.0
585,8192000.0
586,8499200.0
587,7833600.0
588,9216000.0
589,10547200.0
590,9113600.0
591,8448000.0
592,10905600.0
593,7577600.0
594,8652800.0
595,8089600.0
596,6912000.0
597,7680000.0
598,11468800.0
599,9523200.0
600,10547200.0
601,9830400.0
602,8550400.0
603,9113600.0
604,6963200.0
605,8243200.0
606,8755200.0
607,9011200.0
608,9369600.0
609,9011200.0
610,8550400.0
611,9779200.0
612,8038400.0
613,11929600.0
614,10700800.0
615,8345600.0
616,9062400.0
617,10547200.0
618,9779200.0
619,8806400.0
620,8960000.0
621,8550400.0
622,11161600.0
623,12185600.0
624,9369600.0
625,7936000.0
626,10137600.0
627,10700800.0
628,9369600.0
629,10649600.0
630,9420800.0
631,7936000.0
632,10496000.0
633,11468800.0
634,8704000.0
635,10240000.0
636,5580800.0
637,10956800.0
638,10137600.0
639,8806400.0
640,10086400.0
641,9984000.0
642,9830400.0
643,10752000.0
644,8755200.0
645,10598400.0
646,10393600.0
647,10547200.0
648,11161600.0
649,9164800.0
650,8448000.0
651,9011200.0
652,10240000.0
653,10240000.0
654,8806400.0
655,10291200.0
656,8652800.0
657,8601600.0
658,9216000.0
659,11417600.0
660,7424000.0
661,9011200.0
662,11161600.0
663,9830400.0
664,9318400.0
665,9318400.0
666,10291200.0
667,9011200.0
668,8806400.0
669,9164800.0
670,8396800.0
671,8806400.0
672,8243200.0
673,8806400.0
674,9523200.0
675,10086400.0
676,10137600.0
677,7475200.0
678,8908800.0
679,6809600.0
680,8243200.0
681,10240000.0
682,10649600.0
