Step,Value
1,188800.0
2,195200.0
3,190080.0
4,198400.0
5,200320.0
6,193600.0
7,202880.0
8,124800.0
9,194240.0
10,203200.0
11,193600.0
12,189440.0
13,195200.0
14,80000.0
15,194240.0
16,206720.0
17,195520.0
18,195520.0
19,196160.0
20,198400.0
21,78720.0
22,194240.0
23,200000.0
24,197760.0
25,198400.0
26,192640.0
27,79040.0
28,188800.0
29,193280.0
30,196480.0
31,192000.0
32,193920.0
33,193600.0
34,197760.0
35,187200.0
36,82560.0
37,196480.0
38,192640.0
39,187840.0
40,196800.0
41,197440.0
42,198080.0
43,79040.0
44,196160.0
45,193280.0
46,190080.0
47,191040.0
48,190080.0
49,205440.0
50,192000.0
51,195840.0
52,88000.0
53,1600.0
54,193280.0
55,202560.0
56,190080.0
57,191360.0
58,195840.0
59,195200.0
60,193920.0
61,200640.0
62,199680.0
63,80320.0
64,1920.0
65,1280.0
66,192320.0
67,197760.0
68,194880.0
69,188800.0
70,197440.0
71,195840.0
72,195840.0
73,202560.0
74,193600.0
75,192320.0
76,189440.0
77,190400.0
78,195840.0
79,201600.0
80,195200.0
81,79040.0
82,1920.0
83,194880.0
84,198720.0
85,200000.0
86,201920.0
87,198080.0
88,193600.0
89,194560.0
90,86400.0
91,1600.0
92,200960.0
93,206720.0
94,191360.0
95,202560.0
96,189760.0
97,192640.0
98,197760.0
99,193280.0
100,79360.0
101,191680.0
102,197440.0
103,190080.0
104,193920.0
105,122560.0
106,189120.0
107,190720.0
108,195520.0
109,191040.0
110,190720.0
111,195840.0
112,204800.0
113,194560.0
114,197120.0
115,196160.0
116,190720.0
117,193280.0
118,196800.0
119,191040.0
120,197440.0
121,190720.0
122,189760.0
123,190720.0
124,202240.0
125,190080.0
126,206720.0
127,196160.0
128,195840.0
129,193600.0
130,192000.0
131,195200.0
132,80320.0
133,195200.0
134,198080.0
135,191360.0
136,199680.0
137,193280.0
138,83840.0
139,194880.0
140,81280.0
141,192960.0
142,81920.0
143,196480.0
144,191040.0
145,186880.0
146,191040.0
147,191040.0
148,198400.0
149,194240.0
150,78720.0
151,0.0
152,190080.0
153,185600.0
154,185920.0
155,192320.0
156,190080.0
157,191040.0
158,192000.0
159,90880.0
160,189760.0
161,199040.0
162,200320.0
163,186560.0
164,80640.0
165,197120.0
166,195520.0
167,205440.0
168,206080.0
169,98880.0
170,0.0
171,192960.0
172,190080.0
173,199360.0
174,200640.0
175,192640.0
176,189760.0
177,193600.0
178,189120.0
179,187840.0
