Step,Value
1,-5.0
2,-5.0
3,-5.0
4,-5.0
5,4.0
6,4.0
7,4.0
8,-5.0
9,-5.0
10,-1.2592592239379883
11,-5.0
12,-5.0
13,-7.0
14,-5.0
15,-0.9436619877815247
16,-5.0
17,-5.0
18,-7.0
19,-7.0
20,-7.0
21,-5.0
22,5.302266597747803
23,-1.4117647409439087
24,-6.7959184646606445
25,4.0
26,4.0
27,-5.0
28,-5.0
29,11.382372856140137
30,-5.0
31,-5.0
32,-0.15789473056793213
33,-5.0
34,4.0
35,-5.0
36,-5.0
37,-5.0
38,4.0
39,4.0
40,2.107142925262451
41,4.0
42,10.427701950073242
43,-5.0
44,-5.0
45,-5.0
46,5.080036640167236
47,7.188378810882568
48,-5.0
49,4.0
50,4.0
51,4.0
52,-5.0
53,-5.0
54,-5.0
55,4.0
56,-5.0
57,-5.0
58,-5.0
59,-5.0
60,4.0
61,4.0
62,-5.0
63,-5.0
64,-5.0
65,-5.0
66,4.848005771636963
67,-5.0
68,-5.0
69,-5.0
70,4.0
71,-5.0
72,5.394779205322266
73,4.0
74,4.0
75,-5.0
76,-5.0
77,-5.0
78,4.0
79,6.868504524230957
80,4.819688320159912
81,-5.0
82,-5.0
83,-5.0
84,4.0
85,-5.0
86,-5.0
87,-5.0
88,-5.0
89,4.0
90,-5.0
91,-5.0
92,4.0
93,4.0
94,-5.0
95,2.215686321258545
96,-5.0
97,-5.0
98,-1.4444444179534912
99,-7.0
100,4.0
101,-5.0
102,-5.518518447875977
103,-7.0
104,-7.0
105,-5.0
106,-5.0
107,-5.0
108,-7.0
109,-5.0
110,-5.0
111,4.0
112,-5.0
113,4.0
114,12.90458869934082
115,4.0
116,-5.0
117,4.0
118,-1.029850721359253
119,-5.0
120,4.0
121,4.0
122,-5.0
123,4.0
124,4.0
125,-5.0
126,-5.0
127,-5.0
128,-5.0
129,10.171900749206543
130,4.0
131,-5.0
132,-5.0
133,-5.0
134,4.0
135,-5.0
136,1.545454502105713
137,-5.0
138,-5.0
139,-5.0
140,-5.0
141,-5.0
142,-5.0
143,-5.0
144,-1.0983606576919556
145,-4.704917907714844
146,-5.0
147,-5.0
148,-5.0
149,4.0
150,-5.0
151,-5.0
152,4.0
153,4.0
154,10.8567533493042
155,4.0
156,4.0
157,4.0
158,4.0
159,-5.0
160,-5.0
161,11.670002937316895
162,4.0
163,-5.0
164,-5.0
165,-7.0
