Step,Value
1,2033590.875
2,7930539.5
3,345966.46875
4,507085.375
5,1371581.0
6,2054951.25
7,562588.75
8,161951.921875
9,209353.953125
10,3810319.0
11,3039834.75
12,3643613.25
13,833395.9375
14,3130868.5
15,245543.5
16,255174.078125
17,1977673.0
18,1833306.0
19,2488324.0
20,4056317.5
21,3490022.0
22,1206413.25
23,1938932.0
24,5236799.5
25,2392339.0
26,3818040.75
27,357312.71875
28,3900038.25
29,855865.5
30,2983936.75
31,8885473.0
32,298771.15625
33,5356374.5
34,7653300.0
35,6138226.5
36,467845.84375
37,5762465.0
38,356370.53125
39,8022861.5
40,3718267.75
41,8968305.0
42,2070397.125
43,387429.53125
44,1418954.875
45,177021.03125
46,933913.0
47,3066393.75
48,5692942.5
49,4156803.5
50,9057458.0
51,4133746.5
52,8191366.0
53,4382466.0
54,1501444.875
55,6296073.0
56,336635.71875
57,2502892.5
58,4951539.5
59,8523351.0
60,752540.0
61,3961754.5
62,6645853.0
63,612403.8125
64,1776710.625
65,5249160.0
66,4380262.0
67,535893.125
68,753361.75
69,3835595.25
70,1684455.625
71,1186205.25
72,926536.8125
73,662181.875
74,1982269.25
75,6847898.0
76,5185069.0
77,225009.4375
78,563453.375
79,4168014.75
80,1795002.625
81,3356298.5
82,2331134.0
83,793741.4375
84,4861249.5
85,4539047.5
86,5959773.5
87,3957046.0
88,4794000.5
89,2439669.5
90,5500620.5
91,5141912.0
92,1199388.75
93,266969.375
94,716270.0
95,9309853.0
96,8945398.0
97,2174215.25
98,2335606.25
99,569617.5625
100,371410.84375
101,1700175.5
102,8071849.0
103,2234276.5
104,636801.125
105,1521051.5
106,278437.9375
107,2759092.25
108,117821.84375
109,4306866.5
110,4531308.5
111,1963293.75
112,5898486.0
113,5262245.0
114,1271445.75
115,1626162.625
116,3570986.0
117,4831011.0
118,3831107.25
119,9149817.0
120,373523.96875
121,1225776.5
122,1183054.125
123,1040816.75
124,3234984.5
125,689082.8125
126,3737724.75
127,4107383.25
128,1621869.5
129,1246221.75
130,4493520.5
131,4042591.25
132,1136048.875
133,4339353.5
134,412929.625
135,222037.859375
136,3029643.5
137,788096.25
138,1047878.6875
139,1983481.625
140,1493084.0
141,586073.125
142,3218573.25
143,415833.78125
144,6292356.5
145,1046742.8125
146,2862399.5
147,4661853.5
148,9426745.0
149,5820358.0
150,7597520.0
151,4834193.5
152,6594039.0
153,2435880.0
154,3914040.0
155,9139614.0
156,7409355.0
157,9164062.0
158,4546946.5
159,4802863.5
160,600334.6875
161,320957.59375
162,545774.0
163,476476.59375
164,412290.3125
165,5022325.0
166,743910.25
167,5915233.0
168,393781.46875
169,2992263.5
170,9367061.0
171,1672957.75
172,1195434.125
173,288332.75
174,7390905.5
175,355036.40625
176,137065.953125
177,5140471.5
178,5267896.0
179,3557072.25
180,3059987.75
181,2686340.0
182,7489435.5
