Step,Value
1,209392.40625
2,466743.3125
3,887213.375
4,3627024.25
5,500328.4375
6,6713860.0
7,9226428.0
8,4423648.0
9,1748028.75
10,1722490.25
11,993758.4375
12,4193488.0
13,1414545.0
14,3044469.25
15,9186252.0
16,4318447.5
17,343415.8125
18,597498.3125
19,2789647.0
20,1609902.25
21,1263509.25
22,3211462.0
23,227325.65625
24,3714455.25
25,6736370.5
26,5198446.0
27,2889418.25
28,5514018.0
29,3135970.75
30,202115.78125
31,735045.0625
32,7491730.5
33,4256873.0
34,589360.75
35,1380796.0
36,5741939.0
37,3890357.5
38,7593068.5
39,381978.59375
40,4233475.5
41,514124.71875
42,5105293.5
43,9068587.0
44,373712.59375
45,4182180.25
46,8591190.0
47,6725344.5
48,2848902.75
49,3303840.75
50,453136.53125
51,3408978.0
52,962934.25
53,5142336.5
54,7511938.0
55,1622184.375
56,9117191.0
57,2850144.25
58,4242359.0
59,1070925.125
60,6276085.0
61,4572615.5
62,2006803.5
63,1145765.125
64,7794407.5
65,535133.0
66,608302.3125
67,360298.03125
68,210516.6875
69,5036199.5
70,6564283.5
71,8114612.5
72,8622890.0
73,8694841.0
74,4051216.0
75,1050376.25
76,4618507.5
77,3394336.5
78,8666363.0
79,5437110.0
80,3035509.25
81,806582.375
82,6333035.0
83,1292888.125
84,3283129.0
85,3193855.25
86,3104771.0
87,2296269.75
88,4606189.0
89,591033.1875
90,4238161.5
91,156456.984375
92,8328519.0
93,4798229.5
94,9038064.0
95,479492.6875
96,363889.59375
97,487577.25
98,4844251.0
99,3785207.75
100,7331677.5
101,4922058.5
102,1212055.125
103,4017850.75
104,4595892.5
105,335712.03125
106,9467025.0
107,6072222.5
108,6258486.0
109,933427.3125
110,2535551.5
111,6924529.5
112,2203406.0
113,909882.0625
114,2740934.0
115,1927484.625
116,3514719.5
117,4475228.0
118,4445686.5
119,151764.9375
120,5067092.0
121,2160558.0
122,6842862.0
123,8622564.0
124,3561095.25
125,9103910.0
126,5662418.5
127,5332702.0
128,243621.25
129,3456909.25
130,5349218.0
131,5160830.0
132,8149091.5
133,575482.5
134,9357729.0
135,9567029.0
136,3092692.0
137,225645.421875
138,8771480.0
139,6222992.5
140,8141743.5
141,9213693.0
142,3966027.5
143,9278276.0
144,186444.875
145,8391154.0
146,2217753.0
147,159888.46875
148,330028.5
149,3419265.25
150,1507564.375
151,5078841.0
152,1085072.625
153,3754307.75
154,1837507.875
155,305757.5
156,243231.1875
157,648420.75
158,4802019.5
159,4503333.0
160,203956.84375
161,6545200.0
162,6780690.5
163,3113720.5
164,5348676.5
165,4518084.5
166,2078844.625
167,2512836.5
168,273064.34375
169,440845.5
170,342232.46875
171,4664519.0
172,6769715.0
173,3349121.5
174,1943000.25
175,4216505.5
176,4469959.5
177,4187038.5
178,4142075.25
179,4049169.75
180,210893.6875
181,3644915.25
182,329327.03125
183,4759051.0
184,1896856.0
185,3795354.0
186,7910694.5
187,3588485.0
188,2693694.5
189,5662046.0
190,2136219.5
191,3172620.5
192,2065357.375
193,4688079.0
194,459437.78125
195,1250823.75
196,1523702.75
197,3805525.25
198,2959143.75
199,1524180.375
200,3163401.5
201,5992643.0
202,2646615.5
203,5198475.0
204,723918.8125
205,789220.6875
206,1458591.875
207,5768153.5
208,2658490.25
209,1764427.25
210,2928882.5
211,5393693.0
212,183539.578125
213,2576323.25
214,4925714.5
215,174705.984375
216,9308413.0
217,1712858.5
218,1059949.75
219,511146.59375
220,9320471.0
221,300254.125
222,4970433.0
223,4071682.0
224,5245261.0
225,1566621.375
226,4456645.5
227,8171332.5
228,5759090.0
229,2105323.75
230,4036574.25
231,5122993.5
232,1452182.5
233,5107618.0
234,1419154.25
235,660931.4375
236,3298176.0
237,1639896.5
238,4003753.75
239,9262162.0
240,4625590.5
241,1902693.75
242,6891671.5
243,561546.8125
244,1641948.125
245,627332.625
246,2313923.0
247,866416.375
248,1373442.125
249,1083923.625
250,7901472.0
251,8054760.5
252,2083615.125
253,1561294.0
254,8433449.0
255,2936623.5
256,2334469.5
257,3086210.25
258,1814429.75
259,9640523.0
260,8019166.0
261,1571569.0
262,2972518.0
263,4395064.5
264,185501.390625
265,4111092.75
266,2605081.75
267,2118890.0
268,4068572.0
269,9128098.0
270,2421637.75
271,4591056.0
272,2657587.75
273,231067.703125
274,178533.265625
275,2042438.0
276,9258550.0
277,2472695.0
278,3948726.75
279,3872400.0
280,7768647.5
281,1470855.75
282,2508956.5
283,699699.0625
284,1421614.0
285,297736.6875
286,5271631.5
287,4919668.5
288,7104451.5
289,431725.78125
290,8165292.0
291,4394933.5
292,5326673.0
293,2902052.0
294,4572133.5
295,1153961.875
296,4106573.75
297,734966.6875
298,910445.25
299,4248893.5
300,1669728.5
301,400236.84375
302,9579179.0
303,4195737.0
304,240888.59375
305,1998912.5
306,4526678.5
307,462139.46875
308,7765078.5
309,731418.4375
310,128466.71875
311,4671598.0
312,7380871.0
