Step,Value
1,7757016.5
2,1601214.125
3,8766451.0
4,5863901.5
5,8126822.5
6,1230988.625
7,210967.921875
8,5412377.5
9,8041182.0
10,4463916.5
11,5965131.5
12,2160330.0
13,7749893.5
14,3825363.75
15,567910.625
16,5423189.0
17,7677654.0
18,7567262.0
19,4722185.5
20,4330712.0
21,5242969.0
22,5578914.5
23,7832344.0
24,1047511.875
25,870431.4375
26,983227.1875
27,6751372.0
28,585911.75
29,6004488.0
30,6811293.0
31,379470.8125
32,2208147.5
33,386401.21875
34,1755509.375
35,2477794.5
36,3787067.0
37,346979.84375
38,2048683.125
39,1592866.0
40,2048810.375
41,517367.53125
42,2823611.5
43,543913.1875
44,8206240.0
45,5638082.5
46,474751.1875
47,208185.625
48,1458453.0
49,2536391.0
50,489254.71875
51,2455473.25
52,845719.9375
53,474874.0
54,985686.3125
55,2081583.25
56,546122.875
57,4643231.0
58,804787.5
59,405414.46875
60,2968825.0
61,1464885.875
62,1347683.5
63,8240388.0
64,428677.3125
65,4213191.0
66,5009408.0
67,9103157.0
68,9036397.0
69,1126927.625
70,1749027.875
71,699139.4375
72,450475.8125
73,642609.25
74,3967180.5
75,2101705.25
76,196343.75
77,6378363.5
78,769718.3125
79,394559.75
80,5166183.5
81,5835370.5
82,1334595.375
83,7912671.0
84,1853325.875
85,2266741.75
86,934344.1875
87,3747448.5
88,599671.8125
89,6967550.5
90,261052.671875
91,4699302.0
92,472072.09375
93,4931437.5
94,245646.71875
95,210566.359375
96,690760.6875
97,7337063.0
98,2821236.5
99,5642404.0
100,2294184.5
101,3377946.0
102,715974.625
103,3744586.75
104,4763749.0
105,8142397.0
106,254525.546875
107,1168064.375
108,3620770.25
109,4755332.5
110,2930911.75
111,1111934.125
112,1898808.75
113,3826249.5
114,5985548.0
115,6443510.0
116,2912812.25
117,692989.25
118,1722206.0
119,698136.3125
120,4556426.0
121,6611273.5
122,1973651.5
123,336489.15625
124,3200616.75
125,206988.734375
126,599408.0
127,559489.625
128,8133811.0
129,5252560.5
130,132191.4375
131,792022.75
132,843754.0625
133,4591925.5
134,218421.984375
135,206557.46875
136,3740407.0
137,9102650.0
138,181470.234375
139,1753833.25
140,363174.375
141,198945.71875
142,2660644.25
143,293306.6875
144,3544490.0
145,582205.75
146,5102079.0
147,5291955.5
148,237867.875
149,752495.25
150,903993.0
151,92945.4375
152,2852665.0
153,3821564.0
154,4712019.5
155,567669.9375
156,2271382.25
157,180919.171875
158,638889.3125
159,692560.125
160,9286487.0
161,3075343.75
162,1954761.5
163,7302854.5
164,4295378.5
165,266957.46875
166,7347485.0
167,1712590.0
168,9387410.0
169,6550605.5
170,271550.8125
171,3755877.25
172,2001989.5
173,6490822.5
174,566862.4375
175,5378591.5
176,5462891.0
177,341168.6875
178,601056.625
179,2330814.25
180,6936118.5
181,3713603.25
182,2299200.5
183,895971.375
184,1888210.625
185,543567.375
186,1696670.625
187,5235784.0
188,7203783.0
