Step,Value
1,5203284.0
2,5203284.0
3,5312078.5
4,162321.640625
5,42460.8203125
6,94213.671875
7,4328822.0
8,189356.375
9,8162.50732421875
10,8195.544921875
11,4040643.5
12,4634585.0
13,4867753.0
14,194648.953125
15,4526479.0
16,155194.21875
17,4860.40185546875
18,3990687.0
19,4442447.5
20,4937747.0
21,5041364.0
22,5042708.0
23,213876.109375
24,4697492.5
25,5041503.5
26,5104134.5
27,5122450.0
28,183992.703125
29,4499664.5
30,190586.46875
31,4523287.0
32,5043094.5
33,165424.96875
34,4073559.5
35,4791940.5
36,5165190.0
37,176529.703125
38,4400669.5
39,151440.46875
40,4358688.5
41,4986985.5
42,5012422.0
43,5046193.0
44,174950.296875
45,98644.4296875
46,13046.71484375
47,64097.61328125
48,4123931.75
49,4641681.0
50,4937420.0
51,4958977.0
52,4953005.0
53,5086968.0
54,5087782.5
55,5106003.0
56,5107325.0
57,173484.71875
58,4079525.75
59,4680998.5
60,4589199.5
61,170691.25
62,3461920.5
63,4576733.5
64,170099.0625
65,3892788.75
66,4521979.0
67,4584919.5
68,167878.546875
69,47518.20703125
70,3889071.75
71,4697638.5
72,384761.34375
73,52631.71875
74,45760.32421875
75,4190448.0
76,4632437.5
77,4595142.5
78,152721.859375
79,39956.1875
80,4215857.0
81,4511394.0
82,4455022.5
83,4744595.0
84,212955.03125
85,4275601.0
86,4722402.0
87,4649094.5
88,4882836.0
89,4693691.5
90,4934667.5
91,5035676.5
92,4957476.0
93,289916.3125
94,3905.1337890625
95,46930.3203125
96,4260305.5
97,4824015.0
98,4895899.0
99,4911803.0
100,193828.296875
101,49485.30078125
102,3900486.75
103,4603371.0
104,4459979.0
105,180856.140625
106,102343.8359375
107,3788.139892578125
108,3511372.5
109,142403.28125
110,3750433.75
111,4429527.5
112,4383058.0
113,4449444.0
114,4518917.0
115,689042.6875
116,90710.7734375
117,3463173.75
118,4352684.0
119,4494889.0
120,4704147.0
121,203429.4375
122,117739.9375
123,98083.8515625
124,65877.4296875
125,3547820.75
126,162017.40625
127,3632199.0
128,4144319.0
129,4144294.75
130,204867.671875
131,4028456.0
132,4536111.5
133,705468.625
134,4033369.0
135,142149.203125
136,6196.51171875
137,3627911.5
138,151709.859375
139,22549.49609375
140,3640841.75
141,4227670.0
142,144420.09375
143,3905885.75
144,140042.5625
145,3881949.75
146,286663.09375
147,3846097.25
148,4227373.0
149,4462851.0
150,4438100.5
151,4464643.5
152,4678158.5
153,4670392.0
