Step,Value
1,7884800.0
2,7884800.0
3,2252800.0
4,0.0
5,10137600.0
6,11724800.0
7,8550400.0
8,7424000.0
9,9472000.0
10,9267200.0
11,11110400.0
12,11212800.0
13,11417600.0
14,8652800.0
15,9984000.0
16,9113600.0
17,8192000.0
18,7116800.0
19,819200.0
20,9062400.0
21,8806400.0
22,8601600.0
23,9830400.0
24,9062400.0
25,10035200.0
26,8652800.0
27,8806400.0
28,10496000.0
29,11315200.0
30,7680000.0
31,7065600.0
32,1075200.0
33,9728000.0
34,7833600.0
35,11417600.0
36,8601600.0
37,7884800.0
38,9728000.0
39,9779200.0
40,8550400.0
41,8908800.0
42,8345600.0
43,7936000.0
44,9932800.0
45,7014400.0
46,9830400.0
47,10803200.0
48,7219200.0
49,9267200.0
50,9420800.0
51,7116800.0
52,10342400.0
53,8601600.0
54,10547200.0
55,8908800.0
56,7577600.0
57,7987200.0
58,12390400.0
59,11571200.0
60,10905600.0
61,10905600.0
62,10444800.0
63,9011200.0
64,8755200.0
65,11417600.0
66,9676800.0
67,1945600.0
68,0.0
69,0.0
70,10905600.0
71,7680000.0
72,7270400.0
73,9523200.0
74,7680000.0
75,9779200.0
76,10188800.0
77,12032000.0
78,9676800.0
79,8652800.0
80,7372800.0
81,10598400.0
82,9932800.0
83,8806400.0
84,9676800.0
85,9472000.0
86,9574400.0
87,10137600.0
88,9779200.0
89,9011200.0
90,10444800.0
91,9164800.0
92,7321600.0
93,7680000.0
94,8140800.0
95,9011200.0
96,8704000.0
97,11827200.0
98,5376000.0
99,9164800.0
100,10496000.0
101,7731200.0
102,7884800.0
103,9779200.0
104,8243200.0
105,8243200.0
106,7987200.0
107,7526400.0
108,10803200.0
109,11315200.0
110,9113600.0
111,9267200.0
112,8243200.0
113,10752000.0
114,8755200.0
115,9984000.0
116,9625600.0
117,10137600.0
118,7065600.0
119,7424000.0
120,7628800.0
121,9523200.0
122,9318400.0
123,9625600.0
124,11776000.0
125,10496000.0
126,12134400.0
127,10700800.0
128,9472000.0
129,7782400.0
130,7219200.0
131,8243200.0
132,8499200.0
133,10137600.0
134,9318400.0
135,10700800.0
136,8857600.0
137,11264000.0
138,8857600.0
139,8652800.0
140,11366400.0
141,8396800.0
142,7372800.0
143,9881600.0
144,8396800.0
145,6963200.0
146,9113600.0
147,8192000.0
148,8448000.0
149,102400.0
150,8704000.0
151,5939200.0
152,10035200.0
153,10752000.0
154,11417600.0
155,9113600.0
156,7372800.0
157,1484800.0
158,0.0
159,9062400.0
160,9164800.0
161,6502400.0
162,9420800.0
163,7372800.0
164,8038400.0
165,8499200.0
166,11673600.0
167,9881600.0
168,10547200.0
169,8192000.0
170,1126400.0
171,0.0
172,8550400.0
173,7680000.0
174,6502400.0
175,6912000.0
176,7987200.0
177,9830400.0
178,10496000.0
179,6707200.0
180,9216000.0
181,8192000.0
182,9420800.0
183,7168000.0
184,8448000.0
185,6707200.0
186,9164800.0
187,9420800.0
188,8908800.0
189,9318400.0
190,8089600.0
191,10905600.0
192,9984000.0
193,9062400.0
194,8499200.0
195,10700800.0
196,7731200.0
197,8550400.0
198,7424000.0
199,9830400.0
200,8192000.0
201,9625600.0
202,11264000.0
203,10291200.0
204,8192000.0
205,8857600.0
206,9216000.0
207,8089600.0
208,9932800.0
209,10086400.0
210,8857600.0
211,7526400.0
212,8499200.0
213,7219200.0
214,9728000.0
215,11008000.0
216,6758400.0
217,9523200.0
218,9523200.0
219,5683200.0
220,10752000.0
221,10086400.0
222,11161600.0
223,8396800.0
224,8601600.0
225,10547200.0
226,7884800.0
