Step,Value
1,0.021276595070958138
2,0.0
3,0.0
4,0.9636363387107849
5,0.4354838728904724
6,1.0
7,1.0
8,1.0
9,0.9848484992980957
10,1.0
11,0.8970588445663452
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,0.11290322244167328
18,0.0
19,0.9857142567634583
20,1.0178571939468384
21,0.96875
22,1.0
23,0.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,0.0
31,0.0
32,0.9838709831237793
33,1.0
34,0.5492957830429077
35,0.9615384340286255
36,1.0
37,1.0
38,1.0
39,0.20000000298023224
40,0.9866666793823242
41,0.35593220591545105
42,1.0
43,1.0
44,0.27419355511665344
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,0.296875
51,1.0
52,0.9117646813392639
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,0.9215686321258545
60,1.0
61,1.0
62,0.9838709831237793
63,0.9607843160629272
64,1.0138888359069824
65,0.3442623019218445
66,0.49253731966018677
67,0.39344263076782227
68,0.06557376682758331
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,0.9180327653884888
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,0.8035714030265808
82,1.0
83,0.9855072498321533
84,1.0
85,0.9833333492279053
86,1.014285683631897
87,1.0
88,1.0
89,0.5538461804389954
90,1.0
91,0.0
92,0.9830508232116699
93,1.0
94,1.0
95,0.3492063581943512
96,0.2830188572406769
97,0.3888888955116272
98,1.0
99,1.0
100,1.0
101,1.0
102,0.9836065769195557
103,1.0
104,1.0
105,0.08771929889917374
106,1.0
107,1.0
108,1.0
109,0.9166666865348816
110,1.0
111,1.0
112,1.0
113,0.9074074029922485
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,0.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,0.013513513840734959
129,1.0
130,1.0
131,1.0
132,1.0
133,0.9122806787490845
134,1.0
135,1.0
136,1.0
137,0.015625
138,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,0.0
145,1.0
146,1.0
147,0.0
148,0.0
149,0.9852941036224365
150,0.9743589758872986
151,1.0
152,1.0
153,1.0
154,1.0
155,0.021276595070958138
156,0.0
157,0.0
158,1.0
159,1.0
160,0.032786883413791656
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,0.9863013625144958
168,0.12121212482452393
169,0.0
170,0.0
171,1.0
172,1.0
173,1.0
174,0.9538461565971375
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,0.032786883413791656
181,1.0
182,0.09090909361839294
183,1.0
184,1.0
185,1.0
186,1.0
187,1.0
188,0.9824561476707458
189,1.0
190,1.0
191,1.0
192,1.0
193,1.0
194,0.30882352590560913
195,0.9830508232116699
196,1.0
197,1.0
198,1.0
199,1.0
200,1.0
201,1.0
202,1.0
203,1.0
204,0.4333333373069763
205,0.7272727489471436
206,0.9722222089767456
207,1.0
208,1.0
209,0.5272727012634277
210,1.0
211,1.0
212,0.0
213,1.0
214,1.0
215,0.0
216,1.0
217,0.9428571462631226
218,0.9672130942344666
219,0.25
220,1.0
221,0.296875
222,1.0
223,1.0
224,1.0
225,1.0
226,1.0
227,1.0
228,1.0
229,1.0
230,1.0
231,1.0
232,1.0
233,1.0
234,0.8727272748947144
235,0.5272727012634277
236,1.0
237,1.0
238,1.0
239,1.0
240,1.0
241,1.0
242,1.0
243,0.577464759349823
244,1.0
245,0.7543859481811523
246,1.0
247,0.5666666626930237
248,1.0
249,0.8474576473236084
250,0.9871794581413269
251,1.017241358757019
252,1.0
253,1.0
254,1.0
255,1.0
256,1.0
257,1.0
258,1.0
259,1.0
260,1.0
261,1.0
262,1.0
263,1.0
264,0.0
265,1.0
266,1.0
267,1.0
268,1.0
269,1.0
270,1.0
271,1.0
272,1.0
273,0.046875
274,0.0
275,0.0
276,1.0
277,1.0
278,0.9863013625144958
279,1.0185185670852661
280,1.0
281,1.0
282,1.0
283,0.4677419364452362
284,1.0
285,0.0694444477558136
286,0.9868420958518982
287,1.0
288,1.0
289,0.34375
290,1.0
291,1.0
292,1.0
293,1.0
294,1.0
295,0.9516128897666931
296,1.0
297,0.6774193644523621
298,0.6666666865348816
299,1.0
300,0.970588207244873
301,0.013888888992369175
302,1.0
303,1.0
304,0.0
305,0.0
306,1.0
307,0.15714286267757416
308,0.9821428656578064
309,0.5072463750839233
310,0.0
311,1.0
312,1.0
313,0.9821428656578064
314,0.984375
315,1.0
316,0.0
317,0.0
318,1.0
319,1.0
320,1.0
321,0.6769230961799622
322,0.508474588394165
323,0.3921568691730499
324,1.0
325,0.0
326,1.0
327,1.0
328,1.0
329,0.984375
330,1.0
331,1.0
332,1.0
333,1.0
334,1.0
335,0.0
336,0.0
337,1.0
338,1.0
339,1.0
340,1.0
341,1.0
342,0.9861111044883728
343,1.0
344,1.0
345,1.0
346,1.0
347,1.0
348,1.0
349,1.0
350,1.0
351,1.0
352,1.0
353,1.0
354,0.6935483813285828
355,1.0
356,1.0
357,0.8571428656578064
358,1.0
359,1.0
360,1.0
361,1.0
362,1.0
363,1.0
364,0.4237288236618042
365,1.0
366,1.0
367,1.0
368,1.0
369,0.10169491171836853
370,1.0
371,1.0
372,1.0
373,1.0
374,1.0
375,0.8979591727256775
376,1.0
377,0.6805555820465088
378,1.0
379,0.0
380,1.0
381,0.47457626461982727
382,1.0
383,1.0
384,0.8852459192276001
385,0.1111111119389534
386,0.0
387,1.0
388,0.25
389,0.4423076808452606
390,1.0
391,1.0
392,1.0
393,1.0
394,0.015384615398943424
395,0.0
396,0.0
397,0.0
398,0.0
399,1.0
400,1.0
401,1.0
402,0.4909090995788574
403,0.9420289993286133
404,0.34328359365463257
405,0.8545454740524292
406,1.0
407,1.0
408,0.25
409,1.0
410,1.0
411,0.3392857015132904
412,0.8771929740905762
413,0.5507246255874634
414,0.0
415,0.982758641242981
416,0.0
417,1.0
418,1.0
419,0.9807692170143127
420,1.0
421,1.0
422,1.0
423,1.0
424,1.0
425,0.0
426,1.0
427,0.9824561476707458
428,1.0188679695129395
429,0.0
430,0.0
431,0.9866666793823242
432,0.6129032373428345
433,0.7464788556098938
434,1.0
435,0.517241358757019
436,1.0
437,1.0
438,1.0
439,1.0
440,1.0
441,0.3380281627178192
442,0.8805969953536987
443,1.0
444,0.9846153855323792
445,1.0144927501678467
446,1.0
447,1.0
448,1.0
449,1.0
450,1.0
451,1.0
452,1.0
453,1.0
454,0.11428571492433548
455,0.0
456,1.0
457,0.5555555820465088
458,1.0
459,0.6521739363670349
460,1.0
461,0.53125
462,1.0
463,0.9852941036224365
464,1.0
465,0.9636363387107849
466,0.8840579986572266
467,1.0
468,0.043478261679410934
469,1.0
470,1.0
471,1.0
472,0.982758641242981
473,1.0
474,1.0
475,1.0
476,0.02985074557363987
477,1.0
478,1.0
479,1.0
480,0.9824561476707458
481,1.0
482,1.0
483,1.0
484,0.0
485,0.0
486,0.9818181991577148
487,1.0
488,1.0
489,1.0
490,0.0
491,0.0
492,0.0
493,1.0
494,0.7230769395828247
495,1.0
496,1.0
497,1.0
498,0.0
499,0.0
500,0.0
501,1.0
502,1.0
503,0.0
504,1.0
505,1.0
506,1.0
507,0.012987012974917889
508,1.0
509,1.0
510,0.0
511,0.9863013625144958
512,1.0
513,0.014285714365541935
514,0.0
515,1.0
516,1.0
517,0.02083333395421505
518,0.9848484992980957
519,1.0
520,1.0
521,1.0
522,1.0
523,1.0
524,1.0
525,0.02777777798473835
526,1.0
527,1.0
528,1.0
529,1.0
530,1.0
531,0.1587301641702652
532,0.0
533,0.0
534,0.0
535,0.9807692170143127
536,1.0
537,1.0
538,0.0476190485060215
539,0.0
540,0.0
541,1.0
542,0.8833333253860474
543,1.0
544,1.0
545,1.0
546,1.0
547,1.0
548,0.98591548204422
549,1.0136985778808594
550,0.9803921580314636
551,0.0
552,0.0
553,0.9777777791023254
554,1.0
555,1.0
556,1.0
557,0.36734694242477417
558,1.0
559,0.6296296119689941
560,1.0
561,1.0
562,0.8428571224212646
563,1.0
564,0.9629629850387573
565,0.4385964870452881
566,1.0
567,1.0
568,1.0
569,1.0
570,0.9420289993286133
571,1.0
572,0.984375
573,0.0
574,0.0
575,1.0
576,1.0
577,1.0
578,1.0
579,0.0
580,1.0
581,1.0
582,1.0
583,1.0
584,1.0
585,1.0
586,1.0
587,1.0
588,1.0
589,1.0
590,1.0
591,0.9375
592,1.0
593,1.0
594,1.0
595,0.8392857313156128
596,1.0
597,1.0
598,1.0
599,0.97826087474823
600,1.0
601,1.0
602,0.9871794581413269
603,0.699999988079071
604,1.0
605,1.0
606,1.0
607,1.0
608,1.0
609,0.0
610,1.0
611,1.0
612,0.5
613,1.0
614,1.0
615,0.0
616,1.0
617,0.6111111044883728
618,1.0
619,0.9855072498321533
620,1.015625
621,1.0
622,1.0
623,1.0
624,0.5584415793418884
625,1.0
626,1.0
627,0.3333333432674408
628,0.36764705181121826
629,0.7333333492279053
630,1.0
631,0.0
632,1.0
633,1.0
634,0.0
635,0.0
636,1.0
637,0.9629629850387573
638,1.0
639,0.8771929740905762
640,1.0
641,1.0
642,0.41791045665740967
643,1.0
644,1.0
645,1.0
646,0.0
647,0.0
648,1.0
649,1.0
650,0.9833333492279053
651,1.0
652,0.06060606241226196
653,0.0
654,0.0
655,1.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.987500011920929
661,0.931034505367279
662,1.0
663,1.0
664,0.328125
665,0.7761194109916687
666,0.2222222238779068
667,0.5
668,1.0
669,1.0
670,0.7894737124443054
671,1.0
672,1.0
673,1.0
674,1.0
675,0.9677419066429138
676,1.0
677,0.7049180269241333
678,1.0
679,0.31578946113586426
680,1.0
681,1.0
682,1.0
683,1.0
684,0.2931034564971924
685,1.0
686,1.0
687,1.0
688,0.0
689,0.0
690,0.0
691,0.0
692,1.0
693,0.8970588445663452
694,1.0
695,0.09433962404727936
696,1.0
697,1.0
698,0.3442623019218445
699,1.0
700,0.9411764740943909
701,1.014285683631897
702,0.0
703,0.9836065769195557
704,1.0
705,0.0
706,0.0
707,1.0
708,1.0
709,0.04651162773370743
710,1.0
711,0.0
712,1.0
713,0.8148148059844971
714,1.0135135650634766
715,0.36666667461395264
716,1.0
717,1.0
718,1.0
719,0.7733333110809326
720,0.0
721,0.0
722,1.0
723,0.4067796468734741
724,1.0
725,1.0
726,0.46875
727,1.0
728,1.0
729,1.0
730,1.0
731,1.0
732,1.0
733,0.6103895902633667
734,1.0
735,1.0
736,1.0
737,0.1428571492433548
738,0.0
739,0.0
740,1.0
741,0.390625
742,1.0
743,1.0
744,1.0
745,0.7540983557701111
746,1.0
747,1.0
748,1.0
749,0.0
750,0.0
751,0.9866666793823242
752,1.0
753,0.0
754,0.0
755,0.0
756,0.9777777791023254
757,0.0
758,0.0
759,0.0
760,1.0
761,0.47058823704719543
762,1.0
763,1.0
764,1.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,1.0
771,1.0
772,1.0
773,1.0
774,1.0
775,0.9830508232116699
776,1.0204081535339355
777,0.9814814925193787
778,0.7361111044883728
779,1.0
780,1.0
781,0.5820895433425903
782,0.9607843160629272
783,0.016949152573943138
784,1.0
785,0.5932203531265259
786,1.0
787,1.0
788,1.0
789,0.9852941036224365
790,0.0
791,1.0
792,0.9622641801834106
793,1.0
794,0.0784313753247261
795,0.9841269850730896
796,0.0
797,1.0
798,1.0
799,0.75
800,0.4761904776096344
801,0.949999988079071
802,1.0
803,1.0
804,1.0
805,1.0
806,1.0
807,0.1269841343164444
808,0.9836065769195557
809,1.0
810,1.0
811,0.2777777910232544
812,1.0
813,1.0
814,1.0
815,0.8181818127632141
816,1.0
817,0.3333333432674408
818,1.0
819,0.0
820,1.0
821,0.014492753893136978
822,0.0
823,0.0
824,0.0
825,1.0
826,0.9696969985961914
827,1.0
828,0.0
829,0.0
830,0.0
831,0.0
832,1.0
833,1.0
834,0.97826087474823
835,0.568965494632721
836,1.0
837,1.0
838,1.0
839,0.875
840,1.0
841,1.0
842,1.0
843,1.0
844,1.0
845,1.0
846,1.0
847,0.9655172228813171
848,1.0
849,1.0
850,0.7454545497894287
851,0.4776119291782379
852,1.0
853,1.0
854,0.9841269850730896
855,1.0
856,0.03076923079788685
857,1.0
858,1.0
859,1.0
860,0.8548387289047241
861,1.0
862,0.982758641242981
863,1.0
864,1.0
865,0.0
866,0.0
867,1.0
868,1.0
869,1.0
870,1.0
871,1.0
872,0.9821428656578064
873,1.0
874,0.43283581733703613
875,1.0
876,1.0
877,0.0
878,0.0
879,0.0
880,0.9841269850730896
881,0.4385964870452881
882,1.0
883,1.0
884,1.0
885,0.0
886,1.0
887,0.446153849363327
888,0.0
889,0.0
890,0.0
891,0.9861111044883728
892,1.0
893,1.0
894,0.8888888955116272
895,0.9841269850730896
896,0.5211267471313477
897,1.0
898,1.0
899,1.0
900,1.0
901,1.0
902,1.0
903,1.0
904,1.0
905,1.0
906,1.0
907,1.0
908,0.9800000190734863
909,1.0161290168762207
910,0.4363636374473572
911,1.0
912,0.0
913,0.9841269850730896
914,0.7567567825317383
915,1.0
916,1.0
917,0.0
918,1.0
919,0.9701492786407471
920,1.0
921,0.9538461565971375
922,0.9090909361839294
923,1.0
924,0.9824561476707458
925,0.2884615361690521
926,1.0
927,1.0
928,1.0
929,0.0
930,0.0
931,0.9846153855323792
932,0.5789473652839661
933,1.0
934,1.0
935,1.0
936,0.6140350699424744
937,0.8524590134620667
938,0.9821428656578064
939,0.0
940,1.0
941,1.0
942,1.0
943,1.0
944,0.2586206793785095
945,1.0
946,0.9629629850387573
947,1.014285683631897
948,1.0
949,0.0
950,1.0
951,1.0
952,0.7735849022865295
953,1.0
954,0.5
955,0.0
956,1.0
957,1.0
958,0.0
959,1.0
960,1.0
961,0.0
962,0.0
963,0.0
964,1.0
965,0.0
966,0.0
967,1.0
968,1.0
969,1.0
970,1.0
971,1.0
972,1.0
973,0.41818180680274963
974,0.9830508232116699
975,0.5614035129547119
976,0.0
977,0.0
978,0.0
979,0.0
980,1.0
981,1.0
982,0.0
983,0.9655172228813171
984,0.09433962404727936
985,1.0
986,0.5423728823661804
987,1.0
988,0.5131579041481018
989,1.0
990,1.0
991,1.0
992,1.0
993,0.0
994,0.0
995,1.0
996,1.0
997,1.0
998,0.8965517282485962
999,1.0
1000,1.0
1001,0.9868420958518982
1002,0.0
1003,1.0
1004,1.0
1005,1.0
1006,0.0
1007,1.0
1008,1.0
1009,0.9130434989929199
1010,1.0
1011,0.8360655903816223
