Step,Value
1,1187.9637451171875
2,9352.994140625
3,40042.453125
4,2771700.25
5,8653.564453125
6,9491437.0
7,9990913.0
8,3990817.75
9,250629.6875
10,620961.0625
11,120360.3203125
12,5510074.5
13,115630.0390625
14,2577239.25
15,9987230.0
16,3926835.75
17,4604.2744140625
18,19249.908203125
19,2123775.5
20,514365.0625
21,225065.09375
22,1899649.0
23,1469.7705078125
24,3329272.5
25,9309549.0
26,7316845.0
27,1171283.625
28,7574563.0
29,1521805.5
30,1507.3135986328125
31,24856.849609375
32,9505500.0
33,3779801.75
34,19865.455078125
35,257326.828125
36,7425081.0
37,3071746.5
38,9531766.0
39,6087.673828125
40,5661149.5
41,10078.12109375
42,7455982.0
43,9986724.0
44,4925.7177734375
45,3517297.0
46,9956446.0
47,8861760.0
48,1763206.125
49,3243783.75
50,6999.78662109375
51,3325154.25
52,62830.48046875
53,5993420.5
54,9750400.0
55,383546.5
56,9986892.0
57,2216775.5
58,4426418.5
59,73471.921875
60,8430384.0
61,6281221.0
62,639604.5625
63,75247.171875
64,9761927.0
65,28414.2109375
66,39353.1953125
67,3544.098388671875
68,1078.045654296875
69,7200305.0
70,9286290.0
71,9902743.0
72,9952866.0
73,9964581.0
74,4782499.0
75,107539.125
76,4626330.0
77,1771863.875
78,9961646.0
79,6643535.5
80,2021428.0
81,59100.25390625
82,9151516.0
83,145113.171875
84,2825382.25
85,3069429.0
86,1923286.875
87,1234371.75
88,5494084.0
89,18644.40625
90,3786469.0
91,1235.2584228515625
92,9917222.0
93,4944653.0
94,9979813.0
95,8857.5361328125
96,4766.640625
97,12073.4228515625
98,9443228.0
99,4527441.5
100,9995283.0
101,162422.765625
102,979150.5625
103,833518.75
104,6199710.0
105,826924.125
106,3810933.75
107,6597560.5
108,2101708.75
109,9702954.0
110,9993984.0
111,9848254.0
112,9965480.0
113,2529.249755859375
114,2793.298583984375
115,216107.203125
116,3371749.5
117,5184.06103515625
118,4163947.75
119,9294159.0
120,1100676.5
121,3868.32177734375
122,4816113.0
123,90810.0625
124,1241566.375
125,2822.836669921875
126,3780160.5
127,9436077.0
128,5904895.5
129,123364.859375
130,49135.4609375
131,1268314.625
132,6918718.0
