Step,Value
1,9650860.0
2,209210.984375
3,9957179.0
4,7212881.5
5,9899945.0
6,117356.6015625
7,779.1354370117188
8,6008250.5
9,9748303.0
10,5905115.5
11,8301342.5
12,937490.75
13,9856398.0
14,4758005.0
15,11639.576171875
16,6070267.0
17,9708031.0
18,9720327.0
19,6611600.5
20,5436203.5
21,7587845.5
22,7978918.5
23,9737594.0
24,138113.984375
25,73884.3671875
26,108962.609375
27,8823571.0
28,25429.623046875
29,8431057.0
30,8943886.0
31,4562.38134765625
32,491714.375
33,10848.662109375
34,343790.6875
35,1170652.25
36,2563294.5
37,7931.41064453125
38,463847.71875
39,223579.09375
40,907495.1875
41,11323.9521484375
42,1937266.875
43,9532.4423828125
44,9879596.0
45,6481427.5
46,8066.7783203125
47,1789.4896240234375
48,321512.4375
49,1860375.875
50,8868.28515625
51,1595024.125
52,45441.23046875
53,23230.23828125
54,89160.25
55,733508.3125
56,10355.2236328125
57,6564305.0
58,74566.875
59,7159.58984375
60,1529449.5
61,363770.8125
62,239983.71875
63,9911848.0
64,8695.798828125
65,3789723.5
66,5911041.0
67,9987898.0
68,9976152.0
69,142553.796875
70,445128.9375
71,23778.548828125
72,8063.4853515625
73,18805.404296875
74,4535368.0
75,629127.125
76,2204.60009765625
77,8226121.5
78,27287.513671875
79,12957.861328125
80,7559061.5
81,8296517.5
82,237481.671875
83,9821162.0
84,675631.1875
85,1473112.75
86,131933.125
87,4638315.0
88,38840.859375
89,9517765.0
90,4448.90478515625
91,4659927.5
92,10662.3515625
93,5051355.0
94,1512.2115478515625
95,1130.6009521484375
96,26491.037109375
97,9593655.0
98,550082.875
99,4703021.0
100,2575.609130859375
101,6320221.0
102,856201.9375
103,8784687.0
104,686887.0
105,9052356.0
106,3314333.0
107,79328.9453125
108,7774383.0
109,182673.0
110,2518.378662109375
111,1737.005126953125
112,2621.075927734375
113,1596170.25
114,5313557.5
115,101768.0703125
116,5138718.0
117,585244.75
118,71795.5
119,448149.71875
120,4526.36474609375
121,9982748.0
122,4607940.5
123,16203.6259765625
124,9371.9658203125
125,8557988.0
126,243232.34375
127,542484.9375
128,3406816.75
129,9835524.0
130,9947100.0
131,383246.65625
132,1446880.0
133,6772091.0
134,4436105.0
135,1342393.25
136,497395.53125
137,22695.732421875
138,44911.9453125
139,3821624.5
140,2514769.75
141,4053639.75
142,2094105.375
143,4634604.5
144,9624760.0
145,1341450.5
146,9952455.0
147,9613985.0
148,6515204.5
149,8291704.5
150,1002.0298461914062
151,8357397.5
152,106961.6328125
153,1579234.75
154,1088453.0
155,5877.23681640625
156,4150930.0
157,7060621.0
158,5513946.0
159,2340373.75
160,8141784.0
161,861313.9375
162,7230.8681640625
163,6453899.0
164,1449756.5
165,5229970.0
166,3570.06494140625
167,4713961.0
168,6610.634765625
169,4465011.5
170,4117.08203125
171,237171.421875
172,372069.40625
173,50567.421875
174,1059228.25
